	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.Y111.1826.SM.4SOIR	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.145LS.2026.SM.5Q5D7	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.11ONC.1426.SM.5N9F4	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.1339X.1426.SM.5K7YO	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
ACTR1A	2855.44	3820.7	1674.06	1832.01	1407.55	1594.73	1769.57	1857.6	1628.26	1721.16	1733.13	2417.67	1781.89	1923.14	1733.13	1806.78	2875.3	1709.26	2209.26	2133.97	3212.66	2502.97	2997.45	4066.71	2609.3	2915.45	3874.05	3540.14	3874.05	3039.3	3303.0	4095.0	4181.07	3716.2	2758.13	3467.27	3794.3	3235.01	3564.78
ADRM1	4123.49	2417.67	1340.84	1733.13	1304.15	1477.58	1806.78	1806.78	1685.71	1388.16	1883.54	3280.18	2835.7	2303.12	1685.71	1844.76	3039.3	1605.83	2224.63	2224.63	5255.91	3060.45	2384.37	4869.99	2287.2	4152.18	3168.41	4038.61	4802.93	4481.23	5479.15	5954.47	5255.91	5076.84	3716.2	4358.66	4010.71	2591.27	3372.43
ADSL	1498.22	981.29	633.73	607.87	583.07	529.06	651.58	669.92	571.05	633.73	693.58	1015.93	921.88	785.88	753.83	780.44	1104.13	595.34	1008.9	896.64	2855.44	543.96	785.88	1135.2	884.29	830.75	988.12	981.29	1151.06	981.29	1191.69	928.3	1066.48	1030.12	1015.93	1175.27	981.29	460.44	866.07
AIMP2	1088.92	540.19	164.42	117.6	167.9	172.65	241.19	138.1	209.84	161.02	269.6	343.89	356.05	327.56	221.86	248.0	480.04	136.19	265.87	366.09	2645.74	392.44	656.11	928.3	432.53	872.1	759.08	785.88	688.78	521.76	934.76	723.08	961.07	796.86	665.29	941.27	698.41	199.85	753.83
ALAS1	902.89	764.36	426.57	435.55	483.38	373.81	493.56	470.14	529.06	426.57	518.15	813.63	633.73	748.61	426.57	441.64	802.41	500.46	466.88	693.58	2796.65	579.04	775.05	860.08	518.15	819.3	775.05	872.1	693.58	769.69	961.07	1135.2	842.36	713.11	764.36	791.35	718.08	921.88	1073.91
ARF3	1721.16	1936.53	884.29	733.19	1059.11	1001.93	1104.13	961.07	1008.9	1529.73	902.89	954.43	1044.52	1066.48	878.17	1073.91	1896.65	896.64	796.86	1175.27	981.29	1639.59	1674.06	4210.15	1709.26	1350.18	2855.44	1794.29	1977.24	1896.65	3280.18	4123.49	2997.45	3081.75	2090.03	3928.15	3018.3	1617.0	2240.11
BRE	1286.18	796.86	591.22	738.29	679.29	612.11	514.56	583.07	674.59	684.02	463.65	842.36	830.75	703.28	642.59	624.99	896.64	759.08	620.67	679.29	1617.0	842.36	620.67	1651.0	921.88	612.11	791.35	896.64	1119.56	785.88	1295.13	1015.93	1313.23	954.43	612.11	1259.69	780.44	785.88	854.13
C6orf106	2178.83	1572.76	728.11	723.08	616.37	769.69	884.29	764.36	780.44	819.3	902.89	902.89	1175.27	995.0	842.36	860.08	1447.15	718.08	967.76	1216.75	1832.01	1059.11	981.29	1617.0	854.13	941.27	1498.22	1268.46	1388.16	1639.59	1781.89	1572.76	1936.53	1519.15	909.17	1819.35	1883.54	1233.75	1340.84
CCT7	6381.92	4123.49	1757.34	2018.8	1936.53	1467.37	1991.0	1950.0	2018.8	2047.0	1963.57	2895.31	2520.38	1963.57	1844.76	2061.24	3443.31	1977.24	2468.49	2485.67	6079.61	2682.69	2367.9	5791.62	3395.89	2224.63	4802.93	4869.99	4268.94	4388.98	5183.54	5479.15	5479.15	4575.41	3372.43	4575.41	4736.79	2193.99	5006.93
CENPB	2303.12	1662.49	1073.91	1151.06	1135.2	1268.46	1540.37	1216.75	1208.34	961.07	1639.59	1651.0	1991.0	1295.13	1709.26	1397.83	1583.71	1259.69	1378.57	1819.35	1378.57	2591.27	1936.53	2956.17	1870.53	2104.58	2875.3	2319.15	3491.39	2193.99	3372.43	3589.58	2935.74	3081.75	2835.7	2895.31	3467.27	1477.58	2956.17
