	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.6780.01A.11R.A278.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.139TS.1426.SM.5IFJD	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.1313W.0926.SM.5EQ56	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.145MF.0726.SM.5Q5BT	GTEX.T8EM.0326.SM.3DB7F	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.18.3408.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
ABCB8	629.35	525.39	139.07	271.48	185.11	769.69	748.61	559.28	1015.93	1081.39	612.11	1268.46	830.75	1104.13	1208.34	1088.92	830.75	1023.0	988.12	1175.27	1015.93	902.89	486.75	1268.46	769.69	587.13	718.08	1104.13	638.15	587.13	884.29	647.07	591.22	743.43	0.0	656.11	0.36	144.01	104.42	194.36	708.18	470.14	309.83	791.35	583.07	638.15	470.14	363.56	921.88	400.71	460.44	194.36	423.61	38.95	397.93	616.37	103.69	149.12
ABHD14A	511.0	251.48	136.19	236.21	47.84	1127.35	1096.5	723.08	1313.23	1199.98	703.28	1111.82	1143.1	819.3	2367.9	1508.65	909.17	1757.34	441.64	808.0	909.17	967.76	947.83	1081.39	1001.93	379.04	555.41	1001.93	318.57	629.35	493.56	1030.12	961.07	825.0	0.0	454.09	0.36	158.79	134.3	189.02	297.17	599.49	559.28	890.44	283.05	1008.9	1044.52	339.14	995.0	665.29	518.15	417.77	518.15	70.51	248.0	507.46	81.14	55.1
ABHD8	171.45	94.01	6.73	10.31	106.63	368.65	234.57	500.46	346.29	358.54	334.46	514.56	426.57	336.79	373.81	423.61	356.05	486.75	368.65	325.29	307.69	595.34	429.54	483.38	713.11	191.67	395.18	414.87	264.03	187.71	638.15	708.18	332.14	629.35	0.0	307.69	0.37	28.65	44.57	36.79	127.0	260.38	273.37	318.57	165.57	638.15	836.53	97.36	518.15	183.82	148.09	332.14	269.6	23.59	142.01	381.68	115.16	37.05
AC136297.1	624.99	24.63	0.0	13.83	0.0	490.14	738.29	819.3	607.87	723.08	414.87	241.19	1167.14	417.77	1175.27	1127.35	237.86	759.08	688.78	1044.52	723.08	866.07	2240.11	669.92	1936.53	595.34	460.44	1498.22	842.36	1350.18	514.56	1259.69	967.76	665.29	0.0	483.38	0.0	0.0	32.82	0.0	0.0	400.71	0.0	878.17	490.14	480.04	389.72	6.06	249.73	171.45	0.0	44.89	138.1	0.0	0.0	65.26	0.0	19.11
ADAT3	33.06	3.76	1.46	4.35	126.12	79.45	36.01	80.01	88.26	49.21	37.05	149.12	162.14	71.0	79.45	99.43	66.18	104.42	104.42	37.59	15.91	56.68	22.43	59.13	48.87	35.76	40.07	60.39	62.56	47.5	47.17	52.45	10.88	31.45	0.0	127.89	0.54	0.0	8.78	1.06	42.11	71.5	32.59	75.11	30.56	132.44	115.97	34.26	94.01	48.18	7.57	5.68	57.49	0.0	36.53	54.72	0.0	0.0
ALG12	251.48	346.29	114.36	158.79	154.42	540.19	500.46	426.57	463.65	703.28	212.78	665.29	525.39	651.58	848.22	728.11	669.92	808.0	444.72	450.94	738.29	521.76	1151.06	470.14	759.08	607.87	346.29	595.34	543.96	226.54	387.02	384.34	521.76	470.14	0.0	339.14	0.12	85.22	175.07	165.57	406.31	392.44	260.38	624.99	295.11	400.71	397.93	173.85	693.58	260.38	417.77	295.11	346.29	239.52	329.84	454.09	83.45	63.0
ALKBH7	718.08	988.12	255.0	329.84	1127.35	2335.28	3190.46	3372.43	3467.27	2855.44	2935.74	4704.07	3190.46	2915.45	3060.45	2591.27	2976.74	3794.3	2319.15	1781.89	1936.53	2591.27	2400.97	5076.84	1819.35	1119.56	1605.83	2701.35	2796.65	3212.66	2384.37	3820.7	2609.3	3280.18	0.0	1437.15	0.48	119.26	185.11	136.19	1388.16	2119.22	1529.73	1498.22	612.11	1794.29	4095.0	902.89	2915.45	941.27	902.89	2075.59	1605.83	77.25	1119.56	1950.0	55.1	199.85
AMDHD2	1051.79	223.41	118.43	187.71	293.07	1378.57	1127.35	1407.55	1977.24	2485.67	854.13	1857.6	1870.53	2004.85	2555.58	1733.13	866.07	769.69	785.88	435.55	575.03	890.44	497.0	796.86	669.92	1183.45	571.05	1733.13	356.05	215.77	674.59	450.94	441.64	327.56	0.0	1159.07	0.14	33.78	47.17	85.82	642.59	490.14	260.38	1216.75	387.02	759.08	902.89	251.48	753.83	158.79	285.03	366.09	223.41	15.91	170.25	656.11	55.1	125.24
AP1M1	583.07	733.19	241.19	353.59	607.87	1175.27	1051.79	1233.75	1769.57	1447.15	954.43	1628.26	1628.26	1407.55	1427.22	1350.18	1277.29	1447.15	1605.83	679.29	1583.71	1819.35	1832.01	1963.57	1639.59	1008.9	1151.06	1295.13	669.92	1832.01	1508.65	1096.5	1151.06	688.78	0.0	1030.12	0.71	384.34	620.67	536.45	450.94	708.18	591.22	1331.57	1304.15	1331.57	1397.83	775.05	1617.0	483.38	1175.27	753.83	896.64	633.73	836.53	896.64	438.59	400.71
AP5S1	140.04	255.0	91.41	113.56	36.53	403.5	277.2	423.61	309.83	400.71	312.0	414.87	395.18	346.29	511.0	291.04	358.54	361.04	231.32	234.57	353.59	260.38	239.52	309.83	555.41	291.04	269.6	289.02	212.78	262.2	420.68	218.79	229.72	158.79	0.0	236.21	0.0	96.68	132.44	88.26	206.94	246.28	154.42	341.51	177.53	303.44	356.05	132.44	316.37	98.04	231.32	133.36	262.2	114.36	314.17	299.25	121.79	146.03
