	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
ADNP	1844.76	1350.18	860.08	961.07	1081.39	1151.06	1487.87	1167.14	1225.22	1529.73	1350.18	1081.39	1111.82	1175.27	1286.18	1572.76	2090.03	183.82	1225.22	796.86	728.11	163.28	215.77	273.37	301.33	251.48	246.28	307.69	214.27	423.61	289.02	154.42	392.44	214.27	181.28	368.65	212.78	253.23	220.32	291.04	275.28	285.03	212.78	141.02	293.07	244.57	346.29	301.33	116.78	518.15	127.89	291.04	251.48
ANKIB1	921.88	571.05	387.02	447.82	457.25	493.56	703.28	454.09	514.56	665.29	595.34	457.25	470.14	511.0	607.87	599.49	1059.11	89.51	209.84	269.6	303.44	57.89	103.69	122.64	94.67	128.79	83.45	108.9	105.15	264.03	178.77	131.51	78.34	57.49	92.05	172.65	52.45	153.34	146.03	164.42	134.3	125.24	177.53	149.12	81.71	95.34	202.66	147.06	42.41	187.71	44.89	72.01	201.25
ANKRD12	1175.27	460.44	314.17	318.57	293.07	470.14	607.87	348.71	309.83	579.04	473.41	293.07	543.96	389.72	341.51	429.54	660.68	45.53	226.54	236.21	329.84	26.47	99.43	131.51	85.22	108.14	70.51	90.77	75.11	120.1	111.99	49.91	76.71	87.03	94.01	56.68	44.89	121.79	107.38	78.89	78.89	65.72	130.6	73.03	120.1	127.0	190.34	123.5	55.89	177.53	86.43	92.05	105.15
ANKRD13C	679.29	366.09	269.6	209.84	271.48	320.8	387.02	267.73	287.01	466.88	323.03	271.48	353.59	271.48	334.46	295.11	665.29	53.95	147.06	178.77	170.25	48.18	130.6	129.69	98.73	50.98	53.95	78.89	74.06	180.02	107.38	81.71	102.25	91.41	74.58	148.09	75.11	88.26	183.82	110.43	72.01	80.01	108.14	117.6	142.01	110.43	148.09	149.12	190.34	175.07	127.0	92.05	122.64
ANKRD50	1519.15	212.78	217.27	182.55	204.07	273.37	674.59	255.0	361.04	403.5	363.56	204.07	269.6	389.72	371.22	1508.65	1183.45	13.22	115.16	127.89	218.79	22.59	65.26	63.0	53.57	35.25	36.27	51.35	44.25	79.45	50.27	18.7	98.04	46.84	34.75	88.26	30.56	29.91	47.84	63.89	69.52	36.53	84.04	57.89	58.71	43.63	92.05	60.39	32.59	91.41	8.92	73.54	74.58
ARFGEF2	1143.1	775.05	412.0	476.71	656.11	688.78	836.53	612.11	540.19	665.29	808.0	656.11	738.29	656.11	813.63	759.08	551.56	81.14	624.99	532.74	447.82	115.16	119.26	183.82	199.85	132.44	126.12	143.01	120.1	164.42	103.69	171.45	218.79	236.21	98.73	193.01	139.07	145.02	153.34	175.07	204.07	125.24	212.78	114.36	90.77	131.51	224.97	136.19	115.16	297.17	69.52	145.02	246.28
ARL14EP	607.87	915.51	441.64	651.58	603.67	842.36	825.0	743.43	656.11	1167.14	813.63	603.67	915.51	759.08	1073.91	890.44	1508.65	178.77	497.0	318.57	260.38	104.42	234.57	241.19	255.0	197.09	273.37	251.48	249.73	281.09	289.02	224.97	373.81	353.59	215.77	336.79	182.55	199.85	141.02	295.11	221.86	181.28	229.72	202.66	231.32	234.57	587.13	293.07	144.01	379.04	82.87	264.03	351.14
ATF2	825.0	836.53	480.04	466.88	525.39	669.92	753.83	647.07	603.67	1015.93	738.29	525.39	743.43	769.69	947.83	693.58	1639.59	173.85	500.46	633.73	934.76	122.64	215.77	356.05	325.29	185.11	224.97	246.28	204.07	457.25	237.86	206.94	429.54	249.73	237.86	309.83	201.25	248.0	218.79	379.04	260.38	215.77	204.07	242.88	189.02	231.32	348.71	241.19	209.84	432.53	190.34	264.03	389.72
ATP7A	301.33	175.07	128.79	175.07	159.9	251.48	303.44	248.0	195.72	223.41	239.52	159.9	169.07	275.28	293.07	307.69	323.03	8.13	89.51	57.49	114.36	13.62	16.03	27.05	40.36	17.0	13.52	31.67	17.38	19.97	28.45	12.18	20.56	15.68	20.11	31.22	12.0	14.67	32.82	26.1	17.38	21.01	33.78	20.86	27.84	14.03	48.87	28.04	7.17	46.5	14.45	24.46	29.48
BBX	1331.57	896.64	353.59	616.37	587.13	854.13	848.22	656.11	713.11	1111.82	1088.92	587.13	802.41	802.41	624.99	995.0	1369.04	31.45	277.2	229.72	460.44	25.17	69.03	89.51	112.77	58.3	58.71	193.01	38.67	105.89	93.35	76.17	76.71	43.94	42.71	95.34	41.52	44.89	63.0	80.57	194.36	48.87	64.8	53.19	62.12	71.0	165.57	107.38	37.59	92.7	18.43	59.13	71.0
BTBD7	529.06	392.44	273.37	341.51	285.03	438.59	353.59	414.87	348.71	500.46	470.14	285.03	381.68	400.71	483.38	579.04	693.58	82.29	226.54	209.84	264.03	46.18	90.14	77.79	82.29	74.06	92.05	134.3	88.26	127.89	105.15	32.36	118.43	75.64	43.63	108.9	85.22	96.01	77.25	116.78	68.07	85.82	90.14	66.18	79.45	114.36	143.01	85.22	27.25	137.14	72.01	71.0	92.7
