	GTEX.ZF2S.2026.SM.5E461	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13FTW.1126.SM.5J2NV	GTEX.145MO.2326.SM.5NQ9K	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.132NY.2826.SM.5P9G2
AC011530.4	10.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51	10.96	10.24	21.32	5.92	9.78	3.82	8.25	18.97	12.09	9.41	10.63	7.82	12.0	1.64	7.51	20.26	2.84	22.75
AC127496.1	28.65	0.89	0.96	4.21	0.95	0.0	3.72	1.51	1.07	1.1	2.36	4.9	9.93	17.9	13.12	11.04	21.47	7.94	1.97	7.88	10.71	22.75	18.7	15.45	15.56	7.0	11.55	3.82	7.75	13.42	14.03	25.72
AGK	426.57	164.42	204.07	248.0	146.03	125.24	215.77	161.02	187.71	148.09	159.9	379.04	318.57	358.54	320.8	356.05	299.25	343.89	269.6	293.07	343.89	483.38	325.29	343.89	379.04	336.79	323.03	269.6	220.32	327.56	426.57	343.89
AK9	289.02	15.56	34.75	29.7	16.15	30.56	46.5	24.11	44.89	25.17	26.67	61.68	87.03	113.56	109.66	105.89	83.45	115.16	85.82	67.59	111.99	111.21	77.79	101.54	93.35	71.0	150.17	121.79	92.05	88.26	63.0	63.45
AL357673.1	117.6	7.82	11.38	17.0	11.91	5.02	19.11	7.88	22.1	16.51	14.67	39.79	44.89	74.06	48.52	78.89	49.56	47.84	25.17	52.08	45.53	97.36	53.19	64.34	69.52	48.18	84.63	32.82	24.81	53.57	50.98	88.26
ANGEL1	473.41	215.77	125.24	133.36	103.69	85.82	125.24	112.77	135.24	161.02	126.12	140.04	198.47	287.01	217.27	191.67	202.66	182.55	128.79	172.65	234.57	299.25	209.84	236.21	236.21	131.51	264.03	215.77	178.77	234.57	224.97	131.51
ANKRA2	884.29	155.5	189.02	214.27	190.34	191.67	198.47	221.86	218.79	189.02	182.55	412.0	500.46	954.43	521.76	603.67	591.22	713.11	733.19	454.09	836.53	607.87	543.96	620.67	587.13	607.87	819.3	693.58	277.2	432.53	642.59	395.18
ARID1B	775.05	64.8	109.66	119.26	106.63	92.7	178.77	118.43	115.97	100.83	125.24	295.11	323.03	441.64	403.5	457.25	444.72	277.2	190.34	327.56	346.29	688.78	483.38	493.56	490.14	323.03	414.87	379.04	273.37	376.41	426.57	414.87
CASC3	1757.34	307.69	314.17	470.14	334.46	351.14	466.88	348.71	356.05	275.28	269.6	921.88	1081.39	995.0	1096.5	1151.06	1135.2	1051.79	836.53	1127.35	928.3	1745.2	1030.12	1159.07	1151.06	1167.14	1277.29	1104.13	1051.79	1167.14	1216.75	896.64
CCDC30	217.27	3.96	11.73	12.18	9.13	7.17	35.0	10.31	6.41	0.67	5.77	56.28	63.0	64.34	61.68	138.1	80.57	90.14	44.25	46.5	60.39	92.05	59.97	46.84	62.12	59.97	88.88	43.32	32.13	56.28	53.19	119.26
