	TCGA.FD.A5BU.01A.31R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.AR.A5QQ.01A.11R.A28M.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.K7.A6G5.01A.11R.A311.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
ACOXL	2.97	33.54	0.0	8.38	2.41	0.95	0.43	0.52	1.08	0.43	1.01	0.0	1.35	2.71	191.67	57.08	65.26	90.14	98.73	165.57	101.54	118.43	175.07	117.6	141.02	74.06	76.17	183.82	120.1	69.52	67.12	56.68	133.36	105.15	93.35	53.57	144.01	136.19	132.44	50.27	87.65	108.14	32.13	44.57	119.26	167.9	164.42	71.5
AKAP9	287.01	220.32	118.43	229.72	309.83	166.73	173.85	316.37	107.38	303.44	89.51	0.0	198.47	285.03	769.69	733.19	470.14	909.17	802.41	718.08	791.35	447.82	819.3	1073.91	995.0	733.19	728.11	616.37	941.27	693.58	351.14	395.18	703.28	693.58	738.29	1044.52	624.99	387.02	769.69	708.18	928.3	543.96	395.18	563.18	511.0	961.07	708.18	417.77
ALDH5A1	128.79	52.45	14.14	65.26	18.7	45.21	13.83	33.3	23.42	435.55	205.5	0.0	74.06	6.67	244.57	248.0	206.94	283.05	242.88	185.11	170.25	211.31	137.14	334.46	258.57	248.0	208.38	208.38	269.6	220.32	161.02	194.36	281.09	265.87	279.14	237.86	208.38	199.85	220.32	175.07	220.32	214.27	123.5	187.71	242.88	214.27	277.2	146.03
ANKDD1B	0.0	4.17	0.64	1.35	0.68	0.55	0.73	0.89	1.41	0.0	0.0	18.7	6.84	0.0	6.73	9.7	8.78	12.83	25.35	26.28	38.67	18.03	58.71	30.12	21.32	4.58	21.16	35.5	28.24	17.9	40.64	8.32	25.17	34.75	23.59	29.91	41.81	10.08	20.56	17.51	29.91	18.56	4.82	4.1	14.67	52.82	36.79	8.19
ARHGAP12	141.02	218.79	138.1	131.51	109.66	157.68	103.69	208.38	190.34	251.48	94.01	291.04	197.09	291.04	435.55	457.25	490.14	518.15	503.95	642.59	409.15	297.17	417.77	660.68	518.15	389.72	329.84	583.07	507.46	320.8	412.0	301.33	507.46	409.15	438.59	420.68	361.04	387.02	435.55	371.22	521.76	363.56	165.57	339.14	420.68	483.38	389.72	271.48
ARHGAP19	76.71	80.57	71.5	87.65	39.79	54.72	120.1	52.45	35.0	38.12	64.34	0.0	77.25	32.36	67.59	130.6	90.77	131.51	158.79	133.36	132.44	96.01	125.24	135.24	148.09	100.83	129.69	81.14	162.14	100.83	57.08	88.88	112.77	139.07	128.79	143.01	159.9	98.73	128.79	76.71	124.37	113.56	66.18	88.88	125.24	123.5	127.89	66.18
ARHGEF7	249.73	136.19	262.2	231.32	291.04	447.82	303.44	145.02	307.69	150.17	231.32	0.0	194.36	88.88	819.3	791.35	769.69	620.67	651.58	954.43	878.17	595.34	684.02	1322.37	1081.39	384.34	780.44	674.59	733.19	830.75	406.31	651.58	703.28	961.07	1023.0	775.05	693.58	642.59	974.5	595.34	819.3	567.1	497.0	420.68	514.56	915.51	819.3	423.61
ARID2	107.38	95.34	50.98	92.7	121.79	131.51	70.01	111.21	50.63	53.57	50.27	70.01	111.99	59.97	183.82	183.82	195.72	229.72	183.82	197.09	154.42	138.1	220.32	255.0	199.85	204.07	189.02	204.07	244.57	176.29	142.01	166.73	191.67	202.66	208.38	191.67	194.36	175.07	172.65	201.25	170.25	253.23	164.42	144.01	173.85	293.07	204.07	146.03
BCAS1	10.63	5.28	0.37	6.57	2.36	23.93	6.41	7.63	2.89	1.97	0.06	0.0	2.32	7.63	1662.49	1277.29	1225.22	934.76	1447.15	1350.18	1359.57	1487.87	1135.2	2351.53	1572.76	819.3	1015.93	1844.76	1388.16	1295.13	718.08	1001.93	1378.57	1457.23	2400.97	1051.79	1769.57	961.07	1143.1	1151.06	1295.13	1066.48	525.39	466.88	1340.84	2148.82	1519.15	603.67
C1orf101	2.61	2.56	3.35	4.7	3.69	0.0	3.53	2.14	9.48	10.55	8.78	0.0	3.86	7.94	9.13	13.42	10.71	16.75	17.38	16.27	18.29	10.0	16.63	18.16	23.93	16.88	7.46	18.7	24.99	24.99	13.12	8.38	26.47	14.56	19.11	16.27	21.47	8.65	37.32	14.35	16.15	17.51	5.19	12.55	12.83	26.28	22.59	12.55
