	TCGA.E2.A1AZ.01A.11R.A12P.07	GTEX.13O61.1226.SM.5KM21	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.HF.7133.01A.11R.2055.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AGGF1	429.54	186.4	118.43	126.12	121.79	48.18	133.36	400.71	323.03	373.81	432.53	316.37	409.15	169.07	540.19	358.54	267.73	191.67	291.04	143.01	241.19	186.4	170.25	249.73
ANKRD32	171.45	47.5	26.67	28.45	23.76	19.53	14.24	110.43	76.17	130.6	94.01	106.63	127.89	38.95	94.01	35.25	36.01	19.11	59.13	49.91	64.34	29.27	67.12	47.17
AP3M2	872.1	136.19	42.71	35.0	36.53	34.26	40.07	265.87	199.85	287.01	244.57	271.48	291.04	191.67	460.44	336.79	140.04	71.0	148.09	48.18	107.38	88.26	183.82	146.03
ATAD2	1001.93	102.25	65.26	73.03	54.72	36.79	92.05	435.55	708.18	301.33	403.5	483.38	651.58	217.27	947.83	283.05	148.09	73.54	110.43	71.5	78.89	71.0	94.01	157.68
ATG4C	285.03	107.38	147.06	100.83	112.77	49.56	107.38	251.48	126.12	237.86	265.87	220.32	363.56	135.24	246.28	166.73	226.54	66.65	205.5	61.68	133.36	132.44	101.54	260.38
ATP6V0A2	358.54	193.01	85.82	96.68	57.49	52.82	63.45	371.22	429.54	447.82	480.04	353.59	921.88	236.21	363.56	237.86	356.05	293.07	400.71	191.67	432.53	221.86	285.03	205.5
AURKA	1001.93	16.39	90.14	20.41	38.4	56.28	42.11	395.18	1191.69	169.07	466.88	1088.92	5633.22	759.08	4869.99	2720.15	232.94	285.03	226.54	327.56	232.94	132.44	241.19	426.57
BROX	848.22	336.79	149.12	170.25	149.12	104.42	191.67	567.1	860.08	713.11	981.29	743.43	802.41	780.44	1572.76	860.08	511.0	366.09	571.05	269.6	397.93	373.81	392.44	376.41
C11orf30	480.04	251.48	46.18	57.49	50.63	26.28	43.63	376.41	289.02	316.37	299.25	336.79	532.74	232.94	432.53	301.33	209.84	141.02	220.32	106.63	199.85	171.45	209.84	205.5
C1orf112	470.14	52.82	21.32	28.86	111.99	20.11	94.67	214.27	295.11	115.16	88.88	148.09	329.84	236.21	318.57	79.45	111.21	52.45	63.89	19.68	36.53	50.98	73.03	135.24
C1orf74	153.34	26.47	22.92	18.56	27.44	46.18	36.27	66.18	149.12	55.89	96.01	57.89	105.89	105.15	191.67	81.14	64.34	55.1	53.95	40.07	59.55	43.02	50.98	72.52
