	TCGA.CZ.5455.01A.01R.1503.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.BP.4160.01A.02R.1289.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.4863.01A.01R.1503.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AATK	30.34	22.43	24.11	23.76	15.45	37.05	22.43	17.9	22.26	29.91	57.89	24.11	18.43	23.59	14.45	42.71	25.17	36.53	44.57	31.0	148.09	126.12	307.69	387.02	127.89	232.94	42.41	177.53	974.5	336.79	87.65	934.76	103.69	208.38	117.6	447.82	125.24	260.38	269.6	163.28	106.63
ABCA7	88.26	101.54	43.32	118.43	136.19	49.21	35.76	40.64	161.02	454.09	52.45	299.25	124.37	44.25	64.8	65.26	102.97	217.27	47.17	102.25	555.41	878.17	947.83	620.67	417.77	1467.37	1096.5	420.68	775.05	575.03	769.69	738.29	122.64	277.2	1216.75	1844.76	848.22	395.18	674.59	629.35	265.87
ACAP3	156.59	143.01	143.01	209.84	108.9	136.19	171.45	70.01	217.27	327.56	166.73	275.28	209.84	221.86	237.86	98.73	162.14	329.84	101.54	90.14	244.57	199.85	1088.92	480.04	223.41	1088.92	400.71	281.09	332.14	400.71	555.41	423.61	176.29	218.79	486.75	1088.92	426.57	239.52	303.44	444.72	204.07
ACSF2	193.01	189.02	186.4	629.35	269.6	195.72	854.13	397.93	363.56	460.44	181.28	669.92	450.94	136.19	177.53	197.09	283.05	555.41	231.32	620.67	2956.17	1685.71	3419.52	1073.91	511.0	3235.01	967.76	967.76	2875.3	3235.01	866.07	3419.52	1467.37	2627.46	3589.58	1498.22	587.13	2485.67	2224.63	1977.24	830.75
ADAMTS14	5.92	1.41	3.06	5.45	2.18	2.51	1.48	7.34	1.73	14.67	2.1	6.67	7.82	1.69	4.62	4.31	2.46	16.63	8.92	6.67	27.25	11.73	5.59	51.35	25.54	19.25	3.82	30.56	8.25	7.63	44.89	11.82	21.94	7.28	41.22	15.0	8.71	11.13	7.57	13.22	9.06
AL627309.1	22.59	11.04	3.53	32.13	15.8	4.43	18.84	18.43	5.63	117.6	4.98	149.12	24.81	6.21	13.03	12.18	53.57	59.13	10.31	8.99	198.47	366.09	153.34	195.72	198.47	51.35	785.88	301.33	191.67	121.79	353.59	348.71	151.22	70.51	438.59	490.14	77.79	1023.0	171.45	98.04	75.64
ALS2CL	40.07	17.77	8.38	37.05	14.45	30.34	15.0	24.81	24.11	84.04	17.64	153.34	33.3	18.16	35.0	26.86	29.27	98.73	8.85	38.12	414.87	153.34	836.53	368.65	603.67	796.86	124.37	258.57	1023.0	470.14	460.44	961.07	371.22	808.0	275.28	954.43	201.25	291.04	295.11	262.2	438.59
ANXA3	23.25	450.94	29.27	45.21	62.12	50.98	77.25	170.25	34.02	293.07	24.81	507.46	22.75	309.83	40.64	97.36	37.59	98.04	5.96	928.3	1037.29	2502.97	6121.9	2816.11	3257.52	2997.45	3060.45	1359.57	4704.07	4769.75	3794.3	3901.01	2835.7	8479.89	1037.29	4802.93	4903.87	579.04	5329.3	3124.78	2104.58
ARHGAP21	483.38	155.5	262.2	441.64	540.19	237.86	169.07	271.48	312.0	387.02	202.66	447.82	166.73	199.85	273.37	301.33	379.04	409.15	371.22	403.5	703.28	432.53	1104.13	500.46	808.0	1127.35	836.53	563.18	842.36	896.64	1259.69	884.29	603.67	616.37	429.54	1167.14	854.13	536.45	629.35	961.07	624.99
ARHGDIG	0.0	6.89	0.0	0.0	0.38	1.79	2.18	1.11	3.06	1.85	0.0	0.0	0.67	2.34	0.0	0.0	5.54	0.0	1.13	2.12	5.63	12.27	21.16	19.68	8.65	12.64	18.97	2.61	6.78	43.94	5.5	8.85	6.94	2.56	8.13	19.25	28.24	16.15	16.03	8.25	33.78
