	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
MRPS9	708.18	915.51	629.35	896.64	603.67	638.15	753.83	647.07	703.28	713.11	463.65	493.56	1066.48	583.07	698.41	769.69	669.92	642.59	209.84	660.68	559.28	684.02	890.44	780.44	1066.48	684.02	583.07	642.59	684.02	669.92	262.2	217.27	289.02	511.0	432.53	214.27	293.07	497.0	466.88	400.71	447.82	211.31	457.25	305.55	212.78	205.5	221.86	571.05	170.25	629.35	543.96	183.82	236.21	212.78	131.51	361.04	295.11	223.41	232.94	181.28	201.25	420.68	389.72	275.28	587.13	212.78	260.38	591.22	189.02	236.21	295.11	170.25	312.0	260.38	191.67	264.03
MTX2	928.3	1135.2	780.44	1066.48	713.11	1044.52	848.22	981.29	802.41	1088.92	733.19	693.58	748.61	808.0	854.13	941.27	1304.15	738.29	703.28	1073.91	769.69	802.41	1023.0	1023.0	1594.73	638.15	981.29	620.67	1143.1	1015.93	500.46	211.31	518.15	813.63	540.19	256.78	665.29	728.11	633.73	575.03	679.29	198.47	420.68	376.41	381.68	194.36	379.04	708.18	265.87	860.08	738.29	226.54	371.22	291.04	107.38	511.0	384.34	191.67	348.71	226.54	244.57	532.74	698.41	275.28	967.76	420.68	389.72	1015.93	341.51	334.46	318.57	123.5	447.82	368.65	269.6	395.18
NAT8	7280.4	23656.34	7280.4	55491.3	20030.74	19348.38	25005.23	8901.53	30785.28	55491.3	10225.32	21919.61	10883.59	11909.94	22535.88	9474.59	45701.96	14361.31	1143.1	30572.63	14163.58	22535.88	32315.87	27745.15	46662.28	22072.07	24832.5	18560.17	43236.64	17927.91	1.51	4.78	4.21	4.58	0.0	1.35	1.6	11.73	1.71	0.0	6.89	0.0	12.64	1.5	2.36	2.68	5.28	9.85	0.0	6.26	10.08	2.39	3.38	1.31	3.76	6.21	8.51	1.99	1.27	1.33	4.54	1.13	6.46	2.89	0.0	1.33	4.39	0.0	6.21	1.33	2.05	2.81	2.58	1.3	2.53	0.0
NDUFA10	2573.36	3982.99	3060.45	3716.2	2739.08	3395.89	2935.74	3018.3	2682.69	4704.07	2287.2	2816.11	4095.0	2468.49	3018.3	2758.13	4066.71	3540.14	1745.2	1991.0	2485.67	2367.9	2351.53	3716.2	4481.23	1883.54	2335.28	2895.31	2627.46	2682.69	2018.8	1359.57	1674.06	2271.4	2367.9	1225.22	1628.26	1844.76	2319.15	1936.53	2384.37	1104.13	1561.89	1909.85	1529.73	1127.35	1909.85	2119.22	1697.45	2061.24	1857.6	1167.14	1561.89	1529.73	1159.07	1519.15	1331.57	1259.69	1806.78	1268.46	1044.52	1883.54	1991.0	1340.84	3039.3	1277.29	1397.83	1870.53	1340.84	1350.18	1769.57	872.1	2209.26	1304.15	2032.85	1721.16
NDUFB3	1721.16	3060.45	1721.16	3124.78	2119.22	2104.58	1844.76	1781.89	2997.45	2075.59	1709.26	1397.83	2400.97	2004.85	2520.38	2400.97	2855.44	1883.54	1447.15	3395.89	2090.03	1794.29	2664.15	3146.52	2835.7	1977.24	1662.49	1977.24	4010.71	2319.15	2367.9	1059.11	1806.78	1551.09	1896.65	785.88	2240.11	1697.45	1832.01	1081.39	1991.0	532.74	1350.18	808.0	1008.9	679.29	884.29	1167.14	753.83	1697.45	1427.22	954.43	1159.07	591.22	567.1	819.3	896.64	836.53	1151.06	476.71	536.45	934.76	1757.34	713.11	2133.97	1167.14	563.18	2835.7	967.76	1216.75	1015.93	633.73	825.0	915.51	1216.75	813.63
NFS1	713.11	1295.13	753.83	825.0	866.07	896.64	1175.27	896.64	941.27	967.76	559.28	698.41	872.1	753.83	915.51	981.29	764.36	796.86	547.75	775.05	1001.93	775.05	1191.69	684.02	738.29	780.44	921.88	854.13	890.44	941.27	305.55	165.57	351.14	529.06	387.02	125.24	318.57	420.68	447.82	406.31	525.39	105.89	389.72	279.14	214.27	163.28	223.41	555.41	248.0	480.04	532.74	169.07	178.77	229.72	92.7	507.46	318.57	198.47	239.52	182.55	127.89	343.89	287.01	199.85	486.75	295.11	363.56	500.46	220.32	199.85	241.19	71.5	327.56	214.27	183.82	178.77
NIF3L1	669.92	738.29	476.71	532.74	575.03	567.1	555.41	463.65	417.77	587.13	400.71	438.59	543.96	412.0	414.87	543.96	483.38	438.59	486.75	647.07	363.56	351.14	476.71	579.04	629.35	447.82	423.61	567.1	656.11	543.96	303.44	141.02	260.38	547.75	432.53	155.5	271.48	373.81	336.79	450.94	432.53	139.07	470.14	305.55	181.28	151.22	220.32	587.13	199.85	476.71	381.68	122.64	150.17	209.84	151.22	334.46	299.25	228.13	194.36	126.12	180.02	426.57	334.46	239.52	503.95	234.57	211.31	738.29	167.9	157.68	209.84	87.03	323.03	241.19	190.34	231.32
NIPSNAP1	1936.53	1832.01	1662.49	1950.0	1733.13	1870.53	2720.15	2758.13	1977.24	2133.97	1081.39	2133.97	2193.99	1529.73	1572.76	1540.37	2400.97	2224.63	1340.84	2319.15	1583.71	1551.09	4095.0	2434.5	3212.66	2367.9	2163.77	1340.84	1572.76	2133.97	483.38	206.94	426.57	819.3	567.1	131.51	373.81	521.76	595.34	723.08	647.07	170.25	642.59	339.14	325.29	197.09	371.22	808.0	262.2	743.43	599.49	228.13	231.32	381.68	127.0	547.75	435.55	258.57	253.23	231.32	232.94	660.68	423.61	253.23	1175.27	403.5	281.09	1104.13	281.09	400.71	441.64	137.14	403.5	353.59	309.83	279.14
NLN	366.09	224.97	351.14	264.03	307.69	373.81	305.55	205.5	198.47	236.21	159.9	287.01	185.11	148.09	131.51	279.14	309.83	825.0	127.89	157.68	255.0	323.03	460.44	356.05	120.94	132.44	303.44	149.12	165.57	406.31	100.13	50.27	123.5	95.34	49.56	75.64	108.14	113.56	104.42	131.51	56.28	57.49	78.34	105.89	61.25	31.22	59.13	63.0	57.08	141.02	77.79	72.52	66.18	51.71	62.56	61.25	74.58	44.89	70.51	60.82	59.97	89.51	97.36	84.04	163.28	45.85	28.45	195.72	70.01	70.51	54.72	76.71	53.19	108.14	67.12	87.03
PC	878.17	395.18	397.93	1111.82	500.46	457.25	450.94	389.72	460.44	500.46	223.41	182.55	98.04	669.92	381.68	327.56	1037.29	525.39	197.09	1233.75	848.22	595.34	563.18	1417.35	1119.56	928.3	543.96	395.18	460.44	373.81	94.67	111.99	83.45	186.4	389.72	102.25	334.46	269.6	295.11	429.54	205.5	38.12	154.42	68.55	92.7	118.43	194.36	441.64	201.25	89.51	80.57	88.88	126.12	291.04	217.27	256.78	454.09	158.79	135.24	46.84	72.01	264.03	158.79	105.15	161.02	463.65	91.41	204.07	161.02	42.41	90.14	93.35	791.35	83.45	197.09	156.59
