	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
PCCA	1794.29	961.07	878.17	1023.0	1001.93	1008.9	1111.82	1216.75	1044.52	967.76	371.22	1135.2	974.5	909.17	1008.9	1447.15	1322.37	669.92	336.79	1191.69	1081.39	928.3	1119.56	988.12	1721.16	830.75	1277.29	961.07	1477.58	2047.0	351.14	138.1	525.39	476.71	819.3	136.19	480.04	336.79	514.56	470.14	361.04	134.3	543.96	271.48	242.88	253.23	239.52	395.18	226.54	1030.12	500.46	221.86	348.71	191.67	165.57	327.56	480.04	172.65	285.03	127.89	281.09	836.53	473.41	109.66	723.08	738.29	103.69	551.56	180.02	246.28	229.72	176.29	460.44	279.14	444.72	403.5
PDK2	3794.3	1709.26	1745.2	1950.0	2004.85	2090.03	2004.85	3491.39	2148.82	2720.15	967.76	2591.27	2061.24	1977.24	2148.82	1583.71	1617.0	2720.15	775.05	1991.0	1806.78	2090.03	3540.14	2796.65	3768.09	3146.52	2400.97	1769.57	1529.73	1745.2	381.68	426.57	532.74	1250.98	775.05	180.02	279.14	928.3	500.46	616.37	813.63	231.32	1477.58	220.32	684.02	301.33	460.44	1104.13	371.22	1088.92	1561.89	389.72	555.41	435.55	299.25	567.1	417.77	281.09	616.37	318.57	409.15	813.63	457.25	325.29	878.17	353.59	320.8	775.05	373.81	473.41	629.35	253.23	543.96	414.87	412.0	638.15
PDXP	186.4	361.04	417.77	567.1	426.57	540.19	647.07	334.46	830.75	854.13	195.72	314.17	579.04	346.29	473.41	325.29	607.87	366.09	135.24	363.56	669.92	796.86	684.02	376.41	435.55	325.29	674.59	346.29	616.37	217.27	145.02	75.11	105.15	162.14	119.26	32.36	134.3	98.73	120.94	185.11	264.03	105.89	127.89	178.77	93.35	94.67	48.18	185.11	45.85	161.02	172.65	61.25	28.24	114.36	101.54	96.01	45.21	34.75	138.1	69.52	87.65	26.1	94.67	49.91	10.16	72.01	154.42	316.37	46.5	28.45	126.12	105.89	98.73	59.13	32.36	31.9
PEPD	4769.75	2133.97	1709.26	3820.7	1757.34	1870.53	1529.73	1135.2	1709.26	2855.44	1378.57	1369.04	2720.15	1651.0	2835.7	2224.63	2777.33	2434.5	995.0	1832.01	5219.6	3018.3	7280.4	1977.24	3589.58	1437.15	2915.45	1259.69	3742.05	3168.41	2133.97	854.13	1639.59	1477.58	1909.85	583.07	3716.2	1359.57	2255.7	1794.29	1242.34	753.83	2720.15	769.69	1051.79	607.87	902.89	1427.22	1051.79	1498.22	1159.07	624.99	1313.23	1175.27	1044.52	1143.1	1487.87	1709.26	1572.76	587.13	665.29	1806.78	1167.14	748.61	1233.75	1359.57	599.49	2240.11	1233.75	974.5	1073.91	802.41	1369.04	1001.93	2209.26	1119.56
PET112	332.14	521.76	450.94	638.15	450.94	514.56	356.05	759.08	616.37	633.73	366.09	435.55	444.72	493.56	647.07	587.13	500.46	540.19	336.79	665.29	624.99	511.0	718.08	518.15	532.74	718.08	432.53	476.71	633.73	460.44	234.57	127.0	187.71	316.37	199.85	77.79	180.02	258.57	341.51	403.5	260.38	100.83	256.78	155.5	133.36	74.58	186.4	312.0	136.19	363.56	289.02	106.63	172.65	115.97	67.12	256.78	161.02	111.99	169.07	100.13	114.36	202.66	206.94	139.07	334.46	183.82	115.97	406.31	189.02	127.89	167.9	68.55	224.97	120.94	134.3	130.6
PGRMC1	4512.4	6607.01	3690.52	5112.16	5255.91	8840.04	8963.45	4358.66	11424.74	9025.81	3325.99	7180.15	3060.45	5006.93	5555.65	4607.24	6471.02	5329.3	3690.52	12329.98	3794.3	5791.62	13123.73	8305.36	6607.01	6294.04	4010.71	6381.92	4450.27	4575.41	3491.39	3690.52	2417.67	1225.22	2739.08	3614.55	2720.15	1508.65	2209.26	3303.0	2997.45	2400.97	1781.89	1844.76	2915.45	1819.35	1781.89	1369.04	2835.7	4038.61	2816.11	2287.2	2163.77	2163.77	2178.83	785.88	878.17	3168.41	2400.97	1674.06	1697.45	1617.0	3540.14	1540.37	2645.74	2271.4	1242.34	4328.55	1781.89	3443.31	2627.46	4450.27	860.08	2777.33	2335.28	2591.27
PHYH	1662.49	1073.91	1199.98	1051.79	1378.57	1175.27	1561.89	1437.15	1685.71	1870.53	493.56	1467.37	947.83	902.89	967.76	1313.23	1350.18	1467.37	232.94	2451.44	1322.37	1977.24	2855.44	1350.18	2209.26	1407.55	1651.0	1295.13	1605.83	1322.37	409.15	305.55	395.18	733.19	447.82	239.52	384.34	503.95	679.29	435.55	825.0	371.22	713.11	140.04	441.64	173.85	305.55	674.59	329.84	928.3	647.07	178.77	417.77	400.71	194.36	260.38	389.72	429.54	529.06	156.59	155.5	669.92	525.39	191.67	1051.79	346.29	291.04	954.43	246.28	420.68	599.49	258.57	559.28	438.59	409.15	414.87
PIGW	186.4	90.77	158.79	91.41	126.12	234.57	86.43	46.84	85.22	121.79	91.41	105.89	147.06	68.07	73.54	130.6	150.17	309.83	412.0	96.01	90.77	111.99	158.79	105.89	97.36	97.36	102.97	146.03	78.34	176.29	136.19	73.03	58.71	126.12	81.71	105.89	119.26	127.0	68.55	159.9	83.45	91.41	115.97	118.43	51.35	40.93	35.25	109.66	71.5	117.6	73.54	38.4	107.38	68.07	46.84	98.04	64.8	94.67	80.57	91.41	57.89	88.26	109.66	88.88	193.01	49.56	82.29	269.6	50.27	61.25	59.55	52.08	45.53	88.26	65.72	58.3
PNPO	718.08	473.41	693.58	738.29	954.43	525.39	567.1	583.07	780.44	651.58	532.74	559.28	679.29	466.88	361.04	679.29	713.11	384.34	361.04	684.02	559.28	476.71	1051.79	1159.07	796.86	769.69	674.59	486.75	921.88	684.02	353.59	103.69	231.32	303.44	287.01	131.51	325.29	211.31	291.04	287.01	273.37	105.89	358.54	273.37	119.26	142.01	198.47	314.17	202.66	314.17	320.8	178.77	135.24	146.03	57.89	181.28	287.01	143.01	199.85	155.5	79.45	242.88	339.14	139.07	262.2	265.87	234.57	521.76	136.19	99.43	201.25	100.83	307.69	208.38	249.73	145.02
PREB	718.08	1923.14	1081.39	1662.49	1088.92	1407.55	1359.57	1073.91	1167.14	1857.6	1030.12	860.08	1175.27	1208.34	1407.55	1208.34	1529.73	909.17	1437.15	1896.65	1199.98	1111.82	1104.13	1529.73	1909.85	1104.13	896.64	1073.91	1286.18	1073.91	1208.34	620.67	748.61	878.17	791.35	551.56	896.64	878.17	1104.13	1096.5	909.17	409.15	819.3	1023.0	708.18	624.99	921.88	909.17	336.79	497.0	713.11	543.96	688.78	915.51	559.28	1143.1	555.41	329.84	1023.0	555.41	647.07	796.86	559.28	684.02	684.02	559.28	728.11	1277.29	642.59	490.14	616.37	447.82	684.02	713.11	473.41	470.14
QDPR	1467.37	1143.1	1081.39	1277.29	1313.23	1662.49	688.78	1081.39	1397.83	2104.58	674.59	1183.45	1135.2	1015.93	1304.15	1233.75	1519.15	1268.46	860.08	1745.2	1417.35	1340.84	1388.16	1304.15	2209.26	974.5	1073.91	1322.37	1508.65	1487.87	802.41	525.39	603.67	961.07	633.73	403.5	791.35	759.08	718.08	848.22	974.5	371.22	1378.57	387.02	612.11	299.25	435.55	728.11	457.25	1487.87	1487.87	332.14	551.56	497.0	536.45	587.13	507.46	587.13	915.51	297.17	346.29	896.64	698.41	444.72	1388.16	559.28	256.78	2032.85	373.81	878.17	708.18	387.02	764.36	603.67	688.78	473.41
RAB17	738.29	1769.57	1208.34	2104.58	813.63	1870.53	1781.89	1709.26	1059.11	2104.58	836.53	1844.76	1457.23	1127.35	1709.26	1088.92	3690.52	1467.37	713.11	1447.15	1519.15	1313.23	1844.76	1583.71	2434.5	928.3	1977.24	1159.07	1447.15	1135.2	201.25	269.6	1639.59	1322.37	651.58	358.54	497.0	1001.93	307.69	941.27	96.01	466.88	8479.89	420.68	2855.44	429.54	878.17	764.36	684.02	780.44	743.43	1617.0	279.14	178.77	244.57	186.4	1001.93	327.56	753.83	206.94	753.83	2591.27	629.35	221.86	1378.57	387.02	108.9	1806.78	830.75	967.76	967.76	258.57	769.69	1096.5	244.57	603.67
RDH14	723.08	1167.14	665.29	819.3	698.41	1127.35	738.29	555.41	738.29	1015.93	536.45	629.35	698.41	587.13	718.08	713.11	1059.11	791.35	612.11	848.22	532.74	647.07	693.58	836.53	1111.82	624.99	764.36	728.11	1135.2	738.29	197.09	595.34	769.69	423.61	902.89	371.22	921.88	579.04	571.05	813.63	878.17	733.19	480.04	273.37	703.28	607.87	332.14	796.86	432.53	1183.45	753.83	466.88	339.14	511.0	457.25	463.65	417.77	525.39	718.08	607.87	371.22	466.88	540.19	1167.14	1191.69	503.95	579.04	1407.55	444.72	500.46	808.0	651.58	429.54	738.29	713.11	559.28
RETSAT	1745.2	2090.03	902.89	2178.83	1250.98	1617.0	2119.22	2178.83	1216.75	2075.59	429.54	1242.34	708.18	1111.82	1216.75	1508.65	2224.63	1175.27	460.44	941.27	1233.75	1268.46	2004.85	1417.35	1794.29	1844.76	1870.53	1081.39	1781.89	1233.75	587.13	466.88	830.75	961.07	738.29	277.2	497.0	660.68	679.29	902.89	967.76	417.77	1685.71	400.71	656.11	351.14	665.29	1159.07	490.14	842.36	819.3	429.54	624.99	406.31	291.04	567.1	759.08	543.96	591.22	316.37	420.68	961.07	591.22	563.18	1427.22	559.28	271.48	1259.69	647.07	688.78	587.13	343.89	884.29	759.08	884.29	497.0
RMND1	392.44	738.29	679.29	688.78	559.28	460.44	819.3	397.93	571.05	1551.09	295.11	1233.75	1030.12	872.1	500.46	348.71	647.07	909.17	395.18	1794.29	480.04	571.05	1697.45	854.13	1216.75	583.07	967.76	366.09	1277.29	490.14	131.51	125.24	164.42	403.5	258.57	72.01	214.27	205.5	277.2	320.8	325.29	154.42	255.0	115.16	153.34	92.7	127.0	262.2	110.43	366.09	323.03	98.73	173.85	158.79	59.97	236.21	183.82	110.43	126.12	62.56	65.26	291.04	193.01	142.01	540.19	189.02	167.9	417.77	152.28	111.99	162.14	87.65	248.0	136.19	201.25	159.9
SDHC	4671.57	4869.99	4038.61	4123.49	5751.61	2758.13	3928.15	3325.99	8963.45	5219.6	4328.55	5219.6	5872.48	4903.87	3419.52	4298.64	4575.41	4736.79	3039.3	10368.08	2855.44	3146.52	4481.23	7081.29	4152.18	3491.39	3820.7	4769.75	6164.49	4639.29	3124.78	1135.2	2271.4	1936.53	2875.3	1709.26	2193.99	2224.63	2796.65	1870.53	1950.0	1233.75	2573.36	1909.85	1199.98	769.69	1350.18	2090.03	2451.44	2739.08	1709.26	1277.29	2090.03	1233.75	872.1	1551.09	1447.15	2148.82	1909.85	1119.56	1037.29	2485.67	3190.46	1331.57	4038.61	2032.85	2061.24	4388.98	1378.57	2004.85	1583.71	830.75	2090.03	1733.13	2573.36	1909.85
SEC14L6	1073.91	819.3	974.5	503.95	728.11	1111.82	1277.29	1551.09	423.61	1250.98	400.71	660.68	1477.58	441.64	633.73	403.5	785.88	432.53	607.87	329.84	620.67	708.18	267.73	536.45	406.31	323.03	503.95	733.19	279.14	343.89	142.01	275.28	525.39	1015.93	595.34	56.28	343.89	149.12	103.69	738.29	329.84	18.16	511.0	75.64	275.28	19.53	902.89	301.33	119.26	102.97	674.59	470.14	17.38	87.65	25.54	100.83	490.14	35.25	110.43	21.16	36.01	180.02	109.66	45.21	1605.83	182.55	53.57	1175.27	348.71	409.15	89.51	90.14	116.78	775.05	166.73	89.51
SFXN4	529.06	1081.39	1250.98	947.83	525.39	728.11	688.78	723.08	674.59	796.86	503.95	780.44	708.18	764.36	587.13	656.11	414.87	1008.9	376.41	1111.82	934.76	769.69	1044.52	753.83	743.43	860.08	473.41	563.18	909.17	490.14	246.28	131.51	234.57	305.55	267.73	146.03	271.48	218.79	346.29	454.09	281.09	125.24	228.13	173.85	149.12	108.9	155.5	490.14	90.14	191.67	332.14	105.15	108.14	178.77	114.36	199.85	191.67	135.24	148.09	99.43	132.44	187.71	232.94	181.28	267.73	143.01	150.17	463.65	110.43	144.01	100.13	84.63	293.07	123.5	120.1	120.1
SLC16A13	277.2	97.36	217.27	387.02	155.5	236.21	432.53	256.78	255.0	791.35	98.73	283.05	78.34	379.04	325.29	175.07	563.18	81.14	91.41	125.24	490.14	265.87	571.05	246.28	447.82	269.6	381.68	128.79	651.58	176.29	80.57	31.22	59.13	136.19	86.43	31.45	48.18	75.11	45.85	82.29	43.32	59.97	154.42	72.01	105.89	127.89	126.12	134.3	44.25	40.36	70.51	122.64	52.08	42.71	50.98	57.08	60.82	38.12	51.71	102.97	108.9	58.71	49.56	25.17	71.0	61.25	54.33	258.57	70.51	68.55	75.64	40.36	25.72	90.14	48.18	57.89
SLC22A13	17.13	2.32	5.23	14.14	48.52	4.39	8.38	1.04	57.49	85.22	9.2	27.84	146.03	44.25	34.26	15.56	111.99	115.16	0.73	40.36	7.88	35.76	78.34	79.45	42.41	27.64	38.95	88.26	18.16	57.49	0.65	0.67	0.0	0.34	1.25	1.43	0.0	0.62	0.16	3.86	0.32	1.3	0.34	0.65	3.53	0.11	0.14	1.46	0.0	0.0	0.29	3.41	0.53	0.51	1.71	0.27	1.81	1.16	0.0	1.91	1.51	1.13	0.72	1.48	0.13	3.03	0.49	0.29	1.71	0.88	0.0	2.84	0.6	1.85	0.58	0.58
SLC25A10	961.07	412.0	406.31	860.08	314.17	525.39	480.04	718.08	447.82	1111.82	239.52	409.15	599.49	441.64	305.55	587.13	616.37	540.19	198.47	583.07	1183.45	988.12	1037.29	497.0	896.64	808.0	529.06	234.57	507.46	674.59	117.6	56.68	159.9	190.34	265.87	101.54	86.43	291.04	178.77	197.09	157.68	43.94	260.38	283.05	67.59	49.56	71.5	366.09	75.64	151.22	128.79	126.12	102.97	89.51	58.3	87.03	100.13	77.79	77.79	47.5	54.72	163.28	417.77	63.89	165.57	62.12	38.12	223.41	74.58	37.85	123.5	40.93	106.63	66.18	40.36	151.22
SLC25A48	260.38	82.29	148.09	287.01	158.79	83.45	423.61	113.56	941.27	490.14	61.68	175.07	96.01	141.02	981.29	703.28	190.34	264.03	22.75	265.87	547.75	759.08	785.88	141.02	155.5	395.18	400.71	327.56	299.25	58.71	0.0	0.0	0.0	1.22	0.0	0.0	0.57	0.0	0.0	43.63	0.0	2.01	0.0	12.93	0.0	0.0	0.0	2.78	0.0	0.0	0.51	0.0	5.59	0.0	0.0	1.01	0.0	0.0	0.0	14.24	2.46	0.0	3.63	0.0	0.57	0.0	0.0	339.14	0.0	0.0	896.64	0.0	2.18	4.21	4.94	2.12
SLC35F5	1388.16	1896.65	878.17	974.5	1044.52	2018.8	1295.13	1135.2	842.36	2271.4	796.86	860.08	759.08	769.69	759.08	1135.2	2104.58	1268.46	961.07	1388.16	854.13	1225.22	988.12	1199.98	2720.15	743.43	1066.48	1104.13	1304.15	1819.35	521.76	457.25	603.67	525.39	457.25	521.76	733.19	796.86	728.11	674.59	417.77	339.14	167.9	429.54	603.67	688.78	329.84	518.15	633.73	860.08	629.35	285.03	351.14	620.67	166.73	813.63	486.75	555.41	309.83	454.09	764.36	412.0	759.08	540.19	1540.37	395.18	575.03	460.44	769.69	463.65	438.59	316.37	403.5	387.02	460.44	447.82
SLC35F6	684.02	1529.73	802.41	1605.83	1662.49	1159.07	1551.09	934.76	1199.98	1896.65	808.0	620.67	1151.06	909.17	813.63	1111.82	1639.59	1135.2	848.22	1151.06	1331.57	1259.69	1427.22	1617.0	2061.24	1350.18	660.68	1037.29	1191.69	1551.09	460.44	186.4	279.14	444.72	384.34	279.14	441.64	476.71	497.0	432.53	417.77	361.04	769.69	540.19	273.37	232.94	269.6	507.46	295.11	332.14	361.04	253.23	346.29	303.44	283.05	395.18	432.53	466.88	348.71	246.28	249.73	384.34	348.71	463.65	429.54	316.37	392.44	693.58	249.73	309.83	358.54	281.09	642.59	420.68	373.81	293.07
SLC3A1	20737.16	15392.14	6381.92	17437.64	16269.83	27174.14	10440.2	18689.27	17197.56	31870.96	5219.6	19482.97	9409.14	8191.0	13215.02	8363.13	28923.41	14163.58	915.51	21320.18	6840.04	14765.09	30572.63	18950.18	30785.28	17927.91	15824.9	19482.97	14461.21	13215.02	2.25	5.73	8.65	3.89	6.16	7.82	3.79	2.66	4.21	5.5	3.69	13.22	2.66	14.35	11.38	9.06	10.63	3.17	5.02	9.85	4.24	14.56	0.87	12.74	2.76	15.0	24.81	10.0	7.63	14.03	18.16	8.78	6.84	12.0	5.23	6.16	32.13	7.06	5.92	7.46	18.29	6.73	22.43	7.63	7.11	7.11
SLC5A10	1397.83	1437.15	1143.1	1781.89	1936.53	1457.23	2287.2	1508.65	2591.27	3168.41	265.87	1794.29	2976.74	2701.35	738.29	934.76	2271.4	2434.5	37.32	3395.89	1697.45	2720.15	2367.9	1883.54	3280.18	2090.03	1639.59	2319.15	1127.35	480.04	2.41	5.41	4.98	8.58	3.08	1.87	2.43	12.93	2.68	6.62	6.89	2.58	6.16	4.31	5.23	11.38	6.21	5.59	2.25	4.74	9.2	5.15	5.32	6.31	0.64	11.64	2.23	2.18	11.73	5.5	5.23	4.94	0.38	12.0	3.79	4.58	3.79	0.71	7.17	6.21	6.57	4.7	1.77	4.31	4.74	1.23
SLC5A12	2591.27	44.25	1519.15	1487.87	796.86	4010.71	2303.12	2573.36	1008.9	1295.13	432.53	2163.77	22.75	1088.92	1651.0	373.81	6037.61	2119.22	59.97	189.02	5479.15	1340.84	4095.0	4607.24	4210.15	775.05	190.34	220.32	117.6	1119.56	0.0	0.51	0.54	0.0	17.13	0.58	0.0	0.44	0.71	9.2	2.61	0.65	0.0	0.0	0.57	0.0	0.59	6.41	0.0	0.0	14.78	0.0	0.6	12.93	0.0	1.22	0.0	0.71	9.48	0.56	1.36	0.0	30.12	5.23	1.51	5.87	0.0	0.0	0.54	0.0	0.0	7.82	1.85	0.0	1.75	0.0
SLC7A9	848.22	244.57	441.64	878.17	836.53	642.59	748.61	934.76	423.61	1259.69	170.25	346.29	454.09	540.19	368.65	493.56	1127.35	269.6	70.01	571.05	693.58	353.59	808.0	624.99	708.18	429.54	540.19	327.56	348.71	457.25	0.27	6.57	0.32	9.34	2.27	8.99	4.98	19.25	1.43	1.25	10.0	0.0	5.28	0.0	15.8	3.23	17.38	23.08	1.33	3.96	45.85	4.28	7.69	12.93	0.0	2.86	4.7	0.83	21.63	1.6	4.17	2.66	3.89	4.5	7.28	2.61	1.0	0.0	2.36	2.84	2.56	0.01	2.16	1.71	2.29	2.1
SPR	647.07	3257.52	1059.11	2645.74	854.13	2090.03	1561.89	1259.69	1529.73	1883.54	791.35	728.11	1487.87	1119.56	2004.85	1191.69	1685.71	1066.48	748.61	1250.98	1447.15	1044.52	2777.33	1397.83	2367.9	1617.0	1295.13	1037.29	2796.65	1369.04	595.34	258.57	503.95	642.59	521.76	145.02	567.1	483.38	607.87	480.04	733.19	158.79	872.1	400.71	507.46	426.57	674.59	612.11	307.69	463.65	620.67	397.93	323.03	269.6	202.66	180.02	454.09	212.78	473.41	191.67	217.27	432.53	543.96	162.14	536.45	361.04	162.14	1159.07	336.79	208.38	470.14	242.88	336.79	353.59	368.65	395.18
ST7	674.59	708.18	753.83	890.44	551.56	1051.79	1268.46	438.59	813.63	1135.2	444.72	728.11	503.95	543.96	718.08	633.73	698.41	684.02	511.0	830.75	775.05	860.08	1295.13	753.83	1369.04	748.61	753.83	612.11	743.43	759.08	633.73	743.43	921.88	775.05	1001.93	438.59	688.78	480.04	438.59	785.88	769.69	708.18	1697.45	361.04	1001.93	384.34	651.58	575.03	460.44	902.89	769.69	497.0	473.41	507.46	514.56	400.71	802.41	497.0	780.44	303.44	406.31	842.36	825.0	490.14	909.17	493.56	392.44	1950.0	490.14	764.36	536.45	551.56	848.22	713.11	769.69	532.74
TACO1	567.1	656.11	507.46	848.22	514.56	559.28	500.46	575.03	633.73	642.59	361.04	473.41	836.53	514.56	591.22	567.1	612.11	599.49	299.25	703.28	728.11	493.56	921.88	708.18	698.41	733.19	587.13	392.44	1208.34	583.07	199.85	110.43	231.32	381.68	299.25	129.69	223.41	339.14	299.25	384.34	327.56	70.51	397.93	231.32	129.69	135.24	162.14	373.81	124.37	366.09	320.8	95.34	182.55	131.51	94.01	312.0	158.79	175.07	157.68	107.38	123.5	256.78	262.2	182.55	336.79	150.17	205.5	457.25	128.79	118.43	163.28	85.22	209.84	211.31	117.6	127.0
TINAG	921.88	2319.15	769.69	1268.46	1781.89	620.67	1923.14	137.14	1733.13	2777.33	624.99	1304.15	3325.99	1044.52	825.0	753.83	2075.59	1159.07	343.89	2935.74	981.29	1135.2	3372.43	2104.58	2287.2	1350.18	842.36	1769.57	1551.09	1104.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.15	0.0	0.0	9.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM150A	693.58	819.3	532.74	1015.93	490.14	651.58	934.76	934.76	567.1	872.1	466.88	669.92	406.31	764.36	718.08	567.1	796.86	759.08	642.59	866.07	748.61	660.68	791.35	1208.34	1304.15	718.08	476.71	571.05	665.29	775.05	277.2	624.99	567.1	836.53	429.54	1081.39	483.38	483.38	251.48	629.35	363.56	511.0	1447.15	1191.69	397.93	301.33	363.56	753.83	567.1	180.02	450.94	323.03	928.3	486.75	1757.34	299.25	1051.79	651.58	575.03	423.61	285.03	332.14	327.56	1135.2	221.86	271.48	450.94	603.67	323.03	595.34	493.56	332.14	1191.69	529.06	688.78	237.86
TMEM17	121.79	96.01	51.71	75.64	161.02	88.88	109.66	115.16	45.85	145.02	91.41	58.3	102.97	57.08	57.89	85.82	109.66	126.12	85.22	86.43	50.63	62.12	149.12	65.26	139.07	98.04	83.45	113.56	127.0	78.34	41.52	20.41	53.19	62.56	70.01	42.71	19.68	85.82	55.1	62.12	90.14	13.62	68.55	38.67	14.03	15.8	30.78	108.9	32.59	191.67	108.9	23.93	34.51	20.41	21.01	48.87	33.06	36.79	24.46	10.71	10.71	48.87	167.9	33.06	103.69	23.42	13.62	107.38	26.1	44.57	33.06	31.9	31.0	30.78	19.39	32.82
TMEM171	507.46	563.18	616.37	447.82	497.0	642.59	1457.23	848.22	723.08	555.41	110.43	583.07	1127.35	376.41	392.44	915.51	327.56	334.46	12.45	854.13	947.83	656.11	1159.07	759.08	656.11	277.2	547.75	693.58	480.04	529.06	3.69	2.58	13.72	5.02	6.46	4.06	0.07	48.87	7.11	4.39	10.88	3.41	4.5	7.11	1.99	4.46	9.13	3.76	4.24	23.93	6.73	13.12	3.69	5.68	0.0	6.41	1.71	0.77	2.53	7.22	5.02	1.79	0.37	3.23	0.0	1.25	4.28	21.16	10.31	0.0	96.01	8.19	0.0	1.53	0.0	5.5
TMEM177	318.57	190.34	162.14	463.65	260.38	234.57	295.11	281.09	334.46	579.04	143.01	262.2	293.07	244.57	231.32	271.48	441.64	231.32	109.66	363.56	323.03	289.02	336.79	480.04	575.03	269.6	195.72	249.73	536.45	283.05	84.04	29.7	90.14	100.13	90.14	85.82	102.25	74.58	82.29	113.56	100.83	21.78	108.9	135.24	39.79	46.5	52.45	127.0	43.32	106.63	117.6	40.93	57.49	51.35	16.15	76.17	68.07	44.25	87.03	28.45	48.18	77.79	102.25	47.17	112.77	48.52	37.85	133.36	49.91	40.07	64.34	23.42	80.01	59.97	43.32	53.57
TMEM199	503.95	435.55	529.06	624.99	599.49	679.29	603.67	417.77	624.99	674.59	684.02	503.95	808.0	536.45	665.29	563.18	612.11	480.04	441.64	587.13	587.13	525.39	466.88	616.37	532.74	624.99	567.1	575.03	633.73	629.35	371.22	244.57	387.02	603.67	460.44	285.03	403.5	642.59	346.29	450.94	454.09	229.72	753.83	426.57	253.23	371.22	373.81	532.74	264.03	500.46	665.29	249.73	348.71	267.73	217.27	348.71	346.29	289.02	351.14	209.84	283.05	320.8	275.28	403.5	441.64	256.78	329.84	595.34	309.83	260.38	356.05	242.88	346.29	363.56	305.55	275.28
