	TCGA.E2.A3DX.01A.21R.A213.07	GTEX.ZF29.1926.SM.5S2P1	GTEX.Y8LW.1626.SM.5IFHX	GTEX.S4UY.0726.SM.4AD6X	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5502.01A.01R.1580.07
AC006449.1	490.14	1617.0	1674.06	1447.15	17.25	0.0	35.5	41.22	16.03	149.12	129.69	98.73	51.71	46.84	38.4	85.22	164.42	45.53	35.0	68.55	16.15	101.54	70.01	78.34	97.36	39.5	29.48	102.97	51.71	63.0	54.72	97.36	105.15	0.0	974.5	759.08	748.61	1175.27	708.18
AREL1	336.79	454.09	287.01	351.14	82.87	119.26	111.21	187.71	115.97	255.0	208.38	208.38	183.82	209.84	152.28	164.42	163.28	153.34	262.2	123.5	166.73	169.07	167.9	253.23	217.27	136.19	167.9	211.31	78.89	198.47	166.73	212.78	110.43	0.0	373.81	414.87	381.68	688.78	473.41
BCL2L2	587.13	1508.65	1081.39	1008.9	156.59	166.73	165.57	381.68	187.71	381.68	172.65	312.0	256.78	221.86	135.24	143.01	312.0	234.57	244.57	221.86	187.71	246.28	336.79	332.14	228.13	114.36	241.19	279.14	110.43	172.65	275.28	287.01	246.28	0.0	1250.98	1111.82	1350.18	1407.55	1508.65
BTAF1	353.59	1008.9	1030.12	583.07	93.35	118.43	84.04	139.07	103.69	277.2	228.13	198.47	173.85	138.1	182.55	96.01	366.09	120.1	267.73	107.38	47.5	218.79	201.25	169.07	264.03	35.0	124.37	373.81	46.18	214.27	92.05	141.02	90.77	0.0	511.0	267.73	339.14	346.29	348.71
DPY19L3	363.56	503.95	346.29	305.55	55.89	77.79	51.71	150.17	42.11	191.67	82.29	76.71	123.5	93.35	86.43	76.17	208.38	64.34	100.83	67.59	37.85	66.65	68.07	61.68	71.0	40.07	74.58	115.97	23.76	151.22	75.64	63.89	56.68	75.11	563.18	555.41	563.18	403.5	563.18
ELK1	890.44	698.41	674.59	708.18	351.14	351.14	336.79	551.56	525.39	753.83	476.71	718.08	743.43	595.34	384.34	412.0	620.67	400.71	684.02	420.68	426.57	583.07	599.49	532.74	693.58	409.15	518.15	718.08	353.59	540.19	395.18	698.41	483.38	633.73	780.44	665.29	738.29	713.11	802.41
EXTL3	297.17	346.29	214.27	327.56	39.79	54.33	66.65	125.24	70.51	199.85	99.43	151.22	156.59	139.07	72.01	99.43	150.17	92.7	107.38	83.45	85.82	126.12	177.53	164.42	133.36	63.45	115.16	141.02	20.56	102.97	97.36	162.14	146.03	0.0	273.37	251.48	283.05	256.78	353.59
FAM168B	1304.15	1936.53	1313.23	1991.0	297.17	291.04	258.57	591.22	460.44	660.68	543.96	684.02	759.08	435.55	301.33	412.0	647.07	381.68	587.13	281.09	325.29	620.67	723.08	759.08	902.89	312.0	466.88	802.41	273.37	638.15	371.22	769.69	389.72	0.0	1697.45	1096.5	1044.52	1378.57	1322.37
HMGXB3	543.96	769.69	435.55	551.56	121.79	117.6	111.21	217.27	117.6	361.04	153.34	218.79	145.02	119.26	158.79	104.42	346.29	134.3	341.51	128.79	114.36	152.28	122.64	193.01	197.09	119.26	106.63	217.27	78.89	152.28	95.34	186.4	187.71	0.0	1015.93	775.05	629.35	802.41	808.0
ICA1	1015.93	988.12	791.35	647.07	25.17	55.1	269.6	85.22	332.14	651.58	361.04	127.89	39.22	59.13	334.46	55.89	665.29	93.35	343.89	239.52	11.64	603.67	825.0	463.65	329.84	271.48	316.37	529.06	20.41	258.57	253.23	387.02	100.83	0.0	1304.15	1487.87	1529.73	1662.49	1259.69
