	TCGA.FV.A3R3.01A.11R.A22L.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.DD.AACN.01A.11R.A41C.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.BC.A216.01A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	TCGA.D7.8578.01A.21R.2343.13	TCGA.BR.8286.01A.12R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.CD.8529.01A.11R.2343.13
ABCC10	329.84	486.75	197.09	289.02	334.46	432.53	698.41	232.94	432.53	616.37	620.67	591.22	587.13	228.13	423.61	341.51	267.73	48.87	42.71	80.01	67.59	139.07	159.9	118.43	309.83	101.54	122.64	111.99	72.01	90.77	87.03	94.67	144.01	141.02	114.36	58.3	161.02	96.68	75.11	159.9	291.04	109.66	103.69	132.44	37.59	145.02	384.34	387.02	486.75	470.14	518.15	500.46	2682.69	470.14	567.1	397.93
ANKIB1	146.03	185.11	170.25	211.31	154.42	231.32	209.84	195.72	166.73	171.45	303.44	186.4	173.85	166.73	460.44	171.45	170.25	121.79	80.01	103.69	63.0	110.43	83.45	88.26	146.03	112.77	264.03	178.77	131.51	182.55	57.49	92.05	92.05	172.65	144.01	52.45	120.1	146.03	157.68	125.24	77.25	130.6	149.12	81.71	42.41	101.54	587.13	285.03	669.92	728.11	414.87	511.0	909.17	493.56	463.65	507.46
ANKRD52	124.37	195.72	171.45	246.28	104.42	171.45	314.17	201.25	226.54	226.54	525.39	212.78	264.03	293.07	392.44	197.09	275.28	36.01	77.25	39.5	58.71	40.36	53.95	39.5	98.04	62.56	26.67	52.45	37.32	55.49	39.5	48.18	48.87	42.71	78.89	43.02	67.12	46.5	35.76	88.26	84.04	35.76	31.45	48.87	12.64	63.45	547.75	540.19	633.73	514.56	423.61	511.0	547.75	511.0	376.41	503.95
AP4M1	165.57	409.15	199.85	305.55	169.07	351.14	249.73	273.37	343.89	301.33	400.71	323.03	281.09	400.71	392.44	255.0	228.13	186.4	60.39	65.72	95.34	115.16	127.89	116.78	136.19	72.52	113.56	120.1	102.25	91.41	90.14	120.1	161.02	167.9	129.69	70.01	291.04	155.5	143.01	96.68	226.54	150.17	116.78	122.64	87.03	88.88	616.37	441.64	500.46	460.44	633.73	518.15	460.44	395.18	540.19	309.83
APOC2	253213.41	209994.66	360589.03	175363.84	290865.98	93974.69	145432.49	208544.12	156954.93	146444.06	27553.49	161367.56	164758.26	185362.8	1023.0	141455.6	207103.59	408505.64	741454.2	593956.43	489177.0	805764.22	320506.81	469249.9	506427.83	411347.03	1355129.16	334117.42	1412675.8	663619.99	313910.86	402881.61	610654.84	414208.18	405683.88	932018.1	654483.73	422911.59	783730.52	475800.4	434801.29	348306.01	834179.46	598087.73	90773.53	434801.29	387.02	64.8	231.32	79.45	91.41	493.56	88.88	651.58	1015.93	409.15
AREL1	269.6	229.72	218.79	281.09	162.14	205.5	285.03	291.04	181.28	211.31	279.14	256.78	309.83	151.22	397.93	164.42	289.02	89.51	138.1	82.29	115.97	120.94	100.83	145.02	209.84	155.5	76.71	73.54	130.6	164.42	142.01	131.51	94.01	94.67	162.14	71.0	111.21	95.34	63.0	151.22	197.09	84.04	84.63	79.45	78.89	198.47	571.05	325.29	660.68	579.04	346.29	381.68	775.05	674.59	358.54	373.81
BCL9L	353.59	198.47	85.22	507.46	283.05	371.22	607.87	189.02	271.48	363.56	748.61	363.56	409.15	279.14	1250.98	297.17	299.25	108.9	138.1	155.5	82.87	49.21	127.89	59.13	131.51	271.48	138.1	248.0	34.02	226.54	84.04	48.52	113.56	113.56	547.75	100.83	162.14	84.04	134.3	194.36	150.17	67.59	74.58	110.43	72.52	72.01	1111.82	507.46	1127.35	1199.98	1359.57	981.29	1832.01	896.64	1467.37	708.18
BOD1L1	214.27	221.86	176.29	341.51	312.0	395.18	318.57	248.0	265.87	234.57	555.41	275.28	224.97	262.2	384.34	251.48	198.47	351.14	69.03	129.69	108.14	124.37	193.01	143.01	128.79	161.02	122.64	195.72	72.52	139.07	182.55	82.29	152.28	366.09	163.28	69.03	301.33	194.36	186.4	412.0	81.71	96.01	63.0	100.13	52.08	214.27	454.09	363.56	780.44	395.18	698.41	559.28	638.15	708.18	493.56	429.54
BPGM	265.87	384.34	339.14	329.84	320.8	305.55	332.14	423.61	325.29	438.59	599.49	379.04	291.04	368.65	713.11	314.17	173.85	215.77	232.94	185.11	220.32	143.01	152.28	158.79	185.11	164.42	212.78	137.14	185.11	293.07	158.79	150.17	104.42	152.28	202.66	199.85	152.28	127.89	119.26	91.41	231.32	189.02	112.77	169.07	155.5	178.77	480.04	314.17	271.48	327.56	301.33	273.37	291.04	336.79	295.11	267.73
C12orf4	91.41	110.43	85.22	175.07	108.9	130.6	211.31	119.26	127.89	147.06	144.01	121.79	108.14	117.6	151.22	84.04	193.01	45.53	82.87	49.56	100.13	76.71	94.67	60.39	153.34	63.89	67.12	41.22	28.65	79.45	36.01	47.84	31.45	73.54	82.87	72.52	71.5	37.05	49.91	72.01	101.54	111.21	57.49	39.5	14.24	76.71	217.27	195.72	232.94	232.94	277.2	204.07	217.27	327.56	332.14	258.57
