	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.XYKS.0526.SM.4BRW2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.SE5C.0526.SM.2XCE1	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ABR	629.35	0.0	1.03	2018.8	2224.63	607.87	1313.23	1397.83	1322.37	1757.34	1191.69	1605.83	2956.17	1685.71	2271.4	1183.45	1781.89	1508.65	1923.14	1639.59
ABT1	269.6	0.0	0.21	583.07	432.53	536.45	591.22	583.07	575.03	647.07	500.46	624.99	624.99	595.34	607.87	540.19	409.15	575.03	547.75	599.49
ARFGAP1	384.34	0.0	1.1	651.58	521.76	1651.0	1819.35	536.45	738.29	1073.91	473.41	397.93	713.11	802.41	1001.93	551.56	438.59	603.67	555.41	432.53
ARFIP2	486.75	0.0	0.95	1111.82	633.73	1819.35	3589.58	928.3	723.08	1208.34	543.96	669.92	1199.98	1104.13	1583.71	1023.0	591.22	934.76	791.35	902.89
ARHGDIA	5219.6	7589.61	1909.85	9409.14	7589.61	12415.75	18178.19	5006.93	8840.04	11189.6	5995.9	7911.95	11584.24	7382.04	12676.65	7803.01	5112.16	10154.69	5751.61	10084.54
ARID5A	199.85	0.0	0.0	1757.34	728.11	1781.89	638.15	371.22	738.29	1529.73	454.09	607.87	1674.06	713.11	1397.83	607.87	339.14	497.0	748.61	1051.79
ARMC5	76.71	0.0	0.21	316.37	159.9	181.28	507.46	242.88	341.51	262.2	180.02	236.21	406.31	312.0	529.06	157.68	236.21	163.28	285.03	214.27
ATG2A	140.04	0.0	0.28	220.32	251.48	497.0	149.12	161.02	187.71	271.48	140.04	208.38	291.04	256.78	253.23	158.79	212.78	173.85	175.07	176.29
BAP1	603.67	0.0	1.06	1457.23	1295.13	4181.07	1794.29	629.35	1331.57	1639.59	954.43	915.51	1397.83	1151.06	1697.45	1233.75	884.29	603.67	1304.15	947.83
BCL3	941.27	0.0	0.0	3235.01	1073.91	3491.39	1447.15	656.11	1477.58	4239.45	961.07	1143.1	3146.52	1250.98	3372.43	1674.06	518.15	813.63	1519.15	2061.24
BIN3	348.71	0.0	0.67	909.17	283.05	1883.54	514.56	470.14	529.06	909.17	316.37	397.93	825.0	429.54	878.17	371.22	435.55	336.79	599.49	1081.39
C10orf115	0.0	0.0	0.0	48.87	28.86	9.06	50.63	5.68	44.89	32.59	16.03	14.78	84.63	18.43	81.71	37.59	32.13	14.03	49.91	62.12
C9orf89	327.56	0.0	0.51	587.13	447.82	1008.9	603.67	470.14	684.02	759.08	466.88	426.57	775.05	743.43	1044.52	647.07	395.18	500.46	551.56	607.87
CDC37	1769.57	0.0	0.61	3060.45	3039.3	5006.93	4937.99	2255.7	3589.58	3491.39	2224.63	2520.38	3325.99	2796.65	5995.9	2163.77	1963.57	2895.31	2796.65	3564.78
CENPT	183.82	0.0	1.17	684.02	273.37	444.72	808.0	318.57	612.11	718.08	323.03	438.59	1044.52	595.34	624.99	379.04	417.77	189.02	466.88	435.55
CORO7	191.67	0.0	0.83	493.56	343.89	1216.75	775.05	325.29	620.67	656.11	277.2	366.09	780.44	392.44	728.11	514.56	318.57	373.81	406.31	323.03
CPSF4	202.66	0.0	0.96	332.14	358.54	1208.34	679.29	376.41	417.77	647.07	361.04	351.14	438.59	543.96	733.19	392.44	490.14	381.68	384.34	299.25
CSNK1G2	420.68	0.0	0.66	791.35	808.0	1870.53	1519.15	463.65	713.11	819.3	559.28	624.99	967.76	693.58	1397.83	551.56	454.09	511.0	629.35	703.28
CSNK2B	2451.44	0.0	1.25	3419.52	3955.48	4450.27	3060.45	2335.28	3190.46	3280.18	2520.38	2777.33	4358.66	5112.16	6471.02	5076.84	2434.5	2148.82	2178.83	2875.3
CTRL	2.97	0.0	0.56	21.32	9.85	63.89	29.27	3.59	25.35	22.92	6.89	8.45	25.91	7.82	39.5	11.91	18.16	5.63	18.84	12.83
CXorf40B	384.34	0.0	0.77	500.46	423.61	1721.16	961.07	429.54	529.06	878.17	540.19	392.44	555.41	738.29	878.17	559.28	346.29	409.15	514.56	289.02
CXorf65	0.0	0.0	0.53	20.26	12.64	70.51	17.9	16.63	32.36	20.26	15.8	12.27	19.53	31.67	32.59	30.78	15.8	10.88	2.78	6.89
CYP4A22	0.39	0.0	0.0	4.17	2.23	11.73	3.0	1.64	0.77	5.28	2.56	2.2	1.68	6.57	4.78	0.93	1.55	2.03	3.06	0.15
DDX11	105.89	0.0	0.71	124.37	29.91	32.13	329.84	248.0	66.65	271.48	156.59	202.66	307.69	153.34	289.02	75.64	178.77	139.07	162.14	35.0
DHX38	327.56	0.0	1.03	1066.48	450.94	2835.7	1277.29	379.04	674.59	674.59	323.03	507.46	967.76	743.43	1216.75	460.44	493.56	476.71	579.04	603.67
DNM2	2004.85	2451.44	651.58	3515.68	2956.17	7230.1	4210.15	2777.33	1832.01	3665.02	2816.11	2682.69	2485.67	2664.15	3124.78	1757.34	1896.65	3467.27	2224.63	2384.37
DPH1	223.41	0.0	0.89	642.59	483.38	961.07	848.22	454.09	579.04	896.64	256.78	483.38	764.36	764.36	878.17	392.44	603.67	507.46	503.95	457.25
DUS1L	785.88	0.0	1.28	1963.57	1662.49	3955.48	6079.61	967.76	1639.59	4066.71	1277.29	1175.27	2400.97	1757.34	3060.45	1963.57	1066.48	1378.57	1487.87	1359.57
DVL3	493.56	0.0	1.39	483.38	309.83	1378.57	1167.14	211.31	307.69	547.75	265.87	281.09	753.83	748.61	1008.9	463.65	307.69	438.59	575.03	170.25
ELAC2	753.83	0.0	0.58	769.69	698.41	902.89	1015.93	703.28	587.13	890.44	660.68	651.58	743.43	563.18	934.76	728.11	860.08	698.41	713.11	656.11
EML3	351.14	0.0	1.03	713.11	633.73	1216.75	1233.75	395.18	802.41	995.0	351.14	483.38	995.0	738.29	928.3	633.73	647.07	441.64	1111.82	620.67
ERF	397.93	0.0	0.44	688.78	493.56	1709.26	642.59	356.05	842.36	660.68	423.61	647.07	928.3	708.18	915.51	281.09	591.22	511.0	866.07	559.28
FAM160B2	305.55	0.0	1.19	291.04	373.81	555.41	1143.1	441.64	638.15	902.89	373.81	351.14	665.29	473.41	1030.12	303.44	607.87	336.79	713.11	423.61
FAM170B	0.0	0.0	0.0	0.77	0.77	0.99	0.95	0.0	0.0	3.08	0.0	0.72	1.5	0.0	1.62	0.0	1.25	0.0	0.72	0.0
FAM209A	0.0	0.0	0.45	4.9	2.41	36.79	15.91	2.97	7.94	1.57	3.66	3.5	9.63	8.85	11.3	11.13	2.32	1.45	4.31	0.83
FPGS	612.11	0.0	0.89	1721.16	1313.23	1936.53	1806.78	723.08	967.76	947.83	647.07	647.07	1457.23	1437.15	2018.8	1183.45	764.36	1331.57	1397.83	1175.27
GAK	525.39	0.0	1.2	703.28	934.76	2224.63	3039.3	961.07	1594.73	2163.77	575.03	620.67	1143.1	1167.14	1457.23	525.39	708.18	1051.79	1001.93	647.07
HAUS7	231.32	0.0	0.77	287.01	323.03	599.49	536.45	236.21	341.51	620.67	320.8	363.56	529.06	206.94	441.64	400.71	212.78	267.73	470.14	256.78
HES4	32.13	0.0	0.58	112.77	105.89	78.89	212.78	57.08	140.04	167.9	47.84	125.24	185.11	211.31	209.84	37.59	40.64	48.87	106.63	67.59
HIC1	145.02	0.0	0.39	463.65	106.63	483.38	171.45	55.1	232.94	242.88	122.64	80.57	358.54	334.46	417.77	108.9	57.49	100.83	119.26	279.14
KAT8	417.77	0.0	1.0	967.76	872.1	3018.3	1295.13	1191.69	1023.0	1051.79	532.74	909.17	1617.0	1111.82	1709.26	934.76	941.27	1001.93	1167.14	753.83
KCNT1	1.1	0.0	0.54	4.24	3.11	6.26	12.64	4.94	1.69	12.09	0.34	2.61	7.28	1.51	5.82	0.16	5.02	3.5	7.34	1.14
KRT81	0.37	0.0	0.22	9.85	2.48	10.39	9.41	0.01	2.76	59.13	0.0	8.65	51.35	6.11	41.52	1.55	1.68	0.0	4.39	0.0
KRTAP5-8	0.0	0.0	0.08	2.48	1.69	4.13	10.0	0.0	3.47	6.11	3.56	1.3	6.62	2.71	5.82	0.03	0.0	1.27	4.21	0.54
LRRC7	10.96	0.0	0.21	12.09	1.25	4.43	2.12	1.41	2.78	3.66	0.82	1.62	17.13	4.66	17.64	3.99	7.11	6.73	3.14	2.2
