	TCGA.L5.A88W.01A.11R.A354.31	GTEX.S4P3.0426.SM.4AD56	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7416.11A.01R.2081.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT
ABCC6	1.89	7.06	5.28	6.01	4.5	7.57	10.47	1259.69	2148.82	209.84	941.27	224.97	2997.45	3081.75	988.12	1757.34	1388.16	1437.15	1883.54	1870.53	3257.52	1199.98	1378.57	1467.37	1183.45	1583.71	679.29	1832.01	2720.15	2537.92	723.08	3303.0	2997.45	1844.76	2367.9	1008.9	0.0	0.26	15.0
ACOX2	320.8	139.07	34.51	126.12	11.04	19.68	26.67	7032.37	13306.94	307.69	2555.58	122.64	13968.57	10585.95	3124.78	12076.21	4010.71	4152.18	6935.54	9740.98	7280.4	2997.45	9279.58	3794.3	4704.07	9673.69	4123.49	2915.45	13872.08	10014.87	4736.79	8538.88	15607.02	6516.03	10440.2	3103.19	0.0	0.45	16.75
AGBL2	20.86	11.04	12.18	14.24	8.13	36.01	3.38	55.49	88.88	5.45	3.5	3.32	105.89	65.72	17.51	50.63	12.74	27.64	69.52	64.34	55.89	7.11	57.49	19.11	13.72	39.5	12.18	30.56	64.34	99.43	16.03	54.72	109.66	33.3	56.68	19.25	0.0	0.0	4.62
AGXT2	0.0	1.01	0.0	0.0	0.0	0.0	0.0	4512.4	4152.18	3.96	567.1	19.39	7589.61	11345.82	2400.97	17197.56	1277.29	20881.4	5831.91	9344.14	5672.41	1143.1	1977.24	890.44	1359.57	11584.24	842.36	6607.01	8078.22	7081.29	1769.57	29531.18	3564.78	3847.29	12589.08	1498.22	0.0	0.01	0.0
AMT	39.22	149.12	7.0	31.22	14.67	102.25	42.11	1896.65	2335.28	161.02	486.75	198.47	1819.35	2255.7	547.75	1697.45	656.11	679.29	688.78	1628.26	1487.87	620.67	1304.15	848.22	902.89	1378.57	633.73	656.11	2335.28	1277.29	769.69	1295.13	1977.24	1350.18	1487.87	567.1	0.0	0.99	11.21
ARHGEF40	62.56	115.16	105.89	115.97	141.02	87.03	65.26	825.0	1111.82	316.37	246.28	246.28	1183.45	974.5	293.07	842.36	403.5	387.02	595.34	638.15	1250.98	376.41	718.08	532.74	486.75	603.67	476.71	575.03	775.05	961.07	423.61	825.0	1059.11	417.77	684.02	376.41	0.0	0.8	98.73
BTBD16	11.3	0.0	2.1	0.57	8.85	2.25	1.91	126.12	320.8	45.21	54.33	30.34	59.13	195.72	63.89	172.65	33.78	129.69	50.63	94.01	205.5	69.03	59.13	28.04	19.25	32.59	20.11	191.67	343.89	30.34	31.22	384.34	71.0	65.26	323.03	23.76	0.0	0.23	7.17
C10orf25	5.28	4.31	3.56	8.99	3.23	5.11	1.91	74.06	45.85	38.12	26.47	33.06	61.68	38.12	37.05	64.34	28.04	62.12	94.01	72.01	63.89	66.18	72.01	35.5	60.39	71.5	36.53	41.52	75.64	78.34	44.25	106.63	41.22	50.63	86.43	44.89	0.0	0.01	1.33
C11orf85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34	14.67	2.27	0.09	0.0	17.64	18.03	2.97	8.65	8.78	0.96	17.38	5.5	5.96	3.66	8.32	0.96	0.0	8.32	6.57	4.06	54.72	23.42	3.63	23.25	7.46	7.34	16.39	12.55	0.0	0.05	0.85
C1orf228	12.36	16.63	5.15	13.83	5.41	17.38	3.23	86.43	387.02	105.15	33.54	12.64	249.73	187.71	38.95	150.17	28.65	62.12	346.29	113.56	327.56	42.71	62.12	36.01	26.67	71.0	23.59	152.28	215.77	406.31	29.06	387.02	148.09	60.82	269.6	43.02	0.0	0.46	3.66
C9orf96	4.66	7.88	5.96	7.4	7.75	7.57	7.28	22.43	41.22	10.63	14.03	11.3	79.45	40.64	11.38	30.34	23.59	36.79	12.74	23.59	59.13	10.63	29.91	19.25	29.27	33.78	7.17	23.08	50.63	62.56	14.45	50.63	40.07	16.75	27.64	17.77	0.0	0.17	5.5
CCDC38	0.0	4.03	0.52	0.46	1.97	0.45	0.0	55.89	61.68	6.01	1.93	4.1	68.55	17.64	14.14	167.9	10.88	27.84	65.26	23.08	42.11	10.79	16.03	8.38	15.56	31.0	3.82	14.78	49.56	111.99	15.0	43.02	22.59	14.56	79.45	35.76	0.0	0.04	0.0
CHST13	3.96	3.59	1.91	0.46	3.5	1.66	0.0	543.96	1159.07	228.13	291.04	93.35	909.17	1081.39	262.2	529.06	403.5	256.78	836.53	830.75	1096.5	327.56	708.18	309.83	656.11	447.82	285.03	493.56	1208.34	1015.93	571.05	860.08	1857.6	674.59	718.08	743.43	0.0	0.0	1.46
COQ10A	113.56	102.25	55.1	59.55	57.08	87.03	79.45	371.22	660.68	159.9	289.02	172.65	599.49	934.76	309.83	466.88	454.09	409.15	890.44	624.99	642.59	297.17	656.11	540.19	379.04	483.38	223.41	305.55	819.3	902.89	329.84	819.3	988.12	409.15	674.59	728.11	0.0	0.33	122.64
