	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0E1.11A.13R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0HA.11A.31R.A12P.07
ABL2	115.16	59.97	59.55	37.32	39.5	61.68	54.33	87.03	102.25	106.63	70.51	92.7	66.65	63.89	55.49	316.37	141.02	124.37	108.14	229.72	117.6	156.59	139.07
AC026310.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.39	0.0	0.0	0.0
AEBP2	389.72	258.57	283.05	206.94	371.22	305.55	159.9	356.05	171.45	343.89	366.09	503.95	303.44	220.32	202.66	708.18	674.59	543.96	665.29	1175.27	599.49	759.08	909.17
AL359693.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD26	115.16	108.9	31.0	28.86	38.67	85.82	89.51	51.71	64.34	74.06	50.63	47.84	44.25	42.11	67.12	205.5	103.69	109.66	97.36	199.85	46.5	147.06	164.42
ARID2	241.19	139.07	248.0	127.89	241.19	189.02	77.25	201.25	242.88	237.86	197.09	181.28	229.72	150.17	148.09	540.19	262.2	293.07	262.2	351.14	169.07	307.69	291.04
ARL5A	289.02	283.05	275.28	145.02	144.01	457.25	229.72	376.41	307.69	211.31	454.09	397.93	291.04	291.04	187.71	961.07	629.35	483.38	616.37	1119.56	543.96	669.92	620.67
ASTE1	127.0	119.26	113.56	105.15	71.5	108.9	90.77	142.01	94.01	170.25	140.04	125.24	97.36	128.79	108.14	281.09	234.57	190.34	172.65	255.0	171.45	198.47	212.78
ATF7IP	209.84	169.07	120.94	127.0	77.79	373.81	171.45	183.82	202.66	299.25	271.48	327.56	148.09	111.21	142.01	974.5	587.13	579.04	656.11	1073.91	332.14	579.04	693.58
ATRX	215.77	113.56	275.28	111.99	114.36	172.65	47.17	234.57	217.27	214.27	264.03	291.04	202.66	141.02	197.09	836.53	525.39	441.64	435.55	902.89	392.44	679.29	642.59
