	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.7069.01A.11R.2403.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.YB5E.0326.SM.5IFHU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC119673.1	253.23	204.07	599.49	1.07	293.07	232.94	638.15	872.1	289.02	507.46	866.07	417.77	830.75	283.05	954.43	928.3	1119.56	521.76	954.43	595.34	122.64	384.34	595.34	295.11	638.15	1015.93	480.04	890.44	525.39	11.38	0.0	0.87
AFG3L2	500.46	514.56	684.02	674.59	674.59	612.11	802.41	684.02	1388.16	334.46	1277.29	406.31	281.09	802.41	679.29	1844.76	1594.73	884.29	896.64	595.34	1427.22	1639.59	2193.99	651.58	1583.71	1286.18	1111.82	1519.15	559.28	1167.14	447.82	126.12
ALG5	603.67	466.88	713.11	775.05	555.41	463.65	1350.18	1709.26	1088.92	1369.04	2032.85	514.56	1359.57	967.76	1088.92	1191.69	1096.5	669.92	1051.79	1286.18	708.18	1096.5	1175.27	808.0	1457.23	1340.84	1151.06	1127.35	1250.98	1909.85	0.0	0.21
APOO	323.03	229.72	612.11	287.01	275.28	236.21	688.78	854.13	679.29	738.29	890.44	339.14	525.39	438.59	723.08	1088.92	1487.87	303.44	836.53	567.1	669.92	1583.71	1781.89	341.51	1639.59	1001.93	884.29	1242.34	441.64	708.18	0.0	0.18
ATP5C1	4512.4	3280.18	4575.41	1909.85	4298.64	3190.46	6745.86	7433.4	6887.62	7230.1	7537.18	4671.57	4836.35	5403.7	8479.89	8598.28	10154.69	5366.37	8778.97	5633.22	4972.34	8718.32	11827.67	3742.05	10225.32	10808.41	6699.25	8598.28	4450.27	9876.98	0.0	1.0
ATPAF1	323.03	420.68	669.92	403.5	563.18	693.58	1806.78	1096.5	1909.85	1467.37	2018.8	529.06	1073.91	1250.98	1378.57	2032.85	2645.74	854.13	2075.59	1331.57	2004.85	3540.14	4123.49	1119.56	3515.68	2682.69	1923.14	3168.41	1023.0	2520.38	0.0	0.12
ATRAID	1806.78	1127.35	2075.59	2855.44	1594.73	1551.09	7695.57	4769.75	2915.45	5292.48	6935.54	2895.31	3690.52	4704.07	6983.79	5112.16	6561.36	4575.41	6294.04	5219.6	2018.8	5517.27	5555.65	4066.71	5633.22	5633.22	5555.65	4802.93	4328.55	2796.65	0.0	0.95
C14orf159	255.0	124.37	281.09	376.41	185.11	432.53	1023.0	769.69	1268.46	1427.22	2104.58	921.88	679.29	1487.87	1651.0	1794.29	2193.99	743.43	1259.69	1242.34	1529.73	1883.54	1437.15	1143.1	2193.99	1963.57	1199.98	1369.04	902.89	214.27	0.0	0.62
C2orf15	204.07	186.4	251.48	209.84	262.2	241.19	669.92	1051.79	629.35	507.46	616.37	368.65	305.55	540.19	713.11	848.22	693.58	293.07	896.64	579.04	775.05	902.89	470.14	521.76	890.44	1143.1	921.88	638.15	423.61	599.49	0.0	0.45
C6orf203	114.36	155.5	255.0	195.72	176.29	201.25	480.04	825.0	595.34	595.34	603.67	232.94	212.78	381.68	503.95	785.88	954.43	346.29	642.59	379.04	441.64	769.69	1001.93	312.0	1183.45	688.78	518.15	791.35	318.57	547.75	0.0	0.0
C6orf57	65.72	76.71	99.43	92.05	94.01	76.71	281.09	409.15	285.03	429.54	316.37	217.27	297.17	232.94	376.41	356.05	559.28	387.02	466.88	316.37	406.31	476.71	703.28	249.73	470.14	497.0	346.29	417.77	172.65	154.42	0.0	0.14
CCDC51	246.28	314.17	400.71	218.79	420.68	325.29	934.76	476.71	384.34	353.59	575.03	373.81	395.18	392.44	638.15	1561.89	860.08	417.77	896.64	536.45	1081.39	647.07	1183.45	329.84	656.11	1030.12	647.07	802.41	336.79	376.41	583.07	271.48
CDKL3	23.08	15.34	18.43	15.34	9.56	23.59	85.22	111.99	58.3	27.84	104.42	29.7	54.72	57.49	92.05	68.55	101.54	48.52	83.45	48.18	102.25	73.54	93.35	43.32	79.45	84.04	97.36	62.12	43.63	27.25	0.0	0.24
CLYBL	18.84	35.25	40.36	71.5	45.21	48.52	743.43	1015.93	563.18	780.44	1208.34	81.71	187.71	688.78	921.88	1467.37	1059.11	134.3	1388.16	684.02	525.39	1023.0	1721.16	277.2	1437.15	1104.13	974.5	1135.2	343.89	896.64	0.0	0.45
CNBD2	1.27	0.0	0.38	2.05	1.45	1.3	5.28	10.71	3.82	4.24	4.31	1.68	1.79	4.35	5.11	7.17	6.31	2.12	2.86	1.68	4.58	10.24	9.7	1.64	10.88	2.32	4.39	7.57	1.17	1.58	0.0	0.0
COG2	147.06	125.24	228.13	275.28	138.1	236.21	460.44	476.71	447.82	343.89	450.94	339.14	414.87	457.25	417.77	457.25	371.22	293.07	638.15	460.44	412.0	540.19	457.25	470.14	450.94	507.46	384.34	426.57	414.87	119.26	0.0	0.14
COQ3	118.43	115.97	177.53	141.02	155.5	189.02	185.11	234.57	180.02	142.01	195.72	103.69	61.68	127.89	209.84	279.14	323.03	162.14	224.97	107.38	151.22	285.03	547.75	105.15	334.46	241.19	198.47	220.32	96.01	403.5	0.0	0.13
COQ6	258.57	251.48	346.29	500.46	228.13	309.83	785.88	414.87	525.39	703.28	791.35	470.14	587.13	651.58	698.41	1073.91	813.63	371.22	825.0	629.35	674.59	802.41	1359.57	521.76	718.08	1119.56	688.78	848.22	490.14	1096.5	0.0	0.14
COQ9	575.03	595.34	808.0	500.46	536.45	896.64	5041.77	4388.98	1594.73	2956.17	5751.61	1277.29	1151.06	2335.28	5831.91	4210.15	11584.24	1628.26	6426.31	2384.37	2148.82	3540.14	5112.16	2303.12	4268.94	7857.29	4152.18	2502.97	1639.59	1322.37	0.0	0.1
COX5B	3540.14	2271.4	4607.24	2178.83	3847.29	2835.7	7642.41	9025.81	6983.79	8078.22	9025.81	4769.75	2976.74	3716.2	12329.98	13215.02	13033.07	4419.52	7180.15	3443.31	6164.49	10883.59	14163.58	4512.4	10733.74	10959.3	6164.49	11189.6	3103.19	8901.53	0.0	1.07
CPPED1	409.15	117.6	86.43	242.88	229.72	275.28	679.29	934.76	769.69	348.71	698.41	638.15	473.41	583.07	866.07	1191.69	1073.91	642.59	397.93	521.76	1295.13	559.28	1225.22	363.56	500.46	587.13	555.41	583.07	429.54	674.59	0.0	0.29
CRADD	249.73	158.79	215.77	181.28	209.84	226.54	457.25	397.93	532.74	220.32	583.07	229.72	239.52	395.18	281.09	642.59	320.8	366.09	460.44	325.29	323.03	297.17	723.08	258.57	325.29	511.0	470.14	199.85	273.37	1225.22	0.0	0.58
CRIP3	1.71	0.0	0.0	3.82	0.0	0.0	15.22	1651.0	88.88	9.34	348.71	0.0	16.51	85.82	629.35	199.85	21.63	0.0	17.64	32.13	198.47	3124.78	77.25	15.22	764.36	228.13	102.97	703.28	7.94	52.45	0.0	0.44
CTSL	8538.88	2915.45	3303.0	3742.05	1304.15	2627.46	6337.83	17317.18	3589.58	3955.48	8658.09	2816.11	4328.55	4038.61	9344.14	8363.13	5872.48	6426.31	8247.98	4704.07	5147.73	5076.84	9876.98	4066.71	5112.16	7433.4	19482.97	5112.16	3395.89	12943.04	0.0	0.37
DAP3	1769.57	1388.16	1819.35	1551.09	1508.65	1417.35	1950.0	2573.36	2032.85	1540.37	1870.53	1617.0	2018.8	1369.04	2004.85	2555.58	2032.85	1697.45	2047.0	1467.37	1844.76	2720.15	2502.97	1447.15	2061.24	2133.97	2061.24	2875.3	1540.37	2573.36	0.0	1.04
DECR1	1407.55	1159.07	1540.37	902.89	1044.52	1388.16	3060.45	4095.0	3716.2	2645.74	3874.05	1674.06	1487.87	2287.2	4066.71	4972.34	6207.38	1963.57	4038.61	1896.65	3212.66	4419.52	6887.62	1467.37	4607.24	5366.37	3190.46	4543.8	1417.35	9673.69	0.0	0.66
ESRRA	651.58	753.83	813.63	1051.79	769.69	1073.91	988.12	1066.48	1127.35	1135.2	1561.89	607.87	607.87	1001.93	769.69	2163.77	2018.8	679.29	1225.22	941.27	890.44	2271.4	1923.14	974.5	2047.0	1467.37	1008.9	1963.57	713.11	748.61	0.0	0.79
FAHD2A	323.03	159.9	253.23	173.85	209.84	202.66	511.0	902.89	559.28	543.96	728.11	718.08	571.05	441.64	1051.79	902.89	974.5	457.25	514.56	397.93	872.1	995.0	1359.57	500.46	890.44	647.07	866.07	836.53	473.41	2255.7	0.0	0.65
FAM195A	271.48	111.21	409.15	134.3	194.36	108.9	1662.49	866.07	470.14	872.1	1806.78	514.56	616.37	753.83	2758.13	1594.73	2224.63	567.1	1561.89	866.07	693.58	1388.16	2609.3	540.19	1709.26	1769.57	1498.22	981.29	483.38	2090.03	0.0	0.52
FAM92A1	241.19	89.51	412.0	106.63	226.54	214.27	551.56	909.17	665.29	665.29	679.29	299.25	373.81	571.05	426.57	733.19	1508.65	595.34	575.03	830.75	830.75	738.29	1250.98	371.22	679.29	780.44	642.59	529.06	525.39	373.81	0.0	0.71
FAM96A	660.68	525.39	866.07	954.43	466.88	679.29	1313.23	1857.6	1457.23	1295.13	1583.71	738.29	1143.1	1233.75	1819.35	2047.0	1745.2	1896.65	2032.85	1175.27	1159.07	1583.71	3443.31	1001.93	1769.57	2591.27	2047.0	2061.24	1151.06	4066.71	0.0	0.39
FH	1066.48	836.53	1073.91	890.44	1286.18	921.88	1721.16	1639.59	1617.0	1437.15	1745.2	753.83	954.43	1127.35	1697.45	2240.11	2119.22	201.25	1896.65	1167.14	1617.0	2335.28	3325.99	884.29	2537.92	2835.7	1757.34	2075.59	802.41	6840.04	0.0	0.29
FN3K	12.0	11.82	20.71	40.07	53.95	115.16	1199.98	1233.75	808.0	665.29	947.83	312.0	373.81	743.43	1313.23	2400.97	3168.41	141.02	1044.52	728.11	825.0	1208.34	3614.55	723.08	1498.22	2193.99	974.5	1369.04	457.25	1331.57	0.0	0.41
GOT1	684.02	684.02	1111.82	429.54	669.92	642.59	1781.89	2384.37	2645.74	2451.44	3081.75	1487.87	1519.15	1977.24	2796.65	4388.98	5633.22	1477.58	2855.44	1977.24	1583.71	6207.38	7966.99	1757.34	4181.07	3081.75	2609.3	3124.78	1617.0	9474.59	0.0	0.11
HDDC2	896.64	1008.9	1651.0	1322.37	1135.2	909.17	2816.11	2384.37	1733.13	1963.57	3103.19	1745.2	1508.65	1685.71	3212.66	3589.58	4836.35	1950.0	2915.45	1950.0	3491.39	2777.33	5112.16	1437.15	2855.44	3742.05	2895.31	2119.22	1551.09	309.83	0.0	0.73
HMGCL	429.54	351.14	493.56	718.08	607.87	587.13	2319.15	2255.7	1733.13	1605.83	1896.65	1081.39	1073.91	1467.37	1467.37	2240.11	2835.7	1167.14	1794.29	1447.15	1685.71	2119.22	3372.43	1233.75	2148.82	2664.15	1977.24	2240.11	1167.14	3190.46	0.0	0.31
IMMT	854.13	444.72	1030.12	813.63	708.18	813.63	1081.39	2004.85	1651.0	1286.18	1721.16	1225.22	1135.2	1159.07	1721.16	1909.85	2502.97	1191.69	1963.57	1015.93	1529.73	2816.11	2855.44	1313.23	2417.67	2645.74	1529.73	2555.58	1208.34	1437.15	0.0	0.65
LACE1	50.98	63.0	73.54	46.5	62.12	57.08	69.03	158.79	127.89	64.8	111.21	73.03	48.52	73.03	89.51	141.02	127.0	51.71	137.14	90.14	107.38	138.1	158.79	56.68	141.02	152.28	132.44	125.24	75.64	77.25	0.0	0.04
MARC2	26.1	9.85	75.64	19.68	17.0	41.22	269.6	532.74	934.76	285.03	1199.98	201.25	320.8	414.87	647.07	1167.14	1417.35	177.53	521.76	314.17	423.61	878.17	848.22	301.33	796.86	802.41	703.28	669.92	244.57	555.41	0.0	0.74
MDH1	2400.97	1936.53	2537.92	2018.8	2664.15	2224.63	4802.93	10368.08	5329.3	3820.7	6426.31	2739.08	3039.3	3190.46	6121.9	8778.97	10585.95	3589.58	5366.37	1883.54	3874.05	7433.4	13586.57	2468.49	6250.56	8421.31	5633.22	7032.37	3103.19	7537.18	0.0	0.61
MICU1	567.1	447.82	466.88	473.41	555.41	624.99	1721.16	2335.28	1498.22	1733.13	1350.18	1417.35	866.07	1304.15	2573.36	2240.11	2720.15	1572.76	1519.15	1540.37	3443.31	1674.06	2047.0	1159.07	1437.15	2682.69	2104.58	1639.59	1119.56	1427.22	0.0	0.68
MPC1	334.46	490.14	620.67	444.72	514.56	435.55	3540.14	3395.89	1697.45	2032.85	3257.52	928.3	1277.29	2468.49	4869.99	5006.93	13033.07	934.76	3257.52	2645.74	1883.54	5006.93	3257.52	1674.06	6516.03	3874.05	2555.58	2335.28	1697.45	7130.55	0.0	0.75
MPP1	679.29	255.0	134.3	244.57	224.97	395.18	872.1	1369.04	674.59	532.74	3349.13	1066.48	688.78	769.69	2032.85	1551.09	928.3	1143.1	665.29	813.63	642.59	1295.13	967.76	536.45	791.35	1183.45	1651.0	872.1	511.0	4388.98	0.0	0.83
MRPL1	265.87	291.04	275.28	242.88	289.02	297.17	532.74	688.78	563.18	351.14	603.67	289.02	381.68	384.34	693.58	620.67	802.41	318.57	591.22	463.65	483.38	651.58	665.29	275.28	718.08	595.34	620.67	679.29	368.65	878.17	0.0	0.16
MRPL15	1250.98	1066.48	1508.65	1208.34	854.13	1477.58	1313.23	1883.54	1639.59	1572.76	1417.35	1233.75	764.36	947.83	1781.89	2133.97	3325.99	1519.15	2061.24	1008.9	1417.35	2287.2	3018.3	934.76	1572.76	2224.63	1757.34	2163.77	954.43	2271.4	0.0	0.03
MRPL2	603.67	473.41	1030.12	723.08	728.11	934.76	1561.89	1529.73	1295.13	1551.09	1529.73	1233.75	1233.75	1225.22	1617.0	2255.7	2664.15	854.13	1498.22	1199.98	1757.34	1721.16	2520.38	1096.5	2032.85	1819.35	1674.06	1769.57	1096.5	2075.59	0.0	0.79
MRPL46	332.14	473.41	412.0	503.95	297.17	480.04	743.43	909.17	624.99	454.09	693.58	323.03	503.95	555.41	718.08	775.05	1151.06	579.04	890.44	514.56	599.49	1104.13	1259.69	536.45	1119.56	1088.92	1051.79	1044.52	579.04	2468.49	0.0	0.0
MRPS14	329.84	332.14	389.72	373.81	373.81	339.14	638.15	591.22	571.05	775.05	708.18	543.96	426.57	583.07	579.04	647.07	674.59	547.75	684.02	518.15	567.1	656.11	633.73	571.05	808.0	679.29	583.07	543.96	587.13	713.11	0.0	0.48
MRPS25	669.92	483.38	703.28	285.03	547.75	285.03	1551.09	1259.69	1073.91	941.27	1594.73	583.07	525.39	679.29	1388.16	1617.0	1508.65	775.05	2148.82	483.38	1008.9	1572.76	2434.5	738.29	1529.73	2835.7	1437.15	1697.45	624.99	1427.22	0.0	1.01
MRPS27	536.45	307.69	688.78	287.01	400.71	540.19	954.43	1477.58	941.27	854.13	921.88	490.14	860.08	775.05	1216.75	981.29	1313.23	872.1	995.0	915.51	1037.29	1199.98	1119.56	733.19	1001.93	1286.18	1199.98	1183.45	836.53	896.64	0.0	0.28
MRPS28	1111.82	723.08	1295.13	1407.55	591.22	981.29	2004.85	1617.0	1529.73	1639.59	2193.99	1183.45	1487.87	1242.34	1583.71	2573.36	3168.41	1199.98	2047.0	1487.87	1936.53	1769.57	3325.99	1135.2	2287.2	2720.15	1844.76	2384.37	1104.13	4543.8	0.0	0.52
MRPS5	703.28	693.58	775.05	595.34	679.29	642.59	988.12	1286.18	1167.14	1151.06	1286.18	1096.5	738.29	878.17	1151.06	1674.06	1832.01	1096.5	1225.22	921.88	967.76	1697.45	2163.77	967.76	1721.16	1794.29	967.76	1617.0	791.35	1369.04	0.0	0.75
MRPS9	264.03	303.44	314.17	283.05	287.01	348.71	684.02	748.61	684.02	612.11	713.11	435.55	521.76	529.06	688.78	947.83	1104.13	518.15	753.83	559.28	748.61	921.88	1259.69	476.71	1127.35	1044.52	738.29	981.29	460.44	660.68	0.0	0.06
MTIF2	262.2	198.47	392.44	301.33	239.52	358.54	444.72	616.37	529.06	361.04	497.0	397.93	387.02	381.68	507.46	483.38	688.78	423.61	563.18	180.02	547.75	796.86	540.19	395.18	563.18	575.03	457.25	633.73	346.29	612.11	0.0	0.0
NDUFAB1	2061.24	1088.92	2303.12	2047.0	1561.89	1498.22	4639.29	4239.45	1819.35	2875.3	4972.34	2032.85	1977.24	1832.01	5147.73	3847.29	5219.6	1977.24	5076.84	2224.63	2520.38	2645.74	5403.7	1745.2	3235.01	5112.16	3820.7	2664.15	1651.0	6037.61	0.0	0.62
NDUFAF4	281.09	305.55	796.86	423.61	353.59	255.0	616.37	988.12	660.68	813.63	514.56	525.39	229.72	327.56	825.0	1073.91	902.89	633.73	902.89	289.02	490.14	1242.34	1923.14	353.59	1127.35	909.17	1008.9	981.29	384.34	1540.37	0.0	0.42
NDUFB3	1733.13	1963.57	1529.73	1216.75	2032.85	1233.75	2555.58	3325.99	2451.44	2400.97	3419.52	1350.18	2224.63	1651.0	2816.11	3820.7	3257.52	1909.85	2976.74	1896.65	1923.14	2502.97	5366.37	1119.56	3847.29	3982.99	3212.66	3742.05	1769.57	2777.33	0.0	0.24
NDUFS2	995.0	791.35	1427.22	1167.14	1001.93	1447.15	2148.82	3190.46	2835.7	2061.24	2591.27	1697.45	1487.87	1819.35	2271.4	3190.46	3901.01	1697.45	2855.44	1936.53	2335.28	4038.61	4937.99	1794.29	4066.71	4210.15	2451.44	3901.01	1639.59	4639.29	1697.45	1135.2
NDUFS3	1605.83	1457.23	2255.7	1167.14	1651.0	1487.87	3039.3	3103.19	2400.97	3257.52	3235.01	1819.35	1745.2	2004.85	3564.78	3589.58	5517.27	2119.22	3257.52	2104.58	2163.77	5147.73	6840.04	1883.54	4769.75	4358.66	2434.5	4210.15	1936.53	3982.99	0.0	0.32
NDUFS4	1519.15	1529.73	2193.99	830.75	1745.2	1407.55	2682.69	2720.15	2255.7	1639.59	2915.45	896.64	1781.89	1844.76	3540.14	4210.15	4802.93	1950.0	2997.45	1923.14	2224.63	3039.3	4512.4	1417.35	3515.68	4836.35	4704.07	3212.66	1457.23	4210.15	0.0	0.88
NDUFV1	1963.57	1844.76	2609.3	1674.06	1950.0	2303.12	3349.13	4210.15	3742.05	4010.71	5441.3	2303.12	3235.01	2976.74	2835.7	5913.33	6792.79	2047.0	5594.3	2895.31	4123.49	6840.04	8718.32	3280.18	7537.18	7180.15	4010.71	7280.4	3081.75	3874.05	0.0	1.08
NIT2	525.39	764.36	1008.9	967.76	928.3	1015.93	6037.61	4181.07	2287.2	1806.78	5441.3	769.69	1119.56	3081.75	4181.07	5672.41	3168.41	1088.92	4869.99	3325.99	3928.15	995.0	3395.89	1709.26	1066.48	6426.31	7537.18	1159.07	1721.16	2796.65	1487.87	289.02
NUDT7	49.56	37.59	12.27	74.06	57.89	92.05	348.71	420.68	265.87	223.41	486.75	121.79	186.4	218.79	432.53	307.69	660.68	253.23	497.0	182.55	320.8	293.07	392.44	180.02	438.59	656.11	441.64	251.48	202.66	738.29	0.0	0.06
ORC4	265.87	384.34	395.18	389.72	503.95	466.88	775.05	1051.79	1001.93	775.05	1096.5	854.13	684.02	599.49	616.37	860.08	981.29	718.08	1059.11	872.1	486.75	836.53	961.07	603.67	830.75	1233.75	708.18	713.11	607.87	426.57	0.0	0.41
OXNAD1	119.26	143.01	131.51	73.54	133.36	118.43	287.01	336.79	260.38	239.52	291.04	143.01	189.02	224.97	353.59	417.77	256.78	215.77	525.39	204.07	256.78	547.75	473.41	182.55	540.19	551.56	444.72	384.34	217.27	466.88	0.0	0.32
OXSM	220.32	190.34	113.56	130.6	140.04	120.94	473.41	429.54	303.44	343.89	356.05	236.21	226.54	281.09	287.01	438.59	536.45	193.01	629.35	277.2	325.29	447.82	555.41	221.86	454.09	842.36	633.73	356.05	224.97	463.65	0.0	0.0
PAIP2B	49.56	42.71	9.85	40.93	134.3	55.49	140.04	262.2	119.26	95.34	144.01	109.66	14.89	169.07	92.05	376.41	698.41	11.04	209.84	76.17	125.24	89.51	332.14	127.89	112.77	466.88	206.94	38.95	98.04	163.28	0.0	0.12
PCDHB3	4.86	0.59	3.82	3.66	1.62	4.54	127.89	14.56	92.05	2.32	194.36	20.71	8.58	1.69	241.19	336.79	177.53	90.14	13.32	13.32	18.56	131.51	166.73	291.04	6.16	40.93	64.8	121.79	73.03	7.17	0.0	0.29
PCYT2	199.85	417.77	579.04	909.17	543.96	381.68	1081.39	836.53	486.75	656.11	1059.11	291.04	536.45	540.19	961.07	1427.22	1662.49	450.94	1081.39	551.56	1369.04	1407.55	1044.52	651.58	1733.13	1183.45	713.11	1216.75	423.61	1529.73	0.0	0.0
PDHA1	2720.15	1870.53	1950.0	2004.85	1617.0	1447.15	4450.27	6207.38	6426.31	5183.54	7230.1	2520.38	2485.67	3955.48	6471.02	9088.59	12764.83	2796.65	6652.97	4010.71	4769.75	8134.41	12676.65	3257.52	12076.21	11827.67	5831.91	10368.08	2555.58	5913.33	0.0	1.25
PRADC1	361.04	133.36	214.27	170.25	336.79	229.72	466.88	414.87	426.57	521.76	825.0	454.09	358.54	381.68	830.75	759.08	423.61	275.28	796.86	198.47	457.25	836.53	1135.2	406.31	921.88	507.46	543.96	490.14	426.57	1447.15	0.0	0.13
QRSL1	102.25	93.35	108.9	109.66	73.03	138.1	185.11	316.37	229.72	152.28	214.27	176.29	102.25	185.11	218.79	293.07	264.03	178.77	164.42	212.78	195.72	267.73	275.28	142.01	291.04	343.89	175.07	293.07	195.72	170.25	0.0	0.34
RAB20	426.57	217.27	209.84	114.36	119.26	131.51	802.41	896.64	599.49	525.39	2796.65	334.46	583.07	830.75	511.0	2018.8	518.15	231.32	669.92	848.22	381.68	414.87	2148.82	1135.2	599.49	915.51	1832.01	595.34	486.75	1857.6	0.0	0.36
RNASEH2B	273.37	173.85	356.05	368.65	237.86	283.05	432.53	703.28	291.04	351.14	607.87	164.42	389.72	301.33	500.46	463.65	343.89	275.28	429.54	353.59	587.13	457.25	583.07	389.72	514.56	409.15	563.18	463.65	403.5	733.19	0.0	0.29
RP11-505K9.4	0.0	0.0	0.0	0.0	0.0	1.91	11.04	26.86	6.73	12.55	40.07	4.43	5.45	10.88	7.94	10.88	17.0	12.45	16.39	14.24	12.18	19.97	12.64	2.34	26.47	19.25	13.72	26.86	15.56	17.9	0.0	0.0
RTN4IP1	55.49	52.82	103.69	97.36	80.57	86.43	348.71	351.14	193.01	217.27	267.73	100.83	115.16	189.02	237.86	293.07	297.17	148.09	353.59	297.17	208.38	279.14	395.18	149.12	351.14	438.59	303.44	275.28	186.4	248.0	0.0	0.0
SDHA	1769.57	638.15	1745.2	1709.26	884.29	1151.06	4298.64	4671.57	3540.14	3372.43	4210.15	2645.74	1617.0	3257.52	6840.04	5954.47	8305.36	2224.63	5711.87	3212.66	3372.43	5751.61	11504.21	2485.67	5791.62	6840.04	5872.48	5872.48	2367.9	6250.56	0.0	1.13
SDHB	2032.85	1437.15	2255.7	1628.26	1769.57	1733.13	2400.97	1819.35	2573.36	2075.59	2451.44	1936.53	1561.89	1896.65	1883.54	3515.68	4972.34	1769.57	2591.27	2061.24	1819.35	4704.07	6699.25	1605.83	4328.55	3847.29	3060.45	3847.29	1697.45	10733.74	0.0	0.54
SFXN4	297.17	299.25	438.59	293.07	234.57	234.57	713.11	967.76	500.46	441.64	764.36	381.68	371.22	348.71	848.22	1015.93	1119.56	521.76	728.11	312.0	521.76	954.43	1350.18	366.09	738.29	813.63	612.11	759.08	361.04	529.06	0.0	0.0
SIRT5	103.69	98.73	221.86	186.4	115.97	170.25	384.34	718.08	444.72	447.82	507.46	239.52	211.31	384.34	473.41	642.59	1030.12	368.65	825.0	395.18	466.88	878.17	575.03	441.64	759.08	748.61	490.14	595.34	287.01	327.56	0.0	0.0
SLC13A1	0.0	0.0	0.0	0.0	0.0	0.0	170.25	228.13	780.44	1.68	1350.18	1.38	0.38	248.0	1167.14	1242.34	95.34	3.23	201.25	8.45	98.04	14.78	226.54	18.84	6.52	57.49	316.37	43.02	0.41	2.07	0.0	0.0
SLC25A4	28.65	99.43	155.5	20.11	202.66	173.85	995.0	954.43	1225.22	1008.9	1350.18	426.57	579.04	738.29	1104.13	2303.12	2777.33	429.54	1340.84	813.63	1044.52	1870.53	2915.45	866.07	1963.57	1781.89	967.76	1519.15	591.22	1498.22	0.0	0.26
SMIM20	228.13	193.01	420.68	403.5	237.86	244.57	896.64	1322.37	1059.11	974.5	1268.46	507.46	928.3	733.19	1407.55	1286.18	1044.52	988.12	1259.69	743.43	995.0	1030.12	2104.58	693.58	1216.75	1359.57	1183.45	934.76	808.0	1030.12	0.0	0.46
SNAPIN	620.67	579.04	713.11	718.08	713.11	836.53	1286.18	995.0	1127.35	1208.34	1208.34	854.13	961.07	1286.18	1051.79	1135.2	1437.15	1111.82	1313.23	1104.13	1242.34	1167.14	1295.13	1175.27	1277.29	1233.75	1159.07	1127.35	988.12	1096.5	0.0	0.47
