	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.U3ZH.1326.SM.4DXSF	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.ZAB5.1026.SM.5HL91	GTEX.U3ZN.1826.SM.4DXUY	GTEX.UPK5.1326.SM.4IHLE	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.A453.01A.11R.A24K.31	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13X6H.1626.SM.5Q5CT	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.R55G.1126.SM.48FDG	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ	GTEX.XPVG.1526.SM.4B66C
ABCC5	346.29	441.64	392.44	493.56	587.13	314.17	638.15	1081.39	836.53	1008.9	830.75	1199.98	361.04	796.86	476.71	497.0	825.0	1051.79	890.44	33.54	0.0	1.0	129.69	447.82	301.33	287.01	189.02	256.78	295.11	118.43	226.54	260.38	231.32	244.57	201.25	236.21	128.79	169.07	194.36	231.32	314.17	275.28	193.01	228.13	183.82
ABCD4	1073.91	791.35	954.43	723.08	1498.22	633.73	995.0	1378.57	1191.69	2104.58	1437.15	1819.35	854.13	1175.27	825.0	1015.93	1794.29	2178.83	1447.15	902.89	381.68	262.2	476.71	878.17	698.41	1697.45	473.41	603.67	1104.13	441.64	660.68	629.35	708.18	591.22	612.11	728.11	575.03	486.75	540.19	1059.11	674.59	928.3	669.92	583.07	540.19
AC018755.1	13.32	14.24	31.9	29.06	38.67	14.24	29.7	57.08	32.36	45.21	43.63	38.4	26.47	32.13	34.75	22.92	60.39	38.4	45.21	1.87	0.0	0.12	15.8	22.92	16.03	22.26	10.31	4.31	6.16	11.91	12.27	7.28	15.91	21.01	7.46	7.63	6.94	5.5	12.74	24.46	6.84	20.86	12.27	5.68	10.24
AC135178.1	33.54	30.34	38.67	63.89	82.29	62.56	65.26	109.66	76.71	267.73	111.99	181.28	43.94	68.55	75.11	50.27	128.79	234.57	158.79	0.27	0.0	0.4	13.03	61.25	68.07	89.51	9.7	15.0	9.93	6.78	15.68	21.32	27.64	26.67	9.34	19.68	6.16	7.82	7.11	68.07	10.79	22.1	15.8	11.82	12.64
ACTG2	496005.67	411347.03	726195.27	3406832.48	108699.57	1048575.0	411347.03	47642.77	311742.51	140478.49	190574.09	138544.47	593956.43	299043.36	602247.76	561916.97	102125.66	146444.06	194578.47	44.89	0.0	0.61	509950.32	437825.58	627822.72	641014.63	610654.84	383800.28	839981.65	767601.56	645473.24	663619.99	706337.4	998912.34	428815.23	1078054.48	214407.12	1055868.42	998912.34	834179.46	370726.6	945028.61	762299.34	479109.86	672883.8
ADCY6	559.28	665.29	529.06	329.84	928.3	438.59	785.88	1242.34	1044.52	1295.13	1769.57	1407.55	483.38	1111.82	780.44	718.08	1250.98	1745.2	1159.07	78.89	0.0	0.91	181.28	547.75	332.14	480.04	177.53	151.22	260.38	124.37	271.48	221.86	316.37	312.0	178.77	236.21	193.01	122.64	205.5	351.14	215.77	307.69	220.32	206.94	231.32
AHSA2	497.0	583.07	447.82	647.07	848.22	525.39	1369.04	1594.73	1457.23	2835.7	1806.78	2816.11	587.13	1167.14	1268.46	934.76	1977.24	2591.27	2224.63	80.57	0.0	1.58	209.84	684.02	555.41	974.5	169.07	121.79	223.41	95.34	423.61	169.07	318.57	529.06	209.84	242.88	87.03	81.71	115.16	759.08	144.01	293.07	209.84	178.77	518.15
AMT	100.13	718.08	595.34	395.18	1674.06	476.71	1340.84	780.44	1183.45	2645.74	1540.37	2573.36	376.41	1340.84	525.39	567.1	1407.55	2915.45	2075.59	285.03	0.0	0.99	346.29	633.73	406.31	1977.24	202.66	81.71	244.57	395.18	379.04	131.51	497.0	532.74	316.37	237.86	141.02	50.27	136.19	1143.1	101.54	429.54	281.09	189.02	521.76
ANKMY2	241.19	363.56	426.57	392.44	647.07	336.79	583.07	397.93	703.28	511.0	595.34	503.95	563.18	555.41	543.96	483.38	547.75	500.46	633.73	49.91	0.0	0.4	441.64	583.07	358.54	271.48	244.57	194.36	175.07	125.24	228.13	165.57	267.73	185.11	177.53	183.82	116.78	172.65	157.68	356.05	102.25	193.01	205.5	215.77	194.36
ANKZF1	688.78	616.37	551.56	638.15	808.0	334.46	921.88	1498.22	1051.79	1844.76	1457.23	2090.03	412.0	1008.9	785.88	728.11	1467.37	1628.26	1519.15	248.0	0.0	0.88	329.84	591.22	447.82	753.83	303.44	275.28	607.87	316.37	409.15	138.1	358.54	341.51	283.05	312.0	169.07	181.28	314.17	769.69	224.97	414.87	293.07	211.31	423.61
