	GTEX.11ONC.1426.SM.5N9F4	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.ZAB4.0826.SM.5LU9D	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.R53T.0526.SM.3GADL	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
ALG11	46.5	17.77	52.45	45.53	60.82	50.27	36.53	36.01	36.01	67.12	50.27	43.32	43.32	80.57	33.78	45.53	34.26	48.18	32.36	38.4	71.0	48.18	208.38	189.02	64.34	169.07	121.79	171.45	100.83	178.77	105.15	76.71	74.58	148.09	150.17	94.01	93.35	120.1	148.09	89.51	199.85	132.44	131.51	105.15	169.07	191.67	105.89	60.82	135.24	82.29	214.27	223.41	79.45	205.5	158.79	164.42	157.68	115.97	100.83	226.54	73.54	101.54	181.28	53.19	194.36	50.98	167.9	223.41	208.38	231.32	96.68	285.03	153.34	52.45	144.01	142.01	123.5	291.04	171.45	69.03	108.14	76.17	63.45	177.53	177.53
AP5B1	76.71	74.06	62.12	59.55	78.89	68.07	66.18	71.0	76.17	45.21	80.01	67.12	66.65	86.43	74.06	52.45	88.88	71.0	85.22	87.65	100.83	78.34	202.66	95.34	101.54	133.36	169.07	169.07	109.66	135.24	79.45	98.73	73.54	204.07	93.35	78.34	131.51	217.27	133.36	122.64	151.22	165.57	87.03	115.97	154.42	169.07	98.73	48.87	89.51	120.1	176.29	159.9	105.15	151.22	169.07	126.12	198.47	94.01	85.22	208.38	85.82	80.01	183.82	94.01	176.29	77.79	146.03	178.77	148.09	202.66	102.25	204.07	133.36	95.34	135.24	190.34	139.07	156.59	158.79	111.21	114.36	115.97	94.01	127.0	151.22
ATXN7L3B	381.68	563.18	312.0	728.11	988.12	825.0	902.89	698.41	620.67	718.08	915.51	595.34	866.07	1023.0	587.13	872.1	693.58	587.13	660.68	769.69	1081.39	848.22	1806.78	1923.14	884.29	1572.76	1304.15	1250.98	1304.15	1023.0	1233.75	1183.45	1030.12	1167.14	1268.46	1135.2	947.83	1175.27	1477.58	1104.13	1322.37	1030.12	1417.35	1427.22	1407.55	2047.0	1340.84	1088.92	1096.5	995.0	1950.0	1519.15	1437.15	1977.24	1369.04	1617.0	1359.57	1001.93	947.83	2271.4	941.27	1378.57	1551.09	1551.09	1551.09	1331.57	1104.13	1350.18	1487.87	1628.26	995.0	1407.55	1662.49	1159.07	1277.29	1250.98	1529.73	1417.35	1417.35	1191.69	1295.13	974.5	1583.71	1369.04	1369.04
BAZ1B	420.68	226.54	171.45	429.54	435.55	432.53	460.44	417.77	379.04	353.59	366.09	368.65	395.18	417.77	426.57	392.44	392.44	387.02	409.15	450.94	521.76	392.44	723.08	656.11	256.78	660.68	669.92	551.56	555.41	543.96	583.07	417.77	476.71	571.05	540.19	414.87	480.04	660.68	591.22	532.74	651.58	532.74	514.56	647.07	536.45	684.02	532.74	409.15	460.44	353.59	703.28	684.02	463.65	738.29	587.13	651.58	651.58	403.5	486.75	825.0	447.82	559.28	595.34	486.75	698.41	441.64	540.19	679.29	603.67	759.08	395.18	764.36	563.18	361.04	379.04	612.11	543.96	802.41	595.34	493.56	571.05	473.41	521.76	525.39	665.29
C17orf80	156.59	129.69	85.82	159.9	201.25	199.85	198.47	172.65	144.01	211.31	279.14	202.66	189.02	269.6	124.37	239.52	138.1	204.07	162.14	191.67	251.48	202.66	379.04	493.56	195.72	358.54	325.29	325.29	356.05	346.29	412.0	143.01	295.11	325.29	351.14	309.83	301.33	343.89	353.59	285.03	332.14	285.03	353.59	334.46	387.02	438.59	341.51	293.07	277.2	220.32	438.59	373.81	341.51	454.09	343.89	414.87	389.72	289.02	236.21	435.55	224.97	381.68	327.56	426.57	320.8	307.69	316.37	409.15	325.29	473.41	281.09	368.65	309.83	279.14	312.0	343.89	356.05	507.46	361.04	320.8	287.01	265.87	361.04	329.84	336.79
C1orf109	106.63	162.14	80.57	161.02	269.6	189.02	231.32	187.71	131.51	242.88	277.2	185.11	191.67	256.78	127.0	194.36	155.5	176.29	190.34	208.38	273.37	201.25	316.37	466.88	318.57	397.93	376.41	358.54	511.0	228.13	400.71	193.01	346.29	293.07	346.29	376.41	312.0	346.29	332.14	307.69	460.44	305.55	403.5	299.25	389.72	536.45	348.71	312.0	351.14	187.71	429.54	514.56	291.04	447.82	387.02	547.75	426.57	241.19	237.86	536.45	232.94	339.14	387.02	438.59	412.0	307.69	406.31	450.94	406.31	447.82	255.0	334.46	351.14	220.32	299.25	376.41	457.25	381.68	371.22	353.59	361.04	198.47	409.15	356.05	392.44
CLCN3	197.09	208.38	94.67	265.87	309.83	273.37	341.51	251.48	221.86	289.02	265.87	178.77	205.5	334.46	223.41	273.37	236.21	212.78	208.38	228.13	363.56	271.48	555.41	583.07	253.23	497.0	503.95	466.88	525.39	389.72	525.39	232.94	318.57	441.64	423.61	381.68	381.68	346.29	642.59	358.54	435.55	429.54	521.76	457.25	400.71	480.04	420.68	239.52	381.68	323.03	529.06	429.54	454.09	480.04	395.18	503.95	486.75	426.57	392.44	507.46	332.14	454.09	438.59	476.71	473.41	429.54	559.28	450.94	400.71	441.64	412.0	525.39	587.13	353.59	486.75	417.77	518.15	514.56	525.39	447.82	323.03	376.41	376.41	567.1	503.95
CSTF2T	121.79	163.28	80.57	156.59	202.66	164.42	152.28	214.27	147.06	211.31	117.6	172.65	172.65	157.68	146.03	173.85	164.42	120.94	181.28	186.4	175.07	199.85	400.71	283.05	152.28	273.37	312.0	271.48	198.47	299.25	190.34	150.17	194.36	303.44	204.07	189.02	244.57	279.14	320.8	267.73	299.25	323.03	214.27	305.55	316.37	358.54	223.41	237.86	166.73	191.67	366.09	412.0	214.27	387.02	305.55	295.11	403.5	248.0	217.27	379.04	194.36	236.21	277.2	251.48	332.14	253.23	320.8	323.03	336.79	403.5	181.28	376.41	262.2	224.97	271.48	329.84	307.69	336.79	358.54	249.73	221.86	202.66	256.78	224.97	316.37
CTD-2192J16.20	11.47	10.31	13.12	21.01	19.97	23.59	22.75	20.56	21.94	21.47	28.24	13.62	20.56	28.65	13.03	12.36	18.56	8.38	18.97	35.25	36.27	20.71	72.01	42.71	16.75	39.22	40.07	44.89	34.02	37.05	31.9	20.41	9.41	29.27	30.78	28.86	32.36	42.11	39.79	29.06	42.71	27.05	33.06	50.98	32.82	49.21	29.06	15.22	16.75	23.59	52.08	48.18	23.25	31.9	28.04	36.01	35.76	36.53	31.22	55.89	29.06	21.32	38.12	23.59	53.57	43.63	50.98	36.27	31.45	51.35	28.45	29.48	35.76	42.41	51.35	33.78	45.21	37.05	40.36	31.9	24.46	24.28	30.34	28.86	38.67
CTR9	215.77	195.72	258.57	356.05	348.71	325.29	316.37	327.56	297.17	309.83	373.81	329.84	309.83	381.68	269.6	275.28	248.0	291.04	273.37	336.79	371.22	327.56	674.59	603.67	301.33	532.74	567.1	555.41	497.0	497.0	447.82	320.8	406.31	466.88	457.25	438.59	463.65	507.46	616.37	412.0	559.28	616.37	500.46	616.37	647.07	633.73	460.44	336.79	426.57	348.71	612.11	595.34	483.38	665.29	547.75	595.34	567.1	438.59	460.44	753.83	423.61	447.82	591.22	438.59	651.58	412.0	688.78	543.96	567.1	684.02	493.56	708.18	571.05	476.71	583.07	607.87	595.34	665.29	583.07	503.95	486.75	406.31	470.14	563.18	688.78
