	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OX.01A.21R.A28J.31	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZVZP.0926.SM.5GIDB	GTEX.ZYFG.1626.SM.5GZYY	GTEX.ZLFU.0926.SM.5P9F8	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.8610.01A.22R.2402.13	TCGA.BR.8060.01A.11R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8680.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YY.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13
AC005609.1	0.47	0.08	0.0	0.0	0.0	16.51	9.27	14.45	4.39	14.14	0.0	18.56	0.0	15.11	2.89	19.68	22.92	13.52	21.63	15.45	12.09	6.67	5.77	17.0	5.02	17.38	8.65	15.22	12.18	0.0	0.0	1.04	3.99	0.0	0.0	9.27	1.81	0.0	1.87	0.0
AC018755.1	4.31	8.06	1.25	5.11	1.5	53.95	27.44	44.89	40.64	50.98	33.3	29.06	37.05	68.55	38.95	25.91	54.72	27.64	46.84	44.89	36.01	38.67	43.63	35.25	48.52	43.02	37.32	42.41	28.86	0.0	0.12	2.34	7.17	5.87	11.73	5.82	1.31	3.14	8.51	14.03
AGBL4	1.68	0.0	0.49	2.97	0.0	48.18	33.78	74.58	43.02	111.21	25.72	42.41	22.26	84.04	35.76	88.26	97.36	50.27	49.21	78.89	72.52	22.92	48.52	31.9	42.11	56.28	58.3	50.27	51.35	0.0	0.0	0.39	4.46	0.4	0.61	1.45	11.47	0.0	1.91	0.0
AK3	769.69	656.11	947.83	460.44	1388.16	4181.07	2351.53	2875.3	2255.7	3491.39	1295.13	2119.22	1819.35	3742.05	2319.15	2720.15	4937.99	2148.82	2193.99	3212.66	4181.07	3039.3	2645.74	3212.66	2061.24	2018.8	2061.24	2224.63	1950.0	0.0	0.56	1674.06	595.34	1030.12	988.12	785.88	1135.2	1225.22	1191.69	854.13
ANAPC13	1051.79	684.02	466.88	836.53	830.75	3820.7	2451.44	3124.78	3820.7	5292.48	2004.85	2351.53	1617.0	3018.3	2351.53	2537.92	4802.93	2915.45	3103.19	3212.66	3124.78	3039.3	3419.52	2895.31	3419.52	2434.5	2240.11	3018.3	2075.59	0.0	0.52	1277.29	1233.75	890.44	1551.09	1135.2	909.17	1467.37	1685.71	1313.23
ANAPC16	941.27	1857.6	1250.98	1359.57	529.06	5255.91	3690.52	4123.49	5403.7	5441.3	3081.75	3665.02	3212.66	4869.99	3235.01	3614.55	5995.9	4066.71	5183.54	4607.24	3982.99	4328.55	5913.33	4388.98	3742.05	3768.09	3235.01	3874.05	3257.52	0.0	0.33	2119.22	1340.84	2485.67	2664.15	2193.99	2367.9	1963.57	1991.0	1781.89
ANKRD6	66.18	21.63	35.76	8.65	14.56	361.04	242.88	325.29	262.2	470.14	258.57	269.6	249.73	351.14	332.14	217.27	896.64	224.97	265.87	358.54	329.84	208.38	229.72	325.29	242.88	281.09	221.86	287.01	307.69	0.0	0.54	35.76	81.14	46.18	36.53	73.03	101.54	23.42	83.45	88.88
APITD1-CORT	5.15	16.51	19.39	13.22	13.22	35.25	35.25	82.87	73.03	86.43	26.67	50.98	66.18	91.41	61.68	27.64	127.89	20.11	44.25	33.78	32.59	32.13	51.35	38.12	98.73	51.71	76.17	40.07	55.49	0.0	0.0	9.56	11.04	3.38	23.93	28.04	87.03	18.43	5.32	15.45
ARHGAP24	49.21	55.89	34.02	18.16	55.1	2997.45	2287.2	2178.83	3491.39	4268.94	1832.01	3820.7	1498.22	4802.93	3280.18	2303.12	4358.66	1151.06	2682.69	2777.33	3665.02	2004.85	3018.3	3540.14	2664.15	2434.5	2434.5	3303.0	2193.99	0.0	0.51	316.37	178.77	212.78	57.08	50.98	143.01	81.71	316.37	135.24
ARL2	1757.34	2875.3	2739.08	1991.0	1277.29	4972.34	4152.18	4639.29	5672.41	7032.37	3614.55	3589.58	4419.52	4802.93	4575.41	2835.7	4972.34	4639.29	2645.74	3146.52	2997.45	4010.71	3564.78	3491.39	6745.86	3614.55	3955.48	4736.79	3794.3	0.0	0.79	1467.37	1745.2	1923.14	1340.84	2451.44	1857.6	1487.87	2148.82	2061.24
