	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A5QQ.01A.11R.A28M.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6147.11A.01R.1858.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.13FLV.0426.SM.5KLZA	TCGA.22.5472.11A.11R.1635.07
AC120194.1	1757.34	848.22	674.59	2193.99	0.54	1023.0	830.75	236.21	674.59
ACOT13	607.87	559.28	559.28	612.11	0.33	273.37	135.24	193.01	423.61
AMDHD2	521.76	583.07	603.67	738.29	0.14	271.48	100.13	251.48	309.83
ANAPC13	1697.45	1936.53	1081.39	2468.49	0.52	967.76	733.19	559.28	1378.57
ANKRD32	63.45	132.44	61.25	136.19	0.35	31.67	25.35	37.05	57.89
APOPT1	1073.91	2240.11	1359.57	2163.77	0.51	599.49	420.68	199.85	660.68
ATIC	1794.29	2997.45	802.41	4123.49	0.22	802.41	571.05	769.69	1551.09
ATP5E	4066.71	2855.44	1832.01	4736.79	0.48	1407.55	1183.45	1175.27	1794.29
ATP5G1	5403.7	9025.81	4123.49	6164.49	0.57	2018.8	1477.58	1397.83	2935.74
BCL7C	995.0	1447.15	693.58	842.36	0.52	525.39	289.02	480.04	559.28
BCS1L	759.08	607.87	860.08	1044.52	0.0	303.44	152.28	236.21	454.09
BLOC1S1	4512.4	4769.75	3742.05	4869.99	915.51	3257.52	1417.35	3257.52	3491.39
C11orf31	2796.65	5831.91	4575.41	4937.99	0.95	2224.63	1397.83	1322.37	2434.5
C11orf73	1191.69	1519.15	417.77	2255.7	0.39	493.56	242.88	239.52	651.58
C14orf166	4639.29	4181.07	3257.52	8134.41	1.07	2335.28	2193.99	1295.13	2645.74
C14orf2	5292.48	5672.41	4123.49	7857.29	1151.06	2061.24	1350.18	1519.15	1950.0
C16orf13	1639.59	2739.08	1208.34	3419.52	0.69	1159.07	454.09	743.43	1191.69
C19orf43	4704.07	4869.99	3190.46	5672.41	1.0	4358.66	3419.52	3235.01	2720.15
C21orf33	1896.65	1844.76	1781.89	1066.48	0.52	1044.52	620.67	872.1	1639.59
C2orf27A	87.65	42.71	23.93	381.68	0.13	6.67	15.34	22.75	29.48
C5orf54	50.27	37.32	33.54	50.63	0.0	16.75	10.08	29.91	65.72
CBX8	135.24	117.6	111.21	143.01	0.04	45.85	43.63	45.85	95.34
CCDC90B	941.27	836.53	848.22	813.63	0.4	518.15	320.8	325.29	624.99
CCT8	3124.78	4512.4	4328.55	3081.75	579.04	2075.59	2178.83	1685.71	2434.5
CDK4	6250.56	7280.4	1977.24	9215.48	2367.9	1909.85	1963.57	866.07	2555.58
CHCHD7	1242.34	1104.13	713.11	2855.44	0.65	1487.87	698.41	638.15	915.51
CNPY2	3982.99	4358.66	1015.93	3303.0	0.53	1572.76	854.13	1167.14	2335.28
COA5	612.11	616.37	334.46	866.07	0.56	426.57	234.57	409.15	555.41
COMMD1	1709.26	1561.89	2104.58	2240.11	0.66	928.3	503.95	1023.0	988.12
COX16	1350.18	2119.22	1397.83	2777.33	0.47	738.29	373.81	327.56	878.17
COX5B	3901.01	5366.37	7589.61	7032.37	1.07	2720.15	1551.09	3325.99	3212.66
COX7A2	5995.9	10440.2	8191.0	7382.04	0.99	5831.91	3982.99	2555.58	4038.61
COX8A	11827.67	24321.43	18560.17	17078.76	1.03	8191.0	4328.55	8658.09	7642.41
CWC15	1208.34	1135.2	785.88	2148.82	0.66	723.08	470.14	285.03	733.19
DDA1	1127.35	1685.71	1350.18	1225.22	214.27	1407.55	819.3	1073.91	1159.07
DHPS	1268.46	1923.14	1030.12	1350.18	0.97	1127.35	1059.11	941.27	1167.14
DHRS4	974.5	1119.56	1794.29	1199.98	0.49	842.36	392.44	616.37	967.76
DHRS4L2	796.86	915.51	1378.57	1286.18	0.42	463.65	215.77	351.14	738.29
DKFZP779J2370	48.52	49.21	76.71	77.79	0.0	15.11	42.11	10.96	30.78
DYNLL1	11504.21	20593.91	25708.25	19214.73	0.16	5872.48	3928.15	4450.27	7857.29
EEF1E1	842.36	1066.48	708.18	860.08	0.04	426.57	176.29	137.14	420.68
EIF4E2	1467.37	1794.29	1662.49	2664.15	301.33	1437.15	575.03	791.35	1350.18
EMC9	688.78	791.35	486.75	1250.98	0.78	256.78	287.01	269.6	366.09
FAM96A	1427.22	1870.53	1183.45	1066.48	0.39	728.11	543.96	497.0	909.17
FARSB	884.29	1369.04	921.88	1111.82	0.19	438.59	242.88	281.09	543.96
FKBP2	3467.27	4358.66	3794.3	5672.41	0.87	2335.28	1551.09	2004.85	2485.67
FKBP3	1639.59	2255.7	1651.0	3540.14	0.71	753.83	420.68	444.72	813.63
GAR1	928.3	915.51	642.59	775.05	406.31	551.56	215.77	206.94	320.8
GFER	665.29	909.17	693.58	1268.46	178.77	356.05	170.25	223.41	476.71
GIPC1	2468.49	4358.66	16960.78	3716.2	1322.37	2520.38	1127.35	1037.29	2271.4
GTF2F2	759.08	928.3	848.22	1066.48	0.52	406.31	217.27	231.32	470.14
HOXA11	180.02	96.01	0.87	297.17	0.21	0.0	0.0	0.0	0.4
KPTN	334.46	220.32	255.0	624.99	0.39	209.84	65.72	96.01	173.85
KRT14	17804.06	348306.01	7.4879730316E8	645473.24	1.11	4.28	4.86	23.76	318.57
KRT17	65535.0	63302.6	4953441.24	408505.64	0.43	395.18	688.78	587.13	872.1
LENG1	285.03	255.0	94.01	314.17	0.04	202.66	94.67	90.77	180.02
