	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13NYC.2626.SM.5K7VN
ABCB7	363.56	195.72	271.48	297.17	341.51	547.75	435.55	221.86	285.03	287.01	202.66	178.77	397.93	262.2	289.02	346.29	551.56	169.07	463.65	616.37	483.38	503.95	543.96	571.05	896.64	830.75	353.59	172.65	234.57	204.07	194.36	529.06
AEBP2	583.07	175.07	217.27	301.33	224.97	435.55	435.55	316.37	329.84	275.28	229.72	239.52	316.37	329.84	209.84	511.0	457.25	157.68	470.14	1175.27	616.37	813.63	808.0	500.46	909.17	1023.0	368.65	124.37	100.83	73.03	69.03	283.05
AKAP11	251.48	38.12	105.15	142.01	201.25	316.37	256.78	108.9	152.28	248.0	127.89	58.71	312.0	199.85	77.79	384.34	769.69	40.64	426.57	665.29	426.57	703.28	698.41	283.05	567.1	403.5	150.17	38.4	30.12	34.51	38.67	165.57
ANKRD13C	260.38	90.77	185.11	177.53	158.79	236.21	217.27	175.07	189.02	212.78	226.54	158.79	194.36	195.72	158.79	318.57	392.44	92.7	271.48	466.88	271.48	334.46	295.11	241.19	457.25	334.46	242.88	55.1	53.95	39.22	48.18	295.11
APPL1	559.28	158.79	231.32	441.64	490.14	660.68	486.75	175.07	339.14	476.71	239.52	193.01	629.35	260.38	229.72	547.75	1216.75	138.1	728.11	1073.91	642.59	848.22	775.05	483.38	902.89	780.44	420.68	58.3	70.01	125.24	44.25	536.45
ATRX	429.54	98.04	158.79	218.79	490.14	460.44	376.41	177.53	239.52	409.15	256.78	198.47	251.48	283.05	175.07	454.09	1044.52	63.0	444.72	902.89	551.56	669.92	547.75	307.69	733.19	764.36	307.69	25.35	57.89	33.54	27.25	295.11
BIRC2	981.29	358.54	507.46	466.88	656.11	769.69	674.59	412.0	733.19	713.11	409.15	318.57	563.18	629.35	351.14	708.18	961.07	289.02	660.68	1322.37	902.89	1447.15	1369.04	660.68	1304.15	1151.06	642.59	239.52	669.92	366.09	295.11	599.49
C11orf57	476.71	236.21	356.05	353.59	423.61	444.72	325.29	255.0	287.01	444.72	201.25	379.04	373.81	295.11	341.51	457.25	450.94	182.55	684.02	796.86	651.58	583.07	759.08	587.13	1159.07	928.3	473.41	80.01	194.36	159.9	72.01	281.09
C5orf24	583.07	158.79	358.54	420.68	571.05	603.67	483.38	392.44	305.55	441.64	368.65	204.07	575.03	493.56	223.41	551.56	693.58	115.16	583.07	890.44	679.29	480.04	651.58	320.8	974.5	1066.48	708.18	134.3	353.59	293.07	258.57	412.0
C6orf120	314.17	236.21	301.33	301.33	406.31	457.25	518.15	285.03	414.87	279.14	256.78	77.25	447.82	318.57	327.56	521.76	684.02	114.36	480.04	616.37	426.57	397.93	466.88	323.03	656.11	444.72	540.19	147.06	152.28	251.48	187.71	116.78
CAPZA2	3081.75	1331.57	1794.29	1191.69	2193.99	2384.37	2287.2	2875.3	1844.76	2502.97	1857.6	1583.71	2777.33	2018.8	1359.57	3018.3	3665.02	718.08	2935.74	3419.52	2758.13	2090.03	2573.36	1498.22	3018.3	5441.3	3515.68	1242.34	575.03	961.07	638.15	2319.15
CARD8	381.68	190.34	318.57	417.77	547.75	454.09	511.0	314.17	432.53	429.54	493.56	221.86	525.39	493.56	507.46	656.11	723.08	291.04	660.68	896.64	688.78	536.45	878.17	532.74	872.1	703.28	688.78	236.21	244.57	187.71	155.5	409.15
CBL	162.14	48.18	65.72	84.63	93.35	138.1	88.26	91.41	51.71	119.26	94.01	82.29	99.43	72.52	76.17	129.69	183.82	36.53	154.42	289.02	163.28	162.14	265.87	74.58	229.72	189.02	65.26	49.56	9.63	10.47	10.96	84.63
CDC5L	356.05	155.5	320.8	206.94	361.04	339.14	336.79	275.28	267.73	403.5	293.07	348.71	248.0	224.97	198.47	343.89	441.64	116.78	387.02	583.07	403.5	599.49	493.56	305.55	753.83	480.04	273.37	43.63	162.14	255.0	105.15	258.57
