	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.11OF3.2326.SM.5GU73	GTEX.WEY5.0926.SM.4LMI4	TCGA.CQ.6222.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A489.01A.11R.A24K.31	GTEX.XBEW.1826.SM.4RTWX	GTEX.145MO.2226.SM.5Q5BN
ACHE	2682.69	77.25	73.54	1159.07	336.79	4.39	1617.0	1295.13	2645.74	312.0	2319.15	2193.99	1216.75	4358.66	285.03	80.57	215.77	56.68
ACTA1	1336472.68	162.14	42.41	225066.78	63742.91	1.99	322736.12	249727.34	623486.02	141455.6	482442.34	1715263.94	767601.56	8102860.22	63.89	148.09	58.3	8.85
ACTN2	110983.6	28.65	38.95	16383.0	5872.48	0.39	20030.74	17437.64	45072.75	8247.98	29531.18	68793.23	54349.29	248002.34	620.67	7.51	110.43	121.79
ADCK3	19754.96	1651.0	470.14	4836.35	1199.98	497.0	11424.74	11035.54	19082.0	4210.15	11664.82	7032.37	4704.07	31650.8	954.43	848.22	941.27	1159.07
ADPRHL1	2434.5	80.01	22.92	500.46	381.68	45.53	2434.5	3690.52	3665.02	884.29	4239.45	2682.69	3081.75	2915.45	49.56	186.4	70.51	32.13
AGBL1	651.58	0.0	0.84	38.67	26.28	10.0	153.34	115.16	334.46	58.71	297.17	65.26	202.66	111.99	0.0	0.0	1.0	0.0
AMPD1	10368.08	4.62	11.91	629.35	283.05	0.0	1519.15	2193.99	6337.83	693.58	2367.9	2119.22	371.22	3540.14	0.1	1.3	15.0	13.22
ANK1	6983.79	10.39	22.92	1030.12	728.11	4.98	6337.83	6887.62	8778.97	1721.16	9409.14	1572.76	848.22	4328.55	60.39	80.57	60.82	107.38
ANKRD23	18950.18	162.14	54.72	3325.99	1685.71	37.05	6337.83	11035.54	10959.3	2209.26	7485.11	5791.62	17558.94	22380.2	138.1	130.6	42.11	40.93
APOBEC2	25708.25	90.14	22.59	2271.4	743.43	0.0	3982.99	4512.4	7382.04	1359.57	4298.64	17437.64	16960.78	180294.02	88.88	32.36	191.67	94.01
ARPP21	1304.15	2.66	0.33	743.43	152.28	0.0	1216.75	1295.13	1639.59	480.04	1950.0	1594.73	4038.61	1685.71	45.85	10.08	20.11	0.0
ART1	1216.75	1.22	0.0	34.51	33.06	0.0	293.07	177.53	511.0	99.43	309.83	126.12	15.68	307.69	0.0	1.19	5.92	0.0
ART3	2573.36	151.22	23.25	309.83	273.37	0.0	934.76	878.17	1388.16	303.44	1242.34	1250.98	130.6	954.43	23.93	7.82	135.24	53.19
ASB10	1359.57	2.14	0.0	135.24	79.45	0.0	473.41	358.54	688.78	114.36	563.18	291.04	86.43	967.76	2.32	0.0	0.0	0.0
ASB11	2664.15	0.0	0.0	144.01	85.82	0.0	460.44	318.57	1304.15	194.36	656.11	381.68	45.53	941.27	0.0	7.06	17.25	12.45
ASB12	1286.18	18.97	3.06	120.94	57.89	0.0	226.54	277.2	540.19	116.78	316.37	255.0	157.68	285.03	10.16	12.83	4.62	0.0
ASB15	1769.57	0.0	0.0	73.54	59.13	0.0	221.86	301.33	490.14	43.94	361.04	190.34	105.15	400.71	0.0	0.0	1.03	0.0
ASB2	4481.23	1477.58	397.93	642.59	307.69	102.25	1977.24	2609.3	2573.36	620.67	2537.92	1066.48	1832.01	3419.52	1066.48	872.1	1008.9	928.3
ATP1B4	842.36	1.0	0.0	33.06	80.01	0.0	124.37	202.66	325.29	57.49	197.09	199.85	69.03	4419.52	0.0	0.0	0.0	0.0
ATP2A1	86474.27	28.45	21.63	10084.54	5292.48	2.73	37901.36	32315.87	84694.64	11189.6	95286.54	19214.73	13492.72	10084.54	98.04	95.34	19.53	3.14
BEST3	536.45	3.92	0.0	775.05	100.13	0.0	981.29	1051.79	1286.18	384.34	1896.65	988.12	921.88	1268.46	18.97	1.36	1.13	0.0
BIN1	20310.37	1551.09	423.61	7130.55	2645.74	79.45	10659.59	12244.81	19618.49	4607.24	15392.14	15607.02	9409.14	19348.38	1447.15	1167.14	733.19	1183.45
C10orf71	7857.29	0.67	0.66	332.14	215.77	0.0	884.29	674.59	1923.14	318.57	1551.09	1159.07	974.5	7966.99	0.52	0.0	1.62	0.0
C20orf166	20737.16	35.25	3.92	334.46	170.25	0.0	1950.0	934.76	1127.35	325.29	698.41	2104.58	176.29	5255.91	11.47	26.1	9.56	5.15
CACNA1S	6840.04	2.46	0.71	595.34	258.57	0.0	1073.91	1104.13	3395.89	423.61	3018.3	2976.74	2193.99	3982.99	0.69	0.0	1.41	0.21
CACNB1	6607.01	358.54	148.09	1844.76	775.05	17.13	3768.09	3716.2	5831.91	1437.15	4512.4	4671.57	2240.11	8598.28	208.38	521.76	77.79	92.7
CACNG1	4607.24	4.5	1.31	599.49	228.13	0.0	1313.23	1268.46	2502.97	432.53	2104.58	1794.29	1030.12	3372.43	6.52	2.32	3.11	4.58
CACNG6	813.63	0.0	1.03	232.94	83.45	0.0	441.64	470.14	769.69	120.1	397.93	764.36	450.94	3235.01	0.0	34.75	2.66	1.91
CAMK2A	2816.11	87.65	6.52	255.0	129.69	0.27	633.73	620.67	1119.56	171.45	599.49	698.41	571.05	1295.13	40.36	18.84	29.91	27.25
CASQ1	55491.3	57.49	18.16	4450.27	1844.76	3.53	8363.13	14262.1	24321.43	3794.3	16496.96	32315.87	6294.04	39510.91	84.63	108.14	22.75	10.16
CASQ2	4869.99	136.19	674.59	1322.37	511.0	0.0	1806.78	2627.46	3190.46	599.49	1857.6	8247.98	11112.3	35609.13	825.0	638.15	423.61	460.44
CAV3	3794.3	2.29	4.86	400.71	183.82	0.6	1313.23	1883.54	2303.12	435.55	2119.22	1923.14	2148.82	3874.05	0.73	2.76	2.92	0.83
CDH15	389.72	2.27	1.48	110.43	45.21	1.01	223.41	334.46	441.64	81.71	518.15	267.73	432.53	454.09	5.59	3.44	5.28	0.07
CKM	951601.81	316.37	167.9	69753.56	34158.52	7.57	201440.3	161367.56	422911.59	63302.6	400098.69	462789.59	195931.88	1890058.21	30.56	100.13	84.04	7.63
CKMT2	22225.61	208.38	106.63	3901.01	1991.0	0.78	11267.44	10368.08	15180.22	2997.45	11827.67	18304.63	19082.0	144427.91	144.01	42.41	293.07	244.57
CMYA5	34396.12	224.97	16.51	6037.61	1806.78	3.2	11909.94	6381.92	21919.61	4419.52	14163.58	21617.82	6121.9	42346.82	72.01	41.22	48.87	39.5
COX6A2	101420.22	53.95	26.67	22072.07	6840.04	7.57	42346.82	36610.26	76330.98	15824.9	66449.85	258533.99	42641.37	998912.34	37.32	9.06	29.06	9.93
COX7A1	81809.59	2104.58	1794.29	20593.91	9344.14	39.79	45386.27	45701.96	102836.01	18689.27	109455.64	71714.63	34158.52	211455.3	1685.71	1583.71	1769.57	1733.13
CSRP3	131071.0	5.92	0.89	16045.82	5076.84	0.0	11189.6	10225.32	15607.02	5112.16	10659.59	258533.99	10512.82	711250.37	0.0	6.89	2.61	0.07
DDIT4L	2997.45	22.26	18.29	450.94	373.81	0.0	1551.09	2163.77	2720.15	607.87	4639.29	77.79	23820.89	4328.55	25.91	49.21	9.06	11.91
DHRS7C	7130.55	3.26	0.0	551.56	316.37	0.0	1936.53	1757.34	4639.29	764.36	3124.78	1340.84	173.85	2915.45	3.08	0.0	5.32	2.58
DUPD1	1417.35	0.0	0.0	92.05	22.43	0.0	307.69	279.14	176.29	84.63	346.29	100.13	180.02	1417.35	0.0	0.0	0.0	0.0
DUSP26	5517.27	100.83	11.91	1407.55	420.68	0.36	2287.2	2502.97	4358.66	1001.93	2816.11	9279.58	3103.19	20310.37	83.45	46.5	60.39	162.14
DUSP27	1909.85	4.21	9.85	503.95	152.28	0.0	848.22	1151.06	1605.83	341.51	1721.16	1388.16	1583.71	2627.46	1.77	4.58	4.62	0.0
EEF1A2	36864.92	486.75	1023.0	10225.32	3847.29	23.25	19214.73	25708.25	40904.3	8538.88	40621.74	59063.35	93974.69	123144.13	215.77	64.8	480.04	171.45
ENO3	208544.12	493.56	190.34	25887.07	10808.41	31.9	92680.9	68793.23	147462.67	26431.04	139508.13	100719.65	14867.79	172949.54	417.77	363.56	262.2	134.3
EXTL1	363.56	31.22	3.26	98.04	57.89	0.0	444.72	167.9	507.46	46.5	441.64	435.55	29.48	503.95	22.92	7.17	22.92	3.66
FABP3	51775.15	121.79	555.41	6745.86	3443.31	176.29	10883.59	16157.44	26067.14	4704.07	16157.44	6381.92	7695.57	13033.07	2434.5	1639.59	435.55	148.09
FAM57B	9.27	6.94	0.61	198.47	13.32	4.82	376.41	241.19	170.25	231.32	376.41	142.01	221.86	323.03	20.56	16.27	0.42	2.58
FBP2	12589.08	8.51	0.0	688.78	400.71	0.0	3372.43	2224.63	5633.22	447.82	2701.35	2133.97	244.57	3716.2	47.17	2.92	217.27	119.26
FBXO40	3716.2	2.05	0.32	118.43	127.0	0.0	733.19	420.68	1051.79	209.84	830.75	232.94	46.84	2119.22	2.41	0.46	0.29	0.38
FGF6	229.72	0.0	0.0	9.63	5.11	0.0	48.18	109.66	40.07	15.68	92.05	22.26	211.31	51.71	3.44	2.03	0.0	0.0
FITM1	5366.37	55.1	18.03	1674.06	669.92	12.0	3467.27	3928.15	5219.6	785.88	5329.3	2645.74	3190.46	14867.79	47.17	8.78	47.5	40.36
FSD2	1923.14	1.27	0.0	39.5	53.95	0.26	414.87	363.56	555.41	69.03	483.38	53.19	22.26	802.41	6.31	9.85	1.17	0.29
GPD1	6337.83	31.22	14.67	480.04	376.41	2.63	2502.97	2701.35	4836.35	819.3	3847.29	775.05	3168.41	1407.55	17.0	4.31	106.63	14.24
HAX1	4512.4	2224.63	1819.35	2468.49	2287.2	1781.89	2895.31	2915.45	4038.61	2664.15	3639.7	3540.14	3168.41	4181.07	2485.67	2061.24	2335.28	1950.0
HFE2	10585.95	3.92	3.23	974.5	595.34	0.0	2271.4	4095.0	7642.41	1259.69	3742.05	3124.78	1819.35	3515.68	2.41	2.71	1.71	0.0
HHATL	8247.98	8.99	3.2	830.75	305.55	2.36	2255.7	1844.76	2816.11	854.13	3280.18	7032.37	2133.97	53601.03	0.0	9.56	6.89	4.28
HRC	5751.61	94.01	43.94	1397.83	583.07	0.47	3212.66	2739.08	4481.23	974.5	5076.84	3491.39	7331.05	17558.94	21.32	17.77	20.56	37.85
HSPB7	35118.87	2997.45	5791.62	8901.53	4543.8	0.47	12244.81	11504.21	17681.08	5594.3	19082.0	28525.2	9474.59	148488.36	4736.79	3235.01	3395.89	2047.0
ITGB1BP2	1551.09	125.24	211.31	341.51	129.69	10.08	909.17	521.76	1001.93	139.07	1151.06	435.55	142.01	5292.48	162.14	150.17	133.36	71.0
KBTBD13	444.72	0.0	1.62	8.92	14.14	0.26	98.73	76.17	147.06	16.51	170.25	44.57	8.92	153.34	0.0	0.0	0.0	0.0
KLHL30	698.41	11.73	8.51	358.54	37.59	8.25	281.09	567.1	511.0	144.01	470.14	595.34	1208.34	486.75	15.22	16.15	13.93	11.55
KLHL31	2468.49	2.71	4.35	146.03	128.79	0.74	457.25	291.04	633.73	122.64	1030.12	87.65	71.5	3564.78	7.94	9.93	7.75	2.97
KLHL33	713.11	35.5	3.5	20.26	15.91	0.34	155.5	229.72	314.17	31.9	295.11	53.95	39.22	70.51	7.22	2.2	3.44	7.0
KLHL38	2627.46	8.92	1.07	50.98	54.33	0.57	289.02	204.07	361.04	90.77	486.75	57.08	38.67	1457.23	17.25	50.27	4.1	9.13
KLHL40	5517.27	1.89	2.73	633.73	334.46	0.0	1896.65	1561.89	2417.67	728.11	2682.69	2555.58	275.28	8840.04	1.95	0.83	2.23	1.75
KLHL41	121448.75	57.89	30.34	14561.8	5006.93	1.43	34158.52	40341.14	66912.05	12853.63	39510.91	113315.62	47642.77	246289.25	82.87	44.25	67.59	17.77
KY	269.6	44.89	8.0	23.59	47.17	0.66	346.29	559.28	713.11	77.79	486.75	934.76	144.01	583.07	35.0	13.03	68.55	18.7
LDB3	75803.72	1199.98	412.0	4152.18	2148.82	4.46	10368.08	14163.58	23492.92	3564.78	16611.71	44761.41	16496.96	113315.62	698.41	384.34	441.64	395.18
LMOD2	42054.3	1.25	1.6	3060.45	1572.76	0.0	10808.41	19214.73	14163.58	2209.26	10883.59	10512.82	14361.31	25005.23	1.03	4.78	1.19	3.44
LMOD3	11035.54	30.78	14.78	1477.58	551.56	0.43	2645.74	2502.97	5255.91	1119.56	4512.4	3039.3	981.29	33455.53	44.25	8.99	10.47	13.93
LRRC14B	616.37	2.53	0.0	33.3	42.71	0.0	171.45	111.21	237.86	39.5	395.18	92.05	4.35	1073.91	0.0	0.0	1.75	0.0
LRRC30	182.55	0.0	0.0	4.94	10.71	0.0	67.12	102.25	80.01	15.22	339.14	24.46	44.89	114.36	0.0	1.43	0.0	0.0
LRRC38	493.56	1.2	1.97	60.82	25.72	0.32	102.25	334.46	264.03	22.1	159.9	100.83	253.23	353.59	2.41	0.78	9.2	8.38
LRRC39	8538.88	23.42	20.71	327.56	387.02	12.09	1208.34	1769.57	1896.65	435.55	1304.15	733.19	665.29	10154.69	17.0	22.26	9.41	2.68
LRTM1	1.07	0.0	0.0	15.8	4.28	0.0	591.22	429.54	450.94	33.54	1001.93	22.75	12.55	146.03	1.66	0.0	0.0	2.66
