	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AZ.4323.01A.21R.1839.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.52.7809.01A.21R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.AF.2687.01A.02R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.ZYY3.1726.SM.5EGH3
AC009403.2	42.71	165.57	121.79	444.72	123.5	70.51	105.15	316.37	94.67	132.44	166.73	142.01	105.89	40.64	45.53	0.0	0.0	115.97	166.73	221.86	85.82	17.25	21.78	57.89	35.5	26.86	30.56	71.5
ADAT1	389.72	909.17	693.58	575.03	301.33	599.49	629.35	651.58	269.6	303.44	830.75	665.29	575.03	312.0	255.0	0.0	0.43	921.88	454.09	718.08	346.29	356.05	221.86	514.56	195.72	486.75	223.41	351.14
AGK	241.19	409.15	351.14	426.57	318.57	346.29	463.65	379.04	289.02	269.6	346.29	387.02	480.04	264.03	142.01	0.0	0.51	387.02	493.56	532.74	204.07	170.25	140.04	239.52	215.77	170.25	191.67	167.9
ALG10	74.58	100.13	136.19	82.29	40.36	52.82	88.88	71.0	30.34	36.27	46.5	55.1	77.79	34.02	14.03	0.0	0.17	95.34	108.9	79.45	32.13	65.26	23.25	70.51	42.11	27.25	27.44	60.39
ALKBH2	483.38	921.88	718.08	860.08	406.31	511.0	808.0	493.56	373.81	525.39	1066.48	679.29	728.11	356.05	158.79	0.0	0.28	1008.9	1111.82	674.59	759.08	429.54	575.03	417.77	392.44	444.72	395.18	54.72
ANXA2R	28.04	108.9	43.02	66.18	40.64	62.56	50.27	122.64	48.87	54.72	66.18	59.97	96.68	27.84	33.06	0.0	0.43	63.89	52.82	25.54	11.55	23.76	36.27	13.52	15.22	5.96	13.32	14.78
ARHGEF39	35.5	265.87	251.48	567.1	109.66	128.79	409.15	384.34	77.79	214.27	463.65	579.04	163.28	59.13	35.25	0.0	0.87	647.07	563.18	320.8	24.11	85.22	9.63	71.0	54.33	25.35	30.12	85.82
ARIH2OS	16.15	54.72	45.21	25.17	21.16	21.32	37.05	37.59	24.46	14.14	74.58	57.49	67.59	17.25	15.22	0.0	0.0	41.81	61.68	30.56	19.97	3.29	5.23	15.68	14.35	11.82	7.75	12.18
ASB13	237.86	457.25	738.29	379.04	493.56	647.07	417.77	665.29	361.04	361.04	255.0	447.82	392.44	358.54	204.07	0.0	0.0	325.29	466.88	320.8	387.02	293.07	191.67	384.34	140.04	358.54	299.25	144.01
B4GALT6	49.91	172.65	90.77	117.6	46.18	50.98	76.71	93.35	32.36	28.24	157.68	137.14	46.5	29.91	5.68	0.0	0.37	159.9	68.07	51.71	16.39	11.73	6.62	24.99	17.0	60.82	12.0	34.02
