	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11NUK.2426.SM.5BC4U
R3HCC1	189.02	189.02	106.63	1044.52	1044.52	397.93	325.29	629.35	571.05	638.15	665.29	679.29	339.14	988.12	511.0	1008.9	332.14	543.96	536.45	647.07	669.92	616.37	435.55	0.0	0.34	151.22
RANGRF	368.65	309.83	647.07	1183.45	1111.82	708.18	647.07	819.3	775.05	819.3	759.08	884.29	486.75	941.27	647.07	1159.07	514.56	376.41	698.41	941.27	454.09	529.06	466.88	0.0	0.67	197.09
RFNG	305.55	309.83	299.25	1159.07	1191.69	483.38	450.94	842.36	872.1	738.29	723.08	674.59	332.14	1427.22	414.87	954.43	281.09	486.75	802.41	567.1	384.34	684.02	251.48	0.0	0.83	291.04
RIPPLY1	0.62	0.0	1.0	7.57	2.89	5.23	8.78	9.13	6.11	9.27	4.86	4.46	0.0	7.57	4.66	10.71	1.45	1.83	2.89	5.28	0.0	0.0	3.89	0.0	0.03	0.0
RPUSD3	406.31	733.19	551.56	728.11	866.07	470.14	441.64	612.11	563.18	547.75	559.28	579.04	361.04	713.11	642.59	738.29	336.79	460.44	796.86	708.18	392.44	457.25	356.05	0.0	0.27	309.83
SAT2	612.11	327.56	387.02	2997.45	3190.46	1709.26	1832.01	2193.99	2367.9	2047.0	2133.97	3018.3	1191.69	2997.45	2163.77	3395.89	1397.83	1477.58	1639.59	1745.2	1819.35	1208.34	1143.1	0.0	0.92	457.25
SCRN2	134.3	162.14	267.73	4543.8	2090.03	1159.07	718.08	2163.77	2400.97	2367.9	3325.99	3349.13	289.02	4869.99	2119.22	4328.55	909.17	2935.74	3467.27	1059.11	1529.73	780.44	318.57	0.0	0.6	327.56
SF3B2	1199.98	1397.83	1151.06	3190.46	3491.39	2148.82	1977.24	2875.3	3235.01	2997.45	3124.78	3325.99	1583.71	2555.58	2367.9	3820.7	2061.24	2224.63	2520.38	2935.74	2520.38	2895.31	2104.58	0.0	1.01	1857.6
SIRT4	17.77	41.22	20.56	46.5	60.39	35.0	46.18	74.06	50.63	26.67	47.17	50.27	16.63	107.38	37.32	102.97	36.27	28.04	38.95	26.47	25.72	8.06	22.26	0.0	0.0	6.06
SLC25A42	42.71	76.71	84.63	244.57	232.94	228.13	152.28	260.38	231.32	171.45	244.57	307.69	110.43	327.56	149.12	327.56	95.34	279.14	178.77	309.83	165.57	258.57	103.69	0.0	0.4	42.41
SNTA1	185.11	74.06	129.69	1651.0	854.13	909.17	738.29	988.12	967.76	808.0	1199.98	1208.34	183.82	1059.11	848.22	947.83	460.44	981.29	733.19	420.68	559.28	587.13	98.04	0.0	0.49	78.34
SNX15	182.55	336.79	368.65	1104.13	587.13	616.37	607.87	825.0	713.11	679.29	775.05	854.13	323.03	1233.75	536.45	1008.9	414.87	583.07	728.11	540.19	429.54	579.04	318.57	0.0	0.01	151.22
SNX17	1508.65	842.36	1001.93	3491.39	2835.7	2119.22	1832.01	2384.37	2400.97	2351.53	2537.92	2468.49	1216.75	2367.9	1923.14	2915.45	1617.0	2434.5	3491.39	1685.71	1721.16	1487.87	1304.15	0.0	0.55	642.59
SYDE1	42.11	73.03	46.18	536.45	371.22	244.57	232.94	351.14	289.02	392.44	325.29	356.05	120.1	620.67	409.15	674.59	303.44	343.89	728.11	348.71	303.44	395.18	204.07	0.0	0.72	68.07
TBC1D17	473.41	480.04	511.0	1572.76	1295.13	884.29	796.86	1322.37	1096.5	1023.0	1208.34	1208.34	674.59	1111.82	775.05	1104.13	723.08	748.61	633.73	718.08	1059.11	995.0	435.55	0.0	0.52	251.48
TESK1	287.01	332.14	466.88	1551.09	1322.37	1183.45	988.12	1447.15	1268.46	1477.58	1259.69	1605.83	400.71	1519.15	1044.52	2090.03	567.1	1268.46	1208.34	921.88	808.0	1073.91	265.87	0.0	0.96	336.79
THAP3	96.68	78.34	161.02	733.19	665.29	283.05	325.29	473.41	525.39	400.71	547.75	466.88	111.99	536.45	379.04	728.11	334.46	366.09	269.6	307.69	251.48	334.46	108.9	0.0	0.54	78.34
THRA	318.57	193.01	460.44	1350.18	1216.75	1015.93	866.07	1259.69	1286.18	1225.22	1477.58	1427.22	518.15	1508.65	703.28	1781.89	825.0	819.3	612.11	1044.52	836.53	1135.2	571.05	193.01	167.9	206.94
TMEM240	4.46	4.21	2.29	107.38	77.25	14.35	21.16	49.21	38.67	35.25	40.07	17.77	12.27	98.04	10.31	95.34	28.04	14.45	42.41	38.12	29.91	57.89	5.06	0.0	0.32	14.78
