	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZZPU.0626.SM.5E43T	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZQUD.0426.SM.57WFR	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.ZE9C.1126.SM.4WWBD	GTEX.WRHK.0526.SM.4MVOF	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.111CU.0726.SM.5GZYD	GTEX.146FQ.1026.SM.5LU8I	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.13D11.1926.SM.5IFGB	GTEX.REY6.1326.SM.48FDO	GTEX.11NSD.1126.SM.5N9BQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.1399R.0826.SM.5IJEL	GTEX.139T6.0626.SM.5IFF9	GTEX.WQUQ.1626.SM.4OOSH	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11P81.0826.SM.5P9GR	GTEX.139YR.1726.SM.5IFFK	GTEX.ZDYS.0826.SM.4WWCR	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.13FLV.1126.SM.5J2NO	GTEX.XQ3S.1126.SM.4BOPK	GTEX.YEC3.2526.SM.4YCDN	GTEX.VUSG.1226.SM.4KKZF	GTEX.13QBU.1026.SM.5LU3R	GTEX.OXRN.1726.SM.3NM9B	GTEX.P4PQ.0626.SM.3NMCU	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCB10	251.48	368.65	283.05	265.87	267.73	277.2	285.03	295.11	251.48	246.28	236.21	277.2	258.57	221.86	195.72	231.32	215.77	94.01	262.2	204.07	199.85	232.94	148.09	301.33	178.77	154.42	218.79	260.38	178.77	186.4	193.01	224.97	181.28	220.32	154.42	221.86	148.09	131.51	167.9	234.57	215.77	234.57	166.73	139.07	170.25	353.59	191.67	152.28	190.34	187.71	195.72	180.02	136.19	232.94	173.85	114.36	189.02	147.06	115.16	199.85	172.65	229.72	185.11	99.43	82.29	121.79	206.94	158.79	232.94	166.73	206.94	221.86	128.79	138.1	108.14	110.43	409.15	287.01	117.6	85.22	211.31	151.22	153.34	190.34	170.25	194.36	173.85	223.41	147.06	159.9	211.31	181.28	99.43	108.14	99.43	111.21	147.06
AGGF1	473.41	521.76	540.19	392.44	389.72	417.77	507.46	395.18	409.15	432.53	397.93	392.44	353.59	361.04	486.75	571.05	366.09	271.48	226.54	195.72	214.27	214.27	123.5	248.0	153.34	134.3	248.0	232.94	209.84	180.02	133.36	208.38	253.23	199.85	172.65	303.44	190.34	169.07	159.9	332.14	190.34	265.87	159.9	78.89	273.37	361.04	273.37	214.27	295.11	221.86	293.07	318.57	249.73	281.09	217.27	164.42	258.57	214.27	79.45	291.04	262.2	323.03	253.23	106.63	72.52	128.79	299.25	166.73	212.78	122.64	283.05	334.46	199.85	180.02	98.73	221.86	400.71	392.44	185.11	134.3	249.73	220.32	150.17	246.28	208.38	332.14	277.2	334.46	242.88	249.73	473.41	231.32	148.09	307.69	201.25	271.48	206.94
AGPS	269.6	1111.82	409.15	285.03	307.69	529.06	389.72	348.71	334.46	220.32	273.37	299.25	435.55	204.07	373.81	392.44	371.22	164.42	336.79	260.38	289.02	341.51	182.55	320.8	309.83	198.47	320.8	215.77	212.78	229.72	255.0	273.37	351.14	180.02	151.22	229.72	123.5	135.24	128.79	327.56	146.03	176.29	152.28	93.35	185.11	316.37	129.69	161.02	215.77	175.07	251.48	260.38	195.72	260.38	153.34	181.28	169.07	193.01	107.38	224.97	209.84	371.22	180.02	119.26	108.9	157.68	242.88	135.24	170.25	100.83	215.77	264.03	142.01	112.77	114.36	144.01	406.31	264.03	118.43	103.69	231.32	173.85	183.82	214.27	166.73	175.07	265.87	301.33	194.36	171.45	341.51	163.28	217.27	224.97	108.14	129.69	108.14
ALG10	96.68	244.57	131.51	86.43	98.04	127.0	113.56	146.03	116.78	111.21	85.22	87.65	98.73	117.6	111.99	107.38	129.69	74.58	26.1	40.36	58.3	30.78	14.78	63.0	42.41	39.79	52.82	76.71	30.34	36.27	40.07	36.53	99.43	29.27	34.02	39.5	27.25	21.16	70.51	144.01	24.11	27.44	42.41	29.48	63.89	104.42	38.67	47.17	59.13	41.52	48.87	77.25	53.19	68.07	29.06	32.82	47.17	36.53	24.46	63.45	44.57	64.34	68.55	31.9	30.12	25.17	53.19	29.91	31.45	12.36	54.72	52.45	23.76	25.91	11.04	39.22	128.79	111.99	35.25	37.59	76.17	38.95	46.18	67.59	75.64	77.25	59.55	62.12	49.56	46.84	32.13	65.26	23.25	70.51	42.11	27.25	27.44
ALG10B	100.83	106.63	118.43	117.6	83.45	111.21	98.04	127.89	89.51	127.89	88.26	85.22	86.43	103.69	97.36	64.34	131.51	18.56	11.21	19.97	24.63	15.8	12.09	35.5	9.93	28.86	41.81	25.91	24.63	27.84	26.28	25.54	47.5	26.28	28.04	53.57	15.11	14.14	21.78	85.82	16.51	33.06	19.97	24.28	46.18	66.18	52.45	45.85	36.01	20.11	35.5	27.05	30.78	57.89	17.38	21.32	30.34	34.26	16.39	38.67	75.11	116.78	56.68	22.43	32.36	11.38	45.85	15.91	42.71	8.25	24.11	57.49	25.72	23.42	9.27	14.45	71.0	90.77	35.76	21.63	39.22	36.53	27.25	62.12	56.68	57.89	32.59	45.21	54.72	49.91	57.08	44.25	26.1	37.05	13.42	24.99	2.27
ALKBH8	198.47	126.12	172.65	239.52	153.34	163.28	159.9	189.02	162.14	175.07	158.79	237.86	182.55	221.86	166.73	190.34	237.86	44.89	54.72	73.54	69.52	68.55	60.39	102.97	59.55	63.0	103.69	72.52	65.72	62.56	57.08	66.18	66.65	70.51	66.18	92.7	63.45	66.18	52.08	96.68	55.89	84.63	52.08	25.35	105.15	164.42	72.01	86.43	82.87	77.79	103.69	140.04	85.22	77.79	61.68	43.32	80.01	74.06	26.86	98.73	71.0	142.01	77.79	49.21	20.11	56.68	117.6	37.85	82.87	13.42	92.7	98.73	68.55	77.79	43.32	74.58	113.56	125.24	49.56	25.91	74.58	49.91	48.52	90.77	54.72	90.14	100.83	98.73	80.57	82.87	145.02	77.25	57.08	96.01	61.68	67.59	62.12
ANKEF1	114.36	258.57	198.47	102.97	105.15	115.16	173.85	125.24	103.69	102.25	120.94	117.6	89.51	88.26	119.26	209.84	106.63	137.14	71.5	40.07	74.58	37.32	56.28	72.01	19.97	40.07	43.32	41.81	36.27	22.92	15.8	36.53	53.19	88.26	38.12	70.51	62.56	42.71	59.13	135.24	46.5	79.45	53.57	21.63	89.51	115.16	108.14	80.57	120.94	125.24	126.12	126.12	84.63	102.97	75.64	61.68	87.03	77.25	20.11	146.03	109.66	167.9	102.25	23.76	19.25	49.91	98.73	46.18	88.88	24.11	105.89	126.12	50.27	66.65	34.75	82.29	120.94	141.02	63.0	25.35	90.14	80.01	53.95	91.41	63.89	121.79	128.79	120.1	102.97	79.45	134.3	119.26	35.76	95.34	113.56	100.83	81.71
ANKIB1	629.35	563.18	575.03	521.76	540.19	660.68	703.28	665.29	543.96	595.34	514.56	470.14	555.41	607.87	435.55	638.15	647.07	212.78	291.04	316.37	242.88	265.87	211.31	460.44	426.57	239.52	412.0	351.14	314.17	299.25	348.71	361.04	507.46	246.28	264.03	435.55	221.86	181.28	194.36	450.94	190.34	389.72	269.6	194.36	295.11	470.14	341.51	281.09	397.93	305.55	287.01	323.03	307.69	423.61	214.27	217.27	323.03	262.2	132.44	343.89	318.57	358.54	376.41	595.34	178.77	91.41	343.89	295.11	366.09	148.09	289.02	400.71	212.78	191.67	147.06	249.73	397.93	547.75	131.51	265.87	332.14	255.0	191.67	301.33	198.47	409.15	281.09	316.37	329.84	198.47	277.2	195.72	171.45	212.78	138.1	199.85	195.72
ANXA1	6652.97	5112.16	4769.75	19482.97	16960.78	21320.18	12244.81	17317.18	23009.42	12244.81	11189.6	11504.21	33455.53	11827.67	38966.94	35118.87	24321.43	1970321.01	447025.24	721179.07	573724.06	345900.08	190574.09	509950.32	345900.08	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	453265.5	365622.68	329517.51	1364554.84	158046.64	217400.14	233003.78	184082.4	139508.13	198667.0	218912.29	194578.47	148488.36	176583.6	82378.63	244588.0	277089.94	150561.19	258533.99	234624.45	155870.75	246289.25	146444.06	215898.44	190574.09	217400.14	269512.87	110216.97	239554.43	236256.4	101420.22	279017.26	244588.0	143430.26	162489.97	211455.3	225066.78	215898.44	198667.0	211455.3	187950.38	205673.01	171754.88	123144.13	294926.33	164758.26	124863.17	167058.21	248002.34	324980.94	236256.4	231394.29	313910.86	437825.58	204252.32	180294.02	225066.78	301123.38	303217.87	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
API5	1721.16	1963.57	1857.6	1745.2	1605.83	1870.53	1991.0	2240.11	1639.59	1769.57	1628.26	1832.01	2047.0	1870.53	1832.01	1572.76	2209.26	842.36	974.5	954.43	961.07	954.43	743.43	1594.73	1143.1	808.0	1059.11	1073.91	967.76	819.3	954.43	1044.52	1242.34	1030.12	819.3	1143.1	995.0	860.08	738.29	1313.23	780.44	1242.34	974.5	842.36	1066.48	1628.26	1183.45	1159.07	1250.98	1111.82	1199.98	1242.34	1001.93	1111.82	884.29	718.08	1143.1	915.51	633.73	1304.15	1030.12	1369.04	1127.35	684.02	674.59	775.05	1225.22	624.99	1111.82	571.05	1216.75	1447.15	674.59	698.41	563.18	915.51	1605.83	1674.06	723.08	890.44	1322.37	988.12	981.29	1369.04	1208.34	1277.29	1199.98	1467.37	1037.29	1088.92	2193.99	1508.65	1551.09	1277.29	1104.13	1023.0	1259.69
