	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.LL.A441.01A.11R.A24H.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.56.8083.01A.11R.2247.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.85.A510.01A.11R.A26W.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.43.7656.01A.11R.2125.07	TCGA.AF.2687.01A.02R.1736.07	TCGA.N6.A4VG.01A.31R.A28V.07
AAAS	1259.69	1175.27	1268.46	2047.0	2520.38	995.0	1437.15	1135.2	1369.04	1870.53	1037.29	854.13	1059.11	896.64	1023.0	1216.75	1467.37	981.29	642.59	674.59	934.76	738.29	620.67	529.06	866.07	575.03	713.11	1096.5	575.03	728.11	616.37	688.78	703.28	642.59	693.58	802.41	915.51	532.74	638.15	813.63	884.29	775.05	1088.92	518.15	830.75	813.63	633.73	688.78	842.36	480.04	713.11	703.28	1313.23	2209.26	1733.13	2018.8	1709.26	2271.4	1378.57	2133.97	1487.87
ABCC5	921.88	559.28	248.0	872.1	392.44	343.89	301.33	251.48	214.27	361.04	361.04	366.09	301.33	221.86	166.73	291.04	277.2	141.02	48.18	25.54	66.65	87.65	47.5	72.52	95.34	135.24	99.43	104.42	48.87	57.08	50.63	49.91	57.08	85.82	65.26	60.39	107.38	51.71	53.57	72.52	82.87	102.25	96.68	69.03	57.08	74.58	72.52	87.65	78.34	15.91	73.03	70.01	642.59	1199.98	1331.57	1350.18	633.73	1096.5	575.03	450.94	764.36
ACD	454.09	743.43	647.07	1104.13	813.63	336.79	384.34	323.03	239.52	521.76	303.44	387.02	232.94	423.61	457.25	567.1	267.73	224.97	118.43	228.13	117.6	217.27	244.57	178.77	242.88	180.02	101.54	281.09	137.14	253.23	125.24	258.57	189.02	199.85	170.25	194.36	217.27	142.01	123.5	182.55	262.2	193.01	329.84	336.79	198.47	269.6	161.02	169.07	201.25	105.89	231.32	161.02	490.14	703.28	753.83	480.04	718.08	884.29	693.58	748.61	638.15
ADAT2	133.36	157.68	77.79	215.77	351.14	275.28	170.25	115.16	185.11	202.66	299.25	106.63	157.68	139.07	175.07	226.54	208.38	71.0	28.24	50.63	44.89	83.45	37.59	70.51	71.5	83.45	72.52	66.18	44.57	81.14	68.07	112.77	57.08	43.32	35.25	54.72	60.82	40.93	96.68	94.01	52.82	80.01	88.26	50.98	82.87	116.78	32.82	92.05	102.97	27.84	50.63	53.19	173.85	249.73	223.41	226.54	234.57	128.79	211.31	563.18	137.14
AGTRAP	1519.15	1216.75	928.3	1233.75	2537.92	866.07	813.63	878.17	473.41	1088.92	1183.45	785.88	896.64	1963.57	454.09	1159.07	591.22	848.22	476.71	503.95	392.44	1066.48	559.28	417.77	620.67	540.19	234.57	334.46	327.56	688.78	301.33	629.35	397.93	397.93	507.46	688.78	379.04	301.33	314.17	543.96	571.05	591.22	616.37	511.0	616.37	356.05	224.97	426.57	463.65	264.03	260.38	312.0	1519.15	1662.49	1551.09	872.1	967.76	2502.97	1794.29	1447.15	1936.53
AP1G2	2664.15	3081.75	2895.31	2104.58	1259.69	1191.69	921.88	1477.58	612.11	1819.35	387.02	1151.06	638.15	1498.22	713.11	1857.6	796.86	830.75	140.04	189.02	543.96	351.14	293.07	708.18	551.56	450.94	109.66	878.17	229.72	1208.34	426.57	555.41	251.48	175.07	595.34	514.56	283.05	84.63	316.37	595.34	460.44	775.05	791.35	351.14	529.06	323.03	217.27	878.17	651.58	84.63	603.67	327.56	1963.57	1508.65	3820.7	1685.71	2018.8	2855.44	1498.22	3060.45	1757.34
AP4B1	575.03	587.13	403.5	521.76	507.46	237.86	209.84	265.87	312.0	334.46	269.6	191.67	158.79	320.8	281.09	483.38	215.77	127.0	81.14	102.25	152.28	190.34	150.17	135.24	135.24	215.77	159.9	234.57	111.21	124.37	124.37	138.1	114.36	133.36	131.51	134.3	262.2	98.04	114.36	226.54	132.44	129.69	220.32	134.3	124.37	182.55	115.16	220.32	201.25	31.45	166.73	90.14	476.71	500.46	620.67	438.59	312.0	320.8	457.25	293.07	343.89
APOC1	1697.45	2417.67	190574.09	1417.35	2090.03	348306.01	102836.01	299043.36	217400.14	60304.42	181548.07	202841.44	290865.98	309589.14	220434.95	146444.06	185362.8	217400.14	1048575.0	1611529.43	2748093.15	1622738.51	1800541.22	1679964.3	1715263.94	1327240.99	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	677564.08	3968052.37	3626130.97	39510.91	1167.14	1111.82	6699.25	11345.82	1685.71	4543.8	5255.91	2255.7
ATP13A2	1208.34	738.29	376.41	624.99	647.07	299.25	297.17	289.02	275.28	417.77	454.09	441.64	281.09	450.94	343.89	595.34	323.03	234.57	112.77	87.65	215.77	108.9	61.25	82.29	146.03	156.59	69.03	74.58	69.03	132.44	108.14	63.0	67.12	82.29	169.07	90.14	72.52	87.65	57.89	129.69	42.11	101.54	118.43	128.79	79.45	82.87	95.34	82.29	53.57	35.5	120.1	80.01	607.87	1081.39	563.18	819.3	470.14	555.41	902.89	543.96	941.27
BCAS4	426.57	647.07	563.18	466.88	251.48	152.28	204.07	68.55	105.89	110.43	256.78	181.28	75.64	111.99	77.25	314.17	35.25	106.63	24.46	4.1	44.25	28.04	38.95	21.63	51.35	58.3	8.92	17.77	15.8	49.56	116.78	29.27	37.59	3.59	35.5	16.63	53.19	3.82	19.97	45.85	44.89	24.99	27.64	47.17	72.52	83.45	21.78	79.45	2.89	7.57	20.41	44.57	180.02	237.86	327.56	403.5	209.84	507.46	463.65	293.07	473.41
