	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.CR.7369.01A.11R.2132.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CN.4740.01A.01R.1436.07	GTEX.1313W.0926.SM.5EQ56
ANLN	29.91	6.57	13.52	65.26	13.42	15.8	6.52	181.28	19.68	47.84	29.48	9.34	83.45	6.21	21.47	6.26	17.51	18.7	15.34	220.32	29.91	226.54	12.45	10.31	145.02	21.78	10.55	25.72	65.72	555.41	579.04	1037.29	1721.16	961.07	63.0	1008.9	279.14	819.3	825.0	791.35	435.55	575.03	525.39	579.04	559.28	37.05
APOBEC3B	30.56	9.13	8.13	130.6	10.63	4.9	4.5	124.37	29.91	31.45	22.26	11.3	40.93	10.47	19.97	2.32	26.1	32.82	6.84	307.69	129.69	389.72	21.63	15.68	141.02	8.99	5.82	12.36	25.17	603.67	426.57	1628.26	432.53	1167.14	92.05	660.68	429.54	244.57	1447.15	178.77	1457.23	595.34	277.2	1806.78	312.0	36.53
ARHGAP11A	32.36	17.0	39.22	32.36	36.01	39.22	22.1	63.0	28.24	69.03	57.08	20.56	87.03	29.91	23.76	15.68	55.1	39.22	23.76	229.72	115.16	131.51	68.55	57.89	48.18	74.06	23.25	43.32	67.59	312.0	182.55	679.29	305.55	395.18	100.83	466.88	113.56	190.34	507.46	371.22	309.83	376.41	249.73	262.2	435.55	26.1
ASF1B	38.95	17.0	10.63	156.59	15.22	7.94	6.84	108.9	35.76	34.75	18.7	10.96	153.34	13.03	29.27	6.21	38.12	19.25	28.04	156.59	43.63	248.0	43.02	28.04	73.54	5.96	24.28	62.56	82.87	848.22	486.75	2520.38	1427.22	1259.69	68.55	785.88	420.68	341.51	902.89	616.37	346.29	1709.26	518.15	1331.57	414.87	49.91
ASPM	8.38	0.0	3.96	20.11	1.87	3.32	1.46	50.63	8.38	10.79	7.46	1.64	47.84	1.19	0.74	1.87	10.16	5.73	13.52	69.03	12.36	78.34	8.32	6.73	55.1	4.66	3.32	4.58	15.68	381.68	275.28	444.72	277.2	395.18	13.52	236.21	87.65	140.04	327.56	483.38	112.77	258.57	98.04	162.14	171.45	10.79
AURKA	41.22	29.48	36.53	106.63	23.59	31.45	22.59	103.69	39.22	33.06	33.3	29.7	99.43	27.84	32.82	28.45	48.87	93.35	66.65	260.38	88.26	447.82	72.52	41.22	163.28	59.97	36.27	77.79	83.45	679.29	753.83	1008.9	915.51	738.29	123.5	633.73	525.39	540.19	713.11	1529.73	450.94	603.67	575.03	633.73	753.83	76.17
AURKB	27.05	8.45	6.73	149.12	6.67	5.06	14.24	95.34	25.54	23.76	25.72	7.4	65.26	7.94	25.35	1.62	21.01	5.11	22.92	119.26	27.05	255.0	29.7	15.11	139.07	26.1	9.48	10.71	50.27	848.22	1331.57	2627.46	941.27	1467.37	49.21	921.88	723.08	934.76	713.11	1437.15	733.19	1487.87	669.92	2287.2	808.0	30.78
BIRC5	42.41	4.82	6.16	199.85	4.24	6.46	2.29	152.28	17.64	26.28	20.41	5.96	108.14	4.94	11.91	6.21	5.77	16.27	10.47	189.02	46.18	314.17	59.13	7.22	94.67	5.5	17.38	21.01	26.28	934.76	743.43	1233.75	791.35	872.1	82.29	764.36	748.61	769.69	1295.13	974.5	547.75	587.13	775.05	1322.37	656.11	52.08
BUB1	18.03	3.08	6.11	39.22	4.24	4.9	3.41	51.71	16.27	17.51	12.93	10.88	44.25	6.52	5.77	3.11	10.08	6.78	5.77	144.01	43.32	95.34	24.99	9.06	70.01	28.65	6.31	3.69	37.85	214.27	244.57	665.29	189.02	295.11	37.32	285.03	150.17	253.23	543.96	356.05	211.31	285.03	204.07	371.22	339.14	27.44
BUB1B	15.8	5.59	6.26	53.19	7.06	7.34	5.02	68.55	14.67	18.16	10.63	5.19	59.97	4.98	12.18	8.25	9.78	46.18	8.92	80.57	31.45	81.14	26.1	15.0	27.25	21.16	10.08	7.17	32.82	389.72	228.13	723.08	373.81	269.6	32.36	353.59	144.01	244.57	497.0	351.14	244.57	343.89	177.53	371.22	295.11	22.59
