	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.E8.A416.01A.11R.A23N.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.QV31.0726.SM.3GAEG	GTEX.OHPM.2626.SM.33HC5	GTEX.11I78.0526.SM.5986A	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.XUJ4.0726.SM.4BOOP	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
ADD1	0.0	1.0	3690.52	3124.78	3280.18	2997.45	2915.45	4095.0	3257.52	3081.75	3564.78	4298.64	3018.3	4152.18	3794.3	3589.58	3235.01	3564.78
ANAPC2	0.0	0.91	928.3	363.56	497.0	511.0	343.89	651.58	679.29	540.19	825.0	1066.48	679.29	796.86	775.05	693.58	728.11	808.0
APBA3	0.0	0.59	511.0	166.73	356.05	212.78	267.73	438.59	395.18	348.71	493.56	441.64	299.25	361.04	463.65	397.93	336.79	395.18
ATG4B	0.0	0.69	1628.26	1059.11	1225.22	1104.13	909.17	1397.83	1304.15	1250.98	1583.71	1561.89	1096.5	1119.56	1674.06	1369.04	1477.58	1350.18
ATP2B3	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.56	1.13	0.0	2.07	2.27	0.21	2.34	0.26	1.27	0.0	0.0
ATXN7L2	0.0	0.43	267.73	125.24	148.09	142.01	144.01	214.27	186.4	186.4	202.66	343.89	143.01	149.12	237.86	199.85	221.86	223.41
BRICD5	0.0	1.2	603.67	45.53	175.07	151.22	122.64	476.71	358.54	147.06	403.5	909.17	283.05	287.01	178.77	182.55	555.41	718.08
C13orf45	0.0	0.0	7.11	0.0	4.39	0.85	0.83	5.63	0.0	1.33	1.45	4.39	0.83	1.83	4.06	0.65	0.84	0.99
C1orf227	0.0	0.0	5.19	11.13	5.87	0.0	0.0	11.91	0.0	4.28	0.0	19.39	0.0	5.15	5.96	4.82	9.7	0.0
C20orf195	0.0	0.01	12.09	6.52	3.0	0.0	4.7	5.68	15.45	4.28	9.78	13.32	3.76	8.58	21.01	3.76	6.78	3.5
C5orf46	0.0	0.01	11.64	0.0	0.0	0.0	0.0	5.15	0.0	4.78	2.58	5.45	3.63	9.41	4.21	11.73	6.26	0.0
C8orf58	0.0	0.29	242.88	162.14	165.57	183.82	128.79	229.72	172.65	156.59	195.72	236.21	156.59	242.88	189.02	127.0	164.42	171.45
CCDC17	0.0	0.17	52.45	28.24	38.12	13.83	10.96	45.53	30.56	19.39	37.32	56.68	23.08	46.84	34.75	32.82	49.91	21.01
CCDC57	432.53	169.07	1378.57	470.14	769.69	718.08	293.07	854.13	995.0	679.29	1119.56	1963.57	1313.23	1044.52	1143.1	981.29	1127.35	1806.78
CCDC78	0.0	0.01	50.63	5.5	7.0	11.64	2.48	13.83	7.11	4.74	27.84	39.79	8.32	6.31	20.71	9.2	15.0	12.74
CCL22	0.0	0.0	18.03	1.19	10.08	0.0	2.58	38.67	7.22	1.85	27.25	66.18	7.34	1.08	0.0	4.7	3.47	1.69
CCT8L2	0.0	0.0	0.77	0.0	0.0	0.0	0.84	0.35	0.32	0.53	0.82	1.2	0.13	0.0	0.35	0.36	0.33	0.13
CENPA	0.0	0.27	4.43	1.35	1.99	1.97	2.34	5.59	3.99	2.86	5.15	16.88	1.93	7.0	13.12	6.16	3.66	12.0
CPSF3L	1662.49	1594.73	2609.3	2018.8	1769.57	1477.58	1477.58	2163.77	2004.85	1832.01	2367.9	2777.33	2133.97	2209.26	2367.9	1733.13	1923.14	2075.59
CRTC1	0.0	0.6	400.71	198.47	312.0	170.25	209.84	420.68	332.14	336.79	483.38	414.87	249.73	400.71	412.0	454.09	403.5	205.5
