	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.117XS.2226.SM.5GIE1	GTEX.ZF28.2526.SM.57WFH	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.13YAN.2026.SM.5Q5EY	GTEX.146FQ.1126.SM.5NQBM	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.12696.1426.SM.5EGJ6	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	GTEX.NPJ8.2426.SM.3MJHL	GTEX.WK11.2626.SM.4OOSK	TCGA.FP.7735.11A.01R.2055.13	TCGA.AX.A2HC.11A.11R.A32Y.07	GTEX.R55G.1626.SM.48FF4
POM121C	358.54	432.53	551.56	567.1	579.04	417.77	414.87	381.68	830.75	665.29	718.08	607.87	785.88	995.0	633.73	1015.93	896.64	1008.9	748.61	651.58	409.15	536.45	718.08	764.36	896.64	947.83	540.19	921.88	651.58	872.1	836.53	848.22	490.14	511.0	842.36	941.27	753.83	0.0	387.02	291.04	595.34	314.17	329.84
PPWD1	218.79	334.46	417.77	460.44	511.0	476.71	348.71	214.27	629.35	483.38	708.18	414.87	748.61	848.22	733.19	1096.5	1008.9	909.17	438.59	1167.14	403.5	447.82	688.78	669.92	1008.9	1286.18	389.72	1111.82	961.07	633.73	595.34	1066.48	559.28	532.74	785.88	1096.5	830.75	0.0	293.07	285.03	409.15	363.56	332.14
PRG2	0.0	0.0	3.35	0.0	0.0	1.11	2.18	0.0	0.0	11.38	7.46	11.38	3.82	16.63	0.0	20.56	42.41	19.97	0.0	9.93	3.03	0.0	6.73	9.7	14.24	18.7	0.0	26.47	3.99	4.28	4.24	7.69	5.15	2.43	12.09	26.47	8.25	0.0	0.0	1.38	1.35	0.0	1.51
PRPF4B	426.57	514.56	693.58	769.69	674.59	457.25	547.75	395.18	1199.98	1127.35	1073.91	854.13	1096.5	1561.89	616.37	1662.49	1088.92	1242.34	651.58	941.27	476.71	603.67	967.76	872.1	1572.76	1551.09	490.14	1427.22	1427.22	1059.11	808.0	1001.93	674.59	796.86	1340.84	1674.06	1295.13	0.0	493.56	480.04	591.22	447.82	363.56
PSPC1	457.25	591.22	813.63	679.29	490.14	466.88	336.79	432.53	684.02	669.92	529.06	532.74	559.28	698.41	665.29	738.29	629.35	769.69	579.04	583.07	400.71	497.0	579.04	587.13	819.3	890.44	463.65	813.63	651.58	400.71	470.14	599.49	693.58	759.08	743.43	836.53	1015.93	0.0	551.56	684.02	624.99	587.13	486.75
PSTPIP2	47.84	37.59	97.36	89.51	132.44	81.14	57.89	17.9	218.79	88.26	154.42	107.38	166.73	480.04	103.69	414.87	361.04	507.46	91.41	180.02	127.89	105.89	318.57	343.89	532.74	808.0	45.21	555.41	423.61	256.78	79.45	295.11	154.42	229.72	473.41	728.11	159.9	0.0	53.19	99.43	140.04	38.95	15.45
QRICH1	591.22	759.08	1008.9	961.07	1233.75	909.17	591.22	476.71	1096.5	1037.29	1359.57	1151.06	1066.48	1639.59	1167.14	1561.89	1674.06	1407.55	967.76	1259.69	1044.52	995.0	1259.69	1159.07	1617.0	1662.49	785.88	1639.59	1023.0	1119.56	928.3	1199.98	1135.2	1001.93	1304.15	1806.78	1583.71	909.17	629.35	902.89	1397.83	769.69	521.76
RAD54L2	56.28	132.44	149.12	153.34	166.73	82.29	67.12	76.17	140.04	172.65	181.28	153.34	231.32	237.86	146.03	265.87	341.51	267.73	137.14	154.42	114.36	115.97	158.79	181.28	241.19	176.29	115.16	214.27	132.44	224.97	128.79	187.71	124.37	147.06	277.2	271.48	232.94	69.03	86.43	92.05	153.34	90.14	74.58
RBM25	426.57	651.58	988.12	1127.35	1044.52	551.56	356.05	444.72	1909.85	1331.57	1467.37	1397.83	1617.0	2875.3	1304.15	2739.08	2434.5	2255.7	1104.13	1551.09	896.64	921.88	1794.29	1769.57	2209.26	2271.4	819.3	3190.46	2178.83	1936.53	1225.22	1896.65	1143.1	1259.69	1909.85	2520.38	1757.34	0.0	497.0	603.67	884.29	435.55	511.0
RFX5	808.0	567.1	723.08	540.19	848.22	591.22	460.44	454.09	928.3	1015.93	915.51	866.07	723.08	688.78	559.28	974.5	1081.39	915.51	555.41	638.15	638.15	435.55	780.44	738.29	748.61	629.35	490.14	878.17	753.83	665.29	599.49	819.3	356.05	575.03	830.75	1081.39	928.3	0.0	395.18	583.07	854.13	583.07	320.8
RIC3	40.36	215.77	190.34	285.03	543.96	180.02	108.14	93.35	105.89	149.12	547.75	507.46	511.0	698.41	830.75	2303.12	1295.13	1769.57	575.03	1037.29	599.49	521.76	808.0	1242.34	1508.65	1051.79	277.2	1583.71	1369.04	1369.04	902.89	1119.56	316.37	698.41	961.07	1268.46	896.64	0.0	229.72	195.72	361.04	91.41	63.45
RP11-505K9.4	4.5	5.77	18.97	0.0	17.77	7.69	0.0	0.0	11.55	6.78	6.73	9.06	60.82	18.97	17.9	61.68	58.3	35.5	20.71	20.41	6.67	11.3	9.93	17.38	84.04	127.89	31.45	23.76	21.94	26.86	8.85	36.01	6.01	11.04	55.1	98.04	27.05	0.0	3.44	4.98	30.56	25.54	2.01
SENP5	186.4	214.27	271.48	214.27	241.19	231.32	224.97	178.77	536.45	420.68	397.93	366.09	429.54	718.08	466.88	738.29	532.74	514.56	381.68	525.39	303.44	327.56	514.56	500.46	633.73	638.15	205.5	866.07	583.07	571.05	392.44	403.5	264.03	397.93	503.95	785.88	457.25	218.79	177.53	211.31	253.23	165.57	90.14
SETD1B	244.57	309.83	351.14	555.41	791.35	343.89	218.79	226.54	1023.0	825.0	1369.04	656.11	842.36	616.37	651.58	1417.35	1572.76	1242.34	543.96	647.07	529.06	511.0	624.99	748.61	961.07	842.36	429.54	836.53	616.37	684.02	514.56	718.08	353.59	525.39	1073.91	1304.15	616.37	105.89	193.01	343.89	343.89	193.01	295.11
SETDB1	246.28	303.44	514.56	490.14	575.03	363.56	314.17	166.73	813.63	629.35	571.05	426.57	529.06	819.3	718.08	896.64	995.0	1111.82	703.28	1008.9	555.41	514.56	860.08	1167.14	796.86	1119.56	387.02	961.07	842.36	684.02	825.0	941.27	551.56	540.19	890.44	988.12	878.17	0.0	500.46	371.22	432.53	346.29	289.02
SFSWAP	309.83	473.41	684.02	633.73	759.08	603.67	466.88	389.72	928.3	825.0	785.88	551.56	713.11	1008.9	819.3	854.13	1096.5	1088.92	718.08	1250.98	651.58	842.36	1030.12	928.3	813.63	1143.1	567.1	1081.39	854.13	693.58	775.05	1143.1	713.11	872.1	928.3	928.3	988.12	420.68	420.68	536.45	575.03	376.41	426.57
SIN3B	295.11	429.54	620.67	629.35	872.1	525.39	363.56	327.56	1561.89	1208.34	1909.85	1073.91	1407.55	1963.57	1175.27	2271.4	2319.15	2133.97	1369.04	1883.54	1135.2	1286.18	1674.06	1733.13	1733.13	1896.65	647.07	2319.15	1639.59	1498.22	1378.57	1950.0	988.12	1388.16	1819.35	2004.85	2090.03	460.44	423.61	536.45	764.36	738.29	693.58
SLC25A13	149.12	149.12	236.21	339.14	139.07	279.14	193.01	201.25	420.68	275.28	198.47	144.01	228.13	409.15	281.09	366.09	348.71	540.19	231.32	220.32	185.11	251.48	417.77	480.04	329.84	647.07	181.28	490.14	381.68	318.57	212.78	346.29	194.36	277.2	361.04	323.03	435.55	0.0	147.06	327.56	89.51	142.01	409.15
SLC25A36	366.09	571.05	532.74	688.78	748.61	480.04	277.2	271.48	1508.65	954.43	909.17	595.34	1295.13	1407.55	928.3	1745.2	1697.45	1498.22	733.19	921.88	587.13	785.88	1225.22	1233.75	1896.65	1617.0	559.28	1540.37	1388.16	1806.78	836.53	1350.18	819.3	743.43	1487.87	1819.35	1561.89	0.0	291.04	607.87	748.61	426.57	387.02
SLC2A13	24.99	104.42	53.19	152.28	121.79	134.3	115.97	53.57	68.55	92.7	262.2	142.01	101.54	285.03	171.45	244.57	140.04	307.69	124.37	136.19	77.79	101.54	155.5	170.25	221.86	343.89	84.63	454.09	156.59	248.0	140.04	141.02	123.5	121.79	163.28	163.28	165.57	0.0	62.12	73.03	171.45	63.89	36.01
SLC4A8	3.66	6.16	17.51	14.35	26.47	29.48	10.71	7.75	22.43	27.64	22.43	15.8	20.56	61.68	13.12	53.95	34.51	55.49	7.88	23.76	13.32	17.0	31.9	8.78	27.64	22.92	36.53	84.63	20.56	21.63	20.71	38.95	30.56	25.35	43.02	35.0	46.5	0.0	1.04	2.2	6.62	4.54	12.27
SRSF11	1199.98	1295.13	2682.69	2682.69	2816.11	1757.34	1407.55	1159.07	5441.3	3515.68	4239.45	2224.63	4736.79	6983.79	3039.3	8134.41	7382.04	7081.29	3280.18	3794.3	2193.99	3039.3	4388.98	4543.8	5954.47	7081.29	1963.57	6935.54	5872.48	5791.62	3235.01	5913.33	2400.97	3768.09	6792.79	7433.4	5006.93	1936.53	1286.18	1286.18	2240.11	967.76	1001.93
STX16-NPEPL1	25.72	7.22	44.25	46.5	38.67	39.79	11.73	22.26	75.11	95.34	211.31	98.73	187.71	387.02	214.27	947.83	1477.58	759.08	251.48	457.25	234.57	303.44	251.48	412.0	603.67	381.68	108.14	454.09	379.04	400.71	325.29	429.54	57.08	178.77	872.1	1216.75	473.41	0.0	3.32	22.1	21.32	4.06	12.83
TBC1D8	137.14	314.17	366.09	241.19	221.86	148.09	127.89	65.72	420.68	297.17	371.22	186.4	591.22	529.06	769.69	1268.46	3257.52	1697.45	397.93	642.59	318.57	366.09	412.0	490.14	830.75	866.07	187.71	532.74	450.94	536.45	363.56	587.13	361.04	397.93	698.41	703.28	848.22	0.0	265.87	244.57	303.44	173.85	87.03
TBP	197.09	316.37	299.25	307.69	299.25	226.54	206.94	201.25	265.87	291.04	334.46	249.73	329.84	412.0	320.8	353.59	414.87	353.59	246.28	387.02	197.09	273.37	454.09	206.94	409.15	420.68	318.57	454.09	316.37	277.2	318.57	336.79	303.44	239.52	406.31	414.87	358.54	244.57	208.38	246.28	312.0	253.23	231.32
TBRG1	384.34	480.04	764.36	633.73	665.29	521.76	454.09	406.31	514.56	624.99	791.35	738.29	842.36	1651.0	791.35	1295.13	1208.34	1529.73	780.44	995.0	698.41	559.28	1088.92	1023.0	1250.98	1417.35	497.0	1794.29	981.29	848.22	941.27	947.83	728.11	759.08	1242.34	1909.85	967.76	329.84	366.09	363.56	575.03	392.44	329.84
TEX12	2.05	13.03	4.86	2.63	12.64	1.66	1.5	1.55	0.83	4.13	7.63	3.44	7.51	26.28	7.06	14.89	7.4	13.83	3.92	2.23	1.89	3.47	1.77	14.14	17.25	12.93	3.29	35.76	2.84	4.5	6.26	4.06	2.16	11.38	9.85	17.0	14.67	0.0	2.81	4.98	9.48	4.13	4.21
TMEM62	204.07	158.79	559.28	373.81	316.37	417.77	348.71	234.57	332.14	351.14	283.05	224.97	287.01	525.39	476.71	587.13	764.36	540.19	435.55	525.39	307.69	273.37	220.32	551.56	583.07	684.02	215.77	848.22	571.05	251.48	361.04	555.41	397.93	379.04	529.06	616.37	599.49	0.0	156.59	518.15	211.31	144.01	163.28
TNPO2	583.07	825.0	825.0	854.13	1023.0	656.11	460.44	379.04	1477.58	1191.69	1457.23	1242.34	1151.06	1467.37	954.43	1769.57	1757.34	1674.06	1225.22	1088.92	603.67	603.67	1216.75	1331.57	1216.75	1322.37	775.05	1369.04	947.83	1183.45	1159.07	1359.57	651.58	934.76	1583.71	1407.55	1199.98	1183.45	769.69	759.08	1143.1	607.87	507.46
TRIM33	132.44	228.13	242.88	264.03	265.87	176.29	102.97	92.05	426.57	379.04	323.03	265.87	341.51	470.14	244.57	559.28	660.68	389.72	287.01	218.79	136.19	205.5	295.11	309.83	563.18	438.59	185.11	438.59	320.8	389.72	253.23	327.56	237.86	208.38	460.44	638.15	435.55	0.0	199.85	249.73	277.2	166.73	142.01
TRMT11	143.01	127.0	269.6	218.79	309.83	239.52	134.3	260.38	297.17	307.69	460.44	267.73	420.68	703.28	423.61	813.63	743.43	988.12	387.02	417.77	371.22	363.56	567.1	543.96	629.35	607.87	218.79	780.44	547.75	441.64	303.44	555.41	341.51	444.72	679.29	698.41	381.68	0.0	151.22	356.05	228.13	267.73	170.25
TTC21B	70.01	132.44	107.38	125.24	151.22	149.12	101.54	84.04	253.23	169.07	232.94	186.4	205.5	224.97	185.11	293.07	348.71	444.72	170.25	178.77	140.04	139.07	275.28	190.34	312.0	447.82	127.0	221.86	221.86	221.86	173.85	241.19	239.52	150.17	339.14	318.57	295.11	0.0	115.16	127.89	117.6	134.3	85.82
TTC32	194.36	206.94	193.01	209.84	229.72	314.17	140.04	99.43	796.86	723.08	291.04	307.69	406.31	1030.12	329.84	753.83	684.02	647.07	339.14	698.41	363.56	525.39	507.46	571.05	947.83	1023.0	244.57	1119.56	791.35	775.05	444.72	579.04	332.14	599.49	743.43	1167.14	638.15	0.0	117.6	361.04	195.72	171.45	111.99
TTC34	0.71	0.91	3.69	3.82	5.87	2.2	0.27	0.0	13.83	5.06	4.03	1.27	7.34	7.75	8.25	25.54	31.45	21.32	3.41	13.72	6.89	6.67	15.11	10.96	19.25	18.7	2.63	12.18	15.68	15.0	4.78	15.11	3.69	6.52	13.72	25.91	14.14	0.0	1.79	0.48	6.78	1.95	7.11
UGGT2	77.25	195.72	220.32	170.25	208.38	145.02	91.41	141.02	314.17	262.2	514.56	236.21	373.81	642.59	420.68	532.74	379.04	633.73	303.44	444.72	279.14	307.69	358.54	379.04	575.03	500.46	236.21	503.95	525.39	400.71	264.03	353.59	279.14	285.03	679.29	507.46	409.15	0.0	159.9	231.32	202.66	191.67	273.37
ULK1	262.2	536.45	620.67	624.99	995.0	647.07	612.11	264.03	1498.22	1096.5	1216.75	1073.91	1277.29	1870.53	1167.14	2061.24	1508.65	1561.89	954.43	1467.37	1286.18	981.29	1477.58	1135.2	1832.01	1769.57	567.1	2367.9	1583.71	1407.55	1081.39	1519.15	848.22	642.59	1447.15	2758.13	1936.53	0.0	486.75	381.68	1268.46	406.31	281.09
UNKL	66.18	206.94	309.83	198.47	460.44	167.9	142.01	46.18	381.68	341.51	507.46	281.09	381.68	414.87	376.41	866.07	785.88	674.59	267.73	384.34	312.0	363.56	591.22	463.65	591.22	941.27	180.02	507.46	514.56	381.68	242.88	583.07	316.37	232.94	607.87	738.29	503.95	0.0	198.47	175.07	249.73	277.2	135.24
USP24	186.4	218.79	381.68	373.81	316.37	271.48	214.27	118.43	579.04	429.54	400.71	285.03	412.0	642.59	307.69	723.08	679.29	599.49	348.71	395.18	221.86	273.37	392.44	486.75	656.11	480.04	236.21	830.75	457.25	591.22	329.84	507.46	314.17	295.11	463.65	1088.92	647.07	0.0	185.11	194.36	224.97	166.73	145.02
WDR61	688.78	808.0	1008.9	890.44	941.27	698.41	567.1	1159.07	1030.12	967.76	1051.79	819.3	1037.29	1447.15	915.51	1340.84	1388.16	1250.98	759.08	1167.14	947.83	915.51	1286.18	1088.92	1175.27	1191.69	961.07	1199.98	1159.07	902.89	934.76	1175.27	872.1	1199.98	1437.15	1277.29	1119.56	866.07	981.29	1242.34	981.29	1151.06	1268.46
WDR91	87.03	136.19	215.77	119.26	205.5	108.14	81.14	38.67	848.22	400.71	435.55	363.56	454.09	454.09	327.56	1081.39	698.41	941.27	341.51	423.61	356.05	212.78	351.14	514.56	642.59	764.36	185.11	571.05	432.53	651.58	299.25	470.14	226.54	231.32	536.45	698.41	361.04	0.0	172.65	166.73	173.85	175.07	98.73
XAB2	624.99	728.11	780.44	780.44	941.27	642.59	511.0	412.0	866.07	759.08	769.69	733.19	802.41	1127.35	866.07	1216.75	1175.27	1378.57	796.86	961.07	896.64	842.36	967.76	872.1	961.07	1151.06	728.11	1259.69	878.17	780.44	764.36	1199.98	902.89	830.75	1096.5	954.43	1051.79	0.0	769.69	785.88	941.27	1023.0	599.49
YLPM1	406.31	547.75	665.29	660.68	718.08	387.02	307.69	301.33	1059.11	703.28	698.41	633.73	708.18	769.69	476.71	785.88	836.53	872.1	540.19	651.58	379.04	473.41	575.03	753.83	753.83	842.36	579.04	620.67	583.07	651.58	500.46	759.08	532.74	669.92	780.44	684.02	860.08	0.0	507.46	529.06	463.65	563.18	368.65
YTHDC2	107.38	148.09	215.77	223.41	189.02	170.25	201.25	166.73	353.59	283.05	368.65	231.32	420.68	575.03	279.14	514.56	500.46	361.04	244.57	265.87	154.42	237.86	395.18	356.05	444.72	454.09	190.34	674.59	392.44	371.22	244.57	320.8	195.72	279.14	392.44	514.56	389.72	0.0	118.43	187.71	158.79	107.38	108.9
ZNF155	43.63	31.9	93.35	94.01	137.14	38.12	61.68	46.18	110.43	95.34	128.79	98.73	113.56	161.02	57.08	128.79	129.69	115.16	56.68	119.26	85.22	49.56	109.66	73.54	127.0	157.68	94.67	195.72	67.12	38.12	71.0	115.97	41.22	45.21	163.28	162.14	159.9	0.0	67.12	92.7	141.02	92.7	67.12
ZNF226	343.89	353.59	256.78	309.83	351.14	255.0	208.38	241.19	366.09	307.69	368.65	242.88	373.81	432.53	435.55	466.88	432.53	497.0	307.69	417.77	312.0	412.0	457.25	358.54	514.56	444.72	379.04	460.44	669.92	444.72	226.54	429.54	293.07	267.73	540.19	441.64	450.94	0.0	221.86	381.68	373.81	332.14	237.86
ZNF333	138.1	178.77	271.48	293.07	466.88	130.6	137.14	111.99	336.79	371.22	532.74	291.04	490.14	493.56	376.41	642.59	748.61	587.13	343.89	371.22	241.19	281.09	363.56	454.09	503.95	559.28	218.79	470.14	460.44	435.55	334.46	450.94	248.0	332.14	486.75	595.34	432.53	0.0	171.45	204.07	267.73	202.66	105.89
ZNF441	57.89	128.79	81.14	61.68	199.85	52.08	45.85	28.65	104.42	96.68	159.9	63.89	134.3	193.01	98.04	305.55	205.5	159.9	64.34	175.07	84.63	116.78	153.34	175.07	269.6	176.29	76.17	186.4	148.09	241.19	74.58	125.24	56.28	82.29	159.9	435.55	186.4	0.0	89.51	101.54	81.14	87.65	89.51
ZNF449	51.35	75.64	63.45	92.7	127.0	41.81	30.78	38.12	137.14	115.97	309.83	105.89	159.9	156.59	156.59	392.44	255.0	246.28	114.36	149.12	144.01	88.26	226.54	208.38	397.93	379.04	91.41	186.4	318.57	271.48	136.19	248.0	156.59	173.85	241.19	234.57	226.54	0.0	30.56	67.59	88.88	66.65	63.89
ZNF534	2.46	5.28	0.0	2.84	10.24	2.89	2.1	0.35	2.86	22.75	5.28	5.02	8.32	6.73	6.06	36.01	14.45	10.08	9.63	13.72	7.69	11.91	13.93	10.55	30.56	21.94	5.54	2.97	23.42	5.45	4.43	13.12	7.69	4.43	17.64	18.29	12.45	0.0	4.98	4.21	4.46	0.0	0.52
ZNF606	54.72	59.55	60.39	105.15	105.89	23.59	29.06	11.13	107.38	97.36	161.02	113.56	149.12	260.38	122.64	277.2	387.02	400.71	113.56	336.79	95.34	56.68	217.27	293.07	334.46	381.68	90.14	368.65	356.05	239.52	130.6	373.81	74.06	201.25	285.03	242.88	348.71	0.0	87.03	78.34	120.94	63.0	97.36
ZNF773	50.27	102.97	73.03	79.45	98.73	45.53	57.89	23.08	145.02	95.34	147.06	107.38	136.19	197.09	124.37	387.02	214.27	236.21	88.88	137.14	103.69	98.04	88.26	173.85	281.09	202.66	101.54	291.04	96.68	116.78	81.71	197.09	69.52	116.78	187.71	206.94	142.01	0.0	74.58	74.06	127.0	90.77	87.03
ZRANB2	748.61	819.3	947.83	1104.13	1199.98	909.17	848.22	591.22	1896.65	1498.22	1757.34	1208.34	1594.73	2591.27	1572.76	3372.43	2367.9	2400.97	1467.37	1806.78	1088.92	1806.78	1806.78	2163.77	3081.75	2855.44	860.08	3124.78	2573.36	2502.97	1685.71	2224.63	1175.27	1437.15	1909.85	3103.19	2240.11	0.0	674.59	791.35	872.1	896.64	842.36
ZZEF1	397.93	291.04	262.2	703.28	432.53	314.17	305.55	281.09	848.22	825.0	612.11	647.07	703.28	713.11	698.41	1437.15	1104.13	860.08	518.15	723.08	571.05	497.0	612.11	647.07	915.51	660.68	470.14	780.44	819.3	921.88	616.37	842.36	438.59	567.1	836.53	974.5	995.0	0.0	156.59	201.25	343.89	172.65	134.3
