	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.117XS.2226.SM.5GIE1	GTEX.ZF28.2526.SM.57WFH	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.13YAN.2026.SM.5Q5EY	GTEX.146FQ.1126.SM.5NQBM	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.12696.1426.SM.5EGJ6	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	GTEX.NPJ8.2426.SM.3MJHL	GTEX.WK11.2626.SM.4OOSK	TCGA.FP.7735.11A.01R.2055.13	TCGA.AX.A2HC.11A.11R.A32Y.07	GTEX.R55G.1626.SM.48FF4
CHD2	295.11	435.55	466.88	547.75	536.45	483.38	397.93	215.77	470.14	470.14	571.05	587.13	813.63	1617.0	567.1	1008.9	995.0	915.51	571.05	656.11	341.51	575.03	674.59	713.11	884.29	909.17	366.09	1685.71	780.44	836.53	651.58	780.44	540.19	503.95	1059.11	1225.22	796.86	0.0	384.34	381.68	599.49	307.69	190.34
CNDP1	2.71	0.45	8.92	3.2	0.82	0.0	0.0	0.3	1.69	4.21	0.83	3.11	3.03	17.0	0.33	14.24	16.39	18.84	0.71	7.51	3.2	2.76	7.11	3.41	2.12	6.67	1.35	10.31	6.62	1.71	5.36	2.16	0.0	1.69	15.56	11.91	9.85	0.0	0.62	2.92	0.0	0.0	0.0
CREBZF	314.17	289.02	642.59	555.41	525.39	529.06	363.56	239.52	743.43	738.29	967.76	511.0	974.5	1617.0	825.0	1617.0	1286.18	1369.04	854.13	1250.98	591.22	718.08	1175.27	1096.5	1519.15	1794.29	493.56	1757.34	1551.09	1295.13	915.51	1487.87	808.0	848.22	1199.98	1651.0	1447.15	0.0	329.84	470.14	414.87	275.28	273.37
CTC-349C3.1	11.21	24.81	65.72	75.11	36.79	25.17	20.41	15.0	93.35	61.68	171.45	27.44	114.36	140.04	58.3	172.65	139.07	135.24	94.67	75.11	33.3	58.71	74.06	90.77	77.25	90.77	53.57	90.14	75.64	85.82	81.71	111.21	31.22	85.82	101.54	96.01	85.82	0.0	29.27	18.29	39.5	9.85	13.72
CUL4A	733.19	1008.9	1015.93	981.29	878.17	603.67	674.59	620.67	1030.12	961.07	1023.0	1159.07	1059.11	1088.92	718.08	1066.48	1963.57	1286.18	563.18	738.29	476.71	555.41	819.3	708.18	1111.82	1225.22	728.11	1023.0	884.29	941.27	698.41	967.76	599.49	796.86	1304.15	1397.83	1008.9	785.88	599.49	769.69	830.75	698.41	583.07
CWF19L1	209.84	209.84	320.8	223.41	226.54	273.37	185.11	156.59	279.14	220.32	279.14	251.48	309.83	480.04	239.52	514.56	412.0	470.14	262.2	384.34	332.14	204.07	334.46	356.05	493.56	470.14	224.97	559.28	285.03	361.04	275.28	295.11	343.89	206.94	450.94	529.06	387.02	0.0	281.09	336.79	244.57	198.47	231.32
DCAF16	116.78	220.32	353.59	309.83	358.54	181.28	102.97	142.01	466.88	318.57	329.84	297.17	371.22	435.55	273.37	507.46	457.25	514.56	229.72	303.44	191.67	329.84	353.59	379.04	497.0	414.87	301.33	426.57	353.59	514.56	295.11	351.14	264.03	361.04	403.5	511.0	432.53	258.57	148.09	303.44	334.46	206.94	215.77
DCAF8	1745.2	2739.08	2178.83	2163.77	3372.43	1685.71	1159.07	1159.07	2645.74	2555.58	2875.3	2739.08	3018.3	3349.13	2701.35	4869.99	4769.75	3982.99	2417.67	2417.67	2384.37	2032.85	3303.0	3443.31	4419.52	4038.61	2163.77	3690.52	3395.89	3982.99	2895.31	3515.68	2224.63	2434.5	3874.05	4802.93	3665.02	1295.13	1407.55	1331.57	2796.65	1651.0	860.08
DCUN1D2	323.03	339.14	248.0	339.14	470.14	205.5	285.03	123.5	217.27	332.14	299.25	316.37	371.22	435.55	366.09	521.76	647.07	571.05	264.03	518.15	329.84	267.73	521.76	334.46	547.75	500.46	242.88	444.72	460.44	283.05	265.87	429.54	329.84	341.51	463.65	575.03	470.14	0.0	226.54	199.85	318.57	220.32	152.28
DDX42	1199.98	1781.89	1674.06	1870.53	1909.85	1044.52	764.36	825.0	1896.65	1950.0	2018.8	1794.29	1909.85	2555.58	1721.16	2777.33	2319.15	2193.99	1477.58	1819.35	1286.18	1605.83	2047.0	1977.24	2502.97	2664.15	1286.18	2682.69	2047.0	2417.67	1806.78	2047.0	1250.98	1561.89	2209.26	2915.45	2319.15	759.08	1191.69	1111.82	1721.16	1457.23	988.12
DHX38	688.78	928.3	974.5	1037.29	928.3	599.49	848.22	529.06	1233.75	974.5	1081.39	1051.79	1081.39	1733.13	1044.52	1674.06	1781.89	1651.0	1225.22	1498.22	1023.0	808.0	1183.45	1151.06	1304.15	1477.58	878.17	1870.53	1044.52	1175.27	1127.35	1417.35	884.29	1051.79	1594.73	1350.18	1388.16	0.0	551.56	567.1	748.61	872.1	638.15
DICER1	194.36	256.78	295.11	392.44	336.79	223.41	141.02	143.01	460.44	511.0	497.0	432.53	470.14	1111.82	379.04	679.29	642.59	599.49	309.83	356.05	181.28	281.09	514.56	438.59	665.29	684.02	202.66	1674.06	503.95	796.86	392.44	476.71	289.02	285.03	457.25	981.29	642.59	0.0	223.41	214.27	228.13	150.17	124.37
DNAJB7	0.38	2.2	2.68	2.76	2.63	1.75	1.08	1.0	6.57	4.06	2.68	1.41	5.06	10.16	3.59	8.45	8.99	7.82	5.15	4.5	1.81	3.47	3.92	1.5	5.63	6.94	1.55	6.01	4.31	7.11	8.25	6.57	4.82	2.61	4.24	2.1	2.94	0.0	0.83	1.46	2.56	1.43	1.27
DOPEY1	62.56	138.1	135.24	239.52	193.01	211.31	72.52	73.54	293.07	262.2	356.05	283.05	329.84	429.54	312.0	780.44	514.56	493.56	211.31	341.51	182.55	293.07	457.25	463.65	698.41	435.55	178.77	583.07	518.15	521.76	387.02	435.55	242.88	267.73	379.04	961.07	447.82	0.0	134.3	182.55	170.25	110.43	71.0
ERMN	1.93	0.0	9.27	3.17	9.7	1.31	2.43	3.99	12.64	6.52	2.51	0.62	10.16	21.78	4.62	9.78	13.22	13.72	3.35	29.91	1.75	8.99	6.94	23.93	21.16	28.86	6.21	5.5	17.64	8.38	1.31	11.3	4.46	2.63	9.78	10.55	7.75	0.0	0.46	0.0	2.97	2.07	0.35
FAM76B	87.65	120.1	183.82	229.72	211.31	218.79	121.79	119.26	483.38	376.41	447.82	229.72	444.72	591.22	275.28	866.07	738.29	679.29	297.17	373.81	260.38	275.28	476.71	432.53	688.78	665.29	155.5	500.46	587.13	591.22	301.33	575.03	320.8	273.37	638.15	684.02	595.34	0.0	83.45	159.9	180.02	91.41	75.64
FBXO4	144.01	191.67	167.9	145.02	175.07	108.9	114.36	116.78	287.01	182.55	202.66	115.97	159.9	204.07	205.5	236.21	206.94	281.09	71.5	191.67	165.57	176.29	258.57	180.02	366.09	320.8	102.97	193.01	343.89	181.28	171.45	169.07	182.55	131.51	384.34	438.59	244.57	0.0	187.71	237.86	156.59	236.21	248.0
FLNA	197294.7	301123.38	358098.26	368165.8	1634025.56	118949.35	102125.66	133825.1	419990.32	513497.31	811368.76	1393227.06	649962.87	141455.6	336441.4	220434.95	180294.02	234624.45	275175.93	322736.12	311742.51	288856.81	280957.98	313910.86	207103.59	170568.48	256748.15	208544.12	249727.34	334117.42	290865.98	223512.12	296977.71	258533.99	164758.26	226632.25	239554.43	11424.74	90146.51	288856.81	358098.26	170568.48	128373.58
FNBP4	397.93	518.15	1015.93	796.86	1001.93	669.92	480.04	366.09	2119.22	2032.85	1662.49	981.29	1721.16	2591.27	1167.14	2384.37	2148.82	2090.03	1407.55	1709.26	796.86	921.88	1628.26	1709.26	2224.63	2701.35	813.63	2271.4	2104.58	1651.0	1286.18	1819.35	902.89	1340.84	2178.83	2555.58	1639.59	518.15	444.72	674.59	723.08	318.57	348.71
