	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3
ALKBH4	88.26	62.12	82.87	0.0	660.68	444.72	480.04	503.95	819.3	802.41	447.82	738.29	339.14	329.84	206.94	316.37	309.83	371.22	426.57	162.14	389.72	332.14	297.17	194.36	273.37	275.28	242.88	267.73	351.14	381.68	429.54	176.29	343.89	476.71	356.05	480.04	395.18	229.72	441.64	503.95	387.02	256.78	246.28	429.54	260.38	379.04	525.39	438.59	241.19	591.22	334.46	414.87	376.41	555.41	303.44	444.72	271.48	339.14	591.22	423.61	450.94	169.07	346.29	497.0	325.29	175.07	521.76
ANAPC11	860.08	866.07	1081.39	1151.06	6207.38	5006.93	5441.3	4607.24	4239.45	6121.9	4607.24	6037.61	2627.46	2319.15	1250.98	1896.65	1963.57	3419.52	2682.69	2240.11	3146.52	3325.99	3515.68	2434.5	3325.99	1628.26	2209.26	3146.52	2148.82	3168.41	3212.66	1561.89	4481.23	3874.05	3303.0	3901.01	2796.65	3515.68	3257.52	4239.45	3589.58	1977.24	2537.92	4869.99	1745.2	5329.3	2796.65	4010.71	1709.26	5403.7	3928.15	3124.78	2645.74	6337.83	2485.67	4802.93	2271.4	2935.74	6699.25	4038.61	4481.23	1883.54	1745.2	3395.89	3901.01	2335.28	2956.17
APOA1BP	1015.93	1388.16	1225.22	0.67	4010.71	2758.13	3467.27	3794.3	3018.3	2434.5	2997.45	4937.99	1628.26	1963.57	1651.0	2485.67	1313.23	3419.52	2400.97	1572.76	3325.99	2400.97	2468.49	2303.12	2555.58	1639.59	1733.13	2468.49	1594.73	2434.5	2956.17	1457.23	3794.3	2627.46	2090.03	2400.97	2591.27	2400.97	2104.58	3443.31	2591.27	1378.57	1437.15	3349.13	2018.8	3955.48	2468.49	3395.89	1437.15	3874.05	3124.78	2178.83	2090.03	3716.2	2032.85	3690.52	2502.97	2835.7	4298.64	2555.58	3235.01	1617.0	1457.23	2758.13	3103.19	1896.65	2287.2
APRT	1883.54	1359.57	1477.58	0.61	5995.9	6037.61	5711.87	5672.41	5517.27	6079.61	5183.54	10808.41	3018.3	2758.13	1583.71	2271.4	2178.83	4512.4	3124.78	2193.99	3742.05	3515.68	3614.55	2720.15	4038.61	1617.0	2627.46	2701.35	2520.38	3515.68	3540.14	1769.57	5006.93	3467.27	3742.05	3901.01	3372.43	4010.71	3081.75	4937.99	3395.89	1781.89	3018.3	5555.65	2133.97	5076.84	3665.02	4298.64	1963.57	5112.16	2758.13	3794.3	3039.3	5441.3	2720.15	5441.3	2915.45	3303.0	6792.79	3212.66	4836.35	1832.01	2384.37	3589.58	4972.34	2915.45	3467.27
ARF1	5403.7	6561.36	4972.34	1350.18	12415.75	9151.82	10154.69	11992.79	7803.01	14461.21	11504.21	10512.82	7966.99	7966.99	6426.31	8538.88	6607.01	10659.59	9876.98	8247.98	10808.41	9673.69	11745.96	8598.28	10225.32	7130.55	9606.86	8963.45	7589.61	9740.98	10154.69	10368.08	11664.82	9740.98	8191.0	9673.69	8658.09	8963.45	11424.74	12244.81	9673.69	7331.05	7966.99	11189.6	7032.37	9740.98	9945.68	13399.51	7382.04	9876.98	11345.82	9740.98	11189.6	10440.2	9740.98	11664.82	10296.45	10959.3	9876.98	9279.58	12076.21	6250.56	8778.97	9876.98	11035.54	9279.58	8479.89
ATOX1	2004.85	2701.35	1832.01	0.6	6381.92	4419.52	6250.56	5292.48	9606.86	6887.62	5041.77	12415.75	3874.05	4038.61	4388.98	3901.01	3665.02	8134.41	6699.25	3372.43	5517.27	4481.23	5995.9	4239.45	6652.97	3419.52	3665.02	4903.87	3491.39	4836.35	4239.45	3820.7	6381.92	5255.91	4123.49	5913.33	4543.8	6121.9	5041.77	6887.62	6516.03	2956.17	3955.48	5329.3	2701.35	6840.04	4903.87	5112.16	2520.38	7485.11	6079.61	5517.27	3614.55	7230.1	4123.49	7749.1	3794.3	4450.27	8479.89	5076.84	8022.41	3955.48	3665.02	5219.6	6607.01	4512.4	4769.75
ATP5D	547.75	403.5	769.69	1.08	7180.15	8078.22	5831.91	8778.97	4358.66	7230.1	7485.11	7433.4	3395.89	3349.13	1628.26	1977.24	1950.0	4769.75	3212.66	3212.66	3928.15	4298.64	4010.71	2816.11	3395.89	1277.29	3589.58	2163.77	3039.3	5255.91	4038.61	2682.69	5329.3	4543.8	3982.99	4066.71	4328.55	5441.3	3639.7	4903.87	4239.45	1991.0	2855.44	5594.3	1437.15	10808.41	3614.55	4512.4	2400.97	7382.04	5672.41	3874.05	2627.46	6426.31	3443.31	7485.11	2119.22	3190.46	8658.09	4123.49	5791.62	2090.03	2224.63	4419.52	6381.92	2502.97	4512.4
ATP6V0C	1819.35	2434.5	2777.33	0.87	5219.6	6471.02	6037.61	12160.22	4575.41	6561.36	8247.98	8479.89	3325.99	3690.52	1806.78	3235.01	1923.14	5913.33	4802.93	5183.54	5633.22	4869.99	7280.4	4010.71	5711.87	1605.83	5479.15	2701.35	3982.99	4268.94	3665.02	4836.35	5555.65	4903.87	4937.99	4769.75	5255.91	5366.37	4869.99	3901.01	3768.09	2664.15	3257.52	5517.27	2224.63	5555.65	4769.75	5076.84	2627.46	5751.61	4181.07	4481.23	4869.99	5594.3	5403.7	6121.9	4095.0	3212.66	5366.37	5219.6	6121.9	3372.43	4937.99	4328.55	5183.54	3257.52	5479.15
ATP6V1F	2537.92	2816.11	4358.66	0.71	4671.57	5112.16	5672.41	4419.52	5672.41	6207.38	4769.75	8134.41	2485.67	2520.38	2384.37	2271.4	2367.9	4671.57	3614.55	2520.38	2573.36	2502.97	4419.52	3146.52	4181.07	1551.09	2835.7	2303.12	2555.58	2855.44	2875.3	2956.17	4268.94	3614.55	3589.58	3768.09	4066.71	3847.29	3716.2	3928.15	4181.07	2287.2	2384.37	3690.52	2047.0	4575.41	3146.52	3716.2	2224.63	4268.94	3716.2	2895.31	2796.65	3928.15	3212.66	4298.64	2855.44	2133.97	3982.99	3168.41	4181.07	2739.08	2148.82	3491.39	4095.0	3168.41	3614.55
AURKAIP1	293.07	289.02	995.0	0.75	4575.41	4639.29	4328.55	5366.37	3190.46	4152.18	4152.18	6207.38	2047.0	2075.59	1233.75	1639.59	1331.57	3639.7	2451.44	1844.76	3124.78	2816.11	2956.17	2163.77	2609.3	1583.71	1697.45	1745.2	1819.35	3349.13	2777.33	1447.15	3515.68	2997.45	2997.45	2915.45	2367.9	3235.01	2555.58	3540.14	2739.08	1674.06	2119.22	3742.05	1340.84	4543.8	2400.97	3540.14	1806.78	3665.02	3901.01	3039.3	2224.63	4358.66	2319.15	4450.27	1896.65	2367.9	4512.4	2956.17	4181.07	1250.98	1819.35	2976.74	3103.19	1896.65	2915.45
