	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.11ZTT.2326.SM.5EQLG	GTEX.145ME.1526.SM.5Q5F2	TCGA.KN.8427.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.7722.01A.31R.2203.13	TCGA.D7.6521.01A.11R.1802.13	TCGA.D7.6526.01A.11R.1802.13	TCGA.CG.5719.01A.11R.1602.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BR.8483.01A.31R.2402.13
ABCB8	186.4	236.21	287.01	249.73	450.94	204.07	612.11	463.65	698.41	503.95	995.0	511.0	435.55	529.06	426.57	480.04	400.71	441.64	620.67	616.37	0.36	536.45	718.08	543.96	587.13	738.29	780.44
ARRDC1	231.32	279.14	400.71	409.15	363.56	273.37	1096.5	651.58	902.89	1350.18	1388.16	1159.07	830.75	669.92	567.1	423.61	764.36	713.11	848.22	764.36	162.14	6164.49	1551.09	7857.29	2682.69	1721.16	3018.3
ASL	197.09	195.72	341.51	297.17	529.06	293.07	1088.92	1167.14	1583.71	896.64	2682.69	1208.34	860.08	1073.91	974.5	1191.69	825.0	921.88	1208.34	1583.71	0.41	1628.26	2485.67	11112.3	2148.82	1697.45	2645.74
ATP13A1	248.0	351.14	314.17	363.56	281.09	376.41	836.53	693.58	748.61	842.36	684.02	688.78	607.87	669.92	500.46	571.05	679.29	733.19	866.07	866.07	0.96	1378.57	1594.73	1286.18	1457.23	1617.0	1519.15
AXIN1	97.36	109.66	177.53	100.83	106.63	205.5	368.65	208.38	232.94	392.44	223.41	211.31	204.07	142.01	180.02	152.28	185.11	205.5	301.33	239.52	0.79	591.22	551.56	1259.69	532.74	587.13	651.58
C9orf142	170.25	186.4	356.05	239.52	258.57	169.07	1359.57	1963.57	536.45	1819.35	791.35	796.86	1119.56	551.56	583.07	497.0	967.76	629.35	1111.82	1066.48	0.67	2287.2	1331.57	2835.7	1662.49	1225.22	2335.28
CAPN15	88.88	136.19	163.28	153.34	180.02	175.07	368.65	256.78	269.6	343.89	358.54	214.27	281.09	236.21	260.38	241.19	237.86	204.07	432.53	341.51	0.91	1151.06	1313.23	2148.82	1369.04	1331.57	1208.34
CARD10	198.47	125.24	214.27	165.57	116.78	295.11	395.18	126.12	281.09	159.9	703.28	473.41	117.6	281.09	218.79	379.04	244.57	244.57	540.19	438.59	0.66	836.53	486.75	896.64	693.58	684.02	967.76
CARM1	387.02	447.82	473.41	454.09	215.77	246.28	884.29	819.3	688.78	813.63	902.89	638.15	620.67	616.37	486.75	507.46	759.08	723.08	796.86	866.07	329.84	1023.0	1617.0	1639.59	1151.06	1487.87	1313.23
CHPF	283.05	198.47	316.37	218.79	759.08	162.14	1313.23	921.88	848.22	1340.84	1407.55	1167.14	915.51	825.0	1066.48	651.58	890.44	1127.35	1427.22	1159.07	0.95	1909.85	2875.3	1407.55	4639.29	1709.26	2417.67
