	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.145LU.0426.SM.5O9AH	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
EGR2	215.77	147.06	148.09	29.91	96.68	147.06	81.71	72.01	56.28	153.34	41.81	56.68	94.01	53.57	226.54	3614.55	1135.2	514.56	3190.46	3768.09	2193.99	258.57	264.03	647.07	1250.98	595.34	6887.62	642.59	8658.09	2591.27	1081.39	660.68	8479.89	232.94	314.17	447.82	7433.4	2075.59	371.22	6887.62	463.65	532.74	1806.78	759.08	356.05	14867.79
EIF5A2	25.35	13.03	52.45	16.03	21.47	17.51	25.91	12.18	11.82	15.91	23.25	33.78	27.25	29.27	31.45	96.01	53.19	81.71	103.69	36.53	113.56	89.51	82.87	55.89	63.45	50.27	135.24	62.12	53.57	80.57	50.27	28.65	123.5	71.5	25.54	76.71	107.38	100.83	21.94	128.79	48.52	99.43	84.63	61.25	63.45	80.01
ERRFI1	1594.73	884.29	848.22	532.74	909.17	1044.52	860.08	532.74	1250.98	1015.93	444.72	884.29	1397.83	490.14	854.13	988.12	1769.57	1119.56	1733.13	8479.89	7230.1	1733.13	981.29	1104.13	1529.73	3820.7	5517.27	733.19	4869.99	1709.26	1605.83	2119.22	4607.24	872.1	928.3	2434.5	7966.99	2664.15	1286.18	8305.36	1250.98	1350.18	2090.03	1662.49	693.58	5479.15
ESYT2	420.68	368.65	406.31	293.07	476.71	397.93	376.41	500.46	358.54	409.15	483.38	463.65	473.41	384.34	406.31	1427.22	1015.93	1066.48	1331.57	1175.27	1551.09	941.27	819.3	981.29	961.07	1277.29	1216.75	1183.45	1104.13	934.76	791.35	813.63	1674.06	688.78	947.83	967.76	1417.35	1322.37	708.18	2032.85	995.0	775.05	1277.29	928.3	595.34	1340.84
FAM114A1	283.05	202.66	208.38	241.19	228.13	287.01	320.8	316.37	157.68	256.78	293.07	363.56	417.77	423.61	301.33	612.11	563.18	575.03	536.45	775.05	780.44	483.38	769.69	543.96	540.19	283.05	507.46	486.75	457.25	529.06	567.1	476.71	703.28	607.87	500.46	547.75	616.37	775.05	559.28	819.3	518.15	457.25	432.53	518.15	293.07	595.34
GABARAPL1	1950.0	1733.13	2061.24	2032.85	1745.2	1685.71	1529.73	1242.34	2417.67	2032.85	1135.2	1685.71	1467.37	2163.77	1977.24	2417.67	3419.52	2609.3	3820.7	2720.15	3982.99	3039.3	2537.92	1870.53	2777.33	3540.14	3982.99	1844.76	2240.11	2855.44	1870.53	3257.52	3589.58	2555.58	2895.31	3665.02	3372.43	2555.58	2739.08	3564.78	3168.41	2976.74	3146.52	3103.19	1572.76	2555.58
GLUD1	1081.39	1340.84	981.29	1183.45	1167.14	1088.92	1199.98	1508.65	1233.75	928.3	1250.98	1304.15	1340.84	1259.69	1233.75	2537.92	1832.01	1639.59	1977.24	2133.97	3103.19	1628.26	1498.22	1388.16	1844.76	1295.13	1674.06	2240.11	2163.77	1819.35	1757.34	1709.26	3280.18	1674.06	1369.04	2271.4	2018.8	2209.26	1388.16	3303.0	1721.16	1583.71	1757.34	1950.0	1350.18	2468.49
HCFC2	80.57	66.65	91.41	54.72	105.89	94.67	63.89	102.25	80.57	105.89	82.87	85.82	94.67	76.17	97.36	191.67	178.77	202.66	186.4	190.34	256.78	199.85	206.94	164.42	199.85	149.12	183.82	127.0	133.36	182.55	140.04	211.31	295.11	147.06	146.03	205.5	262.2	246.28	146.03	253.23	159.9	191.67	186.4	126.12	123.5	189.02
HEATR5A	109.66	84.63	113.56	96.01	120.1	104.42	125.24	138.1	99.43	131.51	148.09	148.09	144.01	135.24	138.1	281.09	297.17	236.21	204.07	260.38	265.87	253.23	305.55	228.13	283.05	176.29	206.94	214.27	194.36	264.03	329.84	212.78	220.32	237.86	379.04	206.94	158.79	327.56	269.6	323.03	202.66	285.03	167.9	154.42	142.01	264.03
KLF6	860.08	521.76	387.02	447.82	638.15	521.76	361.04	825.0	543.96	368.65	307.69	785.88	854.13	466.88	633.73	2209.26	3639.7	3018.3	2915.45	3443.31	6294.04	2591.27	1909.85	2090.03	2384.37	2855.44	6337.83	1088.92	7081.29	3742.05	12502.12	3235.01	10512.82	796.86	1844.76	5219.6	11504.21	6471.02	1594.73	9740.98	2895.31	1519.15	2468.49	941.27	872.1	7382.04
LIMS1	258.57	181.28	303.44	202.66	258.57	239.52	217.27	417.77	258.57	289.02	371.22	309.83	454.09	334.46	297.17	860.08	620.67	470.14	684.02	551.56	896.64	511.0	503.95	441.64	454.09	842.36	728.11	575.03	669.92	808.0	571.05	647.07	684.02	334.46	356.05	674.59	1008.9	1001.93	486.75	854.13	583.07	660.68	808.0	432.53	466.88	633.73
