	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YEC4.0826.SM.5P9FV	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.V955.0426.SM.3GAEL	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
ABCG4	0.45	2.07	0.53	3.23	2.34	2.89	0.72	0.0	0.15	7.94	27.64	9.78	9.78	17.77	47.84	8.99	26.1	13.22	50.27	54.33	10.71	24.63	18.97	25.35	8.65	26.67	23.25
ACRBP	9.93	35.76	19.53	55.1	28.65	9.56	16.88	0.0	0.12	426.57	323.03	255.0	397.93	320.8	457.25	483.38	403.5	361.04	348.71	612.11	320.8	316.37	209.84	395.18	348.71	341.51	105.89
ACSBG2	0.0	0.0	0.0	1.51	0.0	0.73	1.03	0.0	0.0	1.17	2.41	3.56	3.26	0.99	1.39	1.3	0.84	1.89	0.92	9.85	1.38	1.55	1.93	3.53	7.0	1.23	0.39
AGAP4	50.98	34.75	23.25	25.54	22.26	42.41	33.78	0.0	1.0	70.51	146.03	82.29	81.14	36.27	127.89	226.54	132.44	133.36	146.03	197.09	183.82	133.36	54.72	63.45	182.55	88.26	16.63
ANKRD49	82.87	106.63	82.29	156.59	108.9	93.35	94.67	0.0	0.51	392.44	454.09	579.04	318.57	366.09	409.15	483.38	397.93	332.14	281.09	819.3	555.41	432.53	339.14	500.46	728.11	503.95	341.51
ATRIP	84.63	64.34	71.5	75.11	53.57	60.39	65.72	0.0	0.0	170.25	253.23	264.03	154.42	271.48	246.28	173.85	220.32	189.02	239.52	356.05	273.37	206.94	205.5	275.28	289.02	232.94	198.47
ATXN7L1	84.63	202.66	162.14	144.01	156.59	116.78	113.56	0.0	0.28	140.04	177.53	208.38	154.42	141.02	205.5	118.43	198.47	151.22	165.57	325.29	193.01	134.3	124.37	127.0	258.57	167.9	96.68
AVIL	11.55	25.91	118.43	68.55	31.0	12.83	19.25	0.0	0.36	161.02	93.35	121.79	142.01	59.55	152.28	112.77	171.45	129.69	105.89	341.51	389.72	167.9	59.97	189.02	457.25	98.04	72.52
B3GALT2	0.79	6.16	0.96	5.59	3.63	3.96	0.0	0.0	0.0	11.82	49.56	40.07	68.55	11.04	7.51	20.56	113.56	15.0	12.18	73.03	22.59	21.94	49.21	52.45	113.56	18.43	19.25
B4GALT4	265.87	264.03	237.86	260.38	275.28	297.17	262.2	0.0	0.99	466.88	423.61	555.41	503.95	563.18	435.55	329.84	503.95	366.09	435.55	612.11	432.53	403.5	444.72	500.46	341.51	457.25	438.59
BBS12	2.66	11.04	3.92	5.28	7.28	6.67	3.79	0.0	0.07	166.73	138.1	305.55	305.55	134.3	185.11	176.29	198.47	172.65	90.77	289.02	178.77	195.72	211.31	224.97	289.02	171.45	171.45
BCAS3	170.25	258.57	205.5	132.44	239.52	143.01	198.47	0.0	0.41	327.56	346.29	514.56	281.09	242.88	403.5	189.02	351.14	373.81	224.97	420.68	348.71	231.32	195.72	283.05	275.28	307.69	234.57
BLM	15.8	15.56	2.76	9.78	6.11	7.75	8.85	0.0	0.21	15.45	15.8	19.53	11.3	22.43	17.13	13.72	22.43	29.48	26.1	74.58	28.86	20.56	20.56	27.05	20.86	12.83	23.42
C10orf12	9.56	11.13	23.93	12.74	12.09	8.99	8.19	0.0	0.18	17.0	27.25	13.62	35.76	17.13	13.72	17.0	27.44	24.99	19.97	42.11	19.25	11.04	14.78	18.56	34.26	19.53	25.54
C11orf72	1.27	1.48	2.56	1.53	1.64	1.3	0.69	0.0	0.24	3.56	4.98	6.31	1.62	3.11	2.61	0.57	2.81	2.51	0.27	2.89	4.9	1.06	2.94	4.28	6.57	1.31	2.71
C14orf93	64.8	114.36	42.41	115.16	96.01	44.25	32.82	0.0	0.02	197.09	209.84	318.57	237.86	193.01	332.14	348.71	325.29	351.14	303.44	435.55	256.78	248.0	226.54	251.48	397.93	228.13	231.32
C2orf16	6.16	4.46	10.96	5.28	4.35	6.52	11.04	0.0	0.0	11.38	12.36	16.51	7.4	10.55	15.91	4.94	13.22	13.62	12.0	17.0	14.45	9.2	7.94	11.55	11.64	11.82	7.11
C2orf49	92.7	113.56	134.3	166.73	128.79	100.13	56.28	0.0	0.54	234.57	262.2	332.14	279.14	236.21	269.6	264.03	318.57	277.2	214.27	366.09	325.29	229.72	155.5	339.14	595.34	253.23	297.17
C5orf51	81.71	79.45	84.04	113.56	82.29	118.43	57.89	0.0	0.14	293.07	291.04	316.37	208.38	199.85	234.57	204.07	256.78	197.09	198.47	373.81	289.02	241.19	208.38	303.44	339.14	279.14	212.78
CALCOCO1	555.41	1216.75	603.67	1015.93	718.08	444.72	248.0	0.0	0.45	1806.78	2047.0	3060.45	1909.85	1583.71	2255.7	2537.92	2163.77	2061.24	1369.04	3639.7	2895.31	1883.54	1447.15	2502.97	5292.48	2090.03	1832.01
CAMP	0.0	10.47	0.0	3.72	14.35	4.82	13.32	0.0	0.0	75.64	144.01	23.76	61.25	163.28	27.64	78.89	10.63	40.64	358.54	201.25	30.34	237.86	70.01	141.02	11.04	126.12	155.5
CCDC149	21.16	134.3	101.54	137.14	102.97	117.6	223.41	0.0	0.77	166.73	406.31	255.0	193.01	236.21	258.57	275.28	397.93	223.41	289.02	540.19	279.14	198.47	387.02	215.77	299.25	303.44	128.79
CDKL2	0.0	0.48	0.46	0.51	0.55	0.0	0.0	0.0	0.0	151.22	125.24	201.25	89.51	44.89	180.02	41.22	54.72	48.87	75.11	358.54	205.5	167.9	152.28	201.25	204.07	256.78	58.71
CNNM2	85.82	99.43	51.71	77.79	100.83	60.82	16.39	0.0	0.04	121.79	120.94	187.71	175.07	108.14	166.73	139.07	190.34	183.82	105.89	194.36	134.3	130.6	128.79	156.59	246.28	139.07	156.59
CREBRF	52.82	66.18	71.5	127.0	73.54	61.25	43.02	0.0	0.34	312.0	397.93	599.49	346.29	264.03	381.68	314.17	406.31	397.93	275.28	529.06	420.68	285.03	281.09	463.65	599.49	366.09	231.32
CTC-236F12.4	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.89	43.02	79.45	39.5	28.04	77.79	22.92	38.4	8.06	24.63	38.95	43.32	23.59	34.75	51.71	81.14	57.49	47.17
DCAF17	31.9	40.07	50.63	71.0	34.02	68.55	19.39	0.0	0.04	224.97	295.11	314.17	205.5	249.73	329.84	163.28	325.29	226.54	231.32	457.25	426.57	255.0	152.28	358.54	371.22	289.02	153.34
DEPDC1B	31.9	1.48	0.99	11.04	6.67	3.38	1.69	0.0	0.19	15.91	29.06	24.81	11.3	36.27	74.58	20.71	12.09	15.34	31.0	145.02	167.9	144.01	28.45	122.64	112.77	152.28	60.82
DKKL1	2.71	2.63	0.0	0.66	3.53	0.0	2.03	0.0	0.0	0.0	3.14	4.31	2.36	0.0	2.94	1.43	1.77	1.03	1.68	8.06	7.11	5.19	0.0	2.32	4.82	0.0	2.46
DLGAP1	0.44	0.96	0.48	1.48	0.57	1.07	0.0	0.0	0.25	3.82	9.48	24.63	9.63	6.94	4.5	11.64	21.32	30.56	15.91	39.22	16.15	4.94	1.81	17.9	62.12	2.51	9.63
DSCR3	447.82	441.64	381.68	518.15	400.71	420.68	403.5	0.0	0.32	493.56	688.78	497.0	460.44	532.74	514.56	551.56	547.75	490.14	503.95	785.88	532.74	466.88	444.72	633.73	723.08	591.22	450.94
EFHC2	0.59	0.6	0.0	0.0	0.0	1.25	0.0	0.0	0.0	135.24	46.18	68.07	102.25	35.25	51.35	183.82	34.02	51.35	40.07	208.38	29.27	108.9	57.08	59.13	236.21	68.07	23.76
ELAVL2	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.07	0.95	3.79	6.16	4.1	1.87	10.31	2.71	3.35	11.91	0.0	10.39	5.15	2.36	1.36	8.25	5.23	0.0	0.92
ELOVL7	7.94	5.92	11.04	8.99	13.42	4.82	54.33	0.0	0.2	157.68	420.68	248.0	285.03	187.71	688.78	486.75	166.73	228.13	258.57	884.29	525.39	540.19	297.17	603.67	836.53	403.5	384.34
EYA4	0.0	1.91	2.66	0.58	0.0	1.81	5.15	0.0	0.11	3.82	64.34	10.39	79.45	18.03	28.04	8.38	43.32	23.25	18.84	98.73	36.53	9.48	1.0	163.28	54.72	106.63	17.38
FAM122C	30.56	38.67	27.05	25.72	22.26	16.63	30.12	0.0	0.27	44.89	55.49	66.65	56.68	42.71	56.28	60.39	39.5	72.52	43.02	92.7	69.52	46.84	45.85	47.17	94.01	38.95	51.71
FAM21A	193.01	215.77	109.66	224.97	154.42	148.09	60.82	0.0	0.12	466.88	599.49	878.17	555.41	603.67	708.18	547.75	665.29	500.46	503.95	934.76	665.29	303.44	371.22	780.44	785.88	423.61	395.18
FAM83B	0.0	0.55	0.53	1.06	0.61	0.0	8.0	0.0	0.32	47.84	132.44	258.57	45.85	50.98	133.36	33.78	77.79	36.53	71.0	185.11	125.24	25.72	57.08	142.01	139.07	88.26	27.25
FKBP15	144.01	201.25	149.12	239.52	166.73	155.5	80.57	0.0	0.49	358.54	361.04	412.0	271.48	356.05	379.04	325.29	423.61	327.56	336.79	450.94	450.94	221.86	269.6	348.71	444.72	389.72	312.0
FXR1	669.92	796.86	753.83	1233.75	890.44	647.07	414.87	0.0	1.04	1572.76	1447.15	1781.89	1963.57	1242.34	1583.71	1781.89	1757.34	1806.78	1199.98	2335.28	1745.2	1250.98	1233.75	1757.34	2400.97	1427.22	1806.78
GABRR2	1.2	0.0	2.1	3.08	0.0	2.48	0.64	0.0	0.74	8.06	21.63	9.56	8.19	19.68	11.82	10.71	14.56	8.45	13.52	26.1	11.47	5.11	2.56	4.9	19.39	16.15	4.17
