	TCGA.UY.A8OD.01A.11R.A36F.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	GTEX.YB5E.0326.SM.5IFHU	GTEX.TKQ2.1726.SM.4DXUP	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	GTEX.T8EM.1226.SM.4DM5J	GTEX.QDVN.1226.SM.48TZ5
AP003733.1	42.71	10.08	9.78	6.67	34.75	7.28	10.24	27.05	5.5	1.6	4.1	3.08	4.82	1.95	4.43	0.0	0.25	12.27	5.15	21.78	8.45	8.45	4.31
AP1G2	7081.29	1388.16	3124.78	3257.52	1617.0	4066.71	567.1	4937.99	3081.75	82.87	148.09	91.41	368.65	170.25	110.43	0.0	1.33	3280.18	2303.12	3540.14	3372.43	1662.49	2224.63
ARIH2OS	87.03	63.0	70.01	18.7	55.49	17.13	54.33	49.56	35.25	11.21	15.91	15.45	13.12	13.72	8.99	0.0	0.0	38.95	20.11	59.13	23.08	37.85	36.79
CALML6	74.58	65.26	20.56	8.45	48.52	18.29	10.96	30.34	8.58	0.54	3.06	0.93	4.13	1.91	6.01	0.0	0.71	46.18	0.0	40.93	5.23	7.0	6.52
CCDC12	7695.57	8305.36	1651.0	1909.85	2796.65	1551.09	3515.68	2255.7	2133.97	902.89	713.11	780.44	1359.57	1259.69	1015.93	0.0	0.75	1844.76	1127.35	1583.71	1175.27	1191.69	1757.34
CDK3	339.14	119.26	343.89	101.54	305.55	182.55	66.65	189.02	120.94	40.64	112.77	50.98	72.52	83.45	88.26	0.0	0.97	102.25	34.26	255.0	136.19	70.51	89.51
CDK8	961.07	183.82	132.44	379.04	470.14	703.28	264.03	389.72	698.41	194.36	109.66	102.25	94.01	167.9	127.89	0.0	0.61	176.29	221.86	417.77	432.53	177.53	186.4
CNOT3	1208.34	733.19	974.5	872.1	1397.83	802.41	769.69	1104.13	808.0	157.68	297.17	202.66	198.47	190.34	262.2	389.72	454.09	1225.22	583.07	1111.82	1104.13	647.07	785.88
COG4	1447.15	1216.75	1059.11	1127.35	909.17	1096.5	995.0	738.29	967.76	532.74	432.53	381.68	563.18	318.57	423.61	0.0	0.0	629.35	457.25	941.27	642.59	819.3	854.13
CWC25	1066.48	457.25	429.54	361.04	612.11	813.63	400.71	669.92	759.08	121.79	181.28	197.09	191.67	187.71	234.57	0.0	0.78	444.72	287.01	476.71	379.04	291.04	318.57
