	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U
AAAS	679.29	395.18	381.68	202.66	1447.15	1030.12	583.07	603.67	583.07	454.09	447.82	480.04	559.28	583.07	493.56	497.0	511.0	463.65	521.76	674.59	934.76	738.29	620.67	529.06	866.07	591.22	713.11	470.14	669.92	1096.5	575.03	728.11	616.37	688.78	703.28	346.29	748.61	642.59	693.58	802.41	915.51	587.13	532.74	638.15	1037.29	813.63	470.14	486.75	884.29	775.05	1088.92	518.15	830.75	791.35	813.63	633.73	688.78	842.36	251.48	669.92	389.72	713.11	703.28	454.09	688.78	0.0	0.48	403.5	190.34	303.44
AC007405.2	32.59	1.23	1.99	6.84	387.02	457.25	16.39	29.27	22.59	27.25	20.26	14.89	53.95	29.7	31.22	16.27	49.56	15.34	17.77	48.18	58.71	105.15	54.33	47.84	47.84	0.0	49.91	17.13	18.84	116.78	185.11	87.03	84.63	132.44	113.56	0.42	67.59	66.65	37.59	334.46	113.56	21.63	208.38	55.49	27.44	64.8	0.0	21.47	64.8	108.9	199.85	47.84	57.08	34.26	135.24	42.11	69.03	75.11	1.38	94.01	63.89	202.66	101.54	1.69	45.53	0.0	0.0	0.0	0.06	0.89
AC137056.1	84.63	0.0	0.0	0.0	110.43	141.02	25.35	94.67	35.76	18.56	40.07	47.5	86.43	40.93	64.8	5.02	22.43	32.13	34.75	38.4	100.83	108.14	297.17	76.17	221.86	12.18	127.0	27.25	84.63	281.09	239.52	228.13	56.28	329.84	61.25	0.0	314.17	65.72	130.6	297.17	159.9	56.68	54.72	473.41	98.04	248.0	5.87	20.11	153.34	267.73	325.29	36.01	71.5	117.6	80.01	131.51	155.5	251.48	6.01	356.05	1.97	264.03	312.0	5.5	13.32	0.0	0.0	0.0	0.0	0.0
ACOX2	8421.31	11.55	70.01	10.31	9409.14	5751.61	5329.3	5954.47	5366.37	3955.48	4152.18	3768.09	7589.61	5219.6	4450.27	4268.94	5831.91	5183.54	4181.07	4210.15	13306.94	10808.41	11345.82	14971.21	17197.56	525.39	12076.21	3820.7	5441.3	24660.96	19082.0	25005.23	8778.97	31650.8	8538.88	353.59	12502.12	10585.95	7280.4	17197.56	25708.25	8421.31	19892.37	19618.49	7230.1	21919.61	334.46	2915.45	13872.08	25887.07	21320.18	5791.62	10225.32	8718.32	15607.02	7803.01	14867.79	19214.73	2004.85	16496.96	4736.79	21919.61	20030.74	41.52	1870.53	0.0	0.45	36.79	16.75	51.71
ALAD	3589.58	148.09	253.23	234.57	5041.77	6294.04	1923.14	2303.12	2573.36	2434.5	2682.69	2061.24	2777.33	2271.4	3212.66	1857.6	2224.63	2758.13	2193.99	2133.97	4038.61	3928.15	2835.7	3081.75	6164.49	723.08	5403.7	1605.83	2193.99	6745.86	6745.86	5711.87	3419.52	5255.91	5147.73	441.64	4704.07	5219.6	2351.53	4328.55	7642.41	3564.78	4671.57	4836.35	3564.78	5995.9	567.1	1167.14	4066.71	3982.99	5076.84	1819.35	3690.52	1769.57	3794.3	2555.58	7537.18	5479.15	896.64	5751.61	2240.11	5329.3	5292.48	1870.53	884.29	0.0	0.56	241.19	412.0	656.11
AMER1	42.41	36.27	23.93	25.35	139.07	108.9	18.16	32.82	18.84	13.12	22.92	13.03	38.67	19.11	43.02	13.32	15.34	15.56	24.81	16.27	47.5	46.5	31.22	32.82	67.12	8.78	44.57	10.55	18.16	52.82	102.25	78.89	19.82	59.97	41.81	11.64	84.63	63.45	41.81	61.68	139.07	48.18	87.65	80.57	33.06	58.71	18.56	19.97	67.12	53.95	78.34	43.63	59.97	61.68	45.53	26.67	40.93	92.7	3.32	51.35	11.73	89.51	84.04	24.28	8.0	0.0	0.39	9.85	17.77	26.1
APOC1	1100706.72	229.72	19348.38	414.87	419990.32	527933.71	800198.39	1005860.33	875652.15	565825.41	589853.66	569761.05	762299.34	716197.51	887875.81	402881.61	645473.24	772940.66	619179.28	1611529.43	2748093.15	1622738.51	1800541.22	1679964.3	1715263.94	341137.96	2310861.52	1147449.11	1442359.14	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	185362.8	1085552.95	4526610.31	2375828.71	3576208.94	2924988.47	1093103.58	5809569.18	1838374.44	1093103.58	2511293.86	169390.27	218912.29	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	1093103.58	2748093.15	2599854.48	2904784.09	3702323.71	489177.0	1063212.58	1703415.74	3968052.37	3626130.97	229795.93	1514068.5	11664.82	1208.34	11745.96	36.27	438.59
AQP11	197.09	19.82	2.53	5.28	698.41	567.1	265.87	167.9	170.25	163.28	262.2	161.02	195.72	201.25	305.55	109.66	166.73	171.45	134.3	146.03	543.96	187.71	316.37	154.42	202.66	38.67	255.0	157.68	182.55	237.86	1088.92	314.17	638.15	343.89	336.79	55.1	438.59	172.65	224.97	356.05	339.14	173.85	638.15	429.54	141.02	414.87	81.71	65.26	703.28	412.0	217.27	120.94	1073.91	241.19	525.39	309.83	291.04	253.23	110.43	409.15	236.21	507.46	547.75	29.7	116.78	0.0	0.24	3.5	0.0	100.83
ASPSCR1	890.44	463.65	281.09	368.65	7331.05	4736.79	1037.29	954.43	1104.13	624.99	872.1	872.1	1051.79	921.88	848.22	629.35	1151.06	463.65	595.34	830.75	1561.89	2739.08	4239.45	1066.48	4239.45	293.07	1628.26	1242.34	947.83	2417.67	1662.49	2682.69	1350.18	2075.59	1073.91	214.27	1540.37	4639.29	1225.22	2609.3	3395.89	921.88	2758.13	2061.24	1447.15	1477.58	241.19	791.35	780.44	2682.69	3928.15	802.41	1457.23	1745.2	1781.89	1794.29	1088.92	2287.2	1159.07	1447.15	1369.04	2163.77	3467.27	376.41	684.02	0.0	0.84	638.15	129.69	88.26
ATXN7L1	279.14	56.68	83.45	68.55	525.39	166.73	202.66	131.51	221.86	158.79	198.47	162.14	181.28	156.59	194.36	68.07	167.9	167.9	140.04	194.36	387.02	186.4	412.0	334.46	275.28	82.29	232.94	220.32	220.32	525.39	356.05	567.1	194.36	454.09	115.97	34.26	341.51	244.57	224.97	297.17	438.59	293.07	220.32	358.54	246.28	507.46	57.08	220.32	182.55	341.51	490.14	242.88	177.53	232.94	258.57	208.38	198.47	457.25	113.56	325.29	220.32	395.18	353.59	37.59	125.24	0.0	0.28	54.72	34.26	79.45
