	GTEX.1211K.1326.SM.5FQV2	TCGA.A3.3373.01A.02R.1420.07	TCGA.BP.4959.01A.01R.1334.07	TCGA.BP.4963.01A.01R.1334.07	TCGA.BP.4325.01A.02R.1289.07	TCGA.BP.4766.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.93.7348.01A.21R.2039.07	TCGA.J2.A4AD.01A.11R.A24H.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X3Y1.0626.SM.3P5YS	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
AC002472.13	0.0	0.0	0.0	1.08	2.05	0.0	1.13	40.36	69.03	77.79	94.67	100.13	35.5	108.14	121.79	186.4	122.64	204.07	209.84	63.89	142.01	104.42	93.35
AC079354.1	0.51	0.36	0.38	0.0	0.34	1.95	0.37	36.27	18.84	124.37	102.97	193.01	57.49	99.43	120.1	166.73	72.52	220.32	251.48	119.26	423.61	249.73	120.1
AC104809.3	0.0	0.0	0.0	4.03	6.62	2.03	4.17	73.03	34.75	253.23	181.28	341.51	133.36	412.0	339.14	392.44	253.23	836.53	323.03	329.84	575.03	463.65	371.22
ADGB	0.0	1.43	0.74	3.17	0.67	0.0	2.2	30.12	11.91	180.02	126.12	275.28	140.04	246.28	189.02	195.72	251.48	447.82	518.15	126.12	283.05	346.29	143.01
AKAP14	0.0	0.0	0.0	2.51	0.0	0.66	1.11	87.03	42.11	1051.79	651.58	890.44	312.0	764.36	647.07	780.44	642.59	1583.71	1175.27	507.46	2148.82	1508.65	633.73
ALS2CR12	21.47	8.38	14.35	22.1	4.46	15.22	14.14	30.12	17.38	40.64	122.64	127.89	102.25	87.65	111.21	144.01	80.57	414.87	141.02	78.34	231.32	112.77	100.13
ANKRD66	0.0	0.0	0.37	1.06	0.0	0.32	0.73	37.05	25.35	507.46	312.0	612.11	353.59	551.56	447.82	511.0	603.67	1127.35	733.19	444.72	1639.59	1167.14	305.55
AP000889.3	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.73	0.68	0.53	0.0	0.0	0.51	1.85	0.0	0.0	1.14	0.75
APOBEC4	0.0	0.0	0.38	0.0	0.34	0.0	0.0	22.26	9.78	123.5	214.27	460.44	87.03	62.12	223.41	241.19	185.11	387.02	723.08	187.71	426.57	353.59	182.55
ATP12A	0.0	3.89	0.0	0.32	0.0	0.29	0.34	27.05	16.39	1277.29	65.26	193.01	75.64	211.31	65.72	303.44	39.79	642.59	47.84	180.02	3081.75	775.05	215.77
BTG4	0.0	0.0	0.0	1.41	0.67	0.0	0.0	13.42	4.1	49.56	14.45	41.22	11.13	63.45	41.22	35.5	23.25	127.0	41.22	25.54	96.01	59.55	49.56
C10orf95	0.0	1.85	11.64	7.51	6.52	3.32	10.39	29.27	26.67	371.22	323.03	961.07	193.01	368.65	373.81	612.11	457.25	902.89	813.63	559.28	1167.14	813.63	356.05
