	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.A2.A0D4.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.13FTY.2226.SM.5J1ND
AC010441.1	426.57	371.22	118.43	187.71	323.03	31.22	307.69	518.15	91.41	376.41	928.3	470.14	723.08	607.87	269.6
ACKR4	67.12	11.82	3.82	7.51	64.34	6.21	9.13	123.5	5.68	40.07	507.46	186.4	236.21	329.84	144.01
ADAMTSL4	82.29	42.41	38.67	17.64	76.71	6.21	58.3	205.5	13.93	70.51	642.59	363.56	503.95	616.37	39.22
ADRA1A	2.07	5.59	3.89	3.08	0.4	2.12	3.82	11.47	1.95	4.03	13.32	14.14	29.27	41.22	5.82
AHR	551.56	258.57	180.02	134.3	420.68	72.01	156.59	1277.29	253.23	128.79	1977.24	1397.83	1498.22	2417.67	1437.15
ANKRD13A	624.99	297.17	297.17	244.57	447.82	281.09	503.95	872.1	221.86	518.15	961.07	769.69	860.08	967.76	1208.34
ARHGAP20	29.27	9.27	1.25	3.72	19.39	4.86	5.19	57.49	3.59	10.63	119.26	123.5	137.14	166.73	38.67
ASNSD1	921.88	896.64	775.05	629.35	896.64	620.67	825.0	1216.75	381.68	813.63	1286.18	961.07	1167.14	1572.76	567.1
ASXL1	633.73	473.41	466.88	525.39	599.49	435.55	470.14	587.13	397.93	579.04	759.08	890.44	1001.93	603.67	1044.52
B3GNT7	18.97	11.13	12.83	38.95	23.59	7.63	6.62	55.1	13.52	14.35	52.45	50.63	52.82	36.27	24.11
BEND7	58.3	33.54	181.28	21.47	171.45	72.52	158.79	226.54	8.25	371.22	406.31	426.57	444.72	463.65	248.0
BIRC2	780.44	647.07	312.0	438.59	607.87	457.25	713.11	1127.35	255.0	444.72	1096.5	1242.34	941.27	1304.15	988.12
C11orf53	12.27	3.69	0.0	0.0	13.72	0.71	2.25	14.78	0.75	8.78	37.59	43.94	87.65	23.76	4.62
CDKL1	153.34	54.72	45.53	44.25	117.6	21.16	70.01	77.25	33.06	65.26	199.85	148.09	212.78	215.77	43.32
CEBPB	647.07	231.32	441.64	759.08	612.11	127.0	136.19	1088.92	417.77	813.63	1487.87	896.64	743.43	921.88	543.96
CLMP	156.59	54.33	14.56	36.01	208.38	4.31	65.72	332.14	137.14	104.42	819.3	703.28	723.08	684.02	153.34
COLCA2	20.86	13.42	5.15	5.92	21.78	3.32	13.72	92.05	1.83	15.34	74.58	146.03	189.02	71.5	58.3
CPB1	170568.48	1578364.61	375901.76	585779.24	1715263.94	542775.98	672883.8	529.06	383800.28	881742.8	106.63	567.1	246.28	10959.3	2.291835145E7
CWF19L2	244.57	223.41	131.51	84.04	148.09	100.83	206.94	373.81	49.91	130.6	373.81	447.82	400.71	397.93	376.41
ECM2	438.59	100.13	106.63	109.66	423.61	65.26	142.01	339.14	51.71	149.12	2104.58	785.88	1250.98	2502.97	651.58
