	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.XBEC.1026.SM.4QASM	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.XMD2.1026.SM.4WWE8	GTEX.13O61.0726.SM.5J2MD	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13QJC.0526.SM.5RQKB	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.11NUK.0826.SM.5HL4U	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.QEG4.0526.SM.48TZD	GTEX.13FHO.1026.SM.5KM1Q	GTEX.WYVS.0526.SM.3NM9W	TCGA.43.5670.11A.01R.2125.07
ABCF2	312.0	429.54	902.89	423.61	802.41	1378.57	813.63	595.34	536.45	454.09	320.8	343.89	457.25	1340.84	764.36	567.1	267.73	595.34	1001.93	480.04	796.86	693.58	688.78	866.07	305.55	420.68	363.56	669.92	1015.93	693.58	612.11	429.54	551.56	2319.15	339.14	872.1	660.68	312.0	1111.82	624.99	543.96	543.96	909.17	514.56	808.0	473.41	457.25	480.04	1066.48	1151.06	890.44	1216.75	432.53	287.01	329.84	854.13	587.13
AIMP2	157.68	363.56	802.41	253.23	291.04	688.78	743.43	723.08	500.46	361.04	205.5	201.25	409.15	612.11	591.22	260.38	195.72	579.04	796.86	305.55	559.28	723.08	470.14	769.69	186.4	400.71	162.14	514.56	703.28	483.38	547.75	236.21	525.39	1073.91	239.52	656.11	486.75	223.41	698.41	575.03	387.02	497.0	1051.79	543.96	529.06	262.2	341.51	332.14	954.43	860.08	733.19	947.83	387.02	198.47	199.85	738.29	473.41
APEX2	129.69	318.57	497.0	249.73	194.36	480.04	483.38	295.11	325.29	379.04	175.07	185.11	348.71	507.46	376.41	229.72	220.32	307.69	507.46	395.18	470.14	414.87	346.29	387.02	195.72	303.44	144.01	265.87	435.55	387.02	303.44	234.57	283.05	529.06	189.02	409.15	251.48	248.0	457.25	339.14	253.23	353.59	371.22	373.81	403.5	242.88	253.23	320.8	571.05	454.09	547.75	483.38	299.25	185.11	209.84	567.1	332.14
ARCN1	1697.45	1923.14	3018.3	1369.04	1477.58	3081.75	3212.66	2485.67	2018.8	1350.18	1397.83	1378.57	1936.53	2816.11	2485.67	1529.73	947.83	2133.97	2835.7	1508.65	3564.78	2855.44	1977.24	4095.0	1242.34	1561.89	1477.58	2573.36	2287.2	2434.5	2209.26	1757.34	1628.26	3515.68	1359.57	2468.49	1674.06	1111.82	2609.3	2148.82	1508.65	2148.82	2997.45	2555.58	1794.29	1923.14	1857.6	1794.29	2720.15	3146.52	4038.61	3060.45	1407.55	1295.13	1378.57	2895.31	2047.0
AREL1	135.24	251.48	366.09	255.0	397.93	547.75	332.14	220.32	307.69	400.71	147.06	139.07	248.0	358.54	293.07	226.54	198.47	289.02	348.71	271.48	536.45	381.68	371.22	483.38	220.32	289.02	135.24	403.5	376.41	507.46	269.6	115.97	217.27	571.05	217.27	343.89	221.86	197.09	525.39	265.87	234.57	275.28	275.28	205.5	384.34	256.78	423.61	341.51	507.46	476.71	480.04	384.34	241.19	228.13	271.48	420.68	397.93
C1QBP	825.0	1508.65	4543.8	1551.09	1331.57	5292.48	4607.24	2163.77	1757.34	1183.45	688.78	1208.34	1540.37	4836.35	3168.41	1437.15	808.0	2133.97	4095.0	1388.16	3820.7	2997.45	1844.76	3124.78	813.63	1745.2	890.44	2148.82	4512.4	2319.15	2537.92	1286.18	1896.65	5076.84	1023.0	2502.97	1857.6	1104.13	3589.58	2468.49	2104.58	2255.7	3794.3	2090.03	2319.15	1066.48	1447.15	1832.01	6471.02	5366.37	4639.29	5555.65	1457.23	830.75	1096.5	4358.66	1977.24
CCT3	2701.35	1551.09	4298.64	1769.57	2209.26	4704.07	4575.41	2240.11	2367.9	1909.85	1304.15	1487.87	1936.53	5366.37	5041.77	3303.0	1208.34	2148.82	4512.4	2417.67	4152.18	3690.52	1936.53	3515.68	1322.37	2061.24	1397.83	2351.53	4450.27	2119.22	2997.45	1870.53	2855.44	5791.62	1651.0	3515.68	2178.83	1487.87	4450.27	2720.15	2520.38	2502.97	2434.5	2682.69	2935.74	1733.13	1605.83	2335.28	5517.27	5831.91	8421.31	5954.47	1477.58	1167.14	1295.13	5913.33	2468.49
CCT5	1733.13	1745.2	7130.55	1883.54	2796.65	6250.56	6381.92	2193.99	3349.13	1781.89	1059.11	1331.57	2018.8	6887.62	6294.04	2335.28	995.0	2875.3	6426.31	1870.53	6887.62	5292.48	2609.3	5366.37	1059.11	1923.14	988.12	3491.39	5479.15	3190.46	3257.52	1674.06	2520.38	7642.41	1250.98	3874.05	2047.0	1639.59	5872.48	2976.74	3124.78	2956.17	6250.56	2701.35	3280.18	1540.37	2163.77	2104.58	7433.4	9808.75	9876.98	7382.04	1617.0	967.76	1233.75	7642.41	2855.44
CCT8	2287.2	2104.58	3589.58	1286.18	2075.59	4268.94	4038.61	2451.44	2209.26	1457.23	1111.82	1304.15	1498.22	3820.7	3168.41	2148.82	1331.57	1950.0	2997.45	2018.8	3372.43	2777.33	1950.0	3955.48	1340.84	2555.58	1572.76	2855.44	3349.13	2104.58	2335.28	2047.0	2032.85	3716.2	1378.57	2434.5	1477.58	2075.59	3540.14	2417.67	2855.44	2451.44	2997.45	2240.11	2193.99	1662.49	1697.45	1991.0	3768.09	4268.94	6079.61	3847.29	1896.65	1487.87	1447.15	4869.99	2148.82
DCAF13	140.04	260.38	759.08	269.6	454.09	1001.93	647.07	283.05	368.65	239.52	109.66	193.01	309.83	674.59	420.68	194.36	176.29	346.29	511.0	283.05	536.45	503.95	392.44	718.08	178.77	251.48	138.1	368.65	483.38	514.56	447.82	177.53	351.14	1088.92	211.31	397.93	339.14	205.5	802.41	476.71	417.77	329.84	647.07	299.25	353.59	198.47	325.29	293.07	974.5	995.0	830.75	769.69	273.37	118.43	181.28	679.29	392.44
