	TCGA.GC.A3RB.01A.12R.A220.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3387.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC016757.3	26.47	3.2	0.0	62.12	80.57	100.13	78.34	48.52	44.57	187.71	191.67	151.22	39.79	25.54	28.04	21.32	35.76	21.78	41.22	10.08	11.13	116.78	27.64	49.21	23.59	22.59	67.12	27.44	21.16	37.05	12.09	22.59	16.15	0.0	0.27
AC068620.1	0.0	0.0	0.0	16.15	14.56	11.55	26.86	16.39	12.0	33.54	26.86	28.24	25.17	12.74	15.56	7.28	3.69	23.93	10.96	11.3	0.0	22.1	8.0	11.38	10.0	15.91	7.22	12.83	19.25	10.79	8.06	5.92	5.06	0.0	0.0
AC079210.1	1.45	1.16	1.11	3.72	1.39	2.2	5.23	4.94	1.03	10.16	2.94	2.53	2.07	2.36	2.97	1.91	1.3	4.7	5.68	4.86	0.85	9.56	3.99	2.29	1.93	2.36	1.89	1.64	3.11	7.46	2.29	2.86	1.23	0.0	0.21
AC104667.3	0.0	1.36	0.92	96.68	42.71	45.85	82.29	102.97	44.25	76.17	92.05	75.64	40.93	22.26	39.22	31.45	25.17	9.93	75.64	21.16	34.51	56.68	38.95	24.63	32.13	42.11	16.75	32.82	19.53	29.48	36.27	50.27	32.59	0.0	0.0
ADAMTS6	0.89	2.27	2.56	28.24	7.46	3.59	26.1	19.53	3.32	59.55	29.91	33.3	5.28	6.01	4.58	4.46	4.21	11.21	12.0	8.78	1.66	34.02	3.56	6.78	2.27	6.57	2.61	1.6	4.21	7.0	2.63	2.81	2.41	0.0	0.29
AGRP	0.85	0.0	0.0	31.67	48.18	39.5	35.0	16.15	42.41	66.65	77.79	49.56	28.65	13.62	15.56	19.39	25.17	12.93	35.76	12.09	0.0	54.72	37.85	10.31	15.22	22.1	17.38	10.55	10.16	35.76	14.35	15.8	18.16	0.0	0.0
APIP	301.33	152.28	309.83	1498.22	802.41	921.88	1350.18	1350.18	775.05	1378.57	1551.09	1617.0	713.11	830.75	684.02	759.08	830.75	791.35	921.88	743.43	403.5	954.43	647.07	612.11	723.08	438.59	603.67	514.56	647.07	647.07	603.67	412.0	669.92	0.0	0.35
APOO	483.38	208.38	220.32	1896.65	1250.98	1467.37	1417.35	1832.01	1594.73	1819.35	2627.46	1745.2	1119.56	1037.29	1044.52	1268.46	1183.45	1096.5	1216.75	1088.92	915.51	1508.65	1167.14	866.07	1135.2	981.29	1127.35	1051.79	1059.11	934.76	947.83	866.07	1081.39	0.0	0.18
ARV1	376.41	275.28	246.28	890.44	718.08	872.1	813.63	836.53	813.63	1088.92	1104.13	1073.91	567.1	595.34	473.41	575.03	647.07	571.05	808.0	575.03	400.71	769.69	698.41	470.14	551.56	559.28	429.54	490.14	514.56	571.05	476.71	454.09	529.06	0.0	0.0
ATP5S	223.41	202.66	476.71	660.68	559.28	780.44	660.68	854.13	743.43	629.35	921.88	896.64	540.19	426.57	441.64	620.67	669.92	521.76	723.08	490.14	305.55	591.22	555.41	490.14	483.38	500.46	547.75	514.56	532.74	486.75	363.56	483.38	497.0	0.0	0.34
C11orf74	146.03	186.4	275.28	1159.07	669.92	872.1	819.3	878.17	759.08	1191.69	1369.04	1304.15	518.15	791.35	529.06	607.87	638.15	536.45	808.0	518.15	389.72	866.07	466.88	454.09	559.28	490.14	412.0	684.02	511.0	547.75	334.46	438.59	521.76	0.0	0.07
C12orf60	32.36	15.0	16.15	108.14	72.52	117.6	96.68	90.14	74.58	145.02	145.02	161.02	50.63	75.11	55.1	76.17	70.01	63.45	87.03	70.51	29.7	108.9	78.89	48.87	55.49	72.52	44.25	65.72	42.11	62.12	45.85	63.45	57.08	0.0	0.0
C1QTNF9	0.0	0.0	0.0	6.36	4.06	3.23	5.77	18.43	1.66	17.0	12.93	14.78	1.23	4.62	2.1	0.39	0.0	4.24	3.59	2.78	0.42	7.69	3.92	2.63	1.91	3.5	4.06	0.82	3.82	2.23	1.89	2.03	1.62	0.0	0.0
C6orf52	36.01	10.79	2.92	224.97	88.88	74.58	162.14	177.53	127.0	182.55	384.34	356.05	102.97	44.57	53.57	59.55	52.08	44.89	106.63	54.72	23.76	176.29	65.72	42.41	38.12	65.72	43.63	28.45	47.84	69.52	36.79	25.72	45.21	0.0	0.0
C7orf41	236.21	96.68	108.9	3168.41	2271.4	1225.22	2319.15	2573.36	1447.15	2485.67	5633.22	6037.61	1030.12	1709.26	1191.69	1594.73	988.12	1674.06	1529.73	1540.37	164.42	2739.08	1628.26	896.64	1225.22	1923.14	1104.13	1030.12	1322.37	1340.84	947.83	1295.13	1225.22	145.02	71.5
CASP12	0.3	1.85	0.54	23.93	15.8	10.0	33.78	38.12	12.83	53.57	97.36	87.65	11.73	40.93	5.41	5.19	0.0	15.8	39.79	11.91	0.0	22.26	5.02	7.51	7.51	5.82	5.54	23.25	12.55	5.15	2.27	24.46	5.23	0.0	0.08
CC2D2B	0.59	1.39	1.73	5.82	2.05	3.26	4.21	5.23	2.01	14.89	10.31	12.55	2.86	2.34	0.85	2.63	1.28	2.73	5.23	4.82	0.0	8.78	1.81	3.79	3.44	1.19	2.63	0.82	1.95	3.35	0.39	0.83	1.23	0.0	0.2
CCDC160	11.47	0.0	0.0	329.84	166.73	145.02	237.86	273.37	190.34	339.14	1508.65	988.12	92.05	129.69	94.01	120.1	132.44	114.36	185.11	103.69	10.47	264.03	132.44	57.08	77.79	144.01	65.26	82.87	76.17	74.06	78.89	64.8	89.51	0.0	0.0
CHAC1	351.14	25.54	64.34	669.92	206.94	138.1	356.05	403.5	150.17	420.68	346.29	403.5	113.56	140.04	164.42	178.77	135.24	77.25	154.42	134.3	17.38	587.13	314.17	47.17	92.05	454.09	93.35	74.06	191.67	246.28	119.26	73.03	131.51	0.0	0.05
CHN2	96.01	8.58	14.78	423.61	269.6	246.28	358.54	599.49	273.37	493.56	1030.12	866.07	236.21	248.0	361.04	242.88	295.11	363.56	403.5	305.55	165.57	361.04	234.57	303.44	236.21	255.0	269.6	384.34	246.28	305.55	305.55	231.32	246.28	0.0	0.47
CLDN15	102.97	14.24	20.41	995.0	305.55	358.54	698.41	1331.57	228.13	1388.16	1023.0	872.1	151.22	143.01	176.29	190.34	176.29	128.79	392.44	220.32	57.49	1088.92	267.73	279.14	194.36	248.0	323.03	241.19	148.09	217.27	133.36	303.44	169.07	0.0	0.69
COA3	2240.11	1639.59	3665.02	11664.82	8363.13	11112.3	9344.14	10959.3	9740.98	11992.79	13586.57	10154.69	7032.37	5913.33	5006.93	5672.41	7485.11	4298.64	9025.81	5183.54	10084.54	8421.31	6887.62	4481.23	5672.41	5255.91	4937.99	5292.48	5147.73	6607.01	4704.07	5517.27	5441.3	0.0	0.22
COX20	1628.26	603.67	403.5	4010.71	2855.44	3419.52	3491.39	3982.99	2956.17	3768.09	4298.64	4972.34	2193.99	2502.97	2163.77	2485.67	2777.33	2319.15	3060.45	2047.0	981.29	3257.52	2047.0	1551.09	1870.53	2163.77	1757.34	1936.53	1709.26	1685.71	1369.04	1519.15	1870.53	0.0	0.83
CYP7A1	0.0	0.0	0.0	2.71	0.67	0.36	1.58	1.5	1.64	2.56	1.55	1.03	0.0	0.45	0.41	0.37	0.41	0.39	0.39	0.39	0.4	1.99	0.0	0.38	0.0	0.0	0.37	1.17	0.38	0.73	0.37	0.0	0.0	0.0	0.0
DDIT4L	27.64	40.07	20.41	718.08	224.97	114.36	988.12	2061.24	177.53	1340.84	2664.15	1350.18	98.73	197.09	53.95	93.35	105.15	146.03	339.14	82.87	36.01	819.3	120.94	59.55	55.1	228.13	80.01	49.21	102.25	117.6	68.55	59.55	92.7	0.0	0.34
DDX25	0.3	0.52	0.0	93.35	120.1	122.64	67.12	41.52	66.65	120.1	165.57	175.07	54.72	44.89	39.22	43.63	65.26	59.13	59.97	78.89	0.82	71.0	78.34	41.81	63.89	101.54	55.89	52.08	93.35	51.71	36.27	34.75	60.39	0.0	0.13
DNAJC19	1388.16	753.83	1143.1	3639.7	2047.0	3190.46	2502.97	2417.67	2609.3	3081.75	3901.01	3794.3	1447.15	1295.13	1350.18	1628.26	1963.57	1286.18	2303.12	1225.22	947.83	2573.36	1572.76	941.27	1447.15	1477.58	1151.06	1277.29	1250.98	1242.34	813.63	1167.14	1286.18	0.0	0.77
ESRRB	2.27	0.39	1.1	1313.23	525.39	229.72	642.59	921.88	269.6	1015.93	1721.16	2303.12	104.42	258.57	130.6	336.79	122.64	215.77	366.09	190.34	1.19	1015.93	395.18	66.18	138.1	612.11	172.65	120.94	226.54	190.34	181.28	141.02	217.27	0.0	0.14
FAM13A	211.31	46.84	35.25	1583.71	819.3	1242.34	1159.07	1498.22	775.05	1508.65	1208.34	3124.78	981.29	684.02	830.75	723.08	769.69	1175.27	1242.34	728.11	346.29	1225.22	579.04	551.56	624.99	896.64	583.07	796.86	825.0	563.18	587.13	656.11	759.08	0.0	0.62
FAM196A	1.14	0.47	0.0	6.36	3.38	1.79	12.45	2.73	2.97	25.91	3.47	13.32	2.03	1.85	2.07	2.58	2.51	1.55	2.39	1.58	0.0	11.04	1.79	1.5	1.51	1.93	1.48	0.4	1.53	3.66	1.13	1.6	1.99	0.0	0.22
FXYD6-FXYD2	0.0	0.0	0.0	389.72	309.83	218.79	206.94	373.81	205.5	748.61	1135.2	872.1	187.71	75.11	48.87	48.18	140.04	35.5	226.54	42.71	43.94	384.34	209.84	113.56	70.01	190.34	79.45	73.03	48.87	64.34	87.03	103.69	74.06	0.0	0.0
GABRB1	0.0	0.0	0.0	19.39	17.38	5.19	16.75	8.58	22.1	21.01	10.71	60.82	8.25	11.64	11.3	12.93	10.63	10.08	9.63	7.69	0.0	13.32	13.52	3.99	5.87	15.8	11.47	6.16	10.39	7.11	9.41	1.95	12.45	0.0	0.0
GLYATL2	0.0	0.0	1.81	12.27	5.32	5.32	16.75	35.25	8.13	64.8	33.06	68.55	5.19	6.84	10.63	12.0	2.92	11.38	6.26	12.45	2.03	28.86	5.96	9.56	7.46	6.89	4.74	14.03	4.17	1.83	6.26	3.99	11.82	0.0	0.0
GP2	0.0	0.0	0.0	343.89	150.17	226.54	291.04	190.34	115.97	563.18	400.71	387.02	37.05	63.89	78.89	133.36	85.22	108.14	133.36	79.45	6.31	248.0	177.53	21.16	64.8	208.38	113.56	42.11	198.47	177.53	36.79	29.27	66.18	0.0	0.0
GPIHBP1	2.89	1.06	1.43	420.68	183.82	100.83	275.28	543.96	191.67	896.64	941.27	376.41	34.02	132.44	72.52	104.42	67.59	53.19	147.06	69.52	15.91	363.56	88.88	119.26	120.1	146.03	94.67	151.22	62.12	195.72	69.03	128.79	52.45	0.0	0.0
