	TCGA.A2.A25F.01A.11R.A169.07	TCGA.LN.A49V.01A.11R.A24K.31	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACN.01A.11R.A41C.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A1EH.01A.11R.A131.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.96.7545.01A.21R.2045.07	TCGA.BK.A139.01A.11R.A277.07
ADH6	0.46	15.56	2133.97	591.22	3982.99	1977.24	2061.24	1950.0	31650.8	15934.98	18689.27	17681.08	11745.96	21320.18	14361.31	18052.61	9945.68	20310.37	9740.98	0.0	0.16	21.16	29.48
AHSG	0.0	3.06	45701.96	10659.59	207103.59	23330.64	141455.6	55877.28	1751305.3	721179.07	1656835.72	1656835.72	1462493.73	2408994.05	2068278.89	2617937.91	1442359.14	1318073.06	598087.73	0.0	0.0	28.86	1.23
ARMC6	559.28	1066.48	703.28	514.56	703.28	974.5	1304.15	547.75	1551.09	1175.27	2682.69	2895.31	1769.57	1781.89	1529.73	2148.82	2417.67	1709.26	1806.78	0.0	0.0	346.29	346.29
AURKAIP1	1359.57	2303.12	4607.24	2796.65	2502.97	2319.15	4066.71	1639.59	6840.04	6471.02	6840.04	6561.36	5672.41	5517.27	12076.21	7032.37	7180.15	3395.89	5366.37	0.0	0.75	1104.13	1250.98
CHCHD5	412.0	555.41	1044.52	1199.98	1037.29	1015.93	988.12	718.08	1594.73	1467.37	1199.98	1883.54	1143.1	1199.98	1540.37	1870.53	1073.91	1104.13	759.08	0.0	0.3	825.0	66.18
CIDEB	242.88	1662.49	1685.71	409.15	2287.2	1088.92	1208.34	438.59	16045.82	7803.01	7081.29	8479.89	13123.73	32994.92	15180.22	11267.44	5791.62	6471.02	2502.97	0.0	0.58	136.19	67.59
CISD3	525.39	454.09	4298.64	2720.15	2915.45	2609.3	2609.3	2193.99	6699.25	6516.03	5403.7	6887.62	4575.41	5751.61	7331.05	6887.62	5255.91	3372.43	3589.58	0.0	0.38	733.19	67.59
CLRN3	0.0	0.0	215.77	80.57	10.39	127.0	34.75	305.55	12943.04	2104.58	909.17	1340.84	1572.76	4038.61	55.49	2104.58	1417.35	3820.7	928.3	0.0	0.0	1.55	6.78
CYB5A	2018.8	651.58	13215.02	12764.83	19892.37	12589.08	15499.21	18178.19	72213.45	41763.8	55491.3	81809.59	33922.56	31215.04	56265.94	33455.53	43236.64	41188.81	15715.58	0.0	0.62	5183.54	1819.35
CYP2B6	0.36	0.0	412.0	209.84	242.88	429.54	19.82	323.03	17804.06	13968.57	25887.07	8305.36	9540.5	6471.02	8247.98	12244.81	8538.88	12676.65	7642.41	0.0	0.0	0.34	0.0
DGCR6L	679.29	825.0	4802.93	2434.5	1208.34	1806.78	1950.0	1051.79	5791.62	3589.58	5954.47	4937.99	3982.99	4481.23	4836.35	4298.64	3419.52	2796.65	4543.8	0.0	0.51	1104.13	563.18
DHRS3	872.1	1073.91	6561.36	3081.75	3212.66	2796.65	2537.92	1721.16	5711.87	6935.54	6037.61	3614.55	10585.95	13399.51	16960.78	11584.24	7966.99	5292.48	14262.1	748.61	2935.74	1208.34	480.04
DIRAS3	19.68	14.67	13.32	12.36	1.57	17.64	11.82	1.62	934.76	149.12	224.97	81.71	204.07	432.53	435.55	181.28	70.01	201.25	336.79	0.0	0.27	25.54	6.73
FAM134B	212.78	40.07	301.33	27.25	2.25	90.14	57.49	5.06	532.74	703.28	1870.53	921.88	6607.01	1183.45	583.07	444.72	4123.49	60.82	17078.76	69.52	103.69	248.0	236.21
GAMT	134.3	115.16	8479.89	6250.56	13681.08	4268.94	11035.54	4358.66	29327.18	28328.16	46662.28	36106.23	20451.65	29531.18	31432.17	33688.23	41475.31	22072.07	22072.07	0.0	0.49	1044.52	23.08
GFER	454.09	417.77	595.34	532.74	896.64	376.41	995.0	447.82	1662.49	1662.49	1259.69	1651.0	872.1	915.51	1259.69	1143.1	1605.83	1015.93	961.07	902.89	178.77	381.68	312.0
GRHPR	2384.37	1277.29	7966.99	5711.87	7911.95	6516.03	6121.9	4123.49	46662.28	21320.18	30151.71	43840.21	26067.14	33224.42	29124.6	30572.63	23169.48	22692.63	21919.61	1769.57	98.73	1508.65	915.51
GSTZ1	358.54	429.54	1662.49	836.53	301.33	507.46	896.64	208.38	20881.4	9088.59	14971.21	15824.9	9409.14	14561.8	13033.07	12415.75	6607.01	9025.81	9740.98	0.0	0.0	384.34	154.42
HAAO	164.42	110.43	3124.78	1268.46	2976.74	2555.58	921.88	738.29	33455.53	14065.74	15392.14	24490.61	18304.63	27553.49	11345.82	19618.49	15075.35	13215.02	16960.78	0.0	0.35	92.05	15.45
HAGH	454.09	620.67	3349.13	1844.76	2645.74	2777.33	2468.49	1322.37	11827.67	12415.75	15607.02	21026.65	14361.31	14765.09	15392.14	15934.98	12076.21	11745.96	7537.18	1286.18	381.68	743.43	638.15
HINT2	836.53	638.15	3372.43	2915.45	3928.15	1950.0	2537.92	1322.37	10296.45	6471.02	10014.87	12244.81	6887.62	6250.56	8305.36	8191.0	6426.31	6294.04	4769.75	0.0	0.29	1119.56	444.72
HMGCL	587.13	361.04	3039.3	1143.1	2468.49	1322.37	1781.89	988.12	19754.96	10014.87	18178.19	11035.54	9474.59	14561.8	10440.2	12244.81	8134.41	9673.69	8598.28	0.0	0.31	651.58	1378.57
HYI	387.02	432.53	1844.76	665.29	543.96	890.44	808.0	1199.98	1572.76	2645.74	1268.46	2451.44	3901.01	2271.4	1977.24	1950.0	2367.9	3060.45	2271.4	0.0	0.75	384.34	426.57
LDHD	41.52	1.69	1111.82	146.03	607.87	476.71	500.46	348.71	17558.94	4358.66	9740.98	14765.09	5995.9	8901.53	10585.95	9215.48	6652.97	4358.66	4607.24	0.0	0.32	55.49	52.82
MOGAT2	1.06	1.99	239.52	5.36	36.79	100.13	80.01	2.58	2796.65	4869.99	1651.0	2255.7	884.29	5147.73	1769.57	2816.11	483.38	1685.71	486.75	0.0	0.05	1.03	4.78
PHLDB2	256.78	73.54	368.65	285.03	171.45	384.34	312.0	62.12	493.56	728.11	387.02	607.87	733.19	599.49	500.46	684.02	718.08	703.28	591.22	0.0	0.66	363.56	163.28
PLA2G16	1143.1	85.82	4450.27	842.36	525.39	813.63	1199.98	186.4	6294.04	2163.77	4419.52	1457.23	1605.83	13968.57	1950.0	7695.57	3018.3	1963.57	3060.45	1044.52	693.58	866.07	339.14
PLCXD2	49.91	1.73	647.07	521.76	305.55	305.55	802.41	42.41	1757.34	2758.13	3060.45	3467.27	2645.74	1096.5	2075.59	1628.26	1781.89	2915.45	842.36	0.0	0.27	103.69	18.84
PLEK2	101.54	24.81	22.59	218.79	10.79	73.54	90.77	69.52	420.68	58.71	521.76	161.02	361.04	2119.22	158.79	120.94	708.18	267.73	1242.34	0.0	0.28	113.56	85.82
PPP4C	1551.09	1639.59	1051.79	1745.2	1651.0	1697.45	2061.24	1268.46	1896.65	2351.53	2720.15	1909.85	1594.73	2451.44	2645.74	3103.19	3081.75	2119.22	3103.19	0.0	1.01	1991.0	1242.34
PXMP2	218.79	490.14	4358.66	1757.34	2287.2	1769.57	1605.83	1529.73	22692.63	11909.94	17681.08	21026.65	8305.36	14461.21	11189.6	11827.67	8363.13	8421.31	7433.4	0.0	0.06	483.38	961.07
SLC9A3R2	713.11	361.04	3901.01	4210.15	5555.65	3768.09	2777.33	4123.49	21172.91	10883.59	11112.3	10512.82	9088.59	19618.49	7695.57	12943.04	6652.97	9279.58	5672.41	1529.73	1183.45	1199.98	185.11
SULT1A2	14.78	1.93	189.02	148.09	217.27	177.53	232.94	50.63	6337.83	2163.77	3955.48	5517.27	1369.04	3325.99	5441.3	3690.52	2758.13	1417.35	1950.0	0.0	0.27	52.08	31.67
SURF1	825.0	551.56	507.46	2018.8	1923.14	1498.22	1259.69	1457.23	3540.14	3280.18	5517.27	4769.75	2758.13	2956.17	2777.33	3874.05	2255.7	2520.38	2351.53	0.0	0.44	1044.52	466.88
TM6SF2	12.36	6.52	229.72	45.53	332.14	147.06	186.4	36.27	2104.58	1250.98	2915.45	6294.04	1605.83	1963.57	2855.44	2384.37	1745.2	1259.69	571.05	0.0	0.31	4.7	1.39
TMEM82	0.0	0.0	312.0	14.14	289.02	118.43	231.32	53.19	4328.55	1769.57	2976.74	6121.9	4639.29	4181.07	6250.56	2682.69	2209.26	1583.71	2816.11	0.0	0.11	0.0	0.0
ZGPAT	264.03	738.29	1757.34	547.75	764.36	915.51	848.22	555.41	7911.95	5872.48	5366.37	6207.38	4481.23	6207.38	5711.87	5751.61	4038.61	4298.64	4239.45	0.0	0.95	223.41	101.54
ZNF511	493.56	1540.37	1175.27	728.11	2104.58	1583.71	1447.15	1073.91	3768.09	1870.53	1594.73	2875.3	2367.9	3690.52	2209.26	2178.83	2645.74	1963.57	2835.7	1143.1	293.07	624.99	651.58
ZNF593	142.01	206.94	426.57	320.8	173.85	265.87	432.53	185.11	450.94	563.18	389.72	679.29	395.18	454.09	796.86	651.58	567.1	301.33	503.95	0.0	0.0	204.07	99.43
ZNF688	232.94	111.21	132.44	212.78	186.4	202.66	149.12	158.79	450.94	356.05	346.29	242.88	368.65	384.34	397.93	361.04	353.59	314.17	237.86	0.0	0.21	130.6	108.14
