	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.Y8LW.1226.SM.4WWDP	GTEX.14E6E.1526.SM.5RQIG	GTEX.ZPIC.2626.SM.57WE2	GTEX.W5WG.2426.SM.4LMI6	GTEX.13PL7.2426.SM.5J2N3	GTEX.ZPCL.1626.SM.57WGC	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J9.01A.12R.A251.31	GTEX.P4PQ.1526.SM.3NMCK	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG
C4orf32	50.98	22.1	35.76	16.63	37.85	13.42	21.47	42.11	102.97	96.01	23.08	31.67	54.33	129.69	114.36	84.63	66.65	81.14	93.35	61.68	62.12	55.1	53.95	45.85	55.1	95.34	35.76
CAMSAP2	525.39	26.86	158.79	29.48	171.45	50.98	117.6	161.02	353.59	1127.35	78.89	61.25	295.11	842.36	403.5	607.87	255.0	341.51	463.65	253.23	237.86	253.23	301.33	229.72	334.46	265.87	283.05
CD93	376.41	68.55	150.17	58.3	130.6	76.71	72.52	68.55	447.82	785.88	35.5	108.14	94.67	954.43	493.56	708.18	476.71	947.83	373.81	262.2	575.03	241.19	351.14	262.2	351.14	463.65	490.14
CDH5	656.11	59.13	142.01	51.35	114.36	79.45	116.78	122.64	587.13	607.87	36.53	108.14	100.13	860.08	753.83	656.11	291.04	941.27	187.71	220.32	429.54	246.28	555.41	426.57	303.44	432.53	287.01
CDK17	688.78	78.34	329.84	96.68	358.54	142.01	194.36	231.32	1111.82	2255.7	53.19	186.4	202.66	769.69	450.94	703.28	312.0	967.76	1242.34	297.17	718.08	387.02	339.14	387.02	450.94	559.28	409.15
CHD2	536.45	130.6	237.86	167.9	343.89	287.01	483.38	327.56	587.13	1417.35	103.69	273.37	312.0	1437.15	902.89	1183.45	376.41	2816.11	1008.9	733.19	490.14	384.34	521.76	555.41	543.96	503.95	555.41
CRTC3	1674.06	120.1	444.72	122.64	540.19	169.07	406.31	426.57	1605.83	1709.26	81.14	212.78	206.94	1088.92	1015.93	1143.1	693.58	1216.75	1023.0	633.73	848.22	836.53	1304.15	813.63	915.51	748.61	941.27
CSGALNACT2	435.55	30.12	241.19	36.01	281.09	75.64	163.28	236.21	607.87	679.29	45.85	73.54	190.34	599.49	395.18	532.74	336.79	454.09	397.93	249.73	373.81	327.56	507.46	262.2	283.05	346.29	323.03
CXorf36	293.07	32.59	60.82	23.25	69.03	27.84	67.59	85.82	334.46	251.48	15.45	55.1	50.98	334.46	356.05	279.14	141.02	255.0	99.43	180.02	214.27	156.59	293.07	231.32	209.84	287.01	128.79
CYYR1	262.2	46.18	84.04	45.21	70.51	65.26	66.18	82.87	248.0	251.48	9.85	39.22	50.63	373.81	457.25	329.84	239.52	532.74	145.02	176.29	220.32	172.65	248.0	392.44	154.42	312.0	138.1
