	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ABRACL	3443.31	1331.57	2018.8	1388.16	1008.9	1487.87	802.41	1199.98	2018.8	2367.9	1015.93	1259.69	1175.27	1529.73	1977.24	813.63	884.29	1674.06	1322.37	808.0	1191.69	791.35	1936.53	718.08	1119.56	1457.23	860.08	603.67	1605.83	1104.13	1044.52	1183.45	967.76	1119.56	688.78	954.43	928.3	1331.57	909.17	1119.56	703.28	954.43	1199.98	1397.83	738.29	1167.14	1044.52	902.89	2018.8	1397.83	1529.73	708.18	954.43	830.75	769.69	1437.15	1369.04	713.11	967.76	688.78	1331.57	954.43	819.3
ACTR2	5872.48	2303.12	4210.15	4038.61	3874.05	6037.61	2240.11	3372.43	3955.48	2148.82	3103.19	3103.19	2816.11	3515.68	3467.27	723.08	825.0	1498.22	1870.53	1572.76	1487.87	1447.15	1745.2	954.43	1551.09	2178.83	1051.79	974.5	1832.01	1051.79	1096.5	1651.0	1295.13	1191.69	753.83	854.13	1119.56	1883.54	1378.57	1508.65	764.36	1540.37	2075.59	2335.28	947.83	1322.37	1259.69	1259.69	1572.76	1167.14	1594.73	1407.55	1340.84	1104.13	1977.24	1259.69	1322.37	1313.23	1369.04	1119.56	1183.45	1037.29	1529.73
ACTR6	1044.52	733.19	1259.69	748.61	660.68	2018.8	764.36	698.41	1008.9	748.61	791.35	909.17	723.08	1208.34	825.0	356.05	291.04	547.75	603.67	368.65	318.57	470.14	591.22	392.44	555.41	764.36	395.18	518.15	551.56	607.87	376.41	511.0	514.56	463.65	429.54	441.64	497.0	473.41	503.95	620.67	348.71	525.39	842.36	708.18	480.04	368.65	551.56	414.87	599.49	395.18	423.61	444.72	414.87	536.45	511.0	395.18	353.59	435.55	368.65	470.14	518.15	361.04	555.41
AFTPH	1104.13	1059.11	748.61	1191.69	1023.0	1295.13	1498.22	981.29	1044.52	1175.27	830.75	878.17	995.0	1081.39	1225.22	332.14	297.17	503.95	708.18	450.94	490.14	620.67	607.87	299.25	435.55	743.43	400.71	441.64	551.56	480.04	356.05	567.1	493.56	470.14	441.64	392.44	441.64	624.99	460.44	642.59	343.89	473.41	728.11	743.43	423.61	392.44	476.71	450.94	567.1	480.04	599.49	454.09	536.45	490.14	559.28	389.72	493.56	476.71	470.14	500.46	406.31	454.09	567.1
AIDA	2915.45	1628.26	1963.57	1896.65	1127.35	2367.9	1508.65	1685.71	2224.63	2148.82	1378.57	1806.78	1350.18	2148.82	1909.85	432.53	563.18	866.07	1015.93	607.87	733.19	808.0	1119.56	656.11	819.3	1551.09	713.11	583.07	915.51	579.04	591.22	934.76	780.44	595.34	813.63	866.07	890.44	872.1	890.44	1008.9	466.88	684.02	1051.79	728.11	567.1	743.43	1008.9	579.04	1216.75	802.41	698.41	547.75	718.08	660.68	825.0	595.34	693.58	583.07	638.15	647.07	1208.34	708.18	842.36
AIMP1	1225.22	1304.15	1369.04	1427.22	1259.69	1883.54	1407.55	1277.29	1427.22	1583.71	1519.15	1350.18	1651.0	1605.83	2367.9	866.07	555.41	884.29	1037.29	866.07	941.27	947.83	1023.0	718.08	872.1	1250.98	802.41	1001.93	1088.92	842.36	854.13	928.3	921.88	1037.29	921.88	1008.9	896.64	981.29	1037.29	1030.12	928.3	1073.91	1313.23	1167.14	878.17	872.1	988.12	842.36	878.17	872.1	860.08	915.51	981.29	780.44	1111.82	780.44	1015.93	848.22	836.53	848.22	884.29	921.88	866.07
AMN1	389.72	289.02	466.88	217.27	195.72	521.76	327.56	400.71	152.28	218.79	260.38	267.73	414.87	432.53	463.65	201.25	177.53	171.45	202.66	164.42	152.28	209.84	199.85	87.03	169.07	164.42	140.04	120.94	170.25	191.67	140.04	197.09	183.82	161.02	189.02	194.36	178.77	202.66	197.09	193.01	165.57	142.01	212.78	277.2	137.14	127.89	262.2	127.0	228.13	166.73	173.85	125.24	155.5	224.97	171.45	139.07	169.07	173.85	118.43	178.77	260.38	172.65	204.07
AP2B1	3146.52	2915.45	2018.8	2417.67	3768.09	3928.15	2855.44	3515.68	4152.18	3467.27	3742.05	2351.53	3257.52	2367.9	3491.39	1477.58	1529.73	1721.16	2104.58	1870.53	1721.16	2104.58	1662.49	1322.37	1427.22	2367.9	1628.26	1733.13	2018.8	1844.76	1923.14	1709.26	1870.53	1674.06	1529.73	1350.18	1498.22	1721.16	2032.85	1757.34	1104.13	1769.57	2303.12	2335.28	1331.57	1561.89	1583.71	1806.78	1697.45	1304.15	1519.15	1844.76	2004.85	1378.57	2485.67	1605.83	1936.53	1950.0	1498.22	1295.13	1896.65	1322.37	1923.14
ARL15	954.43	620.67	620.67	775.05	1023.0	759.08	414.87	497.0	480.04	309.83	791.35	791.35	836.53	1286.18	1487.87	195.72	158.79	400.71	363.56	224.97	173.85	279.14	476.71	150.17	409.15	435.55	178.77	161.02	336.79	242.88	133.36	511.0	281.09	191.67	205.5	275.28	450.94	287.01	206.94	283.05	198.47	273.37	363.56	521.76	162.14	237.86	571.05	234.57	384.34	186.4	241.19	157.68	318.57	325.29	318.57	193.01	208.38	198.47	226.54	314.17	114.36	251.48	336.79
ARMC1	819.3	441.64	890.44	518.15	555.41	1369.04	563.18	500.46	493.56	503.95	633.73	603.67	703.28	743.43	1073.91	175.07	171.45	334.46	414.87	264.03	265.87	351.14	339.14	145.02	285.03	438.59	236.21	226.54	323.03	218.79	206.94	329.84	258.57	256.78	271.48	205.5	262.2	297.17	305.55	332.14	212.78	279.14	414.87	397.93	226.54	249.73	289.02	256.78	295.11	283.05	291.04	220.32	242.88	262.2	312.0	273.37	281.09	262.2	262.2	283.05	256.78	251.48	305.55
