	TCGA.EA.A1QS.01A.61R.A22U.07	GTEX.11P7K.1426.SM.5EGKY	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	TCGA.B0.5706.01A.11R.1541.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5732.01A.11R.1602.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13
ADRA2A	85.82	21.78	23.08	12.45	7.63	12.0	0.0	0.0	0.39	669.92	264.03	248.0	170.25	947.83	208.38	1242.34	59.97	723.08	432.53	195.72
AIFM2	127.0	260.38	346.29	346.29	287.01	201.25	128.79	0.0	0.58	579.04	176.29	312.0	684.02	392.44	141.02	463.65	228.13	460.44	341.51	314.17
ANXA11	2935.74	3742.05	4010.71	3928.15	3515.68	3690.52	3280.18	0.0	0.95	9215.48	6250.56	5479.15	7695.57	6983.79	4419.52	8658.09	4181.07	8778.97	8247.98	6983.79
ARHGAP39	60.82	45.21	41.22	27.05	29.48	28.86	24.81	0.0	0.08	206.94	48.52	149.12	70.01	74.06	120.94	239.52	221.86	273.37	61.68	29.91
ASS1	941.27	1023.0	1498.22	603.67	392.44	414.87	1950.0	0.0	0.99	8658.09	1111.82	3614.55	1540.37	1781.89	7433.4	6337.83	4066.71	8022.41	2351.53	1447.15
C10orf2	112.77	55.49	108.9	116.78	84.63	63.89	58.71	0.0	0.0	295.11	84.63	183.82	177.53	236.21	159.9	341.51	214.27	323.03	134.3	80.01
C15orf39	214.27	165.57	262.2	169.07	127.89	90.77	473.41	0.0	0.54	384.34	363.56	503.95	651.58	237.86	406.31	708.18	591.22	928.3	679.29	470.14
CASP10	127.0	62.56	93.35	83.45	50.98	47.17	329.84	121.79	198.47	460.44	466.88	397.93	336.79	470.14	232.94	748.61	120.1	483.38	426.57	473.41
CYC1	1477.58	2875.3	2956.17	2627.46	2178.83	2367.9	2193.99	0.0	1.03	7331.05	2997.45	3639.7	5441.3	4903.87	5403.7	6887.62	5255.91	8305.36	7081.29	3103.19
DAGLA	14.78	50.98	29.7	49.56	44.57	38.12	17.13	0.0	0.38	105.89	48.87	202.66	88.88	65.26	80.01	334.46	102.25	275.28	71.0	62.12
DGAT1	500.46	660.68	866.07	656.11	575.03	521.76	559.28	0.0	1.08	2956.17	791.35	1857.6	1583.71	2537.92	1628.26	2701.35	1651.0	2609.3	7749.1	1073.91
DMBT1	6.01	0.49	5.54	3.63	1.99	1.16	4.28	0.0	0.0	8538.88	41.52	1709.26	3212.66	159.9	567.1	12943.04	518.15	2104.58	4419.52	150.17
DNPEP	1001.93	1167.14	2018.8	1572.76	1407.55	1268.46	1617.0	0.0	0.69	2591.27	1540.37	2163.77	1745.2	1427.22	2701.35	2835.7	1467.37	2351.53	2537.92	1388.16
