	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AC068620.1	0.0	0.0	1.93	8.0	1.07	3.23	4.35	6.73	1.91	1.64	10.88	0.0	2.07	8.65	9.2	3.53	4.86	12.18	0.0	1.19	0.0	17.25	2.66	3.63	2.61	2.56	2.97	2.39	1.33	16.51	9.85	9.06	5.19	4.66	13.62	0.0	1.03	7.0	10.63	4.13	1.66	18.03	6.52	0.0	0.95	6.84	0.0	4.28	9.56	29.27	20.26	0.0	26.67	28.45	14.78	31.45	27.84	12.09	30.56	12.36	29.7	14.24	66.65	23.25	49.21	37.32	0.0	30.78	30.34	47.17	12.83	36.27	22.26	36.79	16.39	0.0	21.16	17.13	10.0	21.63	45.53	13.03	24.46	23.42	15.91	21.94	11.47	0.0	26.67	38.12	18.16	13.32	67.59	32.82	4.94	12.36	7.75	31.9	17.0	13.03	11.21	9.34	0.0	23.42	22.1	42.11	18.16	19.25	27.64	19.39	0.0	14.14	13.52	29.7	24.46
ADAL	0.0	0.19	159.9	251.48	159.9	199.85	105.15	150.17	223.41	143.01	149.12	242.88	107.38	148.09	116.78	111.21	226.54	143.01	75.64	159.9	229.72	248.0	130.6	134.3	170.25	85.22	241.19	150.17	144.01	271.48	134.3	169.07	158.79	193.01	176.29	88.26	119.26	88.88	209.84	108.14	195.72	199.85	119.26	133.36	99.43	173.85	120.94	64.34	180.02	199.85	166.73	287.01	167.9	327.56	186.4	239.52	202.66	166.73	163.28	226.54	417.77	104.42	336.79	185.11	287.01	267.73	199.85	267.73	334.46	277.2	209.84	327.56	316.37	312.0	299.25	208.38	275.28	182.55	181.28	242.88	273.37	297.17	253.23	198.47	466.88	241.19	466.88	251.48	249.73	305.55	376.41	246.28	244.57	281.09	224.97	273.37	314.17	173.85	190.34	249.73	157.68	236.21	190.34	318.57	189.02	186.4	198.47	249.73	346.29	307.69	229.72	212.78	277.2	389.72	358.54
AIF1L	0.0	0.32	995.0	1216.75	1119.56	1066.48	842.36	486.75	743.43	669.92	743.43	1498.22	441.64	555.41	1143.1	1183.45	2004.85	1508.65	1008.9	753.83	902.89	293.07	1015.93	708.18	1096.5	1674.06	518.15	466.88	559.28	1030.12	1819.35	1519.15	316.37	1259.69	738.29	595.34	1322.37	1242.34	2047.0	438.59	723.08	974.5	1551.09	872.1	1397.83	780.44	995.0	450.94	2367.9	7857.29	4010.71	6745.86	4802.93	8598.28	6294.04	5292.48	2875.3	2417.67	4802.93	4066.71	5292.48	3325.99	5872.48	1870.53	7537.18	2777.33	2400.97	2061.24	4836.35	3690.52	3325.99	3515.68	3928.15	7382.04	4704.07	4802.93	5112.16	1617.0	3874.05	2090.03	4869.99	1923.14	3847.29	3325.99	3515.68	3540.14	5633.22	4010.71	3039.3	4671.57	4450.27	5292.48	4512.4	1950.0	4239.45	1832.01	3874.05	3303.0	3820.7	5954.47	2855.44	4543.8	2956.17	1896.65	4152.18	9215.48	4671.57	4512.4	2895.31	3955.48	3168.41	1639.59	6250.56	7485.11	5913.33
AKR1E2	0.0	0.71	15.56	23.42	19.11	29.7	18.43	15.8	55.49	27.25	19.82	23.08	33.78	27.44	16.51	21.94	30.78	23.59	34.02	18.03	11.04	35.0	23.25	23.42	47.84	13.12	32.13	38.4	22.75	48.18	31.9	41.52	10.71	37.05	32.13	12.09	40.64	18.29	52.82	13.52	23.42	29.7	16.03	14.56	47.5	15.8	28.04	9.56	39.22	63.45	73.54	45.21	92.7	28.24	85.82	71.5	42.71	108.9	68.55	115.16	122.64	90.77	83.45	316.37	65.26	94.67	61.68	121.79	131.51	58.71	53.57	69.03	74.58	96.01	52.08	61.25	67.59	57.08	136.19	154.42	68.55	125.24	87.03	86.43	86.43	59.13	61.25	51.35	73.54	64.34	103.69	58.71	54.72	44.25	38.12	52.82	50.27	293.07	51.71	85.22	91.41	123.5	48.52	26.86	68.07	171.45	466.88	48.18	152.28	49.56	36.79	17.25	64.34	68.07	73.03
ALDH7A1	0.0	0.72	1175.27	1350.18	1242.34	1250.98	728.11	941.27	967.76	1081.39	1487.87	1015.93	1096.5	878.17	780.44	575.03	1519.15	1467.37	775.05	961.07	728.11	1295.13	1023.0	629.35	1437.15	540.19	1023.0	1001.93	1059.11	1477.58	1233.75	1709.26	1745.2	1277.29	1322.37	819.3	848.22	947.83	1721.16	759.08	738.29	1733.13	836.53	1447.15	1304.15	1073.91	1250.98	825.0	1498.22	2163.77	2664.15	2875.3	2956.17	2591.27	2351.53	2148.82	1806.78	2061.24	3395.89	2485.67	2701.35	2193.99	2997.45	2047.0	2502.97	1870.53	2645.74	2224.63	2645.74	3146.52	2976.74	2451.44	2400.97	2555.58	2520.38	1639.59	2701.35	1697.45	2682.69	1923.14	3235.01	2956.17	2287.2	2163.77	2351.53	2976.74	3303.0	2855.44	2502.97	3742.05	2178.83	2104.58	2502.97	1674.06	2468.49	2682.69	1963.57	1407.55	1519.15	2319.15	1781.89	1561.89	2090.03	2148.82	2319.15	2451.44	2271.4	2682.69	2739.08	1991.0	1519.15	1096.5	2855.44	2485.67	2303.12
ANKRD53	0.0	0.33	44.25	67.59	98.73	96.68	49.21	27.44	36.01	60.39	77.25	29.06	89.51	48.87	21.01	32.36	62.12	91.41	70.01	73.03	31.67	40.36	42.11	61.25	60.82	56.28	69.52	52.08	63.45	63.0	120.94	67.12	5.32	55.1	85.22	37.32	22.92	24.46	90.14	32.36	63.45	50.98	75.64	11.3	96.01	64.34	53.57	55.1	55.49	94.01	101.54	119.26	92.7	73.54	137.14	54.72	151.22	171.45	84.04	96.01	98.04	316.37	86.43	218.79	108.9	73.54	215.77	183.82	108.9	202.66	139.07	145.02	80.57	69.52	84.63	142.01	82.29	84.63	78.34	31.67	88.26	84.04	83.45	143.01	64.34	126.12	87.03	67.12	187.71	62.56	98.73	283.05	129.69	94.01	332.14	119.26	74.06	187.71	166.73	251.48	119.26	124.37	283.05	171.45	149.12	146.03	104.42	185.11	74.58	78.89	34.26	84.04	107.38	75.64	60.39
ARSK	0.0	0.12	58.71	84.04	98.04	89.51	77.25	71.0	61.68	66.65	50.98	77.79	86.43	70.51	74.58	75.11	74.58	98.04	62.56	76.71	53.19	80.01	60.39	43.63	85.82	81.71	85.82	36.01	57.49	74.58	88.88	57.89	66.65	74.58	85.22	43.94	46.18	62.12	89.51	84.04	50.98	67.59	44.25	40.36	90.14	100.83	68.07	64.34	90.77	162.14	191.67	144.01	172.65	198.47	145.02	137.14	94.67	92.05	175.07	124.37	198.47	94.01	126.12	94.67	111.99	170.25	169.07	90.14	149.12	98.04	151.22	132.44	149.12	132.44	120.94	94.67	153.34	107.38	155.5	138.1	120.1	191.67	163.28	100.13	131.51	289.02	173.85	202.66	90.14	141.02	142.01	125.24	204.07	118.43	140.04	135.24	116.78	106.63	104.42	142.01	107.38	183.82	126.12	127.89	146.03	118.43	102.97	126.12	112.77	120.1	105.89	97.36	121.79	178.77	137.14
ASPH	8247.98	2384.37	684.02	1769.57	679.29	1119.56	476.71	1096.5	1359.57	819.3	1250.98	1369.04	1331.57	915.51	785.88	616.37	1225.22	1044.52	941.27	802.41	988.12	1313.23	974.5	551.56	1242.34	902.89	1268.46	567.1	688.78	1159.07	1001.93	698.41	1572.76	1088.92	1127.35	629.35	769.69	703.28	1697.45	775.05	981.29	1407.55	825.0	713.11	1044.52	1111.82	785.88	490.14	1529.73	1427.22	2796.65	1167.14	1487.87	2384.37	3419.52	1250.98	2434.5	2855.44	2335.28	1242.34	3303.0	2855.44	1268.46	2075.59	1819.35	3419.52	3443.31	2400.97	1457.23	1639.59	2335.28	1477.58	1583.71	1388.16	1127.35	1662.49	1870.53	2209.26	1769.57	1437.15	1883.54	2240.11	1883.54	3419.52	1119.56	3303.0	2796.65	1457.23	1757.34	1508.65	1594.73	2835.7	1963.57	2061.24	3018.3	1977.24	1051.79	2133.97	2935.74	1295.13	2701.35	3665.02	2835.7	3665.02	1806.78	3168.41	2240.11	3589.58	1628.26	2468.49	1819.35	1583.71	1467.37	1963.57	1819.35
B3GALNT1	0.0	0.28	231.32	500.46	214.27	249.73	197.09	264.03	134.3	144.01	301.33	293.07	242.88	211.31	111.21	147.06	392.44	320.8	232.94	239.52	167.9	212.78	229.72	129.69	346.29	236.21	251.48	194.36	108.9	381.68	381.68	346.29	295.11	234.57	325.29	166.73	197.09	217.27	460.44	224.97	104.42	253.23	171.45	140.04	708.18	371.22	305.55	325.29	435.55	830.75	540.19	872.1	928.3	1175.27	514.56	1183.45	529.06	450.94	928.3	571.05	1015.93	412.0	854.13	334.46	723.08	521.76	607.87	403.5	981.29	764.36	483.38	764.36	647.07	890.44	688.78	529.06	915.51	368.65	651.58	698.41	934.76	780.44	759.08	563.18	808.0	638.15	967.76	1066.48	389.72	1216.75	1023.0	616.37	1081.39	463.65	480.04	616.37	796.86	679.29	555.41	583.07	435.55	629.35	514.56	389.72	412.0	633.73	660.68	616.37	563.18	409.15	395.18	371.22	536.45	1008.9	915.51
BCAR3	0.0	0.72	204.07	206.94	239.52	193.01	204.07	140.04	187.71	371.22	226.54	293.07	176.29	183.82	206.94	214.27	176.29	244.57	242.88	289.02	111.21	201.25	232.94	156.59	226.54	224.97	145.02	239.52	172.65	228.13	205.5	312.0	159.9	180.02	253.23	258.57	267.73	129.69	231.32	164.42	136.19	202.66	267.73	208.38	145.02	185.11	293.07	277.2	438.59	307.69	500.46	343.89	299.25	376.41	543.96	303.44	651.58	620.67	381.68	406.31	400.71	536.45	312.0	525.39	423.61	669.92	733.19	511.0	346.29	684.02	583.07	348.71	323.03	412.0	392.44	289.02	303.44	241.19	420.68	301.33	279.14	511.0	346.29	414.87	289.02	454.09	343.89	320.8	441.64	281.09	291.04	825.0	432.53	423.61	872.1	583.07	242.88	466.88	674.59	384.34	507.46	454.09	536.45	503.95	470.14	802.41	466.88	684.02	260.38	175.07	271.48	255.0	444.72	392.44	403.5
BCL2	0.0	0.45	198.47	503.95	176.29	327.56	134.3	287.01	176.29	69.03	341.51	198.47	256.78	161.02	104.42	98.73	341.51	309.83	165.57	202.66	161.02	214.27	109.66	80.57	336.79	152.28	258.57	177.53	127.0	234.57	267.73	224.97	189.02	307.69	305.55	111.99	94.67	146.03	435.55	134.3	101.54	379.04	165.57	190.34	486.75	167.9	181.28	128.79	624.99	1066.48	1397.83	612.11	1081.39	1883.54	1277.29	967.76	656.11	915.51	1304.15	1295.13	995.0	480.04	890.44	915.51	2400.97	1322.37	753.83	409.15	638.15	825.0	603.67	718.08	679.29	1397.83	718.08	381.68	575.03	529.06	1857.6	1167.14	941.27	1225.22	1001.93	842.36	934.76	1397.83	1896.65	902.89	470.14	780.44	476.71	1104.13	1151.06	612.11	688.78	507.46	802.41	836.53	624.99	934.76	808.0	1304.15	733.19	915.51	624.99	995.0	819.3	493.56	830.75	669.92	688.78	237.86	1233.75	1605.83	1191.69
BIN1	1167.14	244.57	713.11	579.04	571.05	669.92	406.31	656.11	435.55	775.05	769.69	599.49	743.43	748.61	587.13	507.46	616.37	708.18	612.11	698.41	656.11	698.41	507.46	591.22	642.59	403.5	915.51	514.56	532.74	603.67	909.17	890.44	738.29	723.08	624.99	476.71	624.99	275.28	616.37	656.11	733.19	579.04	483.38	483.38	490.14	607.87	532.74	633.73	1088.92	1277.29	1487.87	497.0	1073.91	954.43	1159.07	1487.87	981.29	813.63	1081.39	1104.13	1008.9	1111.82	896.64	1225.22	1242.34	974.5	1662.49	1135.2	848.22	1030.12	848.22	1143.1	1369.04	1044.52	954.43	909.17	1225.22	1073.91	1119.56	928.3	941.27	1096.5	1233.75	1167.14	1008.9	1268.46	587.13	1350.18	559.28	1350.18	961.07	884.29	909.17	703.28	1111.82	866.07	1008.9	1051.79	1030.12	967.76	603.67	1208.34	1159.07	733.19	878.17	1225.22	748.61	1088.92	860.08	1277.29	543.96	728.11	1437.15	1066.48	1104.13
C12orf60	0.0	0.0	15.45	23.08	31.45	15.11	26.47	49.21	20.71	28.04	15.45	27.44	17.9	26.67	15.56	16.39	18.29	33.78	19.53	36.79	17.13	30.78	18.84	17.25	23.93	9.2	16.75	18.84	28.24	20.41	20.11	39.5	21.01	38.4	37.59	14.24	11.64	16.39	17.0	14.24	43.63	21.78	20.26	12.64	15.34	21.47	19.25	32.59	55.49	103.69	49.56	59.13	46.5	85.22	59.55	50.98	21.94	102.25	37.59	40.07	47.5	23.25	81.71	36.01	67.59	31.22	20.11	24.46	55.89	19.97	43.94	100.13	50.98	59.13	39.5	32.36	54.72	28.65	46.84	43.63	60.82	66.18	75.64	32.59	36.79	51.35	79.45	80.57	32.36	18.84	77.79	27.05	67.12	32.13	34.02	13.42	45.85	28.45	18.7	48.52	53.95	29.7	32.82	38.12	23.76	36.01	35.76	28.86	37.59	31.0	42.11	26.86	51.71	38.4	62.12
