	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2PM.01A.11R.A18M.07	TCGA.A6.2685.11A.01R.A32Z.07	TCGA.AA.3534.11A.01R.A32Z.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13PL7.2526.SM.5IFGR	GTEX.XMK1.1726.SM.4B64Z	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.ZTSS.1126.SM.5985O	GTEX.PX3G.1426.SM.48U1J	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCC6	8.13	43.63	84.04	115.16	173.85	185.11	361.04	371.22	363.56	435.55	483.38	368.65	579.04	295.11	275.28	356.05	507.46	12.18	33.3	1.89	4.62	4.58	6.06	21.47	5.41	0.0	0.26	4.7	0.69	27.44	6.67	5.63	3.72
ABHD3	536.45	842.36	2224.63	941.27	1697.45	1561.89	2271.4	2664.15	2627.46	3901.01	1685.71	2627.46	3018.3	3146.52	1304.15	3168.41	1806.78	253.23	607.87	187.71	525.39	384.34	450.94	353.59	356.05	0.0	0.69	409.15	100.83	384.34	194.36	361.04	251.48
ACSL5	356.05	7.0	2502.97	2451.44	3146.52	3081.75	5672.41	6561.36	5954.47	7081.29	6207.38	5041.77	7857.29	4802.93	4239.45	6792.79	6037.61	234.57	483.38	36.79	47.17	197.09	132.44	198.47	119.26	0.0	0.75	297.17	186.4	208.38	151.22	46.5	57.49
AD000671.6	6.78	3.44	21.01	37.05	15.11	35.76	10.0	41.81	55.89	56.28	39.5	60.39	21.32	35.76	21.47	41.22	38.67	7.34	50.63	15.22	5.41	8.32	9.2	17.38	13.12	0.0	0.29	7.82	10.96	12.36	11.3	5.68	1.27
ARAF	351.14	612.11	1709.26	1674.06	1617.0	1991.0	1991.0	2075.59	2119.22	1909.85	2090.03	2193.99	2502.97	1733.13	1870.53	2104.58	2133.97	1044.52	1259.69	813.63	713.11	813.63	909.17	988.12	1081.39	1259.69	412.0	764.36	713.11	1023.0	988.12	878.17	620.67
ARHGAP9	98.04	20.11	287.01	423.61	536.45	514.56	1183.45	1781.89	961.07	902.89	583.07	808.0	915.51	612.11	802.41	1794.29	988.12	191.67	493.56	84.63	112.77	242.88	189.02	201.25	320.8	0.0	0.93	249.73	63.45	191.67	158.79	44.89	61.25
ARSA	890.44	205.5	1331.57	1896.65	1225.22	1487.87	2178.83	2119.22	1857.6	1896.65	1757.34	2004.85	1594.73	1487.87	1151.06	2104.58	1769.57	1066.48	1268.46	866.07	612.11	860.08	1066.48	872.1	1159.07	0.0	1.01	271.48	267.73	660.68	684.02	633.73	353.59
BIN2	71.0	6.46	144.01	273.37	212.78	289.02	503.95	514.56	591.22	514.56	435.55	361.04	417.77	318.57	332.14	563.18	514.56	71.5	138.1	29.91	47.17	82.87	59.97	78.89	80.57	0.0	0.59	154.42	14.78	88.26	74.06	18.97	16.63
C4orf19	4.82	8.51	543.96	262.2	718.08	909.17	1268.46	1467.37	1733.13	1378.57	1437.15	1175.27	1350.18	1225.22	995.0	1397.83	1183.45	17.38	56.28	3.5	0.0	8.25	5.77	22.43	8.78	0.0	0.1	11.3	0.0	53.57	18.29	33.78	9.78
C5orf20	4.03	0.19	6.78	10.47	6.78	10.55	18.7	12.36	13.42	12.0	19.25	37.85	5.41	7.11	45.21	21.47	12.18	3.2	6.78	0.0	0.78	3.59	5.63	4.21	8.45	0.0	0.0	2.27	42.11	8.51	19.53	0.0	0.0
CALM3	4450.27	1883.54	6745.86	6471.02	6207.38	6516.03	6983.79	6516.03	6561.36	6164.49	10225.32	6164.49	4358.66	5403.7	6792.79	7589.61	6745.86	4639.29	6079.61	5913.33	2555.58	3901.01	3665.02	5441.3	3212.66	0.0	0.89	6164.49	3372.43	3018.3	3665.02	3235.01	2061.24
CASP10	684.02	53.57	486.75	265.87	265.87	567.1	579.04	679.29	1015.93	607.87	738.29	860.08	665.29	397.93	426.57	941.27	460.44	281.09	312.0	70.51	92.05	191.67	277.2	265.87	237.86	121.79	198.47	96.68	195.72	134.3	358.54	152.28	165.57
CD2	769.69	7.88	265.87	197.09	303.44	283.05	738.29	872.1	665.29	529.06	693.58	497.0	500.46	283.05	555.41	1030.12	769.69	94.67	133.36	10.0	13.52	156.59	58.71	62.56	77.79	0.0	0.27	45.21	136.19	78.34	336.79	55.1	37.85
CD247	170.25	15.68	124.37	177.53	190.34	177.53	454.09	543.96	320.8	473.41	281.09	346.29	412.0	228.13	299.25	521.76	620.67	38.67	120.94	8.78	9.56	45.21	42.71	68.55	71.0	0.0	0.28	16.39	38.95	34.51	161.02	35.76	22.43
