	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13YAN.0926.SM.5O9C3	GTEX.ZAB5.0726.SM.5P9JG	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.139YR.1226.SM.5IFEU	GTEX.13FHO.0926.SM.5N9EW	GTEX.WYVS.0326.SM.3NM9V	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.QMRM.0726.SM.2I5G8	GTEX.11LCK.0526.SM.5A5M9	GTEX.11TT1.1126.SM.5P9GV	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.BK.A13B.01A.51R.A22K.07
AASS	31.45	228.13	126.12	75.64	470.14	0.78	87.03	63.89	78.34	79.45	154.42	104.42	95.34	190.34	132.44	112.77	43.63	82.29	88.26	94.01	104.42	102.25	171.45	115.16	287.01	226.54	273.37	307.69	136.19	163.28	190.34	231.32	251.48	84.63	215.77	339.14	75.11	127.0	45.53
ABCA10	6.84	132.44	6.41	11.04	27.84	0.44	39.5	29.06	19.97	23.76	43.32	22.1	19.97	22.1	20.71	23.93	8.13	5.92	28.45	22.92	44.57	20.86	43.32	68.55	133.36	239.52	49.56	100.83	182.55	88.88	189.02	130.6	265.87	140.04	59.13	111.21	40.64	119.26	8.32
ABCA6	17.9	236.21	10.63	7.11	2018.8	0.27	12.93	27.64	16.63	12.27	134.3	13.83	34.26	25.72	16.03	36.79	39.79	15.0	23.25	39.79	44.89	25.72	98.04	156.59	236.21	376.41	195.72	137.14	205.5	197.09	226.54	255.0	381.68	112.77	125.24	293.07	99.43	158.79	1.89
ABCA8	12.36	384.34	7.34	16.27	854.13	0.39	70.01	172.65	88.26	45.21	122.64	209.84	59.13	92.05	58.71	201.25	7.0	50.27	49.91	105.15	264.03	59.97	346.29	258.57	559.28	1331.57	256.78	181.28	473.41	785.88	511.0	620.67	819.3	866.07	417.77	543.96	215.77	444.72	3.89
ABCA9	5.02	307.69	3.35	1.53	75.64	0.28	4.03	6.78	3.86	3.35	27.84	2.61	9.93	13.22	3.76	10.88	3.29	2.66	5.02	8.99	18.84	3.23	31.9	64.8	167.9	309.83	137.14	114.36	166.73	108.9	167.9	111.21	281.09	143.01	111.99	202.66	34.26	244.57	2.84
ACSL6	3.32	6.84	1.79	3.99	79.45	0.24	3.56	1.6	7.22	2.05	3.17	2.86	1.36	1.08	1.31	1.41	2.61	2.68	0.74	0.78	1.62	1.36	4.03	11.55	10.16	19.68	16.88	10.16	18.7	5.5	31.9	18.43	33.78	3.63	13.42	27.64	9.85	50.98	0.42
ADAMTS3	8.38	6.94	46.84	14.24	2.34	0.37	13.62	12.45	6.16	11.13	19.97	31.22	11.04	8.58	5.02	8.65	11.47	17.64	12.83	8.58	11.82	6.84	13.32	44.89	35.25	32.59	53.95	49.21	20.56	64.34	55.89	72.01	65.26	87.03	43.32	41.22	73.54	18.97	1.83
AIF1	583.07	1963.57	1359.57	1388.16	2319.15	0.45	490.14	500.46	486.75	579.04	1096.5	785.88	595.34	267.73	466.88	353.59	651.58	303.44	651.58	497.0	392.44	307.69	995.0	1628.26	624.99	872.1	941.27	536.45	954.43	2178.83	1697.45	1447.15	1883.54	679.29	860.08	674.59	283.05	909.17	836.53
ANKDD1A	28.24	116.78	59.97	38.95	13.93	0.33	47.5	60.82	59.97	75.64	106.63	84.63	58.71	76.17	96.68	87.65	64.34	72.52	62.12	63.89	72.01	71.0	116.78	175.07	155.5	289.02	202.66	191.67	167.9	138.1	236.21	189.02	260.38	122.64	226.54	193.01	119.26	218.79	20.71
AOX1	15.22	172.65	165.57	16.39	118127.7	0.52	0.0	15.11	3.08	10.71	96.01	6.57	25.72	9.7	2.25	7.69	33.54	7.17	6.26	11.04	21.94	3.89	39.5	429.54	540.19	1427.22	1923.14	796.86	228.13	693.58	237.86	229.72	633.73	185.11	480.04	2645.74	759.08	220.32	5.19
APOL3	131.51	780.44	309.83	665.29	2627.46	0.6	295.11	406.31	271.48	414.87	647.07	356.05	346.29	287.01	264.03	320.8	186.4	248.0	417.77	507.46	366.09	175.07	688.78	708.18	825.0	1023.0	842.36	693.58	1216.75	921.88	1199.98	651.58	995.0	1037.29	733.19	1088.92	612.11	507.46	106.63
