	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DW.5561.01A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.EM.A2OV.01A.11R.A206.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.11NSD.0126.SM.5987F	GTEX.13U4I.0526.SM.5LU59	GTEX.12WSD.0926.SM.5GCNL	GTEX.13112.0326.SM.5P9IW
REV3L	91.41	94.67	185.11	63.0	71.5	96.01	48.52	70.01	106.63	17.64	212.78	71.5	119.26	28.04	316.37	316.37	297.17	220.32	339.14	336.79	285.03
RIMBP3B	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	1.43	0.0	1.16	2.84	4.39	4.7	2.58	1.77	2.89	7.34
RIMKLB	713.11	660.68	316.37	224.97	974.5	656.11	358.54	1151.06	1359.57	141.02	1037.29	56.68	0.0	180.02	796.86	1331.57	1572.76	1191.69	928.3	1437.15	1331.57
RP11-295P9.3	48.18	62.12	84.04	23.08	76.17	175.07	26.1	48.87	154.42	11.3	258.57	45.85	0.0	4.28	248.0	603.67	500.46	376.41	314.17	525.39	426.57
RP11-458D21.5	1.97	1.5	2.07	9.63	4.58	9.2	0.75	5.59	3.14	0.0	31.0	6.46	0.0	0.0	31.22	35.25	31.45	9.7	20.71	47.5	39.5
RP11-795F19.5	2.03	1.91	26.1	1.06	2.03	4.5	2.66	0.41	19.39	0.0	33.78	0.0	0.0	1.46	27.44	47.17	74.58	89.51	56.68	37.05	88.26
RP11-80A15.1	1.14	1.81	31.67	0.0	2.56	7.51	0.0	0.0	5.82	0.0	19.25	0.0	0.0	1.13	16.15	7.34	10.39	25.72	17.64	11.13	30.56
RP13-996F3.5	0.84	1.17	0.73	0.0	5.73	0.85	1.55	2.71	11.73	1.22	15.91	1.38	0.0	0.0	4.62	12.09	12.36	8.06	7.0	12.93	19.25
RSPH3	67.12	64.8	98.73	190.34	180.02	111.21	90.77	96.01	127.0	37.05	269.6	68.07	109.66	48.18	177.53	176.29	175.07	269.6	171.45	256.78	194.36
S100PBP	67.12	80.57	190.34	67.12	117.6	140.04	50.98	103.69	205.5	35.76	329.84	57.08	0.0	125.24	221.86	444.72	555.41	420.68	500.46	414.87	444.72
