	TCGA.AA.3712.01A.21R.1723.07	TCGA.L5.A8NM.01A.11R.A37I.31	TCGA.L5.A43E.01A.11R.A24K.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.R6.A8WC.01A.11R.A37I.31	GTEX.13O61.1226.SM.5KM21	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.VQ.A94T.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13FH7.1026.SM.5IJGF
AAMDC	543.96	674.59	890.44	134.3	293.07	123.5	376.41	2895.31	0.0	0.39	1477.58	854.13	941.27	244.57	400.71	633.73	1250.98	361.04	169.07	854.13	1183.45	825.0	954.43	1350.18	941.27	1001.93	1709.26	2645.74	1378.57	1268.46	1477.58
ACAT1	435.55	866.07	287.01	1081.39	376.41	514.56	444.72	2193.99	0.0	0.56	2417.67	1340.84	1143.1	1313.23	780.44	842.36	902.89	802.41	575.03	1268.46	1073.91	1322.37	1175.27	1794.29	1639.59	1819.35	1340.84	2119.22	1844.76	1757.34	2875.3
ACSM5	2.73	2.2	0.0	1.97	5.19	3.86	0.0	128.79	0.0	0.14	55.89	28.65	19.82	19.11	22.26	11.13	10.0	4.03	1.62	11.21	36.27	22.43	36.01	45.85	45.21	90.14	32.36	30.12	50.63	49.21	42.71
ADHFE1	18.29	40.64	32.36	30.34	17.77	10.47	17.38	2367.9	0.0	0.46	514.56	316.37	84.04	112.77	31.45	24.11	92.7	25.72	10.55	73.03	262.2	158.79	208.38	368.65	115.16	429.54	332.14	297.17	379.04	412.0	629.35
ALDH1A1	616.37	363.56	395.18	236.21	218.79	38.12	507.46	12244.81	0.0	0.78	20593.91	9808.75	3716.2	8479.89	1857.6	397.93	8363.13	2645.74	3443.31	2682.69	10014.87	9409.14	9606.86	15285.81	10585.95	11664.82	10808.41	17317.18	15075.35	9673.69	14361.31
AP001816.1	88.26	242.88	218.79	124.37	57.49	120.1	127.0	595.34	0.0	0.13	389.72	309.83	237.86	275.28	327.56	182.55	253.23	144.01	277.2	281.09	353.59	305.55	320.8	343.89	256.78	480.04	450.94	819.3	521.76	591.22	373.81
B3GNT1	182.55	155.5	215.77	241.19	177.53	72.52	256.78	759.08	0.0	0.19	665.29	363.56	397.93	483.38	277.2	624.99	947.83	249.73	183.82	796.86	612.11	450.94	703.28	514.56	595.34	423.61	629.35	497.0	583.07	669.92	713.11
BMX	3.89	5.28	4.46	6.73	3.79	1.36	1.01	55.89	0.0	0.24	136.19	33.54	16.27	19.53	8.85	8.65	10.16	3.03	3.92	23.76	37.59	20.86	33.06	32.13	33.3	36.79	31.9	47.5	29.7	26.86	113.56
C3orf18	25.54	8.06	7.4	76.71	5.96	10.79	40.93	312.0	0.0	0.18	175.07	146.03	84.04	84.63	44.25	140.04	155.5	18.97	24.63	111.99	145.02	120.94	277.2	171.45	97.36	271.48	164.42	265.87	202.66	267.73	206.94
CACNA2D3	7.34	13.03	7.34	15.0	9.13	10.63	9.27	55.1	0.0	0.48	40.64	33.54	9.06	28.45	6.16	5.15	7.51	3.99	7.0	24.46	18.84	18.97	24.11	29.27	42.11	51.35	51.35	79.45	63.89	67.12	55.1
