	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.A8D0.01A.11R.A36G.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.G9.6499.11A.02R.1965.07
MLLT6	170.25	84.63	258.57	403.5	194.36	242.88	104.42	273.37	307.69	206.94	147.06	223.41	198.47	102.25	165.57	157.68	55.1	325.29	127.0	198.47	1685.71	1369.04	947.83	1467.37	902.89	775.05	1295.13	521.76	1340.84	967.76	1407.55	1508.65	1769.57	1583.71	1216.75	1088.92	1572.76	583.07
MMEL1	10.63	3.82	1.36	11.47	3.35	10.96	0.69	5.68	0.36	7.22	39.79	5.11	5.32	0.3	0.0	0.31	0.0	4.5	25.17	2.25	896.64	1467.37	54.72	1685.71	764.36	529.06	226.54	95.34	878.17	125.24	1037.29	363.56	145.02	1066.48	651.58	860.08	540.19	103.69
MSI2	273.37	595.34	151.22	244.57	205.5	309.83	218.79	108.9	353.59	223.41	96.01	182.55	140.04	314.17	149.12	175.07	170.25	329.84	271.48	429.54	928.3	718.08	563.18	591.22	529.06	529.06	1159.07	551.56	872.1	620.67	620.67	708.18	713.11	1081.39	493.56	688.78	813.63	409.15
NEK1	29.91	36.53	81.71	81.14	101.54	40.36	24.99	36.53	79.45	36.53	33.3	43.63	41.22	36.27	66.18	58.3	42.11	44.57	33.06	62.12	199.85	142.01	121.79	120.94	102.25	92.05	258.57	77.25	194.36	189.02	139.07	135.24	264.03	178.77	102.97	119.26	177.53	71.5
NSA2	1733.13	1685.71	1199.98	1685.71	2004.85	1508.65	1508.65	1508.65	2047.0	1651.0	1359.57	1896.65	1594.73	1697.45	1832.01	2047.0	1167.14	1059.11	1340.84	1617.0	2976.74	3018.3	2997.45	3589.58	1896.65	1806.78	3235.01	2502.97	3190.46	2520.38	2209.26	2335.28	3349.13	2758.13	2400.97	3665.02	3280.18	2468.49
OTUD5	921.88	571.05	674.59	791.35	723.08	934.76	665.29	780.44	836.53	753.83	665.29	713.11	813.63	563.18	660.68	503.95	647.07	703.28	603.67	830.75	1183.45	1199.98	1191.69	1208.34	1216.75	1143.1	1030.12	1051.79	1388.16	1350.18	1359.57	1268.46	1268.46	1111.82	1167.14	1388.16	1216.75	947.83
PA2G4	1498.22	1572.76	1313.23	1397.83	1427.22	1628.26	2255.7	1697.45	1242.34	2075.59	1721.16	1605.83	2193.99	1295.13	1313.23	2303.12	890.44	1104.13	1583.71	1268.46	2609.3	3768.09	2178.83	2895.31	2032.85	2193.99	2796.65	2335.28	2997.45	2451.44	2319.15	2976.74	2537.92	3103.19	2485.67	2451.44	2935.74	2367.9
PCYOX1L	27.84	8.38	25.91	29.7	16.88	18.56	12.0	11.64	27.64	20.41	9.13	43.32	13.93	24.11	7.28	12.55	2.76	18.84	15.11	2.68	279.14	403.5	197.09	371.22	189.02	202.66	392.44	289.02	361.04	180.02	346.29	316.37	373.81	384.34	180.02	327.56	285.03	293.07
PDDC1	373.81	224.97	389.72	447.82	318.57	511.0	366.09	438.59	414.87	603.67	463.65	366.09	320.8	181.28	476.71	246.28	137.14	532.74	599.49	473.41	1286.18	1662.49	1322.37	1295.13	1199.98	607.87	1417.35	688.78	1183.45	1242.34	1340.84	1540.37	1651.0	1487.87	1135.2	921.88	1111.82	599.49
PDE6B	64.34	9.34	32.13	39.5	14.45	15.45	35.5	11.3	31.9	33.06	3.69	16.88	17.0	12.18	7.0	7.75	0.35	25.17	34.02	43.63	91.41	70.51	36.27	135.24	50.63	44.25	343.89	13.62	74.58	52.82	143.01	76.71	70.01	193.01	43.94	79.45	74.06	46.18
PFKM	95.34	176.29	215.77	273.37	175.07	256.78	61.25	111.99	239.52	236.21	135.24	159.9	118.43	73.03	87.03	101.54	40.07	237.86	271.48	309.83	1059.11	1216.75	915.51	1457.23	583.07	532.74	2178.83	435.55	988.12	679.29	909.17	884.29	1104.13	2224.63	414.87	718.08	1208.34	555.41
PKD1	279.14	198.47	397.93	295.11	218.79	356.05	248.0	503.95	226.54	307.69	334.46	318.57	217.27	74.06	237.86	289.02	88.26	312.0	303.44	256.78	1030.12	813.63	1023.0	1135.2	866.07	555.41	733.19	406.31	819.3	728.11	1159.07	967.76	2061.24	1051.79	603.67	764.36	733.19	884.29
PPP1R26	75.11	50.27	135.24	136.19	89.51	137.14	72.01	97.36	96.01	81.14	170.25	142.01	44.25	62.12	148.09	73.03	111.21	105.15	85.82	130.6	412.0	395.18	273.37	348.71	332.14	327.56	389.72	234.57	460.44	305.55	395.18	356.05	490.14	307.69	271.48	297.17	414.87	293.07
PRAC1	0.0	0.0	22.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10154.69	17804.06	15934.98	37121.34	9474.59	412.0	26800.01	11992.79	16496.96	12589.08	18950.18	27174.14	23169.48	16843.62	12676.65	18052.61	26614.89	6983.79
PRMT5	480.04	567.1	688.78	536.45	457.25	872.1	656.11	583.07	486.75	547.75	511.0	718.08	642.59	532.74	563.18	1059.11	343.89	483.38	616.37	624.99	1407.55	2367.9	1233.75	1781.89	1304.15	1127.35	2004.85	1233.75	1709.26	1498.22	1427.22	1529.73	1167.14	2193.99	1199.98	1242.34	1572.76	884.29
PRPSAP2	269.6	173.85	371.22	387.02	366.09	249.73	195.72	346.29	343.89	264.03	283.05	204.07	384.34	361.04	320.8	323.03	320.8	503.95	314.17	307.69	620.67	660.68	389.72	551.56	476.71	457.25	748.61	463.65	376.41	571.05	543.96	567.1	624.99	674.59	395.18	493.56	480.04	287.01
PTPN18	638.15	307.69	684.02	435.55	540.19	376.41	532.74	559.28	521.76	507.46	563.18	493.56	463.65	486.75	503.95	540.19	332.14	463.65	500.46	447.82	1909.85	2537.92	1519.15	1561.89	1977.24	1277.29	2664.15	1407.55	2104.58	2627.46	2351.53	1662.49	2075.59	2997.45	2351.53	2133.97	2148.82	1066.48
R3HDM1	96.68	126.12	139.07	125.24	187.71	87.03	113.56	91.41	116.78	146.03	157.68	139.07	155.5	85.82	96.01	152.28	55.1	124.37	143.01	116.78	318.57	327.56	208.38	249.73	234.57	176.29	595.34	139.07	287.01	301.33	237.86	267.73	293.07	503.95	199.85	237.86	316.37	255.0
RBM22	348.71	307.69	329.84	486.75	397.93	470.14	275.28	457.25	426.57	470.14	348.71	305.55	341.51	387.02	309.83	371.22	170.25	438.59	327.56	316.37	748.61	854.13	591.22	825.0	536.45	490.14	775.05	529.06	848.22	603.67	647.07	723.08	848.22	651.58	583.07	703.28	802.41	575.03
RGS12	204.07	232.94	277.2	373.81	297.17	264.03	303.44	353.59	409.15	206.94	205.5	226.54	260.38	251.48	371.22	228.13	325.29	412.0	170.25	348.71	693.58	518.15	540.19	819.3	490.14	379.04	466.88	400.71	575.03	713.11	616.37	723.08	791.35	684.02	500.46	688.78	490.14	486.75
RIOK1	80.57	131.51	98.04	117.6	103.69	193.01	260.38	102.97	100.13	115.16	132.44	111.21	125.24	143.01	125.24	162.14	46.18	100.13	84.63	68.55	241.19	420.68	283.05	363.56	242.88	228.13	435.55	275.28	389.72	279.14	277.2	307.69	309.83	384.34	384.34	279.14	303.44	303.44
RNF44	320.8	70.51	153.34	329.84	173.85	198.47	109.66	206.94	258.57	127.89	206.94	132.44	134.3	123.5	242.88	73.54	142.01	251.48	147.06	237.86	703.28	941.27	507.46	872.1	543.96	387.02	896.64	412.0	947.83	540.19	884.29	713.11	1066.48	921.88	497.0	738.29	860.08	532.74
RNPS1	921.88	723.08	915.51	921.88	896.64	1806.78	1417.35	1081.39	854.13	1135.2	1001.93	825.0	1088.92	1037.29	836.53	1104.13	629.35	1127.35	934.76	660.68	3847.29	5672.41	4066.71	4268.94	3325.99	2956.17	4038.61	3039.3	4010.71	3372.43	4419.52	3820.7	4512.4	6294.04	4095.0	4268.94	4095.0	3768.09
SDCCAG8	232.94	171.45	389.72	409.15	208.38	417.77	336.79	256.78	301.33	204.07	279.14	325.29	264.03	214.27	426.57	180.02	400.71	253.23	164.42	155.5	764.36	1733.13	848.22	785.88	733.19	693.58	872.1	638.15	819.3	693.58	802.41	1044.52	947.83	947.83	599.49	842.36	884.29	454.09
SLC22A4	6.57	3.59	4.31	1.73	6.94	24.11	18.84	6.01	3.56	7.57	18.29	6.36	14.45	2.73	0.84	19.53	3.23	6.16	5.92	3.69	100.83	10.47	28.86	49.21	74.58	20.26	21.63	12.83	165.57	76.71	80.01	29.27	54.33	24.81	91.41	40.93	23.25	20.86
