	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
AASS	417.77	72.52	395.18	305.55	198.47	260.38	100.83	138.1	253.23	57.08	323.03	220.32	144.01	156.59	151.22	218.79	148.09	173.85	68.07	70.51	460.44	180.02	77.79	180.02	111.99	104.42	209.84	187.71	309.83	432.53	201.25	264.03	226.54	115.16	127.0	205.5	123.5	195.72	74.06	121.79	221.86	149.12	80.01
ABL2	144.01	32.59	146.03	136.19	109.66	73.54	81.14	81.71	79.45	21.01	118.43	91.41	74.06	113.56	67.12	61.68	82.29	110.43	52.45	48.87	198.47	51.71	53.57	77.79	90.14	67.12	77.79	97.36	138.1	138.1	76.17	99.43	77.79	56.68	83.45	123.5	66.65	77.25	53.57	58.3	109.66	73.54	50.27
ADAM17	166.73	40.36	162.14	165.57	206.94	82.29	98.04	96.01	108.14	35.25	159.9	79.45	89.51	118.43	86.43	72.52	106.63	228.13	46.5	54.72	256.78	60.39	63.45	134.3	143.01	72.52	100.83	138.1	220.32	158.79	89.51	124.37	120.1	66.65	105.15	154.42	102.25	105.15	63.89	76.17	171.45	105.89	87.03
ADNP2	229.72	102.25	253.23	293.07	224.97	173.85	110.43	130.6	187.71	80.01	234.57	131.51	151.22	217.27	131.51	142.01	139.07	209.84	78.89	92.05	381.68	103.69	129.69	190.34	154.42	117.6	111.99	249.73	228.13	214.27	136.19	223.41	149.12	116.78	162.14	241.19	155.5	178.77	101.54	127.89	228.13	165.57	134.3
AFF4	1001.93	195.72	967.76	878.17	836.53	441.64	366.09	363.56	466.88	167.9	728.11	379.04	379.04	603.67	384.34	329.84	703.28	708.18	172.65	205.5	813.63	228.13	241.19	423.61	406.31	285.03	429.54	743.43	947.83	954.43	346.29	842.36	441.64	234.57	403.5	830.75	423.61	518.15	293.07	323.03	759.08	463.65	314.17
AKAP12	493.56	39.5	379.04	1183.45	397.93	45.21	120.1	208.38	249.73	14.67	329.84	223.41	94.01	283.05	77.25	78.89	293.07	651.58	103.69	75.11	1745.2	128.79	289.02	275.28	283.05	88.26	260.38	295.11	1242.34	435.55	141.02	291.04	55.49	70.51	70.51	194.36	190.34	283.05	133.36	65.72	591.22	329.84	103.69
AR	1250.98	624.99	866.07	1359.57	713.11	536.45	454.09	480.04	629.35	381.68	718.08	438.59	575.03	460.44	616.37	514.56	575.03	860.08	500.46	351.14	1594.73	267.73	406.31	698.41	450.94	420.68	392.44	738.29	1313.23	1388.16	525.39	902.89	902.89	361.04	466.88	780.44	312.0	769.69	426.57	450.94	802.41	555.41	363.56
ATP2B1	392.44	122.64	633.73	470.14	571.05	214.27	220.32	202.66	358.54	90.77	346.29	251.48	265.87	273.37	191.67	140.04	327.56	571.05	99.43	127.0	599.49	191.67	149.12	246.28	759.08	183.82	186.4	289.02	866.07	264.03	171.45	295.11	269.6	198.47	228.13	764.36	237.86	182.55	120.1	215.77	351.14	146.03	172.65
BCLAF1	1721.16	470.14	2018.8	1572.76	2367.9	872.1	753.83	603.67	1167.14	389.72	1447.15	651.58	934.76	1127.35	884.29	775.05	1369.04	1407.55	575.03	366.09	1745.2	493.56	547.75	967.76	981.29	703.28	1208.34	1397.83	1674.06	2032.85	830.75	1359.57	1159.07	529.06	1119.56	1857.6	860.08	1111.82	483.38	819.3	1651.0	995.0	679.29
BTAF1	366.09	74.06	514.56	412.0	420.68	224.97	120.94	136.19	353.59	66.65	444.72	127.0	122.64	336.79	180.02	204.07	193.01	155.5	98.04	76.71	457.25	135.24	99.43	232.94	165.57	171.45	189.02	291.04	529.06	346.29	208.38	346.29	454.09	98.04	291.04	525.39	162.14	125.24	87.03	186.4	351.14	309.83	86.43
