	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.C8.A26X.01A.31R.A16F.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.13NYC.2626.SM.5K7VN
AGO1	66.18	109.66	117.6	89.51	182.55	229.72	246.28	208.38	129.69	406.31	94.01	163.28	169.07	107.38	114.36	142.01	82.29	145.02	271.48	202.66	297.17	289.02	371.22	265.87	232.94	112.77	47.17	43.63	34.51	49.56	55.89	84.04	70.51
ALG10B	16.75	31.22	36.79	63.45	95.34	63.45	94.01	84.63	52.45	158.79	56.68	125.24	64.34	46.18	8.58	93.35	51.71	65.26	180.02	125.24	94.67	103.69	111.99	70.51	82.29	37.85	18.03	9.34	6.06	7.17	19.25	5.68	24.46
ALG11	57.08	86.43	80.01	74.58	214.27	173.85	244.57	206.94	63.0	234.57	120.1	329.84	186.4	80.01	74.58	178.77	138.1	111.21	395.18	224.97	299.25	277.2	457.25	198.47	224.97	173.85	59.97	22.75	40.64	23.59	22.59	13.42	59.13
AP3M1	285.03	423.61	441.64	353.59	638.15	981.29	848.22	679.29	368.65	830.75	571.05	764.36	954.43	490.14	279.14	718.08	563.18	490.14	723.08	848.22	780.44	909.17	1225.22	748.61	890.44	579.04	208.38	152.28	283.05	199.85	246.28	201.25	291.04
ATP7A	47.84	172.65	107.38	105.15	212.78	202.66	186.4	244.57	95.34	113.56	143.01	185.11	189.02	89.51	62.56	128.79	170.25	85.82	289.02	191.67	275.28	293.07	307.69	137.14	253.23	173.85	14.78	8.13	14.78	9.7	15.0	15.56	71.0
BAZ2B	53.19	185.11	220.32	155.5	412.0	351.14	688.78	480.04	191.67	616.37	269.6	432.53	260.38	212.78	144.01	187.71	334.46	291.04	860.08	351.14	808.0	1295.13	1216.75	460.44	551.56	323.03	121.79	40.36	54.72	42.41	19.82	50.63	214.27
BTBD9	38.4	49.91	90.14	62.56	119.26	201.25	197.09	175.07	63.0	208.38	117.6	224.97	226.54	122.64	71.5	128.79	64.34	98.73	287.01	194.36	190.34	281.09	265.87	176.29	189.02	98.04	26.28	43.94	24.28	18.43	30.56	26.1	96.68
BTRC	81.14	143.01	325.29	110.43	241.19	305.55	403.5	447.82	115.97	400.71	197.09	571.05	170.25	157.68	40.07	297.17	201.25	237.86	373.81	325.29	363.56	698.41	669.92	229.72	246.28	107.38	59.13	53.19	52.82	53.19	46.84	50.63	150.17
C10orf118	62.56	194.36	138.1	125.24	466.88	521.76	336.79	234.57	143.01	387.02	159.9	441.64	283.05	134.3	118.43	262.2	123.5	139.07	698.41	356.05	483.38	454.09	341.51	297.17	373.81	223.41	30.34	21.16	33.54	27.64	34.75	15.8	128.79
C10orf88	58.3	81.71	99.43	81.71	110.43	144.01	155.5	154.42	63.0	182.55	129.69	163.28	84.63	108.14	74.58	128.79	154.42	84.63	206.94	121.79	149.12	223.41	232.94	143.01	150.17	83.45	40.36	47.84	53.95	38.12	56.28	52.82	67.12
