	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.EJ.5525.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07
ABCF2	796.86	518.15	518.15	796.86	450.94	642.59	733.19	633.73	521.76	470.14	373.81	591.22	457.25	693.58	629.35	521.76	642.59	587.13	536.45	684.02	872.1	532.74	660.68	511.0	329.84	612.11	866.07	909.17	483.38	497.0	587.13	466.88	595.34	486.75	490.14	363.56	525.39	463.65
ADAM17	460.44	40.36	98.04	146.03	96.01	108.14	177.53	153.34	84.63	90.14	79.45	176.29	86.43	197.09	156.59	117.6	148.09	106.63	54.72	128.79	256.78	63.45	134.3	143.01	100.83	138.1	220.32	234.57	66.65	105.15	116.78	102.25	128.79	105.15	63.89	77.25	75.64	94.01
AGK	454.09	289.02	318.57	473.41	358.54	341.51	444.72	381.68	412.0	312.0	397.93	412.0	363.56	583.07	414.87	341.51	483.38	363.56	223.41	387.02	647.07	255.0	392.44	384.34	271.48	473.41	642.59	713.11	299.25	420.68	341.51	366.09	397.93	351.14	320.8	343.89	293.07	234.57
ARHGAP11A	435.55	6.89	15.8	52.08	15.68	18.43	83.45	57.49	17.0	15.11	15.8	48.52	12.45	137.14	87.65	23.42	34.02	29.06	11.3	57.49	205.5	14.67	31.0	14.67	19.97	47.5	79.45	127.0	16.27	13.62	22.75	25.54	47.17	21.01	12.93	10.08	11.04	15.0
ASF1B	1721.16	46.84	18.84	121.79	51.35	35.76	119.26	134.3	42.41	25.91	51.35	107.38	13.52	198.47	140.04	66.65	68.55	22.43	73.54	146.03	325.29	43.32	94.01	41.52	36.79	58.3	265.87	100.13	85.82	50.63	38.4	125.24	94.67	36.01	27.64	17.64	30.56	11.04
ASPM	351.14	4.58	2.86	38.12	8.0	8.19	44.89	26.86	4.5	2.14	4.35	14.67	3.53	38.67	42.71	9.7	11.73	3.47	9.7	20.86	122.64	6.06	19.82	5.23	7.46	15.11	62.12	72.01	8.0	7.88	5.96	15.56	19.11	7.69	2.68	2.63	3.32	1.43
BRCA1	486.75	32.13	48.87	95.34	36.27	37.59	83.45	74.58	61.68	44.25	18.56	65.26	28.65	130.6	80.57	45.85	45.85	29.48	29.48	81.71	191.67	15.11	60.39	37.59	34.51	44.89	133.36	154.42	39.5	43.32	27.64	66.65	70.51	37.32	19.82	24.63	39.22	32.36
BRCA2	403.5	0.23	6.84	9.85	2.78	1.22	26.86	25.72	10.16	7.22	1.36	24.28	0.57	19.82	18.84	6.06	11.04	6.78	0.25	13.72	113.56	6.57	8.38	3.79	6.73	8.0	43.63	14.67	4.98	7.17	6.78	10.63	15.56	7.88	3.89	8.0	5.96	8.85
BRD3	909.17	231.32	381.68	547.75	376.41	511.0	651.58	591.22	400.71	368.65	353.59	532.74	435.55	660.68	647.07	507.46	406.31	483.38	334.46	603.67	896.64	339.14	423.61	325.29	480.04	521.76	802.41	633.73	368.65	514.56	476.71	368.65	518.15	397.93	329.84	329.84	363.56	323.03
BUB1	796.86	12.09	8.65	102.25	18.56	23.42	92.7	63.45	16.51	5.87	17.13	55.1	9.63	127.0	73.54	29.91	31.67	10.39	19.11	67.59	253.23	18.43	63.0	14.56	11.38	36.79	77.79	88.26	24.81	17.13	20.41	43.94	45.21	35.25	8.13	5.11	5.87	9.34
