	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.B2.5641.01A.01R.1541.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
ABCC1	748.61	127.89	228.13	271.48	202.66	151.22	368.65	281.09	454.09	693.58	483.38	327.56	371.22	435.55	287.01	358.54	713.11	460.44	444.72	409.15	571.05	397.93	514.56	571.05	738.29	457.25	400.71	884.29	518.15	607.87	236.21	454.09	392.44	529.06	75.11	26.47	0.0	299.25
AFF1	92.05	17.9	76.71	228.13	134.3	120.1	175.07	193.01	118.43	1096.5	1111.82	182.55	441.64	684.02	409.15	543.96	684.02	332.14	1331.57	559.28	830.75	341.51	723.08	764.36	1259.69	454.09	708.18	836.53	532.74	909.17	483.38	698.41	780.44	612.11	182.55	136.19	231.32	20.56
AHCYL1	432.53	454.09	529.06	476.71	825.0	698.41	497.0	738.29	579.04	2163.77	1487.87	1259.69	995.0	1733.13	1331.57	1745.2	1844.76	1073.91	2224.63	1359.57	1369.04	1066.48	1923.14	902.89	2335.28	1088.92	1977.24	2701.35	890.44	1208.34	1427.22	1378.57	1733.13	1594.73	665.29	603.67	896.64	575.03
ANKRD13C	120.94	92.7	122.64	149.12	100.83	87.03	103.69	141.02	124.37	260.38	314.17	181.28	178.77	215.77	171.45	208.38	241.19	182.55	295.11	218.79	262.2	176.29	221.86	161.02	262.2	163.28	228.13	242.88	157.68	223.41	178.77	258.57	231.32	206.94	64.8	48.18	0.0	109.66
ARL10	12.0	3.76	7.28	11.82	39.22	49.21	24.81	42.41	35.5	159.9	231.32	44.89	82.29	130.6	38.67	126.12	198.47	273.37	285.03	205.5	169.07	57.89	80.57	293.07	212.78	173.85	161.02	173.85	208.38	339.14	70.51	234.57	163.28	173.85	40.93	2.12	0.0	20.86
CASP8	346.29	387.02	327.56	281.09	583.07	229.72	273.37	536.45	253.23	713.11	633.73	511.0	483.38	511.0	651.58	638.15	684.02	718.08	679.29	743.43	830.75	612.11	1001.93	620.67	514.56	525.39	785.88	954.43	490.14	684.02	381.68	665.29	607.87	842.36	176.29	186.4	412.0	220.32
CCPG1	348.71	166.73	356.05	182.55	325.29	473.41	256.78	127.0	301.33	1369.04	1594.73	896.64	954.43	1304.15	1407.55	1369.04	1870.53	1051.79	1051.79	1167.14	1674.06	1991.0	1950.0	1277.29	1950.0	866.07	1286.18	1909.85	733.19	1685.71	825.0	1369.04	1583.71	1242.34	753.83	299.25	0.0	260.38
CDR2	239.52	271.48	190.34	269.6	307.69	211.31	132.44	258.57	228.13	620.67	860.08	743.43	612.11	493.56	890.44	379.04	1096.5	435.55	289.02	507.46	620.67	591.22	559.28	571.05	616.37	503.95	684.02	878.17	511.0	866.07	389.72	381.68	624.99	583.07	511.0	148.09	0.0	162.14
CLCC1	191.67	341.51	212.78	346.29	281.09	221.86	320.8	202.66	167.9	679.29	563.18	406.31	423.61	400.71	397.93	334.46	438.59	314.17	466.88	587.13	684.02	279.14	473.41	397.93	595.34	444.72	567.1	629.35	381.68	381.68	366.09	447.82	463.65	392.44	392.44	232.94	0.0	111.21
CTBS	185.11	165.57	156.59	273.37	234.57	221.86	120.1	301.33	295.11	521.76	733.19	483.38	493.56	587.13	954.43	616.37	591.22	264.03	575.03	518.15	909.17	612.11	684.02	493.56	470.14	444.72	688.78	743.43	287.01	414.87	450.94	389.72	454.09	525.39	460.44	279.14	447.82	361.04
CYP7B1	11.3	2.2	76.71	30.56	23.76	49.21	4.9	24.28	39.22	271.48	125.24	116.78	105.89	209.84	229.72	348.71	387.02	105.89	209.84	209.84	503.95	132.44	389.72	152.28	450.94	111.99	180.02	486.75	49.91	242.88	63.89	275.28	356.05	470.14	120.1	88.26	0.0	12.55
DCLRE1A	40.07	42.11	90.77	79.45	36.79	34.02	61.25	80.01	59.55	120.1	161.02	83.45	76.17	87.03	145.02	157.68	151.22	84.04	131.51	115.97	97.36	85.82	141.02	163.28	138.1	81.14	133.36	191.67	66.65	119.26	107.38	85.22	139.07	105.89	54.33	41.22	0.0	33.06
DHX40	316.37	206.94	307.69	258.57	271.48	275.28	351.14	231.32	232.94	934.76	1175.27	547.75	444.72	909.17	620.67	1015.93	813.63	599.49	1417.35	819.3	909.17	409.15	1023.0	954.43	1167.14	591.22	1001.93	1088.92	571.05	974.5	819.3	728.11	738.29	684.02	169.07	100.13	0.0	208.38
DOCK7	131.51	149.12	120.1	140.04	217.27	198.47	103.69	231.32	164.42	336.79	307.69	224.97	226.54	223.41	186.4	224.97	249.73	177.53	332.14	309.83	470.14	223.41	275.28	206.94	463.65	152.28	320.8	368.65	212.78	178.77	190.34	267.73	267.73	157.68	152.28	79.45	0.0	125.24
EIF2AK3	115.16	178.77	78.89	127.0	149.12	74.06	80.01	122.64	143.01	301.33	420.68	279.14	204.07	417.77	346.29	295.11	559.28	205.5	264.03	209.84	629.35	209.84	397.93	423.61	441.64	190.34	414.87	612.11	169.07	426.57	170.25	400.71	450.94	329.84	181.28	87.03	0.0	166.73
