	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L
AOX1	103.69	95.34	61.25	23.25	28.65	17.9	4.21	13.93	96.01	29.27	42.41	8.65	25.17	75.11	41.81	480.04	583.07	1991.0	28.86	95.34	842.36	3168.41	1977.24	1551.09	414.87	1295.13	353.59	236.21	1733.13	476.71	872.1	713.11	171.45	289.02	1457.23	131.51	139.07	212.78	1183.45	1313.23	3124.78	258.57	1322.37	819.3	228.13	591.22	172.65	343.89	1250.98	1407.55	1331.57	223.41	115.97	2976.74	1242.34
APOD	116.78	120.94	988.12	567.1	135.24	208.38	49.91	1096.5	148.09	108.9	305.55	138.1	144.01	1167.14	563.18	3081.75	2664.15	17078.76	23.25	2682.69	8078.22	6652.97	7803.01	12589.08	5006.93	4607.24	3564.78	3467.27	5112.16	6652.97	4268.94	8134.41	4671.57	1651.0	7180.15	1697.45	1268.46	1991.0	12676.65	11035.54	12244.81	3716.2	6745.86	6164.49	2240.11	17197.56	967.76	3303.0	14361.31	10440.2	3491.39	2193.99	521.76	10585.95	11504.21
APOL3	260.38	289.02	450.94	420.68	201.25	441.64	220.32	454.09	384.34	239.52	460.44	376.41	301.33	414.87	373.81	575.03	490.14	1023.0	68.55	271.48	733.19	796.86	1277.29	764.36	813.63	764.36	764.36	514.56	836.53	718.08	507.46	769.69	483.38	309.83	497.0	206.94	343.89	567.1	616.37	679.29	860.08	260.38	638.15	928.3	299.25	579.04	209.84	309.83	928.3	1697.45	429.54	279.14	748.61	1051.79	1023.0
ATG16L1	314.17	343.89	318.57	287.01	234.57	346.29	325.29	301.33	525.39	341.51	356.05	384.34	381.68	291.04	351.14	616.37	493.56	507.46	543.96	309.83	511.0	441.64	511.0	638.15	500.46	674.59	316.37	384.34	543.96	460.44	607.87	567.1	389.72	329.84	409.15	400.71	438.59	309.83	507.46	507.46	567.1	473.41	559.28	493.56	423.61	486.75	547.75	426.57	373.81	587.13	503.95	332.14	368.65	536.45	447.82
AXL	190.34	42.11	134.3	209.84	237.86	273.37	158.79	256.78	279.14	191.67	260.38	223.41	126.12	163.28	214.27	334.46	379.04	848.22	167.9	279.14	325.29	450.94	633.73	463.65	291.04	291.04	305.55	289.02	460.44	397.93	275.28	642.59	289.02	231.32	493.56	175.07	341.51	175.07	483.38	423.61	854.13	141.02	361.04	323.03	239.52	353.59	283.05	130.6	414.87	412.0	409.15	221.86	81.14	291.04	341.51
C15orf38	346.29	132.44	211.31	224.97	231.32	226.54	277.2	226.54	249.73	204.07	223.41	228.13	293.07	228.13	285.03	312.0	283.05	376.41	190.34	206.94	316.37	287.01	426.57	376.41	186.4	323.03	325.29	447.82	262.2	299.25	267.73	318.57	327.56	297.17	353.59	327.56	264.03	256.78	414.87	267.73	376.41	198.47	397.93	295.11	320.8	400.71	182.55	256.78	371.22	348.71	241.19	299.25	318.57	366.09	339.14
C1R	536.45	447.82	1259.69	1388.16	341.51	1216.75	599.49	5255.91	2104.58	429.54	1697.45	429.54	616.37	1628.26	2104.58	3280.18	3190.46	16843.62	40.36	1378.57	2303.12	19618.49	11664.82	7749.1	5594.3	12076.21	5441.3	4937.99	11504.21	3419.52	5147.73	19348.38	3280.18	2018.8	7749.1	1870.53	2645.74	1832.01	5711.87	13681.08	7966.99	1225.22	7749.1	2400.97	1191.69	8538.88	2163.77	1286.18	11664.82	16496.96	4543.8	1923.14	4802.93	9215.48	6983.79
C1S	187.71	183.82	629.35	669.92	88.88	497.0	190.34	1832.01	703.28	76.71	728.11	145.02	173.85	651.58	909.17	1088.92	1757.34	7230.1	10.79	713.11	1487.87	7857.29	6607.01	3419.52	2720.15	4575.41	3190.46	1617.0	4419.52	2417.67	3589.58	6426.31	2287.2	1111.82	4268.94	1359.57	660.68	954.43	2148.82	4358.66	5594.3	332.14	3419.52	1225.22	543.96	4239.45	432.53	507.46	4671.57	8022.41	2502.97	1477.58	1628.26	4038.61	3901.01
CDO1	9.2	159.9	31.45	74.58	50.98	66.65	98.73	41.81	19.11	33.54	80.01	13.22	199.85	67.59	38.67	175.07	67.59	376.41	20.71	77.79	493.56	236.21	198.47	271.48	145.02	71.5	271.48	264.03	113.56	454.09	94.67	208.38	68.07	138.1	217.27	105.15	31.0	529.06	148.09	373.81	198.47	118.43	40.07	152.28	193.01	249.73	27.64	151.22	511.0	131.51	75.11	63.45	66.65	392.44	323.03
CELF2	82.87	34.75	55.1	85.82	51.71	68.07	38.95	80.57	107.38	43.02	72.52	63.89	42.41	70.01	92.05	94.67	182.55	571.05	72.52	82.29	249.73	483.38	327.56	182.55	155.5	152.28	197.09	115.16	293.07	248.0	125.24	265.87	100.13	132.44	221.86	144.01	36.27	81.14	173.85	193.01	384.34	89.51	285.03	165.57	100.13	351.14	76.71	106.63	226.54	395.18	205.5	161.02	94.01	206.94	283.05
