	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L
DOC2B	6.89	12.74	13.42	11.47	6.46	13.62	8.0	16.51	5.77	9.7	14.45	3.35	7.28	11.64	13.52	19.11	15.56	55.1	11.21	5.36	15.91	33.3	33.78	24.63	25.54	25.91	23.42	11.38	41.81	37.32	44.57	33.06	27.64	6.62	30.34	12.55	8.85	6.78	16.63	26.86	35.0	8.25	76.71	14.24	13.72	43.63	5.02	15.22	30.78	78.34	20.86	15.0	65.26	33.54	22.75
DPP6	47.5	36.79	47.5	29.06	1.06	7.17	14.67	94.67	126.12	28.45	38.12	68.07	24.28	84.63	65.72	1963.57	808.0	1378.57	102.97	140.04	934.76	2335.28	511.0	1923.14	743.43	1037.29	591.22	620.67	2271.4	591.22	1081.39	842.36	698.41	86.43	2119.22	612.11	145.02	54.72	3955.48	813.63	480.04	848.22	2796.65	1561.89	1066.48	1313.23	2061.24	2502.97	1096.5	3372.43	1991.0	50.63	29.7	346.29	1286.18
DSEL	8.06	3.99	6.73	9.2	4.54	5.45	3.44	7.75	10.55	6.21	8.19	11.38	5.19	8.38	9.85	17.51	18.84	38.67	3.35	15.56	33.3	43.63	28.65	18.97	22.1	15.0	44.25	21.47	24.46	31.0	24.28	49.91	8.45	23.08	28.65	15.56	9.34	15.45	22.59	40.07	35.5	14.89	20.71	15.91	16.03	28.65	15.56	15.0	20.41	25.54	17.64	12.45	7.28	33.3	23.59
EEF2K	258.57	167.9	132.44	183.82	131.51	229.72	173.85	125.24	204.07	153.34	209.84	212.78	154.42	163.28	223.41	187.71	271.48	356.05	162.14	201.25	241.19	242.88	323.03	283.05	194.36	305.55	232.94	221.86	228.13	320.8	265.87	336.79	96.68	220.32	204.07	332.14	153.34	224.97	226.54	299.25	373.81	178.77	234.57	251.48	241.19	283.05	166.73	208.38	253.23	232.94	198.47	171.45	169.07	287.01	239.52
ELAVL1	733.19	713.11	753.83	743.43	607.87	780.44	743.43	775.05	796.86	656.11	603.67	738.29	842.36	753.83	819.3	947.83	890.44	934.76	738.29	808.0	896.64	830.75	884.29	802.41	728.11	974.5	896.64	884.29	909.17	866.07	860.08	1044.52	669.92	748.61	988.12	612.11	819.3	769.69	909.17	890.44	848.22	878.17	860.08	884.29	769.69	995.0	764.36	866.07	1030.12	688.78	909.17	743.43	872.1	941.27	825.0
ERGIC1	2367.9	1594.73	2400.97	2417.67	2758.13	2434.5	2178.83	1883.54	2047.0	2193.99	1991.0	2335.28	2502.97	2047.0	2224.63	3146.52	2997.45	2956.17	3103.19	2224.63	3491.39	2720.15	3018.3	2537.92	2255.7	3212.66	3103.19	3039.3	2664.15	2816.11	2591.27	3372.43	2816.11	2935.74	3039.3	2104.58	2351.53	2627.46	3039.3	3039.3	3146.52	2895.31	2701.35	3235.01	2119.22	2956.17	2720.15	2935.74	2796.65	2609.3	2400.97	2627.46	2609.3	2720.15	2627.46
EZR	2591.27	1651.0	2627.46	2451.44	1794.29	2193.99	2271.4	1936.53	2451.44	1191.69	3190.46	2739.08	1437.15	2777.33	2287.2	10440.2	8901.53	6745.86	6381.92	2451.44	6561.36	7857.29	6250.56	5555.65	5751.61	7803.01	2855.44	8363.13	8901.53	6983.79	7032.37	5076.84	4704.07	5403.7	6699.25	3491.39	8421.31	3955.48	6887.62	6207.38	6652.97	7230.1	6745.86	8247.98	5147.73	9025.81	7130.55	12589.08	4903.87	7642.41	5954.47	6983.79	4575.41	7433.4	6652.97
FAM198A	55.1	34.75	9.85	12.27	6.21	49.21	7.75	50.63	37.32	28.04	7.57	8.85	26.86	30.78	12.27	38.4	18.56	105.89	62.12	24.11	19.82	89.51	127.0	94.67	32.59	34.51	73.03	31.0	63.89	38.67	27.25	197.09	25.72	20.11	66.65	23.25	24.81	23.42	65.72	93.35	114.36	6.16	51.35	40.36	40.36	28.65	21.47	22.92	40.64	64.8	74.06	12.09	19.11	97.36	50.63
FAT4	78.89	25.72	42.71	28.45	13.42	26.67	28.04	21.78	41.81	40.36	37.32	42.11	28.86	31.22	44.25	63.0	119.26	159.9	46.5	65.26	314.17	156.59	111.21	104.42	77.79	132.44	110.43	127.89	127.0	126.12	134.3	116.78	41.81	93.35	118.43	91.41	64.34	81.71	126.12	80.01	137.14	71.5	105.89	132.44	60.82	128.79	55.49	99.43	81.71	156.59	178.77	39.5	30.12	106.63	113.56
FBLN5	211.31	65.72	423.61	647.07	197.09	497.0	417.77	698.41	392.44	332.14	825.0	312.0	138.1	579.04	759.08	1242.34	1015.93	2434.5	105.89	1096.5	1651.0	2485.67	2018.8	1909.85	1313.23	1359.57	3168.41	988.12	1617.0	1447.15	1769.57	1832.01	1135.2	1135.2	2520.38	1242.34	454.09	1159.07	1628.26	1977.24	2193.99	1073.91	2047.0	1268.46	1088.92	1745.2	595.34	688.78	1639.59	2148.82	1378.57	902.89	490.14	2682.69	1417.35
FGF10	0.0	0.0	2.76	2.53	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	1.35	7.28	5.06	30.34	49.21	198.47	21.63	9.27	218.79	229.72	244.57	109.66	16.75	155.5	34.26	43.32	105.15	35.0	145.02	102.97	20.56	35.76	323.03	25.17	25.35	25.54	100.13	101.54	172.65	48.87	108.9	107.38	9.93	100.83	63.89	16.03	27.64	237.86	283.05	19.68	37.59	157.68	87.03
G3BP1	764.36	423.61	532.74	612.11	620.67	567.1	470.14	521.76	583.07	599.49	483.38	616.37	620.67	555.41	638.15	941.27	896.64	1088.92	540.19	684.02	1350.18	808.0	1051.79	872.1	791.35	902.89	825.0	1023.0	967.76	921.88	909.17	1583.71	583.07	698.41	1023.0	629.35	785.88	713.11	902.89	1127.35	928.3	848.22	713.11	802.41	808.0	1277.29	743.43	769.69	947.83	813.63	1088.92	616.37	819.3	1051.79	1059.11
GAS1	25.17	18.03	38.4	71.0	19.82	44.25	37.59	73.03	52.82	59.97	57.49	13.12	21.16	54.72	68.07	275.28	180.02	934.76	59.13	102.97	139.07	1135.2	329.84	540.19	201.25	209.84	363.56	127.89	941.27	118.43	242.88	785.88	35.25	90.14	348.71	90.77	89.51	91.41	273.37	397.93	785.88	112.77	246.28	90.77	55.49	158.79	128.79	137.14	728.11	460.44	220.32	51.71	65.26	703.28	287.01
GCC1	110.43	164.42	78.89	102.97	95.34	76.17	100.83	81.14	140.04	111.99	77.25	115.16	84.63	80.01	113.56	226.54	185.11	214.27	108.9	122.64	248.0	186.4	205.5	191.67	178.77	193.01	158.79	224.97	183.82	187.71	209.84	248.0	162.14	115.16	211.31	149.12	146.03	191.67	195.72	208.38	217.27	173.85	223.41	206.94	170.25	237.86	177.53	205.5	241.19	214.27	204.07	156.59	163.28	194.36	191.67
GGT5	1467.37	1111.82	1044.52	1781.89	819.3	1529.73	1286.18	2609.3	1519.15	2400.97	1857.6	1350.18	1199.98	2004.85	2351.53	3847.29	1286.18	3467.27	532.74	518.15	2133.97	3768.09	3794.3	2796.65	2555.58	1733.13	1340.84	1617.0	3540.14	3146.52	2645.74	4481.23	1651.0	1832.01	2895.31	974.5	2047.0	1277.29	1844.76	2664.15	3716.2	872.1	3665.02	1540.37	866.07	2485.67	1397.83	1572.76	3280.18	2573.36	1794.29	1561.89	1963.57	2915.45	3467.27
GLUL	14663.09	7911.95	7857.29	6426.31	5633.22	6699.25	7180.15	5329.3	15934.98	8134.41	5831.91	12076.21	12415.75	10368.08	11189.6	26986.43	24660.96	36357.37	15499.21	17927.91	25708.25	52497.92	30361.44	33922.56	15180.22	46339.95	9876.98	17558.94	33224.42	31432.17	29124.6	24153.43	14361.31	21468.49	31215.04	19892.37	19482.97	10368.08	25005.23	24832.5	39785.74	13399.51	49322.93	30151.71	15075.35	26067.14	10368.08	26986.43	24153.43	48307.85	26067.14	19082.0	11992.79	30572.63	23656.34
GNA12	341.51	236.21	221.86	327.56	251.48	314.17	241.19	309.83	358.54	293.07	249.73	323.03	303.44	251.48	363.56	389.72	358.54	674.59	246.28	441.64	466.88	595.34	629.35	409.15	325.29	536.45	521.76	432.53	470.14	376.41	379.04	713.11	353.59	412.0	703.28	316.37	281.09	444.72	480.04	521.76	555.41	314.17	483.38	420.68	329.84	483.38	368.65	269.6	444.72	688.78	511.0	283.05	403.5	480.04	368.65
GNE	152.28	104.42	83.45	96.01	98.04	85.22	73.54	76.71	98.04	111.21	73.54	108.14	107.38	111.21	104.42	162.14	162.14	204.07	98.73	141.02	277.2	228.13	215.77	170.25	140.04	214.27	153.34	169.07	194.36	215.77	221.86	273.37	98.04	113.56	189.02	133.36	133.36	180.02	194.36	231.32	265.87	187.71	185.11	221.86	147.06	353.59	128.79	147.06	150.17	191.67	256.78	130.6	131.51	189.02	199.85
GPR98	120.94	122.64	100.13	82.87	34.02	75.11	45.53	48.87	49.91	60.39	66.65	73.54	189.02	84.63	53.95	599.49	256.78	473.41	154.42	108.14	444.72	1331.57	825.0	525.39	353.59	1498.22	193.01	142.01	2664.15	1073.91	1781.89	830.75	121.79	234.57	2133.97	165.57	110.43	108.9	2090.03	314.17	2075.59	665.29	1081.39	1857.6	161.02	183.82	2075.59	466.88	738.29	4358.66	713.11	105.89	108.9	1191.69	373.81
GRWD1	392.44	392.44	343.89	253.23	251.48	260.38	289.02	480.04	249.73	351.14	211.31	397.93	409.15	339.14	361.04	540.19	409.15	563.18	366.09	387.02	435.55	384.34	559.28	571.05	389.72	536.45	417.77	473.41	460.44	366.09	503.95	665.29	303.44	384.34	665.29	361.04	387.02	423.61	490.14	642.59	460.44	384.34	529.06	480.04	366.09	518.15	403.5	414.87	518.15	483.38	514.56	409.15	417.77	503.95	476.71
GTF2E1	90.14	82.29	66.65	87.65	43.94	63.89	50.27	66.65	105.89	76.71	81.71	80.01	64.8	70.01	105.15	139.07	133.36	154.42	70.01	85.22	158.79	109.66	126.12	121.79	120.94	95.34	115.97	113.56	123.5	141.02	143.01	139.07	71.5	88.88	112.77	71.5	125.24	97.36	122.64	127.89	145.02	138.1	135.24	115.97	77.79	155.5	130.6	146.03	146.03	120.94	130.6	84.63	88.26	138.1	141.02
HNRNPF	2271.4	1769.57	1870.53	1832.01	1651.0	1909.85	1605.83	2018.8	1794.29	1781.89	1685.71	1857.6	2163.77	1697.45	2133.97	2351.53	2047.0	2855.44	1977.24	1857.6	2319.15	2720.15	2720.15	2004.85	2032.85	2627.46	2133.97	2335.28	2796.65	2255.7	2400.97	3018.3	2720.15	1745.2	2956.17	1487.87	1806.78	2090.03	2335.28	2835.7	2417.67	1896.65	2451.44	3081.75	2240.11	3589.58	1769.57	2075.59	2777.33	2796.65	2645.74	2119.22	2997.45	2351.53	2018.8
HOXA7	5.06	0.84	0.95	0.89	0.0	4.31	0.0	2.84	1.31	1.71	1.28	2.16	2.03	6.31	3.23	10.31	14.03	14.56	1.91	8.58	9.85	24.46	25.35	13.12	12.0	13.03	23.25	7.88	9.41	12.0	4.17	8.58	4.17	18.7	5.28	10.71	3.38	22.92	3.69	13.93	7.11	5.63	14.56	6.41	11.04	9.85	6.41	1.89	23.42	22.1	15.56	10.63	19.53	6.41	18.84
IGF1	36.79	9.63	23.93	18.03	0.0	21.63	14.24	217.27	211.31	20.41	144.01	17.38	27.05	37.32	37.59	371.22	182.55	1037.29	9.34	118.43	129.69	1540.37	1286.18	493.56	389.72	343.89	139.07	70.01	1151.06	299.25	379.04	1295.13	77.79	102.25	1151.06	59.13	201.25	58.3	387.02	866.07	713.11	211.31	450.94	595.34	35.76	232.94	444.72	128.79	444.72	591.22	591.22	151.22	177.53	708.18	457.25
IGFBP5	3690.52	301.33	764.36	3955.48	476.71	1594.73	4736.79	1697.45	3124.78	3742.05	4328.55	1963.57	1388.16	3039.3	4010.71	10440.2	5403.7	15392.14	1350.18	1066.48	14461.21	17437.64	13776.25	23330.64	7382.04	24832.5	4575.41	7032.37	20881.4	23820.89	6516.03	22692.63	5183.54	5594.3	26431.04	2573.36	4239.45	3280.18	18819.27	10296.45	36357.37	3372.43	21172.91	36106.23	2351.53	10733.74	8191.0	8901.53	6983.79	11745.96	6983.79	6983.79	2303.12	21468.49	9409.14
INTS5	269.6	190.34	167.9	208.38	206.94	198.47	256.78	291.04	293.07	253.23	154.42	241.19	239.52	248.0	277.2	312.0	291.04	336.79	208.38	195.72	371.22	291.04	332.14	366.09	271.48	361.04	251.48	339.14	314.17	293.07	341.51	423.61	181.28	332.14	361.04	231.32	269.6	264.03	307.69	361.04	329.84	332.14	305.55	336.79	231.32	432.53	316.37	309.83	420.68	293.07	314.17	305.55	277.2	356.05	303.44
ITPRIPL2	130.6	65.26	65.26	145.02	115.97	109.66	96.01	85.22	94.67	107.38	94.01	144.01	42.71	92.05	152.28	162.14	158.79	206.94	48.18	120.94	194.36	202.66	251.48	137.14	108.9	112.77	134.3	172.65	217.27	139.07	129.69	361.04	46.18	91.41	156.59	81.14	86.43	87.03	158.79	194.36	223.41	118.43	167.9	173.85	63.45	244.57	54.33	95.34	201.25	217.27	182.55	75.11	114.36	147.06	172.65
KIAA1024	6.46	1.28	4.98	4.43	1.55	2.68	1.31	3.53	4.39	7.22	2.48	5.54	3.79	2.89	4.24	3.29	18.03	10.16	3.26	4.9	7.57	5.15	11.55	6.16	5.73	7.75	8.99	5.63	6.11	5.02	7.46	7.69	3.14	5.77	6.73	5.02	7.57	4.9	6.16	11.91	3.79	8.19	4.35	6.67	4.31	6.21	6.94	6.89	2.73	10.71	12.64	4.17	4.86	12.93	7.22
KIRREL	206.94	63.89	105.15	140.04	61.68	180.02	97.36	154.42	178.77	96.68	149.12	121.79	118.43	125.24	134.3	164.42	199.85	406.31	171.45	180.02	236.21	409.15	353.59	234.57	242.88	325.29	260.38	281.09	409.15	236.21	262.2	521.76	149.12	145.02	269.6	239.52	151.22	146.03	249.73	297.17	420.68	118.43	273.37	341.51	178.77	329.84	123.5	100.83	309.83	271.48	327.56	100.13	177.53	211.31	214.27
LAMA2	4.98	44.57	36.79	29.48	17.13	34.75	7.63	69.52	18.43	6.11	18.03	27.84	5.87	29.06	60.82	251.48	223.41	444.72	3.72	32.59	258.57	470.14	314.17	432.53	172.65	291.04	82.87	100.83	351.14	201.25	291.04	559.28	105.89	131.51	346.29	57.08	61.68	63.45	256.78	318.57	559.28	123.5	476.71	146.03	65.72	379.04	66.65	111.99	525.39	339.14	400.71	159.9	38.67	358.54	366.09
LDOC1L	205.5	159.9	148.09	95.34	109.66	76.71	102.97	127.89	146.03	152.28	115.16	154.42	183.82	141.02	180.02	366.09	269.6	447.82	197.09	185.11	307.69	343.89	316.37	295.11	239.52	392.44	320.8	325.29	389.72	283.05	297.17	450.94	198.47	255.0	414.87	164.42	236.21	273.37	353.59	406.31	363.56	242.88	363.56	361.04	154.42	334.46	241.19	281.09	353.59	368.65	341.51	173.85	248.0	312.0	260.38
LPAR1	145.02	38.12	221.86	98.73	74.58	65.72	68.07	191.67	112.77	94.01	163.28	119.26	279.14	147.06	136.19	285.03	329.84	842.36	53.19	249.73	563.18	1277.29	896.64	693.58	361.04	493.56	872.1	260.38	656.11	228.13	567.1	825.0	193.01	299.25	723.08	320.8	177.53	323.03	395.18	638.15	928.3	162.14	490.14	414.87	162.14	409.15	343.89	176.29	536.45	947.83	567.1	295.11	353.59	476.71	551.56
MAN1A1	209.84	74.06	137.14	164.42	64.34	189.02	232.94	209.84	173.85	72.01	420.68	131.51	111.99	158.79	175.07	423.61	318.57	896.64	43.32	273.37	941.27	902.89	748.61	693.58	444.72	480.04	633.73	295.11	579.04	674.59	559.28	460.44	346.29	381.68	842.36	258.57	167.9	366.09	429.54	381.68	941.27	409.15	769.69	486.75	214.27	780.44	327.56	299.25	497.0	981.29	674.59	389.72	253.23	759.08	607.87
MARK1	89.51	138.1	90.14	86.43	30.56	73.03	68.07	81.71	69.03	64.8	79.45	93.35	66.18	68.07	85.82	107.38	125.24	148.09	55.49	86.43	172.65	217.27	105.89	91.41	122.64	198.47	79.45	118.43	212.78	220.32	127.0	110.43	107.38	80.57	157.68	115.16	78.34	63.45	148.09	155.5	131.51	120.94	127.0	325.29	77.79	166.73	115.97	98.73	55.49	242.88	150.17	113.56	72.52	102.97	136.19
MCMBP	473.41	559.28	518.15	435.55	343.89	480.04	409.15	441.64	403.5	412.0	414.87	470.14	532.74	414.87	490.14	551.56	551.56	713.11	361.04	511.0	775.05	620.67	656.11	571.05	511.0	607.87	559.28	571.05	638.15	595.34	579.04	753.83	547.75	466.88	759.08	384.34	486.75	493.56	575.03	669.92	607.87	511.0	612.11	684.02	486.75	785.88	490.14	536.45	638.15	612.11	638.15	486.75	450.94	651.58	518.15
MME	6.16	3.82	5.73	5.96	2.66	3.96	1.0	7.28	16.27	11.13	3.26	8.45	1.0	2.86	5.32	37.32	35.0	157.68	2.48	10.55	21.94	473.41	115.97	63.45	33.3	53.57	31.22	10.71	52.08	563.18	56.28	248.0	12.93	21.16	61.68	12.45	8.25	15.56	37.05	98.73	109.66	28.45	49.56	11.64	17.25	20.86	53.57	24.46	60.39	35.25	73.54	14.56	8.92	59.13	17.13
MUL1	384.34	591.22	417.77	262.2	287.01	264.03	341.51	438.59	423.61	514.56	316.37	343.89	341.51	295.11	353.59	698.41	620.67	616.37	384.34	361.04	743.43	575.03	723.08	624.99	497.0	708.18	518.15	679.29	638.15	500.46	583.07	674.59	316.37	429.54	708.18	353.59	490.14	514.56	563.18	651.58	693.58	713.11	521.76	647.07	412.0	728.11	624.99	547.75	688.78	703.28	642.59	529.06	470.14	713.11	583.07
MXRA5	190.34	64.34	100.13	143.01	98.73	144.01	229.72	232.94	255.0	98.04	117.6	72.01	88.88	133.36	305.55	384.34	346.29	412.0	59.97	202.66	529.06	583.07	197.09	215.77	271.48	379.04	460.44	738.29	400.71	256.78	334.46	202.66	84.04	466.88	878.17	221.86	143.01	389.72	579.04	376.41	277.2	287.01	429.54	403.5	142.01	796.86	536.45	384.34	80.57	307.69	237.86	80.57	267.73	460.44	356.05
NCAM1	301.33	94.67	536.45	309.83	423.61	297.17	23.42	299.25	297.17	281.09	244.57	444.72	93.35	473.41	351.14	4038.61	6164.49	848.22	674.59	277.2	1583.71	5329.3	4268.94	1529.73	1662.49	1709.26	2032.85	4481.23	3874.05	1030.12	8134.41	2163.77	1175.27	1950.0	2193.99	624.99	2367.9	769.69	1857.6	2178.83	6079.61	915.51	507.46	4869.99	2018.8	2255.7	961.07	8963.45	470.14	7081.29	2178.83	2573.36	921.88	2796.65	2287.2
NDRG2	2104.58	2537.92	3742.05	1594.73	1295.13	1662.49	1561.89	2047.0	1697.45	2224.63	1923.14	1745.2	2287.2	1819.35	1991.0	3257.52	4639.29	3325.99	2417.67	1757.34	4543.8	2976.74	3820.7	4358.66	2193.99	3820.7	2384.37	2520.38	2319.15	4010.71	2915.45	2796.65	2047.0	2591.27	2335.28	2018.8	2520.38	2351.53	2758.13	3235.01	3665.02	1605.83	2627.46	2287.2	1870.53	2591.27	1551.09	1870.53	4639.29	3395.89	3589.58	2485.67	1008.9	2682.69	5006.93
NUP153	295.11	152.28	190.34	175.07	147.06	183.82	161.02	128.79	204.07	162.14	163.28	206.94	215.77	163.28	214.27	518.15	371.22	358.54	336.79	314.17	536.45	579.04	381.68	299.25	366.09	376.41	297.17	323.03	547.75	339.14	339.14	414.87	269.6	231.32	371.22	301.33	279.14	279.14	379.04	363.56	389.72	281.09	392.44	400.71	262.2	547.75	287.01	358.54	285.03	486.75	420.68	255.0	236.21	366.09	368.65
OSBPL11	148.09	97.36	141.02	92.7	94.67	107.38	73.54	98.04	124.37	114.36	81.14	114.36	111.99	88.26	100.13	162.14	170.25	165.57	58.3	92.7	187.71	162.14	154.42	150.17	155.5	201.25	142.01	113.56	156.59	256.78	154.42	162.14	99.43	118.43	164.42	69.03	147.06	135.24	148.09	169.07	204.07	123.5	167.9	166.73	114.36	223.41	129.69	156.59	158.79	248.0	146.03	123.5	113.56	186.4	137.14
PARVA	457.25	209.84	507.46	567.1	387.02	486.75	591.22	540.19	518.15	438.59	514.56	441.64	432.53	543.96	529.06	633.73	769.69	1159.07	454.09	693.58	1015.93	961.07	825.0	612.11	547.75	651.58	1015.93	780.44	708.18	988.12	688.78	909.17	603.67	718.08	764.36	555.41	813.63	587.13	543.96	830.75	780.44	457.25	684.02	651.58	669.92	753.83	591.22	529.06	890.44	457.25	796.86	638.15	830.75	656.11	674.59
PDGFRA	54.72	8.71	33.78	36.53	4.66	28.04	10.16	66.65	53.95	10.08	45.21	5.92	22.43	49.21	67.12	158.79	152.28	249.73	1.07	63.89	265.87	483.38	241.19	273.37	108.9	218.79	151.22	124.37	318.57	162.14	144.01	825.0	138.1	87.65	117.6	46.5	18.43	56.28	128.79	205.5	258.57	42.41	353.59	105.89	49.21	490.14	10.47	64.8	224.97	595.34	165.57	134.3	101.54	260.38	291.04
PGM1	813.63	660.68	753.83	486.75	708.18	571.05	529.06	518.15	567.1	896.64	447.82	612.11	493.56	376.41	595.34	902.89	941.27	1127.35	780.44	583.07	967.76	954.43	947.83	819.3	536.45	1268.46	733.19	1044.52	1096.5	1051.79	995.0	1051.79	547.75	896.64	1066.48	703.28	728.11	612.11	915.51	1151.06	961.07	1073.91	723.08	1030.12	718.08	1111.82	825.0	775.05	1059.11	785.88	1233.75	743.43	830.75	1008.9	713.11
PID1	9.41	13.42	42.11	34.75	11.13	21.78	20.26	42.71	18.7	18.7	20.26	19.82	8.0	51.71	54.33	167.9	239.52	444.72	1.58	75.64	351.14	890.44	480.04	409.15	212.78	329.84	309.83	157.68	366.09	199.85	297.17	493.56	98.04	156.59	438.59	133.36	67.12	195.72	295.11	511.0	376.41	102.25	423.61	185.11	115.16	329.84	92.7	117.6	353.59	423.61	226.54	104.42	91.41	295.11	305.55
PKD2	358.54	180.02	236.21	215.77	145.02	195.72	253.23	155.5	180.02	248.0	187.71	198.47	265.87	191.67	249.73	387.02	379.04	555.41	175.07	339.14	463.65	503.95	543.96	379.04	381.68	403.5	511.0	289.02	507.46	460.44	353.59	351.14	309.83	277.2	325.29	429.54	195.72	316.37	432.53	412.0	529.06	255.0	470.14	470.14	384.34	336.79	180.02	316.37	325.29	420.68	497.0	246.28	185.11	387.02	343.89
PODN	18.97	16.15	132.44	141.02	13.62	87.65	38.67	258.57	82.29	25.72	77.25	34.75	37.32	248.0	190.34	718.08	743.43	4123.49	4.31	463.65	400.71	2956.17	1963.57	1709.26	1183.45	1457.23	1037.29	599.49	2018.8	665.29	2645.74	884.29	303.44	348.71	3081.75	583.07	244.57	346.29	860.08	1487.87	4239.45	1359.57	1167.14	397.93	285.03	796.86	679.29	438.59	1143.1	3039.3	503.95	769.69	100.13	2287.2	1709.26
PPARG	163.28	101.54	181.28	149.12	37.59	90.14	65.72	98.04	194.36	74.06	182.55	60.82	148.09	172.65	171.45	660.68	447.82	518.15	1015.93	218.79	808.0	974.5	878.17	441.64	507.46	500.46	381.68	358.54	860.08	1388.16	540.19	417.77	325.29	376.41	447.82	141.02	432.53	381.68	435.55	748.61	412.0	348.71	336.79	447.82	348.71	500.46	239.52	309.83	536.45	327.56	961.07	353.59	185.11	486.75	483.38
PPP1R16B	54.72	36.53	29.27	24.99	28.04	21.16	16.39	34.75	60.82	36.79	37.05	32.36	32.13	43.02	20.26	49.21	57.08	128.79	29.06	34.75	170.25	228.13	90.77	90.14	130.6	125.24	91.41	28.45	152.28	86.43	95.34	199.85	118.43	63.89	149.12	68.55	51.71	68.55	101.54	64.8	105.89	87.03	158.79	74.58	38.12	251.48	32.13	68.07	87.65	373.81	106.63	69.52	171.45	84.63	82.87
PRELP	11.47	26.47	164.42	318.57	26.28	264.03	86.43	392.44	159.9	39.79	135.24	97.36	126.12	212.78	275.28	660.68	295.11	1295.13	11.04	140.04	518.15	665.29	921.88	1936.53	559.28	435.55	400.71	127.89	915.51	764.36	579.04	802.41	231.32	246.28	651.58	172.65	130.6	138.1	854.13	1088.92	1697.45	138.1	1191.69	733.19	255.0	297.17	67.59	348.71	1397.83	595.34	409.15	244.57	63.45	2417.67	1044.52
PSME3	1030.12	954.43	1135.2	769.69	915.51	669.92	764.36	796.86	825.0	1008.9	633.73	842.36	1143.1	872.1	1023.0	1572.76	1447.15	1605.83	866.07	1111.82	1794.29	1498.22	1437.15	1225.22	1378.57	1407.55	1104.13	1143.1	1594.73	1286.18	1508.65	1757.34	995.0	967.76	1639.59	902.89	1340.84	1143.1	1388.16	1651.0	1277.29	1208.34	1313.23	1378.57	1135.2	1685.71	1216.75	1268.46	1561.89	1457.23	1487.87	860.08	981.29	1583.71	1286.18
RAB8A	612.11	384.34	438.59	532.74	529.06	532.74	406.31	400.71	674.59	409.15	438.59	497.0	454.09	563.18	567.1	718.08	819.3	679.29	287.01	567.1	624.99	928.3	791.35	656.11	559.28	607.87	836.53	813.63	579.04	802.41	629.35	1143.1	638.15	802.41	759.08	480.04	599.49	713.11	647.07	791.35	878.17	536.45	684.02	616.37	555.41	947.83	555.41	698.41	854.13	525.39	624.99	638.15	679.29	915.51	633.73
