	GTEX.SNMC.0826.SM.4DM66	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.D8.A1Y1.01A.21R.A14M.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.B6.A0RN.01A.12R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.C8.A12T.01A.11R.A115.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.78.8648.01A.11R.2403.07	TCGA.44.6774.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.BR.6705.01A.12R.1884.13	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.YJ8O.1126.SM.5P9IS	GTEX.T2IS.2226.SM.4DM65
ACVRL1	928.3	1369.04	669.92	297.17	115.16	86.43	540.19	88.88	444.72	563.18	134.3	395.18	260.38	457.25	563.18	92.7	193.01	87.65	205.5	271.48	212.78	50.98	555.41	312.0	109.66	836.53	358.54	226.54	167.9	221.86	258.57	87.65	204.07	305.55	209.84	507.46	299.25	656.11	307.69	521.76	285.03	157.68	536.45	241.19	529.06	444.72	269.6	253.23	878.17	872.1	679.29	679.29	878.17	890.44	764.36	429.54	318.57	457.25	444.72	947.83	638.15	0.0	454.09	842.36	1268.46	698.41	603.67	703.28	825.0
ADAMTS10	175.07	397.93	463.65	100.13	47.84	19.82	199.85	27.84	167.9	223.41	59.97	86.43	81.14	141.02	156.59	55.49	34.51	29.91	103.69	191.67	223.41	12.83	218.79	201.25	89.51	275.28	170.25	175.07	52.08	49.56	131.51	25.17	88.88	83.45	118.43	267.73	50.98	368.65	172.65	142.01	78.89	126.12	218.79	73.03	325.29	201.25	59.13	125.24	356.05	371.22	187.71	1487.87	1313.23	698.41	624.99	191.67	490.14	191.67	158.79	412.0	346.29	0.0	258.57	780.44	660.68	1143.1	341.51	1487.87	1977.24
ARAP3	555.41	256.78	242.88	119.26	54.33	42.41	232.94	45.21	228.13	171.45	88.26	85.22	57.49	136.19	208.38	33.54	57.49	38.12	70.51	88.88	120.1	32.82	180.02	145.02	47.84	285.03	133.36	88.88	53.95	40.07	97.36	43.02	90.14	126.12	83.45	150.17	71.0	312.0	95.34	127.89	68.55	86.43	181.28	82.87	221.86	211.31	73.03	85.22	231.32	307.69	620.67	260.38	441.64	532.74	426.57	285.03	206.94	212.78	170.25	329.84	209.84	0.0	297.17	334.46	518.15	457.25	327.56	753.83	483.38
CHST2	551.56	172.65	96.68	52.08	24.11	19.97	78.89	21.47	102.25	108.14	30.56	57.08	24.11	77.25	73.54	26.1	33.78	15.45	45.53	54.33	57.49	6.16	67.59	37.85	21.94	106.63	111.99	58.3	26.67	20.41	43.02	31.22	46.18	55.49	30.56	82.29	43.32	389.72	47.84	77.25	40.93	31.9	93.35	31.9	104.42	75.11	43.02	42.71	343.89	111.21	1259.69	1111.82	514.56	181.28	122.64	176.29	71.0	154.42	143.01	403.5	209.84	0.0	167.9	204.07	177.53	171.45	607.87	842.36	412.0
CNTNAP1	120.94	156.59	264.03	231.32	80.01	43.94	92.7	39.5	124.37	88.88	67.12	110.43	121.79	56.68	170.25	58.71	78.89	29.7	91.41	79.45	49.21	6.89	102.25	92.05	25.35	145.02	81.71	52.82	88.26	70.51	55.89	38.67	104.42	92.7	137.14	87.03	46.5	244.57	50.63	107.38	98.73	73.54	108.9	54.33	159.9	116.78	28.65	62.56	253.23	135.24	57.08	127.89	105.89	1216.75	275.28	122.64	105.89	162.14	151.22	232.94	309.83	0.0	180.02	698.41	551.56	228.13	371.22	438.59	285.03
COL1A2	141455.6	223512.12	258533.99	108699.57	118127.7	64186.29	215898.44	38430.46	159145.95	119776.72	76330.98	140478.49	110216.97	145432.49	318292.9	35609.13	171754.88	38164.99	98646.85	150561.19	200048.85	2451.44	117311.73	135693.24	50359.33	140478.49	148488.36	280957.98	107203.06	133825.1	124000.67	64632.75	117311.73	112532.89	106462.55	143430.26	102125.66	189257.69	119776.72	267651.2	144427.91	115696.65	189257.69	128373.58	187950.38	146444.06	167058.21	104996.83	174152.51	182810.84	296977.71	506427.83	137587.47	122293.5	79022.82	159145.95	434801.29	234624.45	107203.06	93325.55	146444.06	7749.1	170568.48	148488.36	62431.08	120609.84	155870.75	105727.15	102125.66
CYGB	2193.99	947.83	343.89	281.09	137.14	32.13	607.87	48.18	723.08	638.15	190.34	269.6	82.87	470.14	444.72	37.59	88.26	39.22	102.25	187.71	205.5	41.22	674.59	267.73	71.0	551.56	221.86	194.36	109.66	117.6	132.44	96.01	237.86	191.67	113.56	429.54	167.9	1104.13	353.59	470.14	155.5	170.25	679.29	152.28	872.1	473.41	157.68	198.47	435.55	703.28	327.56	830.75	872.1	532.74	1167.14	447.82	447.82	629.35	532.74	723.08	406.31	0.0	866.07	1721.16	2104.58	1191.69	181.28	348.71	599.49
DNAJB5	334.46	559.28	514.56	295.11	144.01	48.18	163.28	132.44	406.31	218.79	132.44	204.07	106.63	204.07	381.68	81.71	135.24	45.21	209.84	320.8	152.28	62.56	190.34	173.85	106.63	371.22	158.79	193.01	130.6	125.24	151.22	64.8	176.29	180.02	118.43	389.72	147.06	392.44	153.34	267.73	224.97	209.84	221.86	162.14	239.52	305.55	144.01	183.82	214.27	379.04	275.28	571.05	633.73	660.68	536.45	988.12	470.14	417.77	217.27	460.44	403.5	0.0	387.02	297.17	567.1	190.34	221.86	656.11	1044.52
EMILIN1	1674.06	5183.54	6164.49	624.99	293.07	123.5	1529.73	444.72	2303.12	2758.13	258.57	1769.57	748.61	2287.2	1477.58	185.11	239.52	102.97	813.63	2119.22	2255.7	37.85	1216.75	1331.57	180.02	4802.93	1572.76	2935.74	1350.18	808.0	1111.82	204.07	860.08	813.63	1111.82	3081.75	2384.37	4388.98	915.51	1322.37	1286.18	583.07	2758.13	842.36	3768.09	2555.58	1583.71	743.43	4543.8	1151.06	5006.93	11035.54	2997.45	10084.54	5711.87	5112.16	6607.01	5403.7	3146.52	7537.18	4575.41	0.0	3303.0	6699.25	6745.86	2701.35	14163.58	8134.41	19482.97
EXOC3L1	76.71	78.89	82.87	38.67	19.97	8.92	59.97	23.93	56.68	102.25	15.68	63.45	56.68	198.47	59.97	23.93	19.39	12.36	63.45	90.14	19.82	14.35	54.72	49.21	10.96	109.66	68.55	42.11	38.67	53.57	42.71	9.27	35.5	46.84	53.95	127.89	54.33	80.57	55.89	27.05	47.84	35.0	126.12	49.21	88.26	55.49	37.05	32.36	85.22	100.13	94.01	134.3	122.64	206.94	176.29	80.01	70.01	61.25	57.89	190.34	89.51	0.0	55.1	82.29	147.06	153.34	98.73	320.8	145.02
EXOC3L2	223.41	139.07	85.22	61.68	14.14	30.56	114.36	17.38	70.01	96.01	34.26	70.01	35.0	99.43	102.25	38.4	21.47	23.76	78.34	69.03	65.26	9.56	88.26	80.57	20.11	150.17	76.17	61.25	47.17	55.89	32.82	16.15	43.02	74.06	41.22	105.89	53.95	109.66	51.71	60.82	39.5	37.85	144.01	49.56	139.07	102.25	37.59	48.52	35.5	133.36	52.45	303.44	406.31	336.79	220.32	95.34	72.52	71.0	97.36	151.22	150.17	0.0	74.58	256.78	432.53	91.41	126.12	532.74	480.04
FAM162B	253.23	72.01	69.03	14.14	8.19	7.06	37.32	1.89	110.43	23.93	18.43	27.05	15.34	52.45	78.89	5.54	21.47	13.12	13.22	17.64	42.41	1.95	61.25	42.71	13.62	45.53	36.01	14.24	15.56	3.53	17.64	8.78	17.77	33.54	23.93	31.67	12.27	22.43	32.13	54.72	11.55	17.25	48.52	17.13	104.42	31.9	17.13	16.63	2.58	98.73	111.99	463.65	218.79	156.59	42.41	22.92	25.54	10.08	41.81	143.01	72.01	0.0	37.32	231.32	144.01	256.78	20.86	211.31	95.34
FAM171A1	212.78	320.8	212.78	121.79	76.17	39.79	229.72	80.57	403.5	299.25	118.43	115.16	71.0	156.59	211.31	38.67	62.56	64.8	70.51	112.77	96.68	28.24	228.13	148.09	59.55	334.46	129.69	169.07	82.87	56.68	138.1	53.95	82.87	172.65	88.88	156.59	99.43	264.03	97.36	166.73	73.54	91.41	110.43	111.99	373.81	208.38	110.43	156.59	381.68	297.17	483.38	1806.78	2537.92	327.56	277.2	173.85	423.61	264.03	291.04	299.25	194.36	0.0	205.5	441.64	414.87	242.88	1457.23	361.04	2224.63
