	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.VS.A9V2.01A.11R.A42T.07	TCGA.MY.A5BF.01A.11R.A26T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.JX.A3Q0.01A.11R.A32Y.07	TCGA.C5.A1BK.01B.11R.A13Y.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ABCC9	7.57	1.93	6.84	7.06	3.32	1.77	0.58	3.5	0.93	2.05	3.14	135.24	139.07	366.09	529.06	159.9	128.79	363.56	63.0	265.87	269.6	63.45	140.04	208.38	153.34	480.04
AC037459.4	0.0	0.0	2.12	2.51	10.24	0.0	5.77	0.0	0.0	2.51	4.06	11.55	5.92	10.08	105.15	38.4	21.16	4.35	2.97	0.0	14.14	0.0	0.0	0.0	3.79	74.06
ACSS3	5.63	0.99	4.78	10.24	2.25	1.13	6.31	1.31	0.88	3.32	8.32	154.42	42.41	947.83	253.23	217.27	76.71	141.02	18.43	46.18	241.19	158.79	76.17	381.68	43.32	92.7
ADAMTS12	35.5	8.85	12.74	7.94	6.26	5.73	4.35	7.22	2.84	3.99	8.71	68.07	13.72	183.82	187.71	29.27	75.11	190.34	152.28	103.69	67.12	35.76	42.71	56.68	49.56	69.03
ADAMTS5	7.22	4.74	5.15	4.39	5.77	5.06	1.04	2.2	3.17	3.11	1.2	6.62	2.23	88.26	82.87	35.25	5.41	16.15	12.09	8.65	8.71	6.67	8.51	11.64	8.51	90.77
ADAMTS7	36.53	12.45	29.91	76.71	14.78	22.26	28.65	21.78	25.35	10.88	13.72	228.13	43.02	62.56	414.87	32.36	224.97	242.88	248.0	224.97	176.29	74.06	125.24	40.93	113.56	125.24
AEBP1	2573.36	412.0	1498.22	941.27	417.77	483.38	229.72	432.53	249.73	571.05	1216.75	3419.52	2335.28	12676.65	6426.31	3168.41	10733.74	14361.31	13306.94	5995.9	6037.61	2209.26	3372.43	6652.97	9474.59	6887.62
AK5	7.57	0.35	6.36	0.0	5.28	0.0	0.0	0.4	1.22	3.41	4.1	5.19	29.27	11.55	62.12	6.21	64.8	8.0	13.62	22.92	9.2	9.34	11.73	13.03	10.88	9.93
AMPH	8.85	3.47	5.92	5.77	3.99	1.48	0.59	2.1	2.23	2.05	3.14	7.46	0.0	138.1	27.05	14.78	22.43	29.91	4.06	10.08	5.15	1.03	2.53	10.55	3.72	16.88
ANTXR1	336.79	75.11	414.87	212.78	384.34	246.28	73.54	46.18	155.5	198.47	176.29	1457.23	1605.83	2855.44	4543.8	684.02	2018.8	6164.49	1397.83	3257.52	1844.76	1111.82	2537.92	1015.93	2032.85	2835.7
ARHGAP42	8.85	1.3	17.25	13.72	3.06	5.32	1.25	3.59	13.83	4.21	70.51	122.64	40.36	84.04	587.13	64.8	181.28	381.68	134.3	218.79	211.31	392.44	80.01	52.08	85.22	177.53
ARSE	3.63	0.0	3.82	5.63	0.44	0.82	0.39	0.0	0.0	7.57	0.47	136.19	47.17	127.0	39.79	110.43	11.3	18.29	3.35	4.86	177.53	38.4	11.04	173.85	24.28	27.44
ASPN	166.73	26.67	57.89	77.79	24.46	27.84	8.99	7.46	19.97	16.88	58.71	318.57	334.46	3690.52	607.87	521.76	435.55	3039.3	237.86	651.58	532.74	366.09	361.04	559.28	551.56	1073.91
ATP10A	44.89	19.97	13.12	10.16	10.79	17.0	8.38	28.04	7.34	20.11	22.92	1617.0	3257.52	52.08	131.51	81.14	1135.2	191.67	297.17	171.45	1733.13	521.76	1950.0	153.34	595.34	607.87
ATXN1	73.54	63.45	144.01	153.34	104.42	38.95	68.55	147.06	94.01	73.54	122.64	381.68	497.0	368.65	684.02	460.44	785.88	629.35	909.17	507.46	559.28	559.28	764.36	368.65	466.88	595.34
BACE1	122.64	65.26	158.79	202.66	115.16	41.52	111.21	275.28	100.83	130.6	120.94	470.14	470.14	802.41	543.96	480.04	194.36	633.73	105.89	397.93	660.68	336.79	521.76	518.15	441.64	723.08
BGN	4575.41	624.99	1639.59	1561.89	3540.14	2796.65	417.77	607.87	180.02	860.08	1870.53	6037.61	2875.3	36610.26	19348.38	5831.91	7966.99	15934.98	11584.24	17558.94	5292.48	3103.19	7230.1	5672.41	7382.04	11909.94
BICC1	17.38	3.5	34.51	15.56	5.28	3.23	5.63	8.92	2.53	6.11	11.82	381.68	127.89	1259.69	221.86	341.51	151.22	348.71	75.11	120.94	223.41	185.11	241.19	145.02	43.32	197.09
BST1	49.91	44.89	52.08	27.64	27.84	23.76	47.17	100.13	21.63	72.01	31.22	232.94	1081.39	543.96	500.46	126.12	483.38	339.14	185.11	872.1	693.58	264.03	791.35	281.09	791.35	1259.69
C1QTNF5	460.44	128.79	279.14	211.31	125.24	156.59	43.02	99.43	74.06	100.83	185.11	1051.79	1073.91	1023.0	2682.69	575.03	848.22	2163.77	3639.7	1388.16	1340.84	483.38	1551.09	651.58	1745.2	1208.34
CACNA1C	11.82	6.62	6.01	6.94	1.93	2.73	1.77	5.19	2.2	4.7	7.11	66.18	12.55	84.04	185.11	120.94	84.04	122.64	67.12	151.22	75.11	29.27	52.08	56.68	51.35	124.37
CALD1	583.07	514.56	1388.16	665.29	563.18	536.45	379.04	161.02	185.11	483.38	366.09	1832.01	1313.23	3039.3	4450.27	2682.69	2303.12	5517.27	2434.5	8134.41	2915.45	2104.58	2367.9	1896.65	2047.0	7180.15
CCDC170	11.64	3.76	6.21	5.96	3.41	1.91	1.99	2.34	3.23	2.53	4.62	400.71	26.67	220.32	123.5	587.13	186.4	64.34	20.56	90.14	139.07	2178.83	61.68	36.01	48.18	46.84
CCDC80	414.87	47.5	334.46	591.22	67.12	43.02	34.26	83.45	149.12	165.57	536.45	1572.76	4704.07	8538.88	2224.63	2303.12	1651.0	2895.31	612.11	1369.04	3820.7	974.5	656.11	1651.0	1268.46	4543.8
CD248	323.03	73.03	293.07	115.16	37.59	85.82	40.64	79.45	104.42	78.89	173.85	493.56	206.94	518.15	1378.57	460.44	246.28	796.86	1167.14	1508.65	743.43	426.57	397.93	139.07	480.04	1216.75
CD74	397335.0	165904.25	265802.39	67377.47	79572.48	96616.71	110983.6	180294.02	33455.53	91404.92	163620.18	726195.27	1196176.45	682276.92	212926.09	757033.75	1019901.63	414208.18	932018.1	1503610.06	1229805.58	649962.87	741454.2	1877002.62	636586.81	1196176.45
CDH11	224.97	15.34	97.36	70.01	14.45	18.03	9.2	28.45	12.27	36.01	45.85	665.29	279.14	2645.74	5183.54	995.0	1088.92	1277.29	1081.39	2287.2	703.28	647.07	3955.48	303.44	379.04	417.77
CDK15	0.67	0.65	0.8	3.76	0.47	0.43	1.6	0.49	1.38	0.48	1.19	13.22	13.83	5.77	77.79	63.89	22.92	42.11	2.43	11.3	20.41	12.64	17.13	48.87	4.06	7.28
