	TCGA.35.5375.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.Y5LM.0726.SM.4VBRP	GTEX.TMMY.0926.SM.4TT1Z	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1
AAED1	193.01	256.78	400.71	860.08	633.73	785.88	409.15	651.58	825.0	603.67	764.36	463.65	490.14	540.19	432.53	633.73	138.1	267.73	267.73
AC022532.1	1.23	0.0	2.78	11.73	7.34	17.64	10.88	6.11	11.73	17.38	20.86	18.84	7.88	2.76	6.16	8.92	2.01	1.91	1.91
ACRC	5.54	0.0	10.63	31.9	14.56	59.13	6.41	14.14	24.11	31.22	22.75	31.22	9.06	11.82	11.55	13.52	5.19	5.77	5.77
ADAMTSL4-AS1	5.45	0.0	0.0	140.04	3.44	48.87	77.79	12.0	65.26	65.26	106.63	32.36	4.21	4.39	4.43	9.63	3.14	18.84	18.84
AKAP13	195.72	0.0	2018.8	6887.62	3168.41	5633.22	5441.3	4512.4	8479.89	4802.93	6699.25	6426.31	4512.4	3443.31	2417.67	4607.24	258.57	167.9	167.9
AL049840.1	8.38	0.0	2.81	68.07	16.15	76.71	41.52	24.46	85.82	78.89	82.87	74.58	28.86	26.28	24.46	2.27	5.19	1.53	1.53
AL590560.1	0.0	0.0	0.0	39.22	10.39	50.27	0.0	0.0	28.65	25.91	49.56	8.71	36.79	5.73	0.0	7.88	0.0	0.0	0.0
ANKRD28	180.02	0.0	351.14	1540.37	371.22	2018.8	483.38	665.29	1233.75	1617.0	1322.37	595.34	674.59	567.1	543.96	285.03	136.19	98.73	98.73
APOLD1	45.21	100.83	323.03	1225.22	376.41	1594.73	607.87	470.14	1073.91	540.19	642.59	988.12	423.61	273.37	476.71	543.96	47.17	33.54	33.54
ATG9B	39.22	0.0	13.22	118.43	106.63	87.65	5.36	9.41	47.17	217.27	100.13	40.93	53.95	43.63	46.5	24.11	41.22	14.14	14.14
BCL7B	1233.75	0.0	1498.22	3168.41	2591.27	3060.45	1498.22	2816.11	2935.74	2573.36	2997.45	2224.63	2335.28	1794.29	1806.78	2520.38	1286.18	1350.18	1350.18
BIVM-ERCC5	0.0	0.0	26.47	108.9	44.25	60.82	75.64	105.15	136.19	100.13	42.11	103.69	40.93	82.29	108.14	101.54	0.0	3.72	3.72
C10orf67	1.23	0.0	12.74	166.73	62.12	195.72	18.16	47.17	281.09	86.43	166.73	36.01	129.69	78.89	138.1	204.07	15.11	7.69	7.69
C11orf91	0.0	0.0	0.0	33.78	22.1	8.99	3.96	3.53	21.78	17.13	30.34	5.19	16.39	3.35	1.83	19.68	3.14	0.0	0.0
C12orf44	1030.12	0.0	848.22	2351.53	1369.04	1651.0	848.22	1225.22	1896.65	1674.06	1697.45	866.07	1304.15	1088.92	1059.11	1583.71	860.08	1191.69	1191.69
C12orf79	33.3	0.0	23.25	31.67	17.64	248.0	33.78	52.45	81.14	63.0	54.33	49.21	45.21	44.57	24.81	5.77	21.63	13.42	13.42
C13orf45	0.0	0.0	9.27	15.22	7.0	105.89	5.15	11.04	28.86	8.25	24.46	5.36	4.94	13.32	19.39	4.78	0.0	0.0	0.0
