	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.14E6E.1526.SM.5RQIG	GTEX.11I78.1326.SM.5PNY9	GTEX.RWS6.1826.SM.47JXX	GTEX.12WSL.1826.SM.5LZW9	GTEX.V955.1726.SM.4JBHF	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.QEL4.1526.SM.447AB	GTEX.U8XE.1826.SM.4E3HV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.13111.1326.SM.5GCNO	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.FP.7735.11A.01R.2055.13
ANKRD31	2.18	1.3	1.31	0.0	2.16	2.05	1.35	0.65	0.46	0.13	0.13	0.39	1.27	0.97	0.82	1.36	0.55	2.84	4.74	1.6	0.54	0.0	0.0	2.61	2.41	5.5	4.62	3.44	2.14	1.1	0.33
ANKRD50	420.68	220.32	202.66	46.18	134.3	112.77	182.55	100.83	26.28	119.26	60.82	77.79	96.01	108.9	151.22	118.43	131.51	107.38	208.38	89.51	92.05	0.0	0.38	173.85	269.6	323.03	46.5	123.5	229.72	133.36	96.68
AR	134.3	189.02	148.09	2.76	80.57	66.65	223.41	49.21	1.89	10.24	32.59	31.22	30.56	7.11	18.84	105.89	38.4	64.34	155.5	46.84	10.08	0.0	0.22	260.38	684.02	780.44	454.09	395.18	156.59	76.17	147.06
ARHGAP1	7280.4	6792.79	7382.04	928.3	1745.2	1617.0	2468.49	1487.87	748.61	2835.7	1268.46	967.76	1477.58	2240.11	2240.11	2701.35	2956.17	2032.85	3349.13	1733.13	1191.69	1030.12	127.0	3564.78	4328.55	3564.78	3018.3	5329.3	1745.2	1583.71	2075.59
ARMCX6	1322.37	1015.93	1073.91	511.0	688.78	1008.9	1250.98	728.11	149.12	414.87	529.06	450.94	540.19	928.3	633.73	669.92	629.35	567.1	1757.34	384.34	251.48	0.0	0.69	1437.15	947.83	967.76	1143.1	1733.13	995.0	638.15	890.44
B3GALNT1	269.6	124.37	120.94	4.78	79.45	115.16	122.64	82.87	6.89	38.95	36.53	82.29	39.22	64.34	52.08	107.38	59.55	114.36	231.32	47.84	77.79	0.0	0.28	343.89	406.31	348.71	275.28	334.46	144.01	80.01	134.3
BEX4	1832.01	1662.49	1832.01	61.68	1175.27	1883.54	2335.28	1487.87	104.42	616.37	1066.48	830.75	480.04	559.28	769.69	1674.06	1508.65	1437.15	2627.46	813.63	743.43	0.0	0.74	2796.65	2255.7	2417.67	4512.4	4038.61	1923.14	1397.83	2351.53
BHLHB9	123.5	123.5	95.34	2.66	72.52	85.22	143.01	76.17	9.13	50.63	63.45	63.0	48.52	39.22	63.89	64.8	78.89	59.55	125.24	51.35	46.18	0.0	0.16	115.97	182.55	150.17	134.3	131.51	136.19	70.51	86.43
C10orf35	232.94	262.2	283.05	124.37	109.66	215.77	283.05	149.12	52.45	142.01	116.78	156.59	92.05	201.25	224.97	221.86	299.25	183.82	301.33	191.67	122.64	0.0	0.02	414.87	303.44	258.57	406.31	507.46	190.34	152.28	248.0
C15orf41	493.56	525.39	612.11	32.36	136.19	198.47	368.65	145.02	27.25	98.73	109.66	77.79	113.56	178.77	198.47	166.73	384.34	208.38	275.28	117.6	102.25	0.0	0.39	473.41	403.5	273.37	209.84	387.02	285.03	164.42	145.02
C15orf56	0.44	0.44	2.63	0.35	0.31	1.62	1.62	0.65	0.99	0.0	1.35	0.0	1.36	0.53	0.61	3.06	1.41	6.21	10.79	0.0	1.25	0.0	0.0	9.34	12.64	21.32	17.13	30.56	2.36	1.95	10.08
CCDC113	73.03	87.65	110.43	32.36	31.22	33.54	31.0	15.22	6.41	21.63	20.56	26.28	12.45	27.05	28.65	46.18	45.53	47.5	63.0	15.56	22.1	0.0	0.0	55.89	81.14	95.34	46.5	135.24	32.59	38.4	39.5
CCDC28B	381.68	181.28	293.07	116.78	239.52	353.59	547.75	215.77	31.45	81.14	153.34	123.5	195.72	325.29	175.07	157.68	187.71	88.26	403.5	169.07	99.43	0.0	0.58	460.44	242.88	204.07	63.0	149.12	244.57	205.5	239.52
CCDC89	66.65	33.06	37.32	1.41	18.03	23.25	29.7	18.7	15.34	2.14	2.78	4.24	10.08	9.48	8.99	25.91	12.0	10.96	45.53	3.56	3.0	0.0	0.0	53.19	64.8	70.51	23.59	60.82	23.08	16.03	17.9
