	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2R8.01A.21R.A18M.07	TCGA.MU.A8JM.01A.11R.A36F.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.C5.A2LT.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.AD.A5EJ.01A.11R.A28H.07	TCGA.NH.A6GB.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	TCGA.34.5240.01A.01R.1443.07	TCGA.39.5035.01A.01R.1443.07	TCGA.60.2723.01A.01R.0851.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2769.01A.02R.0851.07	TCGA.37.3783.01A.01R.1201.07
MARC1	169.07	29.48	96.68	346.29	39.5	183.82	66.18	89.51	463.65	332.14	0.0	0.33	518.15	1340.84	265.87	412.0	115.97	791.35	599.49	1081.39	543.96	92.05	441.64	651.58	514.56	1322.37	265.87	269.6	414.87	642.59	713.11	1781.89	112.77	723.08	486.75	231.32	995.0	223.41	358.54	587.13	802.41	412.0	620.67	37.59	1709.26	819.3	409.15	595.34	599.49	287.01	267.73	500.46	483.38	417.77	98.73	703.28	878.17	1159.07	384.34	397.93	387.02	92.05	119.26	379.04	68.55	165.57
MBTPS1	1208.34	551.56	780.44	1322.37	902.89	1277.29	819.3	842.36	1023.0	872.1	819.3	108.14	1037.29	1745.2	1322.37	2018.8	1651.0	1457.23	1378.57	1674.06	1175.27	981.29	1143.1	1369.04	1369.04	1457.23	1127.35	1331.57	1639.59	1295.13	1605.83	1199.98	1242.34	1561.89	1051.79	2537.92	1397.83	1909.85	1721.16	2004.85	1369.04	1781.89	1794.29	1001.93	1697.45	775.05	1208.34	1870.53	1096.5	808.0	1023.0	2032.85	1159.07	1936.53	1594.73	1781.89	1697.45	1561.89	1111.82	1628.26	808.0	1030.12	775.05	909.17	915.51	679.29
MVB12B	38.67	5.73	55.89	32.59	18.29	76.17	96.68	60.39	77.25	164.42	0.0	0.16	486.75	1151.06	571.05	1977.24	339.14	1199.98	723.08	1594.73	624.99	406.31	239.52	629.35	896.64	1081.39	318.57	379.04	532.74	438.59	748.61	780.44	343.89	1277.29	381.68	890.44	813.63	309.83	669.92	836.53	1857.6	842.36	981.29	297.17	1388.16	551.56	693.58	1081.39	647.07	202.66	679.29	866.07	583.07	426.57	246.28	1008.9	1081.39	909.17	753.83	543.96	24.63	33.06	86.43	121.79	62.56	19.82
NICN1	46.5	20.71	138.1	145.02	85.22	120.94	122.64	140.04	162.14	173.85	0.0	0.52	289.02	400.71	171.45	395.18	180.02	406.31	476.71	457.25	229.72	86.43	248.0	211.31	371.22	514.56	206.94	199.85	429.54	351.14	551.56	275.28	183.82	483.38	275.28	351.14	444.72	171.45	392.44	395.18	409.15	260.38	638.15	191.67	444.72	153.34	387.02	559.28	241.19	130.6	145.02	656.11	264.03	392.44	158.79	563.18	536.45	555.41	226.54	175.07	63.0	105.15	84.63	145.02	126.12	44.25
NPNT	153.34	215.77	256.78	293.07	1923.14	343.89	1066.48	363.56	1697.45	454.09	878.17	629.35	4937.99	7695.57	567.1	9151.82	1794.29	6037.61	7280.4	4095.0	4937.99	299.25	4639.29	1250.98	9606.86	9540.5	2004.85	1081.39	6471.02	3982.99	8963.45	4769.75	4010.71	4328.55	2915.45	3928.15	6745.86	2193.99	2004.85	3768.09	7280.4	4937.99	12076.21	2178.83	6983.79	1259.69	3589.58	5147.73	3690.52	253.23	1857.6	8901.53	2816.11	7382.04	2701.35	8598.28	3614.55	6037.61	2915.45	1259.69	1119.56	94.67	231.32	1143.1	253.23	500.46
NUDT7	14.24	142.01	172.65	35.0	84.63	49.21	72.52	70.01	55.89	135.24	0.0	0.06	175.07	397.93	135.24	295.11	32.59	318.57	379.04	226.54	251.48	77.25	137.14	197.09	384.34	511.0	145.02	205.5	217.27	197.09	414.87	329.84	120.94	441.64	384.34	301.33	400.71	61.25	172.65	454.09	341.51	224.97	343.89	28.04	305.55	228.13	249.73	279.14	476.71	155.5	237.86	267.73	309.83	327.56	198.47	426.57	289.02	470.14	255.0	329.84	35.0	29.91	147.06	116.78	60.39	98.04
PARM1	995.0	16.88	15.11	19.68	78.34	12.45	23.93	18.84	420.68	334.46	153.34	84.04	5711.87	6079.61	1950.0	4972.34	4671.57	4512.4	5954.47	5183.54	3982.99	3372.43	3018.3	1467.37	3190.46	4239.45	3395.89	4152.18	7695.57	2224.63	4769.75	3589.58	4736.79	5441.3	2075.59	4010.71	2573.36	1322.37	4152.18	4066.71	3614.55	3928.15	5112.16	2664.15	5831.91	3491.39	3768.09	4543.8	3614.55	1628.26	1674.06	6037.61	3955.48	7180.15	3540.14	2796.65	3372.43	3742.05	4671.57	3716.2	85.22	167.9	215.77	348.71	679.29	46.5
PCYOX1	616.37	412.0	320.8	412.0	312.0	454.09	450.94	267.73	329.84	215.77	293.07	53.57	1617.0	2627.46	620.67	3060.45	1183.45	2148.82	1605.83	2018.8	1540.37	612.11	1127.35	878.17	2434.5	1936.53	1081.39	1096.5	1806.78	915.51	2104.58	1685.71	896.64	1745.2	1397.83	1417.35	1936.53	902.89	1088.92	1936.53	2537.92	1991.0	2255.7	1697.45	2047.0	854.13	1857.6	1477.58	1697.45	902.89	1001.93	2255.7	1388.16	1651.0	974.5	1733.13	1583.71	1909.85	1427.22	791.35	493.56	348.71	329.84	529.06	444.72	341.51
PIGV	157.68	255.0	139.07	226.54	123.5	228.13	152.28	133.36	183.82	221.86	0.0	0.0	343.89	435.55	232.94	403.5	111.21	368.65	444.72	363.56	366.09	150.17	305.55	293.07	316.37	450.94	303.44	412.0	497.0	283.05	348.71	414.87	194.36	420.68	351.14	209.84	441.64	135.24	285.03	457.25	426.57	373.81	348.71	152.28	423.61	303.44	312.0	327.56	358.54	316.37	246.28	507.46	293.07	358.54	126.12	454.09	435.55	450.94	339.14	248.0	221.86	97.36	199.85	133.36	191.67	224.97
PINK1	1023.0	555.41	684.02	493.56	679.29	656.11	743.43	599.49	551.56	616.37	0.0	0.47	1721.16	3060.45	493.56	3395.89	1104.13	2701.35	2485.67	2240.11	1369.04	293.07	1350.18	1242.34	2163.77	1340.84	1127.35	854.13	2018.8	2193.99	1359.57	1540.37	1242.34	1467.37	1268.46	1447.15	1819.35	1268.46	947.83	2061.24	2555.58	2287.2	1950.0	866.07	2915.45	599.49	1883.54	1757.34	1540.37	656.11	1508.65	2090.03	1242.34	2104.58	414.87	1551.09	1769.57	2384.37	947.83	802.41	305.55	698.41	409.15	551.56	466.88	400.71
PLLP	384.34	193.01	4.9	368.65	81.14	57.49	118.43	13.93	490.14	78.34	0.0	0.4	1950.0	6294.04	2468.49	6935.54	748.61	3768.09	2915.45	6607.01	3515.68	1233.75	2178.83	3124.78	5366.37	4869.99	1769.57	3018.3	2591.27	2468.49	3081.75	2591.27	2367.9	5112.16	1331.57	3039.3	3742.05	1529.73	1870.53	5006.93	6337.83	2133.97	5255.91	1111.82	5112.16	1199.98	4575.41	5954.47	2468.49	1037.29	3589.58	5255.91	2417.67	4038.61	483.38	5517.27	1340.84	5479.15	3419.52	3614.55	361.04	56.28	92.7	366.09	500.46	110.43
PNKD	1259.69	679.29	1487.87	1199.98	909.17	1477.58	1304.15	1242.34	1540.37	1340.84	2004.85	1216.75	3039.3	2935.74	3742.05	3303.0	2520.38	2915.45	3540.14	3212.66	3018.3	2739.08	2816.11	2855.44	2468.49	3124.78	2976.74	3564.78	3515.68	4095.0	3212.66	3372.43	4010.71	3257.52	3820.7	3874.05	3103.19	2367.9	4038.61	3665.02	2935.74	2701.35	3060.45	1572.76	4095.0	3564.78	4419.52	3847.29	4450.27	3639.7	3081.75	4066.71	3955.48	4671.57	2178.83	3564.78	2664.15	2758.13	4010.71	3491.39	2335.28	2351.53	1832.01	1397.83	1806.78	1561.89
POLR2A	928.3	860.08	854.13	775.05	1572.76	698.41	476.71	775.05	1250.98	679.29	0.0	0.78	2434.5	1457.23	1066.48	2224.63	1819.35	3665.02	2240.11	1639.59	1286.18	1923.14	1059.11	1340.84	1487.87	1457.23	1225.22	1175.27	1617.0	1662.49	1051.79	1059.11	934.76	1477.58	836.53	733.19	1844.76	1322.37	1508.65	2627.46	1757.34	2075.59	1313.23	842.36	1745.2	1066.48	2591.27	1950.0	1963.57	1322.37	1037.29	2351.53	1096.5	1059.11	848.22	2004.85	2178.83	1769.57	1304.15	612.11	536.45	884.29	967.76	1127.35	830.75	204.07
PRDM11	22.43	88.26	21.32	22.59	176.29	158.79	162.14	105.89	99.43	30.34	0.0	0.41	239.52	136.19	166.73	414.87	129.69	161.02	165.57	241.19	173.85	49.21	202.66	147.06	205.5	309.83	81.71	157.68	99.43	84.63	189.02	246.28	72.01	244.57	140.04	87.03	228.13	24.46	403.5	226.54	260.38	155.5	175.07	57.49	170.25	92.7	205.5	199.85	120.1	53.95	195.72	483.38	154.42	84.63	19.97	447.82	232.94	208.38	197.09	59.55	59.13	87.03	149.12	119.26	158.79	54.72
RAI2	33.54	1.85	5.5	16.88	18.03	6.78	22.43	15.11	37.59	40.36	0.0	0.48	830.75	1340.84	246.28	2018.8	934.76	2148.82	1023.0	1397.83	878.17	131.51	493.56	647.07	1242.34	1159.07	441.64	438.59	1073.91	476.71	941.27	587.13	575.03	1350.18	295.11	616.37	819.3	591.22	642.59	802.41	1331.57	1697.45	1015.93	236.21	1733.13	208.38	1143.1	1096.5	466.88	110.43	540.19	1437.15	426.57	909.17	191.67	1037.29	329.84	1088.92	551.56	423.61	125.24	73.54	73.54	124.37	92.05	71.0
RILP	155.5	68.07	220.32	75.64	94.67	72.52	224.97	92.7	137.14	61.25	0.0	0.35	1151.06	1896.65	854.13	1487.87	343.89	1407.55	1447.15	1745.2	1233.75	525.39	928.3	1250.98	1519.15	2367.9	896.64	759.08	1359.57	1417.35	2148.82	1225.22	483.38	2271.4	429.54	1111.82	1151.06	366.09	718.08	1498.22	1397.83	1183.45	2032.85	579.04	1417.35	819.3	1378.57	1769.57	954.43	575.03	703.28	1721.16	1331.57	1529.73	323.03	1857.6	1844.76	1806.78	1322.37	748.61	214.27	255.0	187.71	258.57	470.14	236.21
RSG1	77.25	75.64	40.07	42.41	31.9	69.52	34.75	18.97	90.77	44.89	0.0	0.0	116.78	139.07	134.3	181.28	19.39	97.36	139.07	111.21	108.14	84.04	77.79	221.86	106.63	128.79	84.63	166.73	116.78	127.0	100.13	132.44	96.68	152.28	87.03	130.6	148.09	16.03	165.57	123.5	154.42	115.97	94.01	24.28	166.73	177.53	81.71	110.43	172.65	193.01	110.43	182.55	130.6	96.01	78.34	191.67	161.02	102.97	154.42	115.16	38.4	21.78	76.71	38.95	65.72	49.91
RSPO1	0.91	0.31	0.0	2.03	0.82	0.73	2.48	1.38	2.36	1.89	0.0	0.06	89.51	221.86	36.53	264.03	23.59	170.25	77.79	164.42	102.97	13.72	49.56	72.01	124.37	162.14	55.49	38.4	67.12	100.83	74.58	42.11	49.21	145.02	36.27	81.71	205.5	46.18	47.5	52.82	228.13	165.57	84.63	38.12	334.46	19.39	86.43	153.34	90.14	17.38	45.21	92.05	71.0	135.24	11.38	155.5	27.44	190.34	65.72	18.84	1.58	1.79	1.39	6.16	3.63	7.69
SCN7A	1.5	0.0	0.0	0.0	1.77	0.58	0.64	0.0	1.38	1.38	0.0	0.42	1059.11	1277.29	221.86	2209.26	327.56	1127.35	780.44	1088.92	1051.79	4.24	271.48	599.49	5329.3	2935.74	409.15	60.39	1127.35	140.04	1674.06	353.59	249.73	1030.12	607.87	567.1	2555.58	191.67	353.59	902.89	1883.54	698.41	1322.37	132.44	2537.92	171.45	796.86	414.87	420.68	22.1	334.46	3190.46	684.02	444.72	130.6	3146.52	180.02	1697.45	854.13	293.07	46.5	10.39	4.86	41.52	23.76	15.45
SECISBP2L	90.14	138.1	115.16	169.07	73.54	91.41	111.99	66.65	111.99	105.89	0.0	0.11	995.0	1304.15	547.75	3257.52	808.0	1359.57	1832.01	1477.58	669.92	540.19	603.67	466.88	2119.22	1477.58	511.0	540.19	1250.98	1216.75	1923.14	1397.83	961.07	3325.99	1277.29	1745.2	1639.59	791.35	1208.34	6516.03	2319.15	1832.01	3467.27	759.08	1427.22	629.35	974.5	1477.58	2573.36	281.09	1051.79	4328.55	1313.23	3081.75	1119.56	860.08	2047.0	1477.58	1628.26	1963.57	148.09	96.68	99.43	253.23	224.97	63.89
SFTPB	5.92	3.23	10.55	14.35	0.0	4.66	6.46	5.23	4.82	0.0	22692.63	50709.61	3383299.76	3049200.37	1864037.21	3290783.22	2965819.8	2326934.84	1903204.61	2617937.91	2263304.65	1929772.37	1825675.85	1890058.21	1645391.11	1813064.98	2310861.52	2111737.85	2343119.96	2126426.15	1493223.86	2767207.65	3007221.12	2691538.19	2408994.05	2825352.59	2884719.27	2986448.72	1903204.61	1679964.3	1578364.61	2691538.19	1943195.01	1514068.5	3223059.86	2845004.48	2375828.71	3156730.23	5057523.59	2493947.08	2068278.89	2599854.48	3245478.02	2359417.65	1589343.01	1600397.78	2011721.67	2216726.5	2263304.65	2546350.23	1427.22	4802.93	30151.71	74243.68	30151.71	161.02
SIRT5	267.73	234.57	256.78	244.57	153.34	244.57	224.97	198.47	206.94	229.72	0.0	0.0	173.85	318.57	209.84	271.48	49.91	283.05	277.2	212.78	289.02	108.9	318.57	384.34	363.56	473.41	295.11	279.14	325.29	201.25	450.94	336.79	191.67	381.68	356.05	256.78	346.29	55.89	334.46	346.29	387.02	191.67	403.5	105.89	329.84	309.83	260.38	305.55	314.17	312.0	260.38	368.65	281.09	327.56	98.04	356.05	289.02	412.0	325.29	244.57	258.57	127.0	287.01	232.94	154.42	209.84
SLC6A13	3.29	19.82	0.0	0.6	0.0	2.58	0.33	1.39	2.29	2.27	0.0	0.0	55.1	100.13	5.02	25.17	14.89	81.14	38.67	139.07	15.91	8.99	27.84	10.63	43.02	69.52	51.71	10.96	40.36	52.45	73.03	50.63	18.7	68.07	220.32	53.95	14.78	85.82	52.45	81.14	40.07	26.86	33.78	54.33	31.67	21.63	33.78	14.03	81.14	17.25	22.1	10.55	120.1	122.64	23.25	218.79	39.22	105.15	22.92	32.82	1.66	2.78	6.31	12.27	4.62	0.0
SORBS3	460.44	1037.29	493.56	1313.23	1216.75	2555.58	2075.59	1832.01	780.44	808.0	0.0	0.88	3103.19	5555.65	3491.39	5403.7	2835.7	4066.71	3982.99	4903.87	2720.15	1208.34	2796.65	2855.44	5403.7	4704.07	2451.44	3212.66	3564.78	4181.07	5831.91	3280.18	2502.97	3768.09	1977.24	2777.33	3847.29	3168.41	4639.29	3190.46	4181.07	4639.29	4736.79	1277.29	3794.3	1909.85	4639.29	3665.02	3467.27	1685.71	3665.02	6294.04	2468.49	3235.01	1216.75	6983.79	4066.71	3257.52	2627.46	1388.16	1551.09	669.92	1199.98	1457.23	866.07	403.5
TLCD2	10.55	14.24	22.43	17.77	27.25	9.27	19.11	41.52	13.32	12.18	0.0	0.13	202.66	169.07	177.53	183.82	127.89	198.47	128.79	232.94	57.89	111.99	83.45	111.99	178.77	92.05	99.43	165.57	90.14	52.08	89.51	167.9	197.09	178.77	121.79	214.27	166.73	155.5	87.65	71.0	153.34	110.43	126.12	132.44	204.07	108.9	190.34	126.12	113.56	136.19	83.45	136.19	251.48	44.57	70.01	154.42	122.64	134.3	115.97	90.77	13.52	10.16	12.18	27.05	46.18	11.13
TMEM139	27.05	5.19	1.35	10.96	1.69	11.64	4.13	4.03	8.32	111.99	0.0	0.07	500.46	2502.97	674.59	2739.08	104.42	2367.9	2104.58	1857.6	1199.98	151.22	1304.15	836.53	2796.65	5366.37	842.36	909.17	1183.45	1183.45	2485.67	1508.65	115.97	3716.2	454.09	497.0	1350.18	144.01	567.1	2701.35	3690.52	555.41	2591.27	348.71	4181.07	312.0	2758.13	2777.33	1008.9	423.61	878.17	3467.27	1819.35	860.08	212.78	4010.71	1651.0	2090.03	1857.6	624.99	6.11	194.36	36.27	46.5	35.76	10.0
USP51	8.32	0.92	2.56	5.02	5.59	0.58	14.03	3.32	1.19	2.53	0.0	0.0	30.56	55.1	33.3	38.95	10.24	52.82	54.33	52.45	46.84	14.14	16.75	44.89	68.07	105.15	34.02	47.5	65.26	39.5	82.29	44.57	16.39	84.04	59.55	35.76	69.03	13.72	113.56	87.65	71.5	54.33	50.27	11.55	81.14	33.78	44.89	22.26	56.28	30.78	37.59	87.03	55.1	48.18	61.68	57.49	40.93	53.95	68.07	27.25	15.34	3.79	26.47	13.52	34.02	5.06
VSIG2	2133.97	27.64	6.31	476.71	138.1	6.62	139.07	28.04	17.9	28.65	0.0	0.31	3742.05	7382.04	1487.87	13399.51	5219.6	5441.3	3589.58	3467.27	896.64	2047.0	3467.27	733.19	7433.4	8134.41	674.59	363.56	1769.57	1066.48	4972.34	743.43	934.76	2502.97	265.87	5219.6	3146.52	3639.7	2434.5	190574.09	8078.22	2627.46	10659.59	4010.71	2701.35	463.65	5672.41	5255.91	3491.39	384.34	2609.3	6699.25	607.87	1369.04	583.07	8598.28	8718.32	5791.62	878.17	536.45	6.94	108.14	92.7	256.78	195.72	23.42
