	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2R8.01A.21R.A18M.07	TCGA.MU.A8JM.01A.11R.A36F.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.C5.A2LT.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.AD.A5EJ.01A.11R.A28H.07	TCGA.NH.A6GB.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	TCGA.34.5240.01A.01R.1443.07	TCGA.39.5035.01A.01R.1443.07	TCGA.60.2723.01A.01R.0851.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2769.01A.02R.0851.07	TCGA.37.3783.01A.01R.1201.07
EPDR1	20.86	9.06	15.68	29.27	19.11	12.93	40.36	16.39	64.34	426.57	0.0	0.42	1407.55	3665.02	1286.18	2935.74	363.56	2287.2	1857.6	2335.28	3060.45	503.95	1225.22	2351.53	2319.15	3639.7	1051.79	1508.65	2209.26	1561.89	2502.97	4095.0	567.1	3190.46	1605.83	1127.35	3589.58	444.72	1417.35	2193.99	2609.3	2271.4	2720.15	679.29	4152.18	2090.03	2193.99	1151.06	2075.59	1498.22	1498.22	2627.46	3257.52	2573.36	1662.49	1950.0	1313.23	2335.28	3491.39	1697.45	81.14	59.55	132.44	353.59	206.94	208.38
FAM105A	90.77	11.91	68.55	197.09	43.32	15.68	50.27	54.33	121.79	92.05	0.0	0.31	967.76	3589.58	1340.84	4419.52	2193.99	3280.18	1407.55	2520.38	1721.16	500.46	1167.14	1936.53	4937.99	2119.22	1313.23	1467.37	1250.98	981.29	2520.38	1733.13	1304.15	1437.15	1044.52	647.07	2271.4	1242.34	1340.84	4388.98	3146.52	1427.22	5672.41	1127.35	5255.91	2061.24	2104.58	4038.61	2555.58	551.56	2895.31	3982.99	2104.58	1519.15	497.0	3874.05	591.22	2875.3	3901.01	1950.0	165.57	95.34	90.14	137.14	183.82	131.51
FAM50B	29.7	108.14	18.43	201.25	167.9	111.21	154.42	7.17	17.51	30.56	0.0	0.32	134.3	529.06	181.28	303.44	26.47	265.87	260.38	265.87	348.71	116.78	239.52	1037.29	275.28	287.01	251.48	397.93	229.72	246.28	397.93	336.79	80.01	738.29	206.94	229.72	470.14	92.05	351.14	265.87	426.57	318.57	269.6	87.03	629.35	748.61	423.61	267.73	417.77	341.51	384.34	400.71	395.18	195.72	74.58	353.59	281.09	175.07	896.64	253.23	24.28	63.89	119.26	132.44	152.28	136.19
FAXDC2	14.78	94.67	17.51	80.01	91.41	13.93	28.86	28.86	163.28	186.4	0.0	0.46	1781.89	3280.18	107.38	5995.9	314.17	1639.59	1322.37	3794.3	1350.18	50.98	476.71	854.13	1561.89	3768.09	642.59	728.11	2875.3	708.18	2133.97	848.22	1111.82	3190.46	480.04	3589.58	1674.06	175.07	571.05	2384.37	4095.0	2645.74	2720.15	698.41	3874.05	323.03	1286.18	2434.5	808.0	241.19	521.76	3349.13	713.11	848.22	389.72	2573.36	2451.44	2018.8	872.1	796.86	72.52	267.73	36.79	109.66	95.34	37.85
FMO5	14.14	3.63	16.27	14.78	13.93	2.66	6.36	6.46	42.41	29.7	0.0	0.0	3614.55	6935.54	351.14	3146.52	813.63	3491.39	3372.43	4802.93	2367.9	117.6	1519.15	947.83	2956.17	8658.09	1088.92	1250.98	2627.46	4419.52	2303.12	1605.83	1508.65	5076.84	547.75	2664.15	2816.11	236.21	3325.99	13033.07	6607.01	6164.49	13872.08	248.0	4152.18	890.44	1936.53	4123.49	4239.45	166.73	599.49	9606.86	3190.46	3901.01	473.41	3820.7	1721.16	7485.11	2193.99	2976.74	31.0	23.76	28.65	75.64	125.24	13.83
FRAT1	41.81	16.63	48.18	23.59	76.17	20.11	39.5	40.93	27.25	47.17	0.0	0.09	87.65	185.11	126.12	99.43	62.12	202.66	423.61	177.53	100.83	31.22	127.89	171.45	153.34	262.2	155.5	189.02	198.47	301.33	251.48	153.34	72.52	186.4	143.01	108.9	186.4	58.71	189.02	460.44	285.03	178.77	214.27	44.89	273.37	146.03	228.13	173.85	186.4	229.72	185.11	242.88	212.78	209.84	62.12	152.28	122.64	92.7	205.5	96.01	29.48	37.05	21.32	36.01	38.95	13.03
GPD1L	591.22	55.89	121.79	59.55	150.17	165.57	91.41	147.06	224.97	264.03	0.0	0.29	995.0	1870.53	587.13	2520.38	473.41	1540.37	1594.73	2271.4	1639.59	285.03	1096.5	954.43	1322.37	2485.67	934.76	902.89	1340.84	1322.37	2133.97	2367.9	896.64	1936.53	764.36	1529.73	2816.11	348.71	1923.14	1870.53	2502.97	1963.57	1977.24	497.0	2047.0	1191.69	1721.16	1794.29	2148.82	363.56	866.07	1844.76	1250.98	2758.13	612.11	2351.53	1340.84	1697.45	1794.29	1388.16	157.68	143.01	100.83	198.47	146.03	78.34
GPR133	3.06	0.34	4.17	3.17	8.19	0.83	1.99	2.76	16.88	13.22	0.0	0.72	642.59	3212.66	457.25	6164.49	974.5	2335.28	1111.82	2434.5	872.1	4450.27	3146.52	819.3	896.64	2104.58	500.46	633.73	1757.34	941.27	1037.29	1051.79	2956.17	2701.35	400.71	2319.15	1127.35	1378.57	1225.22	2351.53	1757.34	2682.69	2148.82	525.39	3325.99	1397.83	2591.27	8778.97	1044.52	236.21	1674.06	1350.18	860.08	2119.22	186.4	1662.49	2591.27	1540.37	1697.45	791.35	27.25	33.3	16.03	194.36	86.43	35.76
GPR39	58.71	185.11	175.07	44.89	61.25	53.19	42.71	38.4	39.5	9.41	0.0	0.21	256.78	543.96	525.39	1832.01	62.56	1259.69	1037.29	529.06	234.57	202.66	246.28	237.86	307.69	220.32	256.78	206.94	612.11	896.64	297.17	1088.92	163.28	733.19	221.86	211.31	884.29	435.55	178.77	1662.49	511.0	190.34	1183.45	98.73	1183.45	397.93	753.83	1991.0	567.1	356.05	303.44	1350.18	511.0	1733.13	129.69	1066.48	237.86	397.93	435.55	166.73	2.14	180.02	26.28	38.4	109.66	4.66
HIF3A	4.58	4.54	0.68	16.75	8.06	5.15	2.1	1.08	54.33	2.73	0.0	0.75	591.22	848.22	48.87	1832.01	120.1	733.19	633.73	1059.11	733.19	0.07	575.03	525.39	1044.52	1721.16	113.56	185.11	780.44	297.17	1250.98	366.09	406.31	1508.65	420.68	540.19	1508.65	31.45	860.08	947.83	1242.34	1081.39	1359.57	54.72	961.07	186.4	708.18	1175.27	435.55	142.01	361.04	2367.9	438.59	521.76	10.63	2468.49	486.75	1685.71	454.09	460.44	6.84	19.25	555.41	40.93	22.43	5.63
