	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07
HHIPL1	2.41	0.34	57.49	7.69	83.45	3.89	34.75	38.12	19.39	3.08	6.84	5.15	6.26	135.24	62.56	5.92	8.71	75.11	28.24	53.95	11.3	12.18
KCNJ6	0.3	0.0	4.62	0.45	5.19	0.0	1.22	0.74	0.72	0.0	0.0	0.0	0.0	9.13	4.74	0.0	1.19	1.85	1.71	2.86	0.4	0.0
KIAA1024	5.92	2.84	10.24	2.66	24.46	2.18	15.11	11.21	8.51	1.77	2.23	5.36	2.32	41.52	17.13	1.79	2.86	21.47	18.84	13.12	5.06	3.32
KRT17	334117.42	4953441.24	165904.25	971597.0	195931.88	589853.66	462789.59	248002.34	231394.29	593956.43	524287.0	542775.98	645473.24	145432.49	397335.0	546551.29	632189.57	144427.91	181548.07	168220.2	425853.18	912837.43
LHX8	3.56	0.0	74.06	3.08	162.14	10.31	31.45	25.35	59.55	4.74	7.94	7.94	9.63	199.85	75.64	6.52	15.68	104.42	43.94	72.52	40.07	12.27
MAN2B1	1477.58	460.44	2451.44	1721.16	4010.71	1331.57	2758.13	2400.97	1923.14	921.88	1331.57	1322.37	1191.69	2434.5	3018.3	1143.1	941.27	4512.4	1628.26	1369.04	1331.57	1721.16
MAP3K12	30.34	22.59	101.54	27.25	206.94	61.25	88.26	289.02	68.07	35.0	35.0	15.45	72.01	275.28	158.79	35.76	51.71	187.71	84.04	214.27	50.27	48.87
MCAM	275.28	152.28	1733.13	1721.16	2485.67	587.13	2090.03	2537.92	1073.91	356.05	1037.29	674.59	543.96	4903.87	1909.85	503.95	457.25	1605.83	1757.34	1295.13	703.28	1151.06
MEGF8	91.41	59.97	351.14	115.16	325.29	88.26	191.67	197.09	175.07	161.02	124.37	159.9	119.26	406.31	241.19	64.8	132.44	265.87	191.67	223.41	113.56	131.51
MMP11	417.77	1208.34	6652.97	909.17	15075.35	684.02	5791.62	20881.4	3491.39	575.03	234.57	540.19	1051.79	19214.73	2997.45	587.13	1191.69	27363.16	7180.15	6294.04	3419.52	3039.3
NID2	76.71	24.11	708.18	197.09	1594.73	136.19	1001.93	1427.22	301.33	47.84	105.89	103.69	116.78	1896.65	921.88	134.3	217.27	1242.34	599.49	429.54	339.14	218.79
NKD1	8.32	0.0	71.0	19.53	66.65	16.15	32.82	79.45	48.52	8.71	14.35	21.63	18.43	152.28	32.82	9.56	29.91	90.14	53.95	159.9	44.89	16.27
NTM	30.56	11.82	232.94	120.1	497.0	58.71	309.83	395.18	150.17	54.72	45.85	54.72	37.85	1001.93	209.84	36.27	147.06	688.78	389.72	703.28	223.41	166.73
PDGFRB	237.86	98.04	2915.45	860.08	3794.3	371.22	2645.74	3928.15	1322.37	204.07	346.29	460.44	438.59	6121.9	2271.4	466.88	872.1	3847.29	2075.59	1617.0	1175.27	651.58
PEA15	1529.73	3212.66	4836.35	3419.52	4575.41	2224.63	5954.47	4388.98	2816.11	1498.22	1794.29	1407.55	3212.66	5076.84	5672.41	1313.23	2895.31	5329.3	5441.3	4066.71	3325.99	2335.28
