	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.11P82.1026.SM.5BC5J	GTEX.145MN.1726.SM.5SIA6	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.WQUQ.2626.SM.4MVNP	GTEX.UPIC.1726.SM.4IHKG	GTEX.QDVN.1326.SM.48TZ3	GTEX.117YW.1826.SM.5PNY5	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	TCGA.BA.5557.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4279.01A.01R.1131.13	TCGA.BR.6802.11A.01R.1884.13	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.P78B.1826.SM.3P5YX
AARS2	206.94	164.42	127.89	152.28	153.34	154.42	140.04	187.71	159.9	85.22	202.66	170.25	163.28	195.72	223.41	186.4	201.25	228.13	175.07	241.19	62.12	111.99	108.9	16.75	163.28	74.58	55.49	43.94	30.56	110.43	115.16	267.73
ABCC10	470.14	473.41	295.11	406.31	303.44	587.13	470.14	497.0	358.54	205.5	444.72	454.09	379.04	307.69	493.56	466.88	483.38	603.67	376.41	521.76	182.55	277.2	124.37	169.07	144.01	176.29	202.66	165.57	68.07	312.0	305.55	633.73
ABCF3	1167.14	1259.69	1066.48	1135.2	1081.39	890.44	947.83	1135.2	961.07	743.43	1378.57	1159.07	1073.91	1081.39	1135.2	1127.35	1051.79	1143.1	1037.29	1127.35	775.05	802.41	629.35	872.1	507.46	493.56	603.67	540.19	414.87	896.64	1008.9	1135.2
ADAMTS13	96.68	65.26	47.84	73.54	37.05	325.29	55.49	120.94	48.18	34.51	105.89	29.06	69.52	95.34	229.72	100.83	117.6	58.3	36.27	120.1	6.52	11.91	2.23	2.39	6.36	8.58	12.64	68.07	128.79	69.03	85.82	193.01
AGAP10	217.27	132.44	134.3	107.38	100.13	176.29	82.29	119.26	35.5	29.7	117.6	63.0	10.47	67.59	193.01	78.89	178.77	120.94	73.54	102.97	9.41	35.5	5.87	1.5	9.7	7.82	13.32	5.59	62.12	119.26	60.39	117.6
AP1G2	2895.31	2935.74	2061.24	2855.44	2627.46	1896.65	1628.26	2976.74	2075.59	1639.59	3847.29	2997.45	2720.15	2875.3	2400.97	2816.11	2645.74	2287.2	1662.49	2645.74	595.34	1199.98	1111.82	1277.29	320.8	836.53	633.73	1151.06	1427.22	1769.57	1936.53	3303.0
ARHGAP33	199.85	75.11	59.55	66.18	50.98	195.72	195.72	215.77	141.02	60.82	158.79	111.21	120.1	90.14	201.25	178.77	316.37	241.19	84.04	228.13	27.84	43.94	11.91	11.3	6.41	10.96	10.55	29.48	34.75	27.05	89.51	204.07
ATF6B	2133.97	1977.24	1936.53	2287.2	1437.15	1819.35	1605.83	2485.67	2240.11	1819.35	2555.58	1844.76	2271.4	2287.2	1896.65	1963.57	2351.53	1977.24	1651.0	2417.67	1359.57	1498.22	1111.82	733.19	1030.12	1572.76	1073.91	988.12	1059.11	1721.16	1508.65	2758.13
ATG16L2	934.76	579.04	454.09	540.19	500.46	909.17	638.15	775.05	466.88	376.41	902.89	607.87	563.18	591.22	759.08	890.44	1081.39	791.35	400.71	866.07	113.56	285.03	131.51	37.85	182.55	186.4	76.71	137.14	150.17	314.17	511.0	1044.52
ATP13A1	1250.98	1208.34	836.53	842.36	1073.91	1369.04	1151.06	1151.06	1059.11	376.41	1340.84	1225.22	1073.91	947.83	1268.46	1119.56	1151.06	1286.18	1023.0	1378.57	836.53	941.27	381.68	289.02	305.55	435.55	511.0	258.57	248.0	1001.93	1233.75	1561.89
ATXN7L2	77.25	52.08	42.41	35.25	42.41	133.36	134.3	66.18	63.0	23.93	88.26	72.52	49.56	37.32	82.29	78.89	93.35	105.15	52.45	95.34	18.43	61.25	50.63	36.53	59.13	66.65	15.68	53.95	14.14	46.5	54.72	124.37
BRAT1	638.15	450.94	368.65	336.79	281.09	688.78	684.02	679.29	529.06	307.69	651.58	403.5	417.77	532.74	633.73	748.61	638.15	693.58	521.76	759.08	397.93	441.64	181.28	183.82	198.47	231.32	303.44	248.0	305.55	507.46	813.63	902.89
BTN3A2	1551.09	1015.93	698.41	1295.13	540.19	1030.12	813.63	1159.07	860.08	718.08	1721.16	1697.45	1037.29	1159.07	1674.06	1331.57	1709.26	1628.26	507.46	1498.22	336.79	633.73	237.86	273.37	466.88	198.47	143.01	314.17	450.94	785.88	1340.84	2104.58
C16orf58	1794.29	1359.57	1127.35	1295.13	981.29	1508.65	1331.57	1977.24	1388.16	688.78	1832.01	1427.22	1369.04	1832.01	1628.26	1407.55	1883.54	1685.71	1008.9	1397.83	708.18	842.36	703.28	728.11	532.74	423.61	902.89	1167.14	764.36	1088.92	1304.15	2384.37
C17orf70	406.31	387.02	356.05	295.11	444.72	571.05	483.38	483.38	312.0	218.79	400.71	341.51	384.34	384.34	612.11	348.71	551.56	571.05	373.81	361.04	218.79	334.46	145.02	98.73	212.78	197.09	186.4	113.56	159.9	336.79	307.69	559.28
C1orf147	6.78	9.13	5.19	2.94	4.31	8.78	2.43	11.47	6.57	6.41	15.91	8.85	4.21	3.38	6.11	10.16	9.85	13.32	2.76	7.82	0.72	1.27	0.0	0.0	1.31	0.18	0.0	0.0	2.84	4.31	4.62	10.47
