	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
AADAT	11.82	493.56	0.0	0.4	339.14	684.02	275.28	1066.48	299.25	813.63	353.59	733.19	460.44	669.92	444.72	674.59	723.08	579.04	974.5	555.41	511.0	525.39	376.41	684.02	547.75	248.0	514.56	693.58	507.46	551.56	1199.98	341.51	591.22	318.57	441.64	884.29	674.59	293.07	237.86	633.73	381.68	279.14	575.03	551.56	457.25	693.58	638.15	723.08	420.68	780.44	403.5	397.93	1519.15	420.68	301.33	1487.87	406.31	373.81	1369.04	503.95	329.84	279.14	409.15	423.61	1594.73	603.67	223.41	295.11	555.41	356.05	309.83	262.2	307.69	244.57	204.07
ABCE1	161.02	154.42	0.0	0.27	361.04	483.38	420.68	743.43	928.3	555.41	878.17	476.71	902.89	599.49	444.72	376.41	629.35	1127.35	642.59	518.15	743.43	860.08	435.55	780.44	547.75	273.37	941.27	395.18	536.45	698.41	603.67	447.82	500.46	423.61	703.28	743.43	316.37	447.82	503.95	866.07	307.69	361.04	466.88	420.68	511.0	521.76	748.61	848.22	713.11	928.3	753.83	420.68	511.0	363.56	463.65	1216.75	656.11	376.41	563.18	878.17	981.29	327.56	529.06	332.14	435.55	764.36	403.5	457.25	351.14	406.31	376.41	316.37	417.77	392.44	256.78
ACSL5	94.01	1447.15	0.0	0.75	92.05	221.86	275.28	708.18	872.1	21.94	595.34	379.04	836.53	988.12	441.64	96.68	743.43	1151.06	239.52	363.56	497.0	1508.65	81.71	400.71	94.01	265.87	995.0	50.63	97.36	1119.56	117.6	134.3	111.21	214.27	647.07	363.56	503.95	483.38	136.19	466.88	599.49	289.02	157.68	143.01	221.86	164.42	1167.14	620.67	642.59	1397.83	178.77	129.69	307.69	113.56	329.84	1250.98	363.56	127.0	521.76	819.3	1111.82	264.03	94.01	185.11	95.34	356.05	1073.91	105.89	87.03	211.31	224.97	204.07	336.79	813.63	264.03
ACTL6A	212.78	242.88	0.0	0.91	435.55	718.08	743.43	995.0	1044.52	620.67	1001.93	693.58	974.5	825.0	693.58	669.92	808.0	1216.75	1111.82	743.43	921.88	1127.35	575.03	890.44	796.86	567.1	1081.39	603.67	915.51	1059.11	624.99	769.69	665.29	684.02	854.13	1008.9	603.67	620.67	738.29	693.58	872.1	571.05	723.08	595.34	753.83	1143.1	1216.75	974.5	1369.04	836.53	708.18	532.74	947.83	563.18	708.18	791.35	1030.12	713.11	909.17	1104.13	1088.92	674.59	713.11	551.56	854.13	941.27	638.15	647.07	723.08	629.35	555.41	486.75	713.11	612.11	638.15
AFG3L2	1044.52	684.02	447.82	126.12	802.41	708.18	684.02	791.35	819.3	860.08	928.3	660.68	866.07	830.75	703.28	532.74	802.41	866.07	780.44	753.83	830.75	842.36	753.83	813.63	738.29	660.68	995.0	703.28	872.1	860.08	791.35	836.53	723.08	620.67	733.19	921.88	642.59	769.69	559.28	866.07	713.11	693.58	819.3	748.61	638.15	1199.98	775.05	902.89	866.07	981.29	934.76	775.05	785.88	674.59	656.11	967.76	785.88	651.58	738.29	842.36	934.76	511.0	848.22	688.78	612.11	848.22	698.41	819.3	532.74	718.08	665.29	647.07	728.11	713.11	470.14
AGTPBP1	35.25	19.39	0.0	0.39	83.45	102.25	82.87	218.79	176.29	95.34	154.42	73.03	164.42	120.1	96.68	85.22	108.9	217.27	135.24	115.16	139.07	205.5	105.89	133.36	117.6	72.01	194.36	98.73	88.88	142.01	100.13	108.14	119.26	77.79	120.94	118.43	73.03	75.64	75.64	186.4	63.0	68.55	108.9	124.37	92.7	540.19	154.42	211.31	141.02	183.82	154.42	84.04	363.56	90.77	108.14	193.01	116.78	73.03	123.5	148.09	156.59	84.63	123.5	111.21	82.29	161.02	84.63	91.41	63.89	84.04	74.06	81.71	74.06	63.45	71.0
AIMP1	536.45	325.29	0.0	0.56	854.13	909.17	738.29	1350.18	1397.83	791.35	1286.18	688.78	1313.23	934.76	748.61	674.59	738.29	1015.93	1104.13	934.76	1037.29	1277.29	785.88	1111.82	934.76	748.61	1183.45	603.67	748.61	1151.06	860.08	780.44	842.36	728.11	1135.2	1199.98	743.43	764.36	733.19	1268.46	723.08	651.58	842.36	748.61	819.3	1159.07	1001.93	1175.27	1008.9	1059.11	928.3	775.05	890.44	660.68	785.88	1477.58	1225.22	698.41	981.29	1119.56	1340.84	591.22	872.1	842.36	872.1	1151.06	854.13	830.75	775.05	848.22	633.73	738.29	860.08	759.08	500.46
AK9	27.64	15.56	0.0	0.26	49.21	109.66	72.01	181.28	153.34	87.03	123.5	87.03	130.6	113.56	85.82	68.07	116.78	144.01	121.79	122.64	146.03	136.19	50.98	125.24	113.56	65.26	167.9	73.03	115.97	120.1	56.68	125.24	102.25	101.54	93.35	120.94	79.45	67.59	60.82	154.42	39.79	74.58	68.07	53.57	115.16	144.01	90.77	122.64	138.1	78.34	144.01	72.01	136.19	90.14	99.43	145.02	133.36	47.84	130.6	131.51	113.56	59.55	138.1	88.26	96.68	103.69	67.59	75.64	83.45	94.01	67.59	70.51	72.01	66.18	63.45
ALG13	780.44	316.37	0.0	0.82	896.64	1250.98	941.27	1119.56	1225.22	1015.93	909.17	1111.82	1407.55	1359.57	1015.93	1191.69	1073.91	1167.14	1427.22	1191.69	1015.93	995.0	819.3	1745.2	848.22	825.0	1331.57	995.0	830.75	1199.98	1233.75	884.29	1088.92	848.22	1104.13	1001.93	995.0	1096.5	1008.9	1119.56	1199.98	872.1	1081.39	1159.07	1369.04	1407.55	1143.1	1051.79	1388.16	1572.76	941.27	813.63	830.75	934.76	902.89	995.0	1225.22	813.63	1059.11	1023.0	967.76	961.07	796.86	947.83	1561.89	995.0	738.29	802.41	1073.91	1088.92	796.86	764.36	947.83	981.29	954.43
AMACR	371.22	2133.97	0.0	0.0	1909.85	12764.83	1709.26	22225.61	5147.73	1225.22	6381.92	5441.3	6250.56	8479.89	4010.71	23169.48	17558.94	25887.07	33922.56	3018.3	10659.59	10296.45	3665.02	12764.83	5255.91	708.18	10883.59	16960.78	29531.18	7803.01	24832.5	10084.54	1781.89	9279.58	15392.14	6887.62	39237.98	6164.49	3901.01	3081.75	1936.53	2434.5	1721.16	18431.96	15499.21	8247.98	1250.98	18819.27	11909.94	10883.59	9540.5	6426.31	61571.56	5913.33	6079.61	11035.54	6607.01	6471.02	14663.09	23009.42	12853.63	4210.15	31650.8	521.76	2485.67	11267.44	6121.9	1295.13	12160.22	358.54	1674.06	293.07	1277.29	559.28	836.53
